id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,speaker,characters/0/hide_char_id,play_sound,set_camera_shake,characters/1/hide_char_id
d_ex_powerplant_07_38,d_ex_powerplant_07,Monologue,trony,Locale_SuddenStory:d_ex_powerplant_07_38,False,S_1200,20,1.0,,,,,,2,surprise,,,,,,
d_ex_powerplant_07_39,d_ex_powerplant_07,Speech,trony,Locale_SuddenStory:d_ex_powerplant_07_39,True,20,20,1.0,,,,,,2,surprise,,trony,,,,
d_ex_powerplant_07_40,d_ex_powerplant_07,Self,trony,Locale_SuddenStory:d_ex_powerplant_07_40,False,20,20,1.0,,,,,,2,surprise,,,,,,
d_ex_powerplant_07_41,d_ex_powerplant_07,Speech,trony,Locale_SuddenStory:d_ex_powerplant_07_41,True,20,200,1.0,,,,,,2,shy,,trony,,,,
d_ex_powerplant_07_42,d_ex_powerplant_07,Speech,trony,Locale_SuddenStory:d_ex_powerplant_07_42,True,200,200,1.0,,,,,,2,shy,,trony,,,,
d_ex_powerplant_07_43,d_ex_powerplant_07,Self,trony,Locale_SuddenStory:d_ex_powerplant_07_43,False,200,2,1.0,,,,,,2,shy,,,,,,
d_ex_powerplant_07_44,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_44,True,2,2,1.0,,,,,,2,shy,,laplace,,,,
d_ex_powerplant_07_45,d_ex_powerplant_07,Narration,laplace,Locale_SuddenStory:d_ex_powerplant_07_45,False,2,2,1.0,,,,,,2,shy,,,,sfx_scn_windowbreak,Low_2,
d_ex_powerplant_07_46,d_ex_powerplant_07,Monologue,laplace,Locale_SuddenStory:d_ex_powerplant_07_46,False,2,1,1.0,,laplace,12,idle,,2,shy,,,,,,
d_ex_powerplant_07_47,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_47,True,1,1,1.0,,,12,idle,,2,shy,,laplace,,,,
d_ex_powerplant_07_48,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_48,True,1,1,1.0,,,12,idle,,2,shy,,laplace,,,,
d_ex_powerplant_07_49,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_49,True,1,1,1.0,,,12,delight,,2,shy,,laplace,,,,
d_ex_powerplant_07_50,d_ex_powerplant_07,Speech,trony,Locale_SuddenStory:d_ex_powerplant_07_50,True,1,1,1.0,,,12,delight,,2,delight,,trony,,,,
d_ex_powerplant_07_51,d_ex_powerplant_07,Monologue,trony,Locale_SuddenStory:d_ex_powerplant_07_51,False,1,20,1.0,,,12,delight,,2,idle,,,,,,
d_ex_powerplant_07_52,d_ex_powerplant_07,Monologue,trony,Locale_SuddenStory:d_ex_powerplant_07_52,False,20,20,1.0,,,12,delight,,2,idle,,,,,,
d_ex_powerplant_07_53,d_ex_powerplant_07,Monologue,trony,Locale_SuddenStory:d_ex_powerplant_07_53,False,20,200,1.0,,,12,delight,,2,idle,,,,,,
d_ex_powerplant_07_54,d_ex_powerplant_07,Narration,trony,Locale_SuddenStory:d_ex_powerplant_07_54,False,200,20,0.5,,,12,delight,,2,surprise2,,,,sfx_scn_poke,,
d_ex_powerplant_07_55,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_55,True,S_1200,S_120,1.0,,,12,think,,2,surprise2,,laplace,,,,
d_ex_powerplant_07_56,d_ex_powerplant_07,Speech,trony,Locale_SuddenStory:d_ex_powerplant_07_56,True,S_120,20,1.0,,,12,think,,2,no,,trony,,,,
d_ex_powerplant_07_57,d_ex_powerplant_07,Monologue,trony,Locale_SuddenStory:d_ex_powerplant_07_57,False,20,20,1.0,,,12,think,,2,no,,,,,,
d_ex_powerplant_07_58,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_58,False,20,1,1.0,none,,12,think,,2,no,,laplace,,,,
d_ex_powerplant_07_59,d_ex_powerplant_07,Self,laplace,Locale_SuddenStory:d_ex_powerplant_07_59,False,1,1,1.0,,,12,think,,2,no,,,,,,
d_ex_powerplant_07_60,d_ex_powerplant_07,Speech,trony,Locale_SuddenStory:d_ex_powerplant_07_60,True,1,20,1.0,,,12,think,,2,no,,trony,,,,
d_ex_powerplant_07_61,d_ex_powerplant_07,Monologue,Monologue,Locale_SuddenStory:d_ex_powerplant_07_61,False,black,black,1.0,,,12,think,,2,no,,,laplace,,,trony
