id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,set_camera_shake,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,set_filter_01
d_ex_command_02_14,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_14,True,,3,S_30,1.0,,neon,,,neon,,3,worry,,1,idle,,13,delight,,
d_ex_command_02_15,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_15,True,,S_30,S_300,0.6,,neon,,,neon,,3,surprise,,1,idle,,13,delight,,
d_ex_command_02_16,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_16,True,,S_300,S_30,1.0,,neon,,,neon,,3,delight,,1,idle,,13,delight,,
d_ex_command_02_17,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_17,True,,S_30,10,1.0,,anis,,,anis,,3,delight,,1,angry,,13,delight,,
d_ex_command_02_18,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_18,True,,10,10,1.0,,anis,,,anis,,3,delight,,1,worry,,13,delight,,
d_ex_command_02_19,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_19,True,,10,10,1.0,,anis,,,anis,,3,delight,,1,idle,,13,delight,,
d_ex_command_02_20,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_20,True,,10,130,1.0,,rapi,,,rapi,,3,delight,,1,idle,,13,think,,
d_ex_command_02_21,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_21,True,,130,130,1.0,,rapi,,,rapi,,3,delight,,1,idle,,13,idle,,
d_ex_command_02_22,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_22,True,,130,130,1.0,,rapi,,,rapi,,3,delight,,1,idle,,13,delight,,
d_ex_command_02_23,d_ex_command_02,Narration,Locale_SuddenStory:d_ex_command_02_23,False,,black,black,1.0,,Narration,,,,,3,delight,,1,idle,,13,delight,,
d_ex_command_02_24,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_24,True,,2,2,1.0,,anis,,,anis,,3,delight,,1,idle,,13,delight,,
d_ex_command_02_25,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_25,True,,2,2,1.0,,anis,,,anis,,3,delight,,1,shy,,13,delight,,
d_ex_command_02_26,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_26,True,,2,2,1.0,,anis,,,anis,,3,delight,,1,idle,,13,delight,,
d_ex_command_02_27,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_27,True,,2,2,1.0,,anis,,,anis,,3,delight,,1,worry,,13,delight,,
d_ex_command_02_28,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_28,True,,2,2,1.0,,neon,,,neon,,3,delight,,1,worry,,13,idle,,
d_ex_command_02_29,d_ex_command_02,Self,Locale_SuddenStory:d_ex_command_02_29,False,,2,2,1.0,,Self,,,,,3,delight,,1,idle,,13,idle,,
d_ex_command_02_30,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_30,True,,2,12,1.0,,rapi,,,rapi,,3,delight,,1,idle,,13,idle,,
d_ex_command_02_31,d_ex_command_02,Monologue,Locale_SuddenStory:d_ex_command_02_31,False,,12,130,0.7,,,,,,,3,delight,,1,idle,,13,idle,,
d_ex_command_02_32,d_ex_command_02,Monologue,Locale_SuddenStory:d_ex_command_02_32,False,,130,130,1.0,,,,,,,3,delight,,1,idle,,13,idle,,
d_ex_command_02_33,d_ex_command_02,Self,Locale_SuddenStory:d_ex_command_02_33,False,,black,black,1.0,,Self,,,,,3,delight,,1,idle,,13,idle,,
d_ex_command_02_34,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_34,True,,3,3,1.0,,neon,,,neon,,3,no,,1,idle,,13,idle,,
d_ex_command_02_35,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_35,True,,3,S_30,0.6,,neon,,,neon,,3,no,,1,idle,,13,idle,,
d_ex_command_02_36,d_ex_command_02,Self,Locale_SuddenStory:d_ex_command_02_36,False,,S_30,S_30,1.0,,Self,,,,,3,surprise,,1,idle,,13,idle,,
d_ex_command_02_37,d_ex_command_02,Self,Locale_SuddenStory:d_ex_command_02_37,False,,S_30,3,1.0,,Self,,,,,3,surprise,,1,idle,,13,idle,,
d_ex_command_02_38,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_38,True,,3,2,1.0,,anis,,,anis,,3,surprise,,1,delight,,13,idle,,
d_ex_command_02_39,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_39,True,,2,2,1.0,,anis,,,anis,,3,surprise,,1,delight,,13,idle,,
d_ex_command_02_40,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_40,True,,2,2,1.0,,neon,,,neon,,3,surprise,,1,delight,,13,idle,,
d_ex_command_02_41,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_41,True,,2,2,1.0,,neon,,,neon,,3,surprise,,1,delight,,13,idle,,
d_ex_command_02_42,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_42,True,,2,3,1.0,,neon,,,neon,,3,surprise,,1,delight,,13,idle,,
d_ex_command_02_43,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_43,True,,3,S_30,0.7,,neon,,,neon,,3,surprise,,1,delight,,13,idle,,
d_ex_command_02_44,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_44,True,,S_30,S_300,0.7,,neon,,,neon,,3,delight,,1,delight,,13,idle,,
d_ex_command_02_45,d_ex_command_02,Choice,Locale_SuddenStory:d_ex_command_02_45,False,,S_300,S_300,1.0,,,,,,,3,delight,,1,delight,,13,idle,d_ex_command_02_47,
d_ex_command_02_46,d_ex_command_02,Choice,Locale_SuddenStory:d_ex_command_02_46,False,,S_300,S_300,1.0,,,,,,,3,delight,,1,delight,,13,idle,d_ex_command_02_53,
d_ex_command_02_47,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_47,True,,S_300,3,1.0,,neon,,,neon,,3,delight,,1,worry,,13,idle,,
d_ex_command_02_48,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_48,True,,3,2,1.0,,anis,,,anis,,3,delight,,1,worry,,13,idle,,
d_ex_command_02_49,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_49,True,,2,2,1.0,,anis,,,anis,,3,delight,,1,idle,,13,idle,,
d_ex_command_02_50,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_50,True,,2,2,1.0,,neon,,,neon,,3,idle,,1,idle,,13,idle,,
d_ex_command_02_51,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_51,True,,2,2,1.0,,neon,,,neon,,3,idle,,1,idle,,13,idle,,
d_ex_command_02_52,d_ex_command_02,Self,Locale_SuddenStory:d_ex_command_02_52,False,,2,2,1.0,,Self,,,,,3,idle,,1,idle,,13,idle,d_ex_command_02_65,
d_ex_command_02_53,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_53,True,,S_300,3,2.0,none,neon,,,neon,,3,idle,,1,delight,,13,idle,,
d_ex_command_02_54,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_54,True,,3,3,1.0,,neon,,,neon,,3,idle,,1,delight,,13,idle,,
d_ex_command_02_55,d_ex_command_02,Self,Locale_SuddenStory:d_ex_command_02_55,False,,3,3,1.0,,Self,,,,,3,idle,,1,delight,,13,idle,,
d_ex_command_02_56,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_56,True,,3,3,1.0,bgm_story_whosdumber,neon,,,neon,,3,no,,1,delight,,13,idle,,
d_ex_command_02_57,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_57,True,,3,2,1.0,,anis,,,anis,,3,no,,1,idle,,13,idle,,
d_ex_command_02_58,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_58,True,,2,2,1.0,,anis,,,anis,,3,no,,1,angry,,13,idle,,
d_ex_command_02_59,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_59,True,,2,2,1.0,,anis,,,anis,,3,no,,1,worry,,13,idle,,
d_ex_command_02_60,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_60,True,,2,2,1.0,,neon,,,neon,,3,surprise,,1,worry,,13,idle,,
d_ex_command_02_61,d_ex_command_02,Self,Locale_SuddenStory:d_ex_command_02_61,False,,2,2,1.0,,Self,,,,,3,surprise,,1,worry,,13,idle,,
d_ex_command_02_62,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_62,True,,2,12,1.0,,rapi,,,rapi,,3,surprise,,1,worry,,13,idle,,
d_ex_command_02_63,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_63,True,,12,12,1.0,none,rapi,,,rapi,,3,surprise,,1,worry,,13,idle,,
d_ex_command_02_64,d_ex_command_02,Self,Locale_SuddenStory:d_ex_command_02_64,False,,12,12,1.0,,Self,,,,,3,surprise,,1,worry,,13,idle,d_ex_command_02_65,
d_ex_command_02_65,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_65,True,,S_30,S_30,1.0,bgm_story_sunnycarnival,neon,,,neon,,3,delight,,1,idle,,13,idle,,
d_ex_command_02_66,d_ex_command_02,Monologue,Locale_SuddenStory:d_ex_command_02_66,False,,S_30,S_300,1.6,,,,,,,3,delight,,1,idle,,13,idle,,
d_ex_command_02_67,d_ex_command_02,Self,Locale_SuddenStory:d_ex_command_02_67,False,,S_300,S_300,1.0,,Self,,,,,3,delight,,1,idle,,13,idle,,
d_ex_command_02_68,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_68,True,,S_300,S_300,1.0,,neon,,,neon,,3,surprise,,1,idle,,13,idle,,
d_ex_command_02_69,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_69,True,,S_300,S_300,1.0,,neon,,,neon,,3,surprise,,1,idle,,13,idle,,
d_ex_command_02_70,d_ex_command_02,Narration,Locale_SuddenStory:d_ex_command_02_70,False,,S_300,S_300,1.0,,Narration,sfx_scn_cakethrow,Low_2,,,3,surprise,,1,idle,,13,idle,,Vignetting
d_ex_command_02_71,d_ex_command_02,Self,Locale_SuddenStory:d_ex_command_02_71,False,,S_300,S_300,1.0,,Self,,,,,3,surprise,,1,idle,,13,idle,,Vignetting
d_ex_command_02_72,d_ex_command_02,Monologue,Locale_SuddenStory:d_ex_command_02_72,False,,S_300,S_300,1.0,,,,,,,3,surprise,,1,delight,,13,idle,,Vignetting
d_ex_command_02_73,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_73,True,,S_300,2,1.0,,neon,,,neon,,3,shy,,1,delight,,13,idle,,Vignetting
d_ex_command_02_74,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_74,True,,2,2,1.0,,anis,,,anis,,3,shy,,1,delight,,13,idle,,Vignetting
d_ex_command_02_75,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_75,True,,2,2,1.0,,anis,,,anis,,3,shy,,1,delight,,13,idle,,Vignetting
d_ex_command_02_76,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_76,False,,2,13,1.0,,rapi,,,rapi,,3,shy,,1,delight,,13,idle,,Vignetting
d_ex_command_02_77,d_ex_command_02,Self,Locale_SuddenStory:d_ex_command_02_77,False,,13,13,1.0,,Self,,,,,3,shy,,1,delight,,13,idle,,Vignetting
d_ex_command_02_78,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_78,True,,13,2,1.0,,neon,,,neon,,3,idle,,1,delight,,13,idle,,Vignetting
d_ex_command_02_79,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_79,False,,2,S_30,0.6,,neon,sfx_scn_cakethrow,,neon,,3,surprise,,1,delight,,13,idle,,Vignetting
d_ex_command_02_80,d_ex_command_02,Monologue,Locale_SuddenStory:d_ex_command_02_80,False,,black,black,1.0,,,,,,,3,surprise,,1,delight,,13,idle,,Vignetting
d_ex_command_02_81,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_81,True,,S_30,2,1.0,,neon,,,neon,,3,worry,,1,delight,,13,idle,,Vignetting
d_ex_command_02_82,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_82,True,,2,2,1.0,,anis,,,anis,,3,worry,,1,delight,,13,idle,,Vignetting
d_ex_command_02_83,d_ex_command_02,Monologue,Locale_SuddenStory:d_ex_command_02_83,False,,black,black,1.0,,,,,,,3,idle,,1,delight,,13,idle,,
d_ex_command_02_84,d_ex_command_02,Monologue,Locale_SuddenStory:d_ex_command_02_84,False,,black,black,1.0,,,,,,,3,idle,,1,delight,,13,idle,,
