id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_35bf_02_19,d_main_35bf_02,Monologue,Locale_MainScenario:d_main_35bf_02_19,False,,13,17,1.0,,,ingrid,,,5,void,,3,idle,,1,idle,,13,idle
d_main_35bf_02_20,d_main_35bf_02,Monologue,Locale_MainScenario:d_main_35bf_02_20,False,,17,17,1.0,,,ingrid,,,5,void,,3,idle,,1,idle,,13,idle
d_main_35bf_02_21,d_main_35bf_02,Monologue,Locale_MainScenario:d_main_35bf_02_21,False,,17,17,1.0,,,ingrid,,,5,void,,3,idle,,1,idle,,13,idle
d_main_35bf_02_22,d_main_35bf_02,Self,Locale_MainScenario:d_main_35bf_02_22,False,,17,17,1.0,,,ingrid,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_35bf_02_23,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_23,True,,2,2,1.0,,,rapi_red,rapi_red,,5,idle,,3,idle,,1,idle,,13,idle
d_main_35bf_02_24,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_24,True,,2,2,1.0,,,neon,neon,,5,idle,,3,idle,,1,idle,,13,idle
d_main_35bf_02_25,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_25,False,,2,4,1.0,,,anis,anis,,5,idle,,3,idle,,1,idle,,13,idle
d_main_35bf_02_26,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_26,True,,L_130,L_130,1.0,,,ingrid,ingrid,,5,idle,,3,idle,,1,idle,,13,idle
d_main_35bf_02_27,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_27,True,,2,2,1.0,,,neon,neon,,5,idle,,3,idle,,1,idle,,13,idle
d_main_35bf_02_28,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_28,True,,2,2,1.0,,,neon,neon,,5,idle,,3,idle,,1,idle,,13,idle
d_main_35bf_02_29,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_29,True,,2,2,1.0,,,rapi_red,rapi_red,,5,idle,,3,idle,,1,idle,,13,idle
d_main_35bf_02_30,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_30,True,,2,13,1.0,,,ingrid,ingrid,,5,idle,,3,idle,,1,idle,,13,good
d_main_35bf_02_31,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_31,True,,13,13,1.0,,,ingrid,ingrid,,5,idle,,3,idle,,1,idle,,13,good
d_main_35bf_02_32,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_32,True,,13,13,1.0,,,ingrid,ingrid,,5,idle,,3,idle,,1,idle,,13,good
d_main_35bf_02_33,d_main_35bf_02,Self,Locale_MainScenario:d_main_35bf_02_33,False,,13,13,1.0,,,ingrid,,,5,idle,,3,idle,,1,idle,,13,good
d_main_35bf_02_34,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_34,True,,13,L_130,1.0,,,ingrid,ingrid,,5,idle,,3,idle,,1,idle,,13,good
d_main_35bf_02_35,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_35,True,,L_130,L_130,1.0,,,ingrid,ingrid,,5,idle,,3,idle,,1,idle,,13,good
d_main_35bf_02_36,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_36,True,,L_130,L_130,1.0,,,ingrid,ingrid,,5,idle,,3,idle,,1,idle,,13,good
d_main_35bf_02_37,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_37,True,,L_130,L_130,1.0,,,ingrid,ingrid,,5,idle,,3,idle,,1,idle,,13,good
d_main_35bf_02_38,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_38,True,,L_130,L_130,1.0,,,ingrid,ingrid,,5,idle,,3,idle,,1,idle,,13,good
d_main_35bf_02_39,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_39,True,,L_130,L_130,1.0,,,ingrid,ingrid,,5,idle,,3,idle,,1,idle,,13,good
d_main_35bf_02_40,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_40,True,,L_130,L_130,1.0,,,ingrid,ingrid,,5,idle,,3,idle,,1,idle,,13,good
d_main_35bf_02_41,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_41,True,,L_130,L_130,1.0,,,ingrid,ingrid,,5,idle,,3,idle,,1,idle,,13,good
d_main_35bf_02_42,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_42,True,,L_130,L_130,1.0,,,ingrid,ingrid,,5,idle,,3,idle,,1,idle,,13,good
d_main_35bf_02_43,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_43,True,,L_130,10,1.0,,,rapi_red,rapi_red,,5,idle,,3,idle,,1,delight,,13,good
d_main_35bf_02_44,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_44,True,,10,10,1.0,,,rapi_red,rapi_red,,5,idle,,3,idle,,1,delight,,13,good
d_main_35bf_02_45,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_45,True,,10,10,1.0,,,rapi_red,rapi_red,,5,idle,,3,idle,,1,delight,,13,good
d_main_35bf_02_46,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_46,True,,10,10,1.0,,,rapi_red,rapi_red,,5,idle,,3,idle,,1,delight,,13,good
d_main_35bf_02_47,d_main_35bf_02,Self,Locale_MainScenario:d_main_35bf_02_47,False,,10,10,1.0,,,rapi_red,,,5,idle,,3,idle,,1,delight,,13,good
d_main_35bf_02_48,d_main_35bf_02,Narration,Locale_MainScenario:d_main_35bf_02_48,False,,10,1,1.0,sfx_scn_sunroofopen,,rapi_red,,,5,idle,,3,idle,,1,delight,,13,good
d_main_35bf_02_49,d_main_35bf_02,Monologue,Locale_MainScenario:d_main_35bf_02_49,False,,1,1,1.0,,,rapi_red,,,5,idle,,3,idle,,1,delight,,13,good
d_main_35bf_02_50,d_main_35bf_02,Monologue,Locale_MainScenario:d_main_35bf_02_50,False,,1,1,1.0,,,rapi_red,,,5,idle,,3,idle,,1,delight,,13,good
d_main_35bf_02_51,d_main_35bf_02,Self,Locale_MainScenario:d_main_35bf_02_51,False,,1,1,1.0,,,rapi_red,,,5,idle,,3,idle,,1,delight,,13,good
d_main_35bf_02_52,d_main_35bf_02,Self,Locale_MainScenario:d_main_35bf_02_52,False,,1,1,1.0,,,rapi_red,,,5,idle,,3,idle,,1,delight,,13,good
d_main_35bf_02_53,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_53,True,,1,1,1.0,,,rapi_red,rapi_red,,5,idle,,3,idle,,1,delight,,13,good
d_main_35bf_02_54,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_54,True,,1,4,1.0,,,neon,neon,,5,idle,,3,delight,,1,delight,,13,good
d_main_35bf_02_55,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_55,True,,4,4,1.0,,,anis,anis,,5,idle,,3,delight,,1,delight,,13,good
d_main_35bf_02_56,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_56,True,,4,4,1.0,,,neon,neon,,5,idle,,3,delight,,1,delight,,13,good
d_main_35bf_02_57,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_57,True,,L_130,L_130,1.0,,,ingrid,ingrid,,5,idle,,3,delight,,1,delight,,13,good
d_main_35bf_02_58,d_main_35bf_02,Monologue,Locale_MainScenario:d_main_35bf_02_58,False,,L_130,17,1.5,,,ingrid,,,5,idle,,3,delight,,1,delight,,13,good
d_main_35bf_02_59,d_main_35bf_02,Monologue,Locale_MainScenario:d_main_35bf_02_59,False,,17,17,1.0,,,ingrid,,,5,idle,,3,delight,,1,delight,,13,good
d_main_35bf_02_60,d_main_35bf_02,Monologue,Locale_MainScenario:d_main_35bf_02_60,False,,17,17,1.0,,,ingrid,,,5,idle,,3,delight,,1,delight,,13,good
d_main_35bf_02_61,d_main_35bf_02,Monologue,Locale_MainScenario:d_main_35bf_02_61,False,,17,17,1.0,,none,ingrid,,,5,idle,,3,delight,,1,delight,,13,good
