id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake
d_main_29_03_e_11,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_11,True,,5,angry,,3,surprise,,1,idle,,13,void,,15,idle,,XS_50,XS_50,1.0,,,
d_main_29_03_e_12,d_main_29_03_e,Narration,drilley,,Locale_MainScenario:d_main_29_03_e_12,False,,5,angry,,3,surprise,,1,idle,,13,void,,15,idle,,XS_50,XS_50,1.0,,sfx_scn_drillrotation,Low_2
d_main_29_03_e_13,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_13,True,,5,angry,,3,surprise,,1,idle,,13,void,,15,idle,,XS_50,XS_50,1.0,,,
d_main_29_03_e_14,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_14,False,,5,sad,,3,surprise,,1,idle,,13,void,,15,idle,,XS_50,XS_50,1.0,,,
d_main_29_03_e_15,d_main_29_03_e,Narration,drilley,,Locale_MainScenario:d_main_29_03_e_15,False,,5,sad,,3,surprise,,1,idle,,13,void,,15,idle,,XS_50,5,0.6,,sfx_scn_down,Low_2
d_main_29_03_e_16,d_main_29_03_e,Monologue,drilley,,Locale_MainScenario:d_main_29_03_e_16,False,,5,sad,,3,surprise,,1,idle,,13,void,,15,idle,,5,5,1.0,,,
d_main_29_03_e_17,d_main_29_03_e,Monologue,drilley,,Locale_MainScenario:d_main_29_03_e_17,False,,5,sad,,3,surprise,,1,idle,,13,void,,15,idle,,5,5,1.0,,,
d_main_29_03_e_18,d_main_29_03_e,Self,drilley,,Locale_MainScenario:d_main_29_03_e_18,False,,5,sad,,3,surprise,,1,idle,,13,void,,15,idle,,5,5,1.0,,,
d_main_29_03_e_19,d_main_29_03_e,Monologue,drilley,,Locale_MainScenario:d_main_29_03_e_19,False,,5,sad,,3,surprise,,1,idle,,13,void,,15,idle,,5,5,1.0,,,
d_main_29_03_e_20,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_20,True,,5,sad,,3,surprise,,1,idle,,13,void,,15,idle,,5,5,1.0,,,
d_main_29_03_e_21,d_main_29_03_e,Self,drilley,,Locale_MainScenario:d_main_29_03_e_21,False,,5,sad,,3,surprise,,1,idle,,13,void,,15,idle,,5,5,1.0,,,
d_main_29_03_e_22,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_22,True,,5,surprise,,3,surprise,,1,idle,,13,void,,15,idle,,5,5,1.0,,,
d_main_29_03_e_23,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_23,True,,5,surprise,,3,surprise,,1,idle,,13,void,,15,idle,,5,5,1.0,,,
d_main_29_03_e_24,d_main_29_03_e,Self,drilley,,Locale_MainScenario:d_main_29_03_e_24,False,,5,surprise,,3,surprise,,1,idle,,13,void,,15,idle,,5,5,1.0,,,
d_main_29_03_e_25,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_25,True,,5,surprise,,3,surprise,,1,idle,,13,void,,15,idle,,5,5,1.0,,,
d_main_29_03_e_26,d_main_29_03_e,Self,drilley,,Locale_MainScenario:d_main_29_03_e_26,False,,5,surprise,,3,surprise,,1,idle,,13,void,,15,idle,,5,5,1.0,,,
d_main_29_03_e_27,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_27,True,,5,surprise,,3,surprise,,1,idle,,13,void,,15,idle,,5,5,1.0,,,
d_main_29_03_e_28,d_main_29_03_e,Self,drilley,,Locale_MainScenario:d_main_29_03_e_28,False,,5,surprise,,3,surprise,,1,idle,,13,void,,15,idle,,5,5,1.0,,,
d_main_29_03_e_29,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_29,True,,5,angry,,3,surprise,,1,idle,,13,void,,15,idle,,5,5,1.0,,,
d_main_29_03_e_30,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_30,False,,5,angry,,3,surprise,,1,idle,,13,void,,15,idle,,5,5,1.0,,,
d_main_29_03_e_31,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_31,True,,5,angry,,3,surprise,,1,idle,,13,void,,15,idle,,5,5,1.0,,,
d_main_29_03_e_32,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_32,True,,5,angry,,3,surprise,,1,idle,,13,void,,15,idle,,5,5,1.0,,,
d_main_29_03_e_33,d_main_29_03_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_03_e_33,True,,5,angry,,3,no,,1,idle,,13,void,,15,idle,,5,4,1.0,,,
d_main_29_03_e_34,d_main_29_03_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_03_e_34,True,,5,angry,,3,no,,1,idle,,13,void,,15,idle,,4,4,1.0,,,
d_main_29_03_e_35,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_35,True,,5,sad,,3,no,,1,idle,,13,void,,15,idle,,4,XS_50,1.0,,,
d_main_29_03_e_36,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_36,True,,5,sad,,3,no,,1,idle,,13,void,,15,idle,,XS_50,XS_50,1.0,,,
d_main_29_03_e_37,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_37,True,,5,sad,,3,no,,1,idle,,13,void,,15,idle,,XS_50,XS_50,1.0,,,
d_main_29_03_e_38,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_38,True,,5,sad,,3,no,,1,idle,,13,void,,15,idle,,XS_50,XS_50,1.0,,,
d_main_29_03_e_39,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_39,True,,5,sad,,3,no,,1,idle,,13,void,,15,idle,,XS_50,XS_50,1.0,,,
d_main_29_03_e_40,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_40,True,,5,sad,,3,no,,1,idle,,13,void,,15,idle,,XS_50,XS_50,1.0,,,
d_main_29_03_e_41,d_main_29_03_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_03_e_41,False,,5,sad,,3,shy,,1,idle,,13,void,,15,idle,,XS_50,S_30,1.0,,,
d_main_29_03_e_42,d_main_29_03_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_03_e_42,True,,5,sad,,3,idle,,1,idle,,13,void,,15,idle,,S_30,S_30,1.0,,,
d_main_29_03_e_43,d_main_29_03_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_03_e_43,True,,5,sad,,3,idle,,1,idle,,13,void,,15,idle,,S_30,S_30,1.0,,,
d_main_29_03_e_44,d_main_29_03_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_03_e_44,True,,5,sad,,3,idle,,1,idle,,13,void,,15,idle,,S_30,S_30,1.0,,,
d_main_29_03_e_45,d_main_29_03_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_03_e_45,True,,5,sad,,3,idle,,1,idle,,13,void,,15,idle,,S_30,S_30,1.0,,,
d_main_29_03_e_46,d_main_29_03_e,Speech,rapi,rapi,Locale_MainScenario:d_main_29_03_e_46,True,,5,sad,,3,idle,,1,idle,,13,void,,15,idle,,S_30,1,1.0,,,
d_main_29_03_e_47,d_main_29_03_e,Speech,anis,anis,Locale_MainScenario:d_main_29_03_e_47,True,,5,sad,,3,idle,,1,idle,,13,void,,15,idle,,1,14,1.0,,,
d_main_29_03_e_48,d_main_29_03_e,Speech,anis,anis,Locale_MainScenario:d_main_29_03_e_48,True,,5,sad,,3,idle,,1,idle,,13,void,,15,idle,,14,14,1.0,,,
d_main_29_03_e_49,d_main_29_03_e,Speech,neon,neon,Locale_MainScenario:d_main_29_03_e_49,True,,5,sad,,3,idle,,1,idle,,13,void,,15,idle,,14,14,1.0,,,
d_main_29_03_e_50,d_main_29_03_e,Speech,rapi,rapi,Locale_MainScenario:d_main_29_03_e_50,True,,5,sad,,3,idle,,1,idle,,13,void,,15,idle,,10,10,1.0,,,
