id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/set_char_position,characters/2/show_char_id,characters/2/set_char_anim
d_ex_shopping_02_23,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_23,True,,10,10,1.0,,,,1,idle,,13,idle,,,
d_ex_shopping_02_24,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_24,True,,10,10,1.0,,,,1,idle,,13,idle,,,
d_ex_shopping_02_25,d_ex_shopping_02,Monologue,,,Locale_SuddenStory:d_ex_shopping_02_25,False,,10,100,1.0,,,,1,idle,,13,idle,,,
d_ex_shopping_02_26,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_26,True,,100,100,1.0,,,,1,idle,,13,idle,,,
d_ex_shopping_02_27,d_ex_shopping_02,Speech,vesti,vesti,Locale_SuddenStory:d_ex_shopping_02_27,True,,100,113,1.0,,,,1,idle,,13,sad,,,
d_ex_shopping_02_28,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_28,True,,113,113,1.0,,,,1,surprise,,13,sad,,,
d_ex_shopping_02_29,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_29,True,,113,113,1.0,,,,1,surprise,,13,sad,,,
d_ex_shopping_02_30,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_30,True,,113,113,1.0,,,,1,shy,,13,sad,,,
d_ex_shopping_02_31,d_ex_shopping_02,Speech,vesti,vesti,Locale_SuddenStory:d_ex_shopping_02_31,True,,113,113,1.0,,,,1,idle,,13,idle,,,
d_ex_shopping_02_32,d_ex_shopping_02,Speech,vesti,vesti,Locale_SuddenStory:d_ex_shopping_02_32,True,,113,113,1.0,,,,1,idle,,13,idle,,,
d_ex_shopping_02_33,d_ex_shopping_02,Choice,,,Locale_SuddenStory:d_ex_shopping_02_33,False,,113,113,1.0,,d_ex_shopping_02_35,,1,idle,,13,idle,,,
d_ex_shopping_02_34,d_ex_shopping_02,Choice,,,Locale_SuddenStory:d_ex_shopping_02_34,False,,113,113,1.0,,d_ex_shopping_02_38,,1,idle,,13,idle,,,
d_ex_shopping_02_35,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_35,True,,10,10,1.0,,,,1,delight,,13,idle,,,
d_ex_shopping_02_36,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_36,True,,10,10,1.0,,,,1,delight,,13,idle,,,
d_ex_shopping_02_37,d_ex_shopping_02,Speech,vesti,vesti,Locale_SuddenStory:d_ex_shopping_02_37,True,,XS_130,XS_130,1.0,,d_ex_shopping_02_41,,1,delight,,13,idle,,,
d_ex_shopping_02_38,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_38,True,,10,10,1.0,,,,1,surprise,,13,idle,,,
d_ex_shopping_02_39,d_ex_shopping_02,Self,,,Locale_SuddenStory:d_ex_shopping_02_39,False,,10,10,1.0,,,,1,surprise,,13,idle,,,
d_ex_shopping_02_40,d_ex_shopping_02,Speech,vesti,vesti,Locale_SuddenStory:d_ex_shopping_02_40,True,,XS_130,XS_130,1.0,,d_ex_shopping_02_41,,1,surprise,,13,idle,,,
d_ex_shopping_02_41,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_41,True,,10,10,0.5,,,,1,surprise,,13,idle,,,
d_ex_shopping_02_42,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_42,True,,10,10,1.0,,,,1,surprise,,13,idle,,,
d_ex_shopping_02_43,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_43,True,,10,100,0.5,,,,1,surprise,,13,idle,,,
d_ex_shopping_02_44,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_44,True,,100,100,0.5,,,,1,delight,,13,idle,,,
d_ex_shopping_02_45,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_45,True,,100,100,1.0,,,,1,delight,,13,idle,,,
d_ex_shopping_02_46,d_ex_shopping_02,Speech,vesti,vesti,Locale_SuddenStory:d_ex_shopping_02_46,True,,100,113,1.0,,,,1,delight,,13,angry,,,
d_ex_shopping_02_47,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_47,True,,113,113,1.0,,,,1,delight,,13,angry,,,
d_ex_shopping_02_48,d_ex_shopping_02,Speech,vesti,vesti,Locale_SuddenStory:d_ex_shopping_02_48,True,,113,113,1.0,,,,1,delight,,13,angry,,,
d_ex_shopping_02_49,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_49,True,,113,113,1.0,,,,1,idle,,13,angry,,,
d_ex_shopping_02_50,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_50,True,,113,113,1.0,,,,1,idle,,13,angry,,,
d_ex_shopping_02_51,d_ex_shopping_02,Speech,vesti,vesti,Locale_SuddenStory:d_ex_shopping_02_51,True,,113,113,1.0,,,,1,idle,,13,idle,,,
d_ex_shopping_02_52,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_52,True,,113,113,1.0,,,,1,surprise,,13,idle,,,
d_ex_shopping_02_53,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_53,True,,113,113,1.0,,,,1,surprise,,13,idle,,,
d_ex_shopping_02_54,d_ex_shopping_02,Speech,vesti,vesti,Locale_SuddenStory:d_ex_shopping_02_54,True,,113,113,1.0,,,,1,surprise,,13,angry,,,
d_ex_shopping_02_55,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_55,True,,113,113,1.0,,,,1,delight,,13,angry,5,,
d_ex_shopping_02_56,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_56,True,,113,3,1.0,none,,,1,idle,,13,angry,3,yan,idle
d_ex_shopping_02_57,d_ex_shopping_02,Monologue,,,Locale_SuddenStory:d_ex_shopping_02_57,False,,3,3,1.0,,,,1,idle,,13,angry,3,,idle
d_ex_shopping_02_58,d_ex_shopping_02,Self,,,Locale_SuddenStory:d_ex_shopping_02_58,False,,3,3,1.0,,,,1,idle,,13,angry,3,,idle
d_ex_shopping_02_59,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_59,True,,3,S_30,1.0,bgm_story_shopperholic,,,1,idle,,13,angry,3,,etc
d_ex_shopping_02_60,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_60,True,,S_30,S_30,1.0,,,,1,idle,,13,angry,3,,etc
d_ex_shopping_02_61,d_ex_shopping_02,Speech,vesti,vesti,Locale_SuddenStory:d_ex_shopping_02_61,True,,XS_130,XS_130,1.0,,,,1,idle,,13,idle,3,,etc
d_ex_shopping_02_62,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_62,True,,S_30,S_30,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_63,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_63,True,,S_30,S_30,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_64,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_64,True,,S_30,S_30,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_65,d_ex_shopping_02,Speech,vesti,vesti,Locale_SuddenStory:d_ex_shopping_02_65,True,,XS_130,XS_130,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_66,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_66,True,,S_30,S_30,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_67,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_67,True,,S_30,S_30,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_68,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_68,True,,S_30,S_30,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_69,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_69,True,,S_30,S_30,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_70,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_70,True,,S_30,S_300,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_71,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_71,True,,S_300,S_300,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_72,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_72,True,,S_300,S_300,1.0,,,,1,idle,,13,idle,3,,etc
d_ex_shopping_02_73,d_ex_shopping_02,Speech,vesti,vesti,Locale_SuddenStory:d_ex_shopping_02_73,True,,S_300,XS_1300,1.0,,,,1,idle,,13,sad,3,,etc
d_ex_shopping_02_74,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_74,True,,XS_1300,S_300,1.0,,,,1,idle,,13,sad,3,,etc
d_ex_shopping_02_75,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_75,True,,S_300,S_300,1.0,,,,1,idle,,13,idle,3,,etc
d_ex_shopping_02_76,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_76,True,,S_300,S_300,1.0,,,,1,idle,,13,idle,3,,etc
d_ex_shopping_02_77,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_77,True,,S_300,S_300,1.0,,,,1,idle,,13,idle,3,,etc
d_ex_shopping_02_78,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_78,True,,100,100,0.5,,,,1,idle,,13,idle,3,,etc
d_ex_shopping_02_79,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_79,True,,100,31,1.0,,,,1,idle,,13,idle,3,,etc
d_ex_shopping_02_80,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_80,True,,31,31,1.0,,,,1,idle,,13,idle,3,,etc
d_ex_shopping_02_81,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_81,True,,31,31,1.0,,,,1,idle,,13,idle,3,,etc
d_ex_shopping_02_82,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_82,True,,31,31,1.0,,,,1,idle,,13,idle,3,,etc
d_ex_shopping_02_83,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_83,True,,31,31,1.0,,,,1,idle,,13,idle,3,,etc
d_ex_shopping_02_84,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_84,True,,31,31,1.0,,,,1,pain,,13,idle,3,,etc
d_ex_shopping_02_85,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_85,True,,31,S_30,1.0,,,,1,pain,,13,idle,3,,etc
d_ex_shopping_02_86,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_86,True,,S_30,S_30,1.0,,,,1,pain,,13,idle,3,,delight
d_ex_shopping_02_87,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_87,True,,S_30,S_30,1.0,,,,1,pain,,13,idle,3,,delight
d_ex_shopping_02_88,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_88,True,,S_30,S_30,1.0,,,,1,pain,,13,idle,3,,delight
d_ex_shopping_02_89,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_89,True,,S_30,S_30,1.0,,,,1,pain,,13,idle,3,,delight
d_ex_shopping_02_90,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_90,True,,10,10,1.0,,,,1,delight,,13,idle,3,,delight
d_ex_shopping_02_91,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_91,True,,10,10,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_92,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_92,True,,S_30,S_30,1.0,,,,1,idle,,13,idle,3,,etc
d_ex_shopping_02_93,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_93,True,,S_30,S_30,1.0,,,,1,idle,,13,idle,3,,etc
d_ex_shopping_02_94,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_94,True,,10,10,1.0,,,,1,idle,,13,idle,3,,etc
d_ex_shopping_02_95,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_95,True,,10,31,1.0,,,,1,idle,,13,idle,3,,etc
d_ex_shopping_02_96,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_96,True,,31,31,1.0,,,,1,idle,,13,idle,3,,etc
d_ex_shopping_02_97,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_97,True,,31,31,1.0,,,,1,idle,,13,idle,3,,etc
d_ex_shopping_02_98,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_98,True,,31,31,1.0,,,,1,idle,,13,idle,3,,etc
d_ex_shopping_02_99,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_99,True,,31,31,1.0,,,,1,surprise,,13,idle,3,,etc
d_ex_shopping_02_100,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_100,True,,31,31,1.0,,,,1,surprise,,13,idle,3,,etc
d_ex_shopping_02_101,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_101,True,,31,31,1.0,,,,1,surprise,,13,idle,3,,etc
d_ex_shopping_02_102,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_102,True,,31,S_30,0.5,,,,1,surprise,,13,idle,3,,delight
d_ex_shopping_02_103,d_ex_shopping_02,Choice,,,Locale_SuddenStory:d_ex_shopping_02_103,False,,S_30,S_30,1.0,,d_ex_shopping_02_105,,1,surprise,,13,idle,3,,delight
d_ex_shopping_02_104,d_ex_shopping_02,Choice,,,Locale_SuddenStory:d_ex_shopping_02_104,False,,S_30,S_30,1.0,,d_ex_shopping_02_106,,1,surprise,,13,idle,3,,delight
d_ex_shopping_02_105,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_105,True,,S_30,S_30,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_106,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_106,True,,S_30,S_30,1.0,,d_ex_shopping_02_109,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_107,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_107,True,,S_30,S_30,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_108,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_108,True,,S_30,S_30,1.0,,d_ex_shopping_02_109,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_109,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_109,True,,S_30,S_30,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_110,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_110,True,,S_30,S_30,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_111,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_111,True,,S_30,S_300,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_112,d_ex_shopping_02,Self,,,Locale_SuddenStory:d_ex_shopping_02_112,False,,S_300,S_300,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_113,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_113,True,,S_300,S_300,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_114,d_ex_shopping_02,Self,,,Locale_SuddenStory:d_ex_shopping_02_114,False,,S_300,S_300,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_115,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_115,True,,S_300,3,0.5,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_116,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_116,True,,3,3,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_117,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_117,True,,3,3,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_118,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_118,True,,3,3,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_119,d_ex_shopping_02,Monologue,,,Locale_SuddenStory:d_ex_shopping_02_119,False,,3,S_300,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_120,d_ex_shopping_02,Speech,yan,yan,Locale_SuddenStory:d_ex_shopping_02_120,True,,S_300,S_300,1.0,,,,1,idle,,13,idle,3,,delight
d_ex_shopping_02_121,d_ex_shopping_02,Monologue,,,Locale_SuddenStory:d_ex_shopping_02_121,False,,black,black,1.0,,,,1,idle,,13,idle,3,,delight
