id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,characters/0/hide_char_id,set_filter_01,set_filter_02,fade
d_subquest_1393_e_46,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_46,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_47,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_47,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_48,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_48,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_49,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_49,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_50,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_50,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_51,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_51,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_52,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_52,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_53,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_53,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_54,d_subquest_1393_e,Self,Locale_SubScenario:d_subquest_1393_e_54,False,rapi,1,no,Grassland,10,10,1.0,,,,,,,,,white
d_subquest_1393_e_55,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_55,True,,1,no,,10,10,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_56,d_subquest_1393_e,Self,Locale_SubScenario:d_subquest_1393_e_56,False,,1,no,,10,10,1.0,,,,,,,,,
d_subquest_1393_e_57,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_57,False,,1,no,,10,10,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_58,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_58,True,,1,no,,10,10,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_59,d_subquest_1393_e,Self,Locale_SubScenario:d_subquest_1393_e_59,False,,1,no,,10,10,1.0,,,,,,,,,
d_subquest_1393_e_60,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_60,False,,1,idle,,10,5,1.0,,,,,,,,,
d_subquest_1393_e_61,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_61,False,,1,idle,,5,5,1.0,,,,sfx_scn_digshovel,Low_2,,,,
d_subquest_1393_e_62,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_62,False,,1,idle,,5,5,1.0,,,,,,,,,
d_subquest_1393_e_63,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_63,False,,1,idle,land_s,black,black,1.0,none,,,,,,,,
d_subquest_1393_e_64,d_subquest_1393_e,Self,Locale_SubScenario:d_subquest_1393_e_64,False,,1,idle,,5,5,1.0,bgm_story_weare,,,,,,,,
d_subquest_1393_e_65,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_65,False,,1,idle,,5,5,1.0,,,,,,,,,
d_subquest_1393_e_66,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_66,True,,1,delight,,10,100,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_67,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_67,True,,1,delight,,100,100,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_68,d_subquest_1393_e,Self,Locale_SubScenario:d_subquest_1393_e_68,False,,1,delight,,100,100,1.0,,,,,,,,,
d_subquest_1393_e_69,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_69,True,,1,delight,,100,100,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_70,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_70,True,,1,delight,,100,100,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_71,d_subquest_1393_e,Self,Locale_SubScenario:d_subquest_1393_e_71,False,,1,delight,,100,100,1.0,,,,,,,,,
d_subquest_1393_e_72,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_72,False,,1,delight,,black,black,1.0,,,,,,,,,
d_subquest_1393_e_73,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_73,True,,1,delight,,100,100,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_74,d_subquest_1393_e,Self,Locale_SubScenario:d_subquest_1393_e_74,False,,1,delight,,100,100,1.0,,,,,,,,,
d_subquest_1393_e_75,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_75,False,,1,delight,,black,black,1.0,,,,,,,,,
d_subquest_1393_e_76,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_76,False,,1,delight,,black,black,1.0,,,,sfx_scn_hammock,,,,,
d_subquest_1393_e_77,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_77,False,,1,delight,,black,black,1.0,,,,,,,,,
d_subquest_1393_e_78,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_78,True,,1,delight,,10,10,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_79,d_subquest_1393_e,Self,Locale_SubScenario:d_subquest_1393_e_79,False,,1,delight,,10,10,1.0,,,,,,,,,
d_subquest_1393_e_80,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_80,True,,1,idle,,10,10,1.0,,rapi,rapi,,Low_2,,,,
d_subquest_1393_e_81,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_81,False,,1,idle,,black,black,1.0,,,,,,,,,
d_subquest_1393_e_82,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_82,False,,1,idle,,black,black,1.0,,,,sfx_scn_swing,,,,,
d_subquest_1393_e_83,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_83,False,,1,idle,Sky_s,black,black,1.0,,,,,,,,,
d_subquest_1393_e_84,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_84,False,,1,idle,,5,6,1.0,,,,,,,,,white
d_subquest_1393_e_85,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_85,False,,1,idle,CountryVillage_d,6,6,1.0,,,,,,,Red,Vignetting,
d_subquest_1393_e_86,d_subquest_1393_e,Self,Locale_SubScenario:d_subquest_1393_e_86,False,,1,idle,land_s,6,5,1.0,,,,,,,,,black
d_subquest_1393_e_87,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_87,True,,1,worry,,10,10,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_88,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_88,False,,1,worry,,black,black,1.0,,,,,,,,,
d_subquest_1393_e_89,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_89,False,,1,worry,,black,black,1.0,,,,,,,,,
d_subquest_1393_e_90,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_90,True,,1,delight,,10,100,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_91,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_91,True,,1,delight,,100,100,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_92,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_92,True,,1,delight,,100,100,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_93,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_93,True,,1,delight,,100,100,1.0,none,rapi,rapi,,,,,,
d_subquest_1393_e_94,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_94,True,,1,delight,,black,black,1.0,,unknown,unknown,,,,,,
d_subquest_1393_e_95,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_95,False,,1,no,,100,10,0.7,bgm_story_weare,rapi,rapi,,Low_2,,,,
d_subquest_1393_e_96,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_96,False,,1,no,,black,black,1.0,,,,,,,,,
d_subquest_1393_e_97,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_97,True,,1,no,,10,10,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_98,d_subquest_1393_e,Self,Locale_SubScenario:d_subquest_1393_e_98,False,,1,no,,10,10,1.0,,,,,,,,,
d_subquest_1393_e_99,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_99,True,,1,think,,10,10,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_100,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_100,True,,1,think,,10,10,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_101,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_101,True,,1,think,,10,100,1.0,,rapi,rapi,,,,,,
