id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_library_05_29,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_29,True,,XS_130,XS_130,1.0,,,noah,noah,,1,surprise,,,13,good
d_ex_library_05_30,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_30,True,,XS_130,XS_130,1.0,,,noah,noah,,1,surprise,d_ex_library_05_35,,13,good
d_ex_library_05_31,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_31,True,,XS_130,XS_130,1.0,,,noah,noah,,1,surprise,,,13,good
d_ex_library_05_32,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_32,True,,XS_130,XS_130,1.0,,,noah,noah,,1,surprise,,,13,good
d_ex_library_05_33,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_33,True,,XS_130,XS_130,1.0,,,noah,noah,,1,surprise,,,13,good
d_ex_library_05_34,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_34,True,,XS_130,XS_130,1.0,,,noah,noah,,1,surprise,d_ex_library_05_35,,13,good
d_ex_library_05_35,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_35,False,,XS_130,XS_130,1.0,,,,,,1,surprise,,,13,good
d_ex_library_05_36,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_36,True,,XS_130,XS_130,1.0,,,noah,noah,,1,surprise,,,13,idle
d_ex_library_05_37,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_37,True,,XS_130,12,1.0,,,noah,noah,,1,surprise,,,13,idle
d_ex_library_05_38,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_38,True,,12,12,1.0,,,noah,noah,,1,surprise,,,13,idle
d_ex_library_05_39,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_39,False,,12,12,1.0,,,rei,naru1,,1,angry,,,13,idle
d_ex_library_05_40,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_40,False,,12,12,1.0,,,rei,naru2,,1,angry,,,13,idle
d_ex_library_05_41,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_41,False,,12,12,1.0,,,rei,naru3,,1,angry,,,13,idle
d_ex_library_05_42,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_42,True,,12,12,1.0,,,rei,rei,,1,angry,,,13,idle
d_ex_library_05_43,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_43,True,,12,12,1.0,,,rei,rei,,1,angry,,,13,idle
d_ex_library_05_44,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_44,True,,12,12,1.0,,,noah,noah,,1,angry,,,13,good
d_ex_library_05_45,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_45,True,,12,12,1.0,,,noah,noah,,1,angry,,,13,good
d_ex_library_05_46,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_46,True,,12,12,1.0,,,rei,rei,,1,angry,,,13,good
d_ex_library_05_47,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_47,True,,12,XS_10,1.0,,,rei,rei,,1,cry,,,13,good
d_ex_library_05_48,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_48,True,,XS_10,XS_10,1.0,,,rei,rei,,1,cry,,,13,good
d_ex_library_05_49,d_ex_library_05,Choice,Locale_SuddenStory:d_ex_library_05_49,False,,XS_10,XS_10,1.0,,,,,,1,cry,d_ex_library_05_51,,13,good
d_ex_library_05_50,d_ex_library_05,Choice,Locale_SuddenStory:d_ex_library_05_50,False,,XS_10,XS_10,1.0,,,,,,1,cry,d_ex_library_05_51,,13,good
d_ex_library_05_51,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_51,True,,XS_10,XS_10,1.0,,,rei,rei,,1,cry,,,13,good
d_ex_library_05_52,d_ex_library_05,Monologue,Locale_SuddenStory:d_ex_library_05_52,False,,XS_10,XS_10,1.0,,,,,,1,cry,,,13,good
d_ex_library_05_53,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_53,True,,XS_130,XS_130,1.0,,,noah,noah,,1,cry,,,13,idle
d_ex_library_05_54,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_54,True,,XS_130,XS_130,1.0,,,noah,noah,,1,cry,,,13,"expression_0,idle"
d_ex_library_05_55,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_55,True,,XS_10,XS_100,1.0,,,rei,rei,,1,angry,,,13,idle
d_ex_library_05_56,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_56,False,,12,12,1.0,,,,,,1,angry,,,13,idle
d_ex_library_05_57,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_57,True,,12,12,1.0,,,noah,noah,,1,angry,,,13,good
d_ex_library_05_58,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_58,True,,12,12,1.0,,,noah,noah,,1,angry,,,13,good
d_ex_library_05_59,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_59,True,,12,12,1.0,,,noah,noah,,1,angry,,,13,good
d_ex_library_05_60,d_ex_library_05,Choice,Locale_SuddenStory:d_ex_library_05_60,False,,12,12,1.0,,,,,,1,angry,d_ex_library_05_62,,13,good
d_ex_library_05_61,d_ex_library_05,Choice,Locale_SuddenStory:d_ex_library_05_61,False,,12,12,1.0,,,,,,1,angry,d_ex_library_05_62,,13,good
d_ex_library_05_62,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_62,True,,12,12,1.0,,,rei,rei,,1,no,,,13,good
d_ex_library_05_63,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_63,True,,12,12,1.0,,,noah,noah,,1,no,,,13,"expression_0,idle"
d_ex_library_05_64,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_64,True,,12,12,1.0,,,rei,rei,,1,angry,,,13,idle
d_ex_library_05_65,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_65,True,,12,12,1.0,,,noah,noah,,1,angry,,,13,idle
d_ex_library_05_66,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_66,True,,12,12,1.0,,,noah,noah,,1,angry,,,13,idle
d_ex_library_05_67,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_67,True,,12,12,1.0,,,rei,rei,,1,surprise,,,13,idle
d_ex_library_05_68,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_68,False,,12,12,1.0,,,rei,naru1,,1,surprise,,,13,idle
d_ex_library_05_69,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_69,True,,12,12,1.0,,,noah,noah,,1,surprise,,,13,good
d_ex_library_05_70,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_70,True,,12,12,1.0,,,rei,rei,,1,angry,,,13,good
d_ex_library_05_71,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_71,True,,12,XS_10,1.0,,,rei,rei,,1,angry,,,13,good
d_ex_library_05_72,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_72,True,,XS_10,XS_10,1.0,,,rei,rei,,1,angry,,,13,good
d_ex_library_05_73,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_73,False,,XS_10,XS_10,1.0,,,,,,1,angry,,,13,good
d_ex_library_05_74,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_74,True,,XS_10,XS_10,1.0,,,rei,rei,,1,angry,,,13,good
d_ex_library_05_75,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_75,False,,XS_10,XS_10,1.0,,,,,,1,angry,,,13,good
d_ex_library_05_76,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_76,False,,XS_10,XS_10,1.0,,,rei,rei,,1,surprise,,,13,good
d_ex_library_05_77,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_77,True,,XS_10,XS_10,1.0,,,rei,rei,,1,idle,,,13,good
d_ex_library_05_78,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_78,False,,XS_10,12,1.0,,,,,,1,idle,,,13,good
d_ex_library_05_79,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_79,False,,12,12,1.0,,,,,,1,idle,,,13,good
d_ex_library_05_80,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_80,False,,12,12,1.0,,,,,,1,idle,,,13,good
d_ex_library_05_81,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_81,True,,12,12,1.0,,,noah,noah,,1,idle,,,13,good
d_ex_library_05_82,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_82,True,,12,12,1.0,,,noah,noah,,1,idle,,,13,good
d_ex_library_05_83,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_83,True,,12,12,1.0,,,rei,rei,,1,angry,,,13,good
d_ex_library_05_84,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_84,False,,12,12,1.0,,,,,,1,angry,,,13,good
d_ex_library_05_85,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_85,False,,12,12,1.0,,,,,,1,angry,,,13,good
d_ex_library_05_86,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_86,False,,XS_130,XS_130,1.0,,,noah,noah,,1,no,,,13,shy
d_ex_library_05_87,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_87,False,,XS_10,XS_10,1.0,,,rei,rei,,1,no,,,13,shy
d_ex_library_05_88,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_88,False,,12,12,1.0,,,,,,1,no,,,13,shy
d_ex_library_05_89,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_89,True,,12,12,1.0,,,rei,rei,,1,angry,,,13,shy
d_ex_library_05_90,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_90,True,,12,12,1.0,,,noah,noah,,1,angry,,,13,pain
d_ex_library_05_91,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_91,False,,12,12,1.0,,,,,,1,angry,,,13,pain
d_ex_library_05_92,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_92,False,,12,12,1.0,,,,,,1,angry,,,13,pain
d_ex_library_05_93,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_93,False,,XS_130,XS_130,1.0,,,noah,noah,,1,no,,,13,shy
d_ex_library_05_94,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_94,False,,XS_10,XS_10,1.0,,,rei,rei,,1,no,,,13,shy
d_ex_library_05_95,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_95,False,,12,12,1.0,,,,,,1,no,,,13,shy
d_ex_library_05_96,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_96,False,,12,12,1.0,,,,,,1,no,,,13,shy
d_ex_library_05_97,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_97,True,,12,12,1.0,,,noah,noah,,1,no,,,13,idle
d_ex_library_05_98,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_98,True,,12,12,1.0,,,noah,noah,,1,no,,,13,idle
d_ex_library_05_99,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_99,True,,12,12,1.0,,,rei,rei,,1,angry,,,13,idle
d_ex_library_05_100,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_100,False,,12,12,1.0,,,,,,1,angry,,,13,idle
d_ex_library_05_101,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_101,False,,12,12,1.0,,,,,,1,angry,,,13,idle
d_ex_library_05_102,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_102,False,,12,12,1.0,,,,,,1,angry,,,13,idle
d_ex_library_05_103,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_103,False,,XS_10,XS_10,1.0,,,rei,rei,,1,no,,,13,shy
d_ex_library_05_104,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_104,False,,XS_130,XS_130,1.0,,,noah,noah,,1,no,,,13,shy
d_ex_library_05_105,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_105,False,,12,12,1.0,,,,,,1,no,,,13,shy
d_ex_library_05_106,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_106,False,,12,12,1.0,,,rei,rei,,1,no,,,13,shy
d_ex_library_05_107,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_107,False,,12,12,1.0,,,noah,noah,,1,no,,,13,shy
d_ex_library_05_108,d_ex_library_05,Monologue,Locale_SuddenStory:d_ex_library_05_108,False,,black,black,1.0,,,,,,1,no,,,13,shy
