id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_redash_05_1_12,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_12,True,,4,4,1.0,,liliweiss,,,,5,idle,,3,no,
d_ex_redash_05_1_13,d_ex_redash_05_1,Speech,commander,Locale_SuddenStory:d_ex_redash_05_1_13,True,,4,4,1.0,,commander,,,,5,idle,,3,idle,
d_ex_redash_05_1_14,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_14,True,,4,4,1.0,,liliweiss,,,,5,think,,3,idle,
d_ex_redash_05_1_15,d_ex_redash_05_1,Speech,commander,Locale_SuddenStory:d_ex_redash_05_1_15,True,,4,4,1.0,,commander,,,,5,think,,3,idle,
d_ex_redash_05_1_16,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_16,True,,4,4,1.0,,liliweiss,,,,5,idle,,3,idle,
d_ex_redash_05_1_17,d_ex_redash_05_1,Speech,commander,Locale_SuddenStory:d_ex_redash_05_1_17,True,,4,4,1.0,,commander,,,,5,idle,,3,idle,
d_ex_redash_05_1_18,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_18,True,,4,4,1.0,,liliweiss,,,,5,idle,,3,idle,
d_ex_redash_05_1_19,d_ex_redash_05_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_05_1_19,False,Grassland,1,1,1.0,none,,black,,,5,idle,,3,idle,commander
d_ex_redash_05_1_20,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_20,False,,1,1,0.8,event_bgm_redash_freesia,liliweiss,,,,1,idle,,,,
d_ex_redash_05_1_21,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_21,True,,1,1,1.0,,liliweiss,,,,1,idle,,,,
d_ex_redash_05_1_22,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_22,True,,1,1,1.0,,liliweiss,,,,1,idle,,,,
d_ex_redash_05_1_23,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_23,True,,1,1,1.0,,liliweiss,,,,1,idle,,,,
d_ex_redash_05_1_24,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_24,True,,1,10,1.0,,liliweiss,,,,1,idle,,,,
d_ex_redash_05_1_25,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_25,True,,10,10,1.0,,liliweiss,,,,1,think,,,,
d_ex_redash_05_1_26,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_26,True,,10,10,1.0,,liliweiss,,,,1,idle,,,,
d_ex_redash_05_1_27,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_27,True,,10,10,1.0,,liliweiss,,,,1,delight,,,,
d_ex_redash_05_1_28,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_28,True,,10,10,1.0,,liliweiss,,,,1,think,,,,
d_ex_redash_05_1_29,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_29,True,,10,100,0.8,,liliweiss,,,,1,think,,,,
d_ex_redash_05_1_30,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_30,True,,100,100,1.0,,liliweiss,,,,1,think,,,,
d_ex_redash_05_1_31,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_31,True,,100,100,1.0,,liliweiss,,,,1,think,,,,
d_ex_redash_05_1_32,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_32,False,,100,10,1.0,,liliweiss,,,,1,think,,,,
d_ex_redash_05_1_33,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_33,True,,10,10,1.0,,liliweiss,,,,1,think,,,,
d_ex_redash_05_1_34,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_34,True,,10,10,1.0,,liliweiss,,,,1,think,,,,
d_ex_redash_05_1_35,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_35,False,,10,10,1.0,,liliweiss,,,,1,think,,,,
d_ex_redash_05_1_36,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_36,True,,10,100,1.0,,liliweiss,,,,1,think,,,,
d_ex_redash_05_1_37,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_37,True,,100,100,1.0,,liliweiss,,,,1,think,,,,
d_ex_redash_05_1_38,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_38,True,,100,100,1.0,,liliweiss,,,,1,think,,,,
d_ex_redash_05_1_39,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_39,True,,100,100,1.0,,liliweiss,,,,1,think,,,,
d_ex_redash_05_1_40,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_40,True,,100,100,1.0,,liliweiss,,,,1,sad,,,,
d_ex_redash_05_1_41,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_41,False,,100,10,1.0,,liliweiss,,,,1,think,,,,
d_ex_redash_05_1_42,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_42,True,,10,10,1.0,,liliweiss,,,,1,sad,,,,
d_ex_redash_05_1_43,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_43,False,,10,1,1.0,,liliweiss,,,,1,think,,,,
d_ex_redash_05_1_44,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_44,True,,1,1,1.0,,liliweiss,,,,1,think,,,,
d_ex_redash_05_1_45,d_ex_redash_05_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_05_1_45,False,,black,black,1.0,,,,sfx_scn_windowclack,,1,idle,,,,
