id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,characters/0/hide_char_id,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_hotel_07_42,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_42,True,,3,30,1.0,,ludmilla_w,ludmilla_w,,3,smile,,,,,,,
d_ex_hotel_07_43,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_43,True,,30,30,1.0,,ludmilla_w,ludmilla_w,,3,smile,,,,,,,
d_ex_hotel_07_44,d_ex_hotel_07,Narration,Locale_SuddenStory:d_ex_hotel_07_44,False,,30,30,1.0,,,,,3,smile,sfx_scn_swallow,,,,,,
d_ex_hotel_07_45,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_45,True,,30,30,1.0,,ludmilla_w,ludmilla_w,,3,smile,,,,,,,
d_ex_hotel_07_46,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_46,True,,30,30,1.0,,ludmilla_w,ludmilla_w,,3,smile,,,,,,,
d_ex_hotel_07_47,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_47,True,,30,30,1.0,,ludmilla_w,ludmilla_w,,3,delight,,,,,,,
d_ex_hotel_07_48,d_ex_hotel_07,Monologue,Locale_SuddenStory:d_ex_hotel_07_48,False,,black,black,1.0,,,,,3,delight,,,,,,,
d_ex_hotel_07_49,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_49,True,,30,30,1.0,,ludmilla_w,ludmilla_w,,3,idle,,,,,,,
d_ex_hotel_07_50,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_50,True,,30,30,1.0,,ludmilla_w,ludmilla_w,,3,idle,,,,,,,
d_ex_hotel_07_51,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_51,True,,30,30,1.0,,ludmilla_w,ludmilla_w,,3,idle,,,,,,,
d_ex_hotel_07_52,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_52,True,,30,30,1.0,,ludmilla_w,ludmilla_w,,3,idle,,,,,,,
d_ex_hotel_07_53,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_53,True,,30,30,1.0,,ludmilla_w,ludmilla_w,,3,idle,,,,,,,
d_ex_hotel_07_54,d_ex_hotel_07,Self,Locale_SuddenStory:d_ex_hotel_07_54,False,,30,30,1.0,,,,,3,idle,,,,,,,
d_ex_hotel_07_55,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_55,True,,30,3,1.0,,ludmilla_w,ludmilla_w,,3,smile,,,,,,,
d_ex_hotel_07_56,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_56,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,smile,,,,,,,
d_ex_hotel_07_57,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_57,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,smile,,,,,,,
d_ex_hotel_07_58,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_58,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,smile,,,,,,,
d_ex_hotel_07_59,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_59,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,smile,,,,,,,
d_ex_hotel_07_60,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_60,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,idle,,,,,,,
d_ex_hotel_07_61,d_ex_hotel_07,Self,Locale_SuddenStory:d_ex_hotel_07_61,False,,3,3,1.0,,,,,3,idle,,,,,,,
d_ex_hotel_07_62,d_ex_hotel_07,Self,Locale_SuddenStory:d_ex_hotel_07_62,False,,3,3,1.0,,,,,3,idle,,,,,,,
d_ex_hotel_07_63,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_63,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,think,,,,,,,
d_ex_hotel_07_64,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_64,True,,3,30,1.0,,ludmilla_w,ludmilla_w,,3,think,,,,,,,
d_ex_hotel_07_65,d_ex_hotel_07,Monologue,Locale_SuddenStory:d_ex_hotel_07_65,False,,30,30,1.0,,,,,3,think,,,,,,,
d_ex_hotel_07_66,d_ex_hotel_07,Self,Locale_SuddenStory:d_ex_hotel_07_66,False,,30,30,1.0,,,,,3,think,,,,,,,
d_ex_hotel_07_67,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_67,True,,30,30,1.0,,ludmilla_w,ludmilla_w,,3,idle,,,,,,,
d_ex_hotel_07_68,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_68,True,,30,30,1.0,,ludmilla_w,ludmilla_w,,3,idle,,,,,,,
d_ex_hotel_07_69,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_69,True,,30,30,1.0,,ludmilla_w,ludmilla_w,,3,idle,,,,,,,
d_ex_hotel_07_70,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_70,True,,30,30,1.0,,ludmilla_w,ludmilla_w,,3,idle,,,,,,,
d_ex_hotel_07_71,d_ex_hotel_07,Self,Locale_SuddenStory:d_ex_hotel_07_71,False,,30,30,1.0,,,,,3,idle,,,,,,,
d_ex_hotel_07_72,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_72,True,,30,3,1.0,,ludmilla_w,ludmilla_w,,3,smile,,,,,,,
d_ex_hotel_07_73,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_73,True,,3,3,1.0,,ludmilla_w,ludmilla_w,,3,smile,,,,,,,
d_ex_hotel_07_74,d_ex_hotel_07,Monologue,Locale_SuddenStory:d_ex_hotel_07_74,False,,3,3,1.0,,,,,3,smile,,ludmilla_w,,,,,
d_ex_hotel_07_75,d_ex_hotel_07,Monologue,Locale_SuddenStory:d_ex_hotel_07_75,False,,3,30,0.3,,,,,,,,,,,,,
d_ex_hotel_07_76,d_ex_hotel_07,Monologue,Locale_SuddenStory:d_ex_hotel_07_76,False,,black,black,1.0,,,,,,,,,,,,,
d_ex_hotel_07_77,d_ex_hotel_07,Narration,Locale_SuddenStory:d_ex_hotel_07_77,False,,black,black,1.0,none,,,,,,,,black,,,,
d_ex_hotel_07_78,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_78,False,,1,1,1.0,,d,d,,,,,,,d,1,think,
d_ex_hotel_07_79,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_79,True,,1,1,1.0,,d,d,,,,,,,,1,think,
d_ex_hotel_07_80,d_ex_hotel_07,Speech,Locale_SuddenStory:d_ex_hotel_07_80,False,,1,1,1.0,,d,d,,,,,,,,1,idle,
d_ex_hotel_07_81,d_ex_hotel_07,Narration,Locale_SuddenStory:d_ex_hotel_07_81,False,,1,10,1.0,,,,,,,sfx_scn_rustle,,,,1,idle,d
d_ex_hotel_07_82,d_ex_hotel_07,Narration,Locale_SuddenStory:d_ex_hotel_07_82,False,,black,black,1.0,,,,,,,,,,,,,
