id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,speaker
d_ex_cafe_10_51,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_51,True,,30,30,1.0,,,1,shy3,,13,idle,,3,think,frima
d_ex_cafe_10_52,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_52,True,,S_130,S_130,1.0,,,1,shy3,,13,idle,,3,think,sugar
d_ex_cafe_10_53,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_53,True,,S_130,S_130,1.0,,,1,shy3,,13,idle,,3,think,sugar
d_ex_cafe_10_54,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_54,True,,S_130,S_130,1.0,,,1,shy3,,13,idle,,3,think,sugar
d_ex_cafe_10_55,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_55,True,,S_130,12,1.0,,,1,angry1,,13,idle,,3,think,milk_b
d_ex_cafe_10_56,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_56,True,,12,12,1.0,,,1,angry1,,13,idle,,3,think,sugar
d_ex_cafe_10_57,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_57,True,,12,12,1.0,,,1,angry1,,13,idle,,3,think,milk_b
d_ex_cafe_10_58,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_58,True,,12,2,1.0,,,1,angry1,,13,idle,,3,think,frima
d_ex_cafe_10_59,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_59,True,,2,2,1.0,,,1,angry1,,13,idle,,3,think,frima
d_ex_cafe_10_60,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_60,True,,2,12,1.0,,,1,angry1,,13,idle,,3,think,sugar
d_ex_cafe_10_61,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_61,True,,12,12,1.0,,,1,no,,13,idle,,3,think,milk_b
d_ex_cafe_10_62,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_62,True,,12,12,1.0,,,1,no,,13,idle,,3,think,sugar
d_ex_cafe_10_63,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_63,True,,12,12,1.0,,,1,no,,13,idle,,3,think,sugar
d_ex_cafe_10_64,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_64,True,,12,10,0.5,,,1,surprise2,,13,idle,,3,think,milk_b
d_ex_cafe_10_65,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_65,True,,10,10,1.0,,,1,surprise2,,13,idle,,3,think,milk_b
d_ex_cafe_10_66,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_66,True,,10,S_130,1.0,,,1,surprise2,,13,idle,,3,think,sugar
d_ex_cafe_10_67,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_67,True,,S_130,S_130,1.0,,,1,surprise2,,13,idle,,3,think,sugar
d_ex_cafe_10_68,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_68,True,,30,30,1.0,,,1,surprise2,,13,idle,,3,idle,frima
d_ex_cafe_10_69,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_69,True,,30,30,1.0,,,1,surprise2,,13,idle,,3,idle,frima
d_ex_cafe_10_70,d_ex_cafe_10,Self,frima,Locale_SuddenStory:d_ex_cafe_10_70,False,,30,30,1.0,,,1,surprise2,,13,idle,,3,idle,
d_ex_cafe_10_71,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_71,True,,30,10,1.0,,,1,shy,,13,idle,,3,idle,milk_b
d_ex_cafe_10_72,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_72,True,,10,12,1.0,,,1,shy,,13,idle,,3,idle,sugar
d_ex_cafe_10_73,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_73,True,,12,12,1.0,,,1,shy,,13,idle,,3,idle,sugar
d_ex_cafe_10_74,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_74,True,,12,S_130,0.7,,,1,shy,,13,delight,,3,idle,sugar
d_ex_cafe_10_75,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_75,True,,10,10,1.0,,,1,angry2,,13,delight,,3,idle,milk_b
d_ex_cafe_10_76,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_76,True,,30,30,1.0,,,1,angry2,,13,delight,,3,think,frima
d_ex_cafe_10_77,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_77,True,,S_130,S_130,1.0,,,1,angry2,,13,idle,,3,think,sugar
d_ex_cafe_10_78,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_78,True,,S_130,12,1.0,,,1,angry2,,13,idle,,3,think,sugar
d_ex_cafe_10_79,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_79,True,,12,12,1.0,,,1,no,,13,idle,,3,think,milk_b
d_ex_cafe_10_80,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_80,True,,12,12,1.0,,,1,no,,13,idle,,3,think,sugar
d_ex_cafe_10_81,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_81,True,,12,2,1.0,,,1,no,,13,idle,,3,surprise,frima
d_ex_cafe_10_82,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_82,True,,2,2,1.0,,,1,no,,13,idle,,3,surprise,frima
d_ex_cafe_10_83,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_83,True,,2,2,1.0,,,1,no,,13,idle,,3,surprise,frima
d_ex_cafe_10_84,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_84,True,,2,2,1.0,,,1,good,,13,idle,,3,surprise,milk_b
d_ex_cafe_10_85,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_85,True,,2,2,1.0,,,1,good,,13,idle,,3,surprise,milk_b
d_ex_cafe_10_86,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_86,True,,2,2,1.0,,,1,good,,13,idle,,3,surprise,milk_b
d_ex_cafe_10_87,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_87,True,,2,12,1.0,,,1,good,,13,idle,,3,surprise,sugar
d_ex_cafe_10_88,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_88,True,,12,12,1.0,,,1,good,,13,idle,,3,surprise,sugar
d_ex_cafe_10_89,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_89,True,,12,12,1.0,,,1,good,,13,idle,,3,surprise,sugar
d_ex_cafe_10_90,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_90,True,,12,12,1.0,,,1,good,,13,idle,,3,surprise,sugar
d_ex_cafe_10_91,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_91,True,,12,10,0.7,,,1,surprise2,,13,idle,,3,surprise,milk_b
d_ex_cafe_10_92,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_92,True,,30,30,1.0,,,1,surprise2,,13,idle,,3,idle,frima
d_ex_cafe_10_93,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_93,True,,30,10,1.0,,,1,surprise2,,13,idle,,3,idle,milk_b
d_ex_cafe_10_94,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_94,True,,10,S_130,1.0,,,1,surprise2,,13,idle,,3,idle,sugar
d_ex_cafe_10_95,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_95,True,,S_130,S_130,1.0,,,1,surprise2,,13,idle,,3,idle,sugar
d_ex_cafe_10_96,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_96,True,,30,30,1.0,,,1,surprise2,,13,idle,,3,delight,frima
d_ex_cafe_10_97,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_97,True,,30,10,1.2,,,1,no,,13,idle,,3,delight,milk_b
d_ex_cafe_10_98,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_98,True,,10,10,1.0,,,1,no,,13,idle,,3,delight,milk_b
d_ex_cafe_10_99,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_99,True,,10,10,1.0,,,1,no,,13,idle,,3,delight,milk_b
d_ex_cafe_10_100,d_ex_cafe_10,Self,milk_b,Locale_SuddenStory:d_ex_cafe_10_100,False,,10,10,1.0,,,1,no,,13,idle,,3,delight,
d_ex_cafe_10_101,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_101,True,,10,10,1.0,,,1,idle,,13,idle,,3,idle,milk_b
d_ex_cafe_10_102,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_102,True,,10,10,1.0,,,1,idle,,13,idle,,3,idle,milk_b
d_ex_cafe_10_103,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_103,True,,10,10,1.0,,,1,idle,,13,idle,,3,idle,milk_b
d_ex_cafe_10_104,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_104,True,,10,100,0.8,,,1,angry1,,13,idle,,3,idle,milk_b
d_ex_cafe_10_105,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_105,True,,S_1300,S_1300,1.0,,,1,angry1,,13,idle,,3,idle,sugar
d_ex_cafe_10_106,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_106,True,,300,300,1.0,,,1,angry1,,13,idle,,3,think,frima
d_ex_cafe_10_107,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_107,True,,100,100,1.0,,,1,angry2,,13,idle,,3,think,milk_b
d_ex_cafe_10_108,d_ex_cafe_10,Monologue,milk_b,Locale_SuddenStory:d_ex_cafe_10_108,False,,black,black,1.0,,,1,angry2,,13,idle,,3,think,
d_ex_cafe_10_109,d_ex_cafe_10,Monologue,milk_b,Locale_SuddenStory:d_ex_cafe_10_109,False,,black,black,1.0,,,1,angry2,,13,idle,,3,think,
