id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_13_03_29,d_main_13_03,Speech,shifty,shifty,Locale_MainScenario:d_main_13_03_29,True,Desert_01,10,1,0.5,,,,black,,,3,idle,modenia_v,,1,idle,eunhwa,,13,idle,emma,,15,idle,vesti,shifty,OP_center,angry,
d_main_13_03_30,d_main_13_03,Speech,shifty,shifty,Locale_MainScenario:d_main_13_03_30,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,OP_center,angry,
d_main_13_03_31,d_main_13_03,Speech,shifty,shifty,Locale_MainScenario:d_main_13_03_31,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,OP_center,angry,
d_main_13_03_32,d_main_13_03,Speech,shifty,shifty,Locale_MainScenario:d_main_13_03_32,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,OP_center,angry,
d_main_13_03_33,d_main_13_03,Speech,shifty,shifty,Locale_MainScenario:d_main_13_03_33,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,OP_center,angry,
d_main_13_03_34,d_main_13_03,Speech,shifty,shifty,Locale_MainScenario:d_main_13_03_34,True,,1,10,0.5,,,,,,anis,3,idle,,rapi,1,idle,,neon,13,idle,,,,,,,OP_leftup,angry,
d_main_13_03_35,d_main_13_03,Speech,shifty,shifty,Locale_MainScenario:d_main_13_03_35,True,,10,12,1.0,,,,,,,3,idle,,,1,idle,,,13,idle,,,,,,,OP_leftup,angry,
d_main_13_03_36,d_main_13_03,Speech,shifty,shifty,Locale_MainScenario:d_main_13_03_36,True,,12,2,1.0,,,,,,,3,idle,,,1,idle,,,13,idle,,,,,,,OP_leftup,angry,
d_main_13_03_37,d_main_13_03,Speech,anis,anis,Locale_MainScenario:d_main_13_03_37,True,,2,30,1.0,,,,,,,3,delight,,,1,idle,,,13,idle,,,,,,,OP_leftup,angry,shifty
d_main_13_03_38,d_main_13_03,Speech,neon,neon,Locale_MainScenario:d_main_13_03_38,True,,30,S_130,1.0,,,,,,,3,idle,,,1,idle,,,13,no,,,,,,,,,
d_main_13_03_39,d_main_13_03,Speech,rapi,rapi,Locale_MainScenario:d_main_13_03_39,True,,S_130,10,1.0,,,,,,,3,idle,,,1,idle,,,13,no,,,,,,,,,
d_main_13_03_40,d_main_13_03,Choice,rapi,,Locale_MainScenario:d_main_13_03_40,True,,10,10,1.0,,,,,d_main_13_03_42,,3,idle,,,1,idle,,,13,no,,,,,,,,,
d_main_13_03_41,d_main_13_03,Choice,rapi,,Locale_MainScenario:d_main_13_03_41,True,,10,10,1.0,,,,,d_main_13_03_42,,3,idle,,,1,idle,,,13,no,,,,,,,,,
d_main_13_03_42,d_main_13_03,Speech,anis,anis,Locale_MainScenario:d_main_13_03_42,True,,10,2,1.0,,,,,,,3,delight,,,1,idle,,,13,idle,,,,,,,,,
d_main_13_03_43,d_main_13_03,Speech,neon,neon,Locale_MainScenario:d_main_13_03_43,True,,2,12,1.0,,,,,,,3,idle,,,1,idle,,,13,delight,,,,,,,,,
d_main_13_03_44,d_main_13_03,Speech,rapi,rapi,Locale_MainScenario:d_main_13_03_44,True,,12,10,1.0,,,,,,,3,idle,,,1,idle,,,13,delight,,,,,,,,,
