id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake
d_ex_powerplant_01_26,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_26,True,,2,2,1.0,,ludmilla,ludmilla,,1,angry,,3,idle,
d_ex_powerplant_01_27,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_27,True,,2,2,1.0,,maxwell,maxwell,,1,angry,,3,idle,
d_ex_powerplant_01_28,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_28,True,,2,2,1.0,,ludmilla,ludmilla,,1,angry,,3,think,
d_ex_powerplant_01_29,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_29,True,,2,2,1.0,,maxwell,maxwell,,1,angry,,3,think,
d_ex_powerplant_01_30,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_30,True,,2,30,1.0,,ludmilla,ludmilla,,1,angry,,3,think,
d_ex_powerplant_01_31,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_31,True,,30,30,1.0,,ludmilla,ludmilla,,1,angry,,3,think,
d_ex_powerplant_01_32,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_32,True,,30,300,1.0,,ludmilla,ludmilla,,1,angry,,3,think,
d_ex_powerplant_01_33,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_33,False,,100,100,1.0,,maxwell,maxwell,,1,idle,,3,think,
d_ex_powerplant_01_34,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_34,True,,100,10,1.0,,maxwell,maxwell,,1,idle,,3,think,
d_ex_powerplant_01_35,d_ex_powerplant_01,Monologue,Locale_SuddenStory:d_ex_powerplant_01_35,True,,300,30,1.0,,,,,1,idle,,3,think,
d_ex_powerplant_01_36,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_36,True,,30,30,1.0,,ludmilla,ludmilla,,1,idle,,3,idle,
d_ex_powerplant_01_37,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_37,True,,30,2,1.0,,maxwell,maxwell,,1,idle,,3,idle,
d_ex_powerplant_01_38,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_38,True,,2,2,1.0,,maxwell,maxwell,,1,idle,,3,idle,
d_ex_powerplant_01_39,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_39,True,,2,2,1.0,,maxwell,maxwell,,1,idle,,3,idle,
d_ex_powerplant_01_40,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_40,True,,2,2,1.0,,ludmilla,ludmilla,,1,idle,,3,idle,
d_ex_powerplant_01_41,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_41,True,,2,2,1.0,,maxwell,maxwell,,1,idle,,3,idle,
d_ex_powerplant_01_42,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_42,False,,2,2,1.0,,ludmilla,ludmilla,,1,idle,,3,idle,
d_ex_powerplant_01_43,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_43,True,,2,2,1.0,,ludmilla,ludmilla,,1,idle,,3,idle,
d_ex_powerplant_01_44,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_44,True,,2,10,1.0,,maxwell,maxwell,,1,idle,,3,idle,
d_ex_powerplant_01_45,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_45,True,,10,100,1.0,,maxwell,maxwell,,1,idle,,3,idle,
d_ex_powerplant_01_46,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_46,True,,100,100,1.0,,maxwell,maxwell,,1,idle,,3,idle,
d_ex_powerplant_01_47,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_47,True,,100,100,1.0,,maxwell,maxwell,,1,idle,,3,idle,
d_ex_powerplant_01_48,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_48,True,,30,30,1.0,,ludmilla,ludmilla,,1,idle,,3,idle,
d_ex_powerplant_01_49,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_49,True,,30,30,1.0,,ludmilla,ludmilla,,1,idle,,3,idle,
d_ex_powerplant_01_50,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_50,True,,100,10,1.0,,maxwell,maxwell,,1,idle,,3,idle,
d_ex_powerplant_01_51,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_51,True,,10,2,1.0,,ludmilla,ludmilla,,1,idle,,3,idle,
d_ex_powerplant_01_52,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_52,True,,2,2,1.0,,ludmilla,ludmilla,,1,idle,,3,idle,
d_ex_powerplant_01_53,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_53,True,,2,2,1.0,,ludmilla,ludmilla,,1,idle,,3,idle,
d_ex_powerplant_01_54,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_54,True,,2,2,1.0,,maxwell,maxwell,,1,idle,,3,idle,
d_ex_powerplant_01_55,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_55,True,,2,2,1.0,,maxwell,maxwell,,1,idle,,3,idle,
d_ex_powerplant_01_56,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_56,True,,2,100,1.0,,maxwell,maxwell,,1,idle,,3,idle,
d_ex_powerplant_01_57,d_ex_powerplant_01,Self,Locale_SuddenStory:d_ex_powerplant_01_57,False,,100,100,1.0,,,,,1,idle,,3,idle,
d_ex_powerplant_01_58,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_58,True,,100,10,1.0,,maxwell,maxwell,,1,idle,,3,idle,
d_ex_powerplant_01_59,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_59,True,,10,10,1.0,,maxwell,maxwell,,1,idle,,3,idle,
d_ex_powerplant_01_60,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_60,True,,10,10,1.0,,maxwell,maxwell,,1,idle,,3,idle,
d_ex_powerplant_01_61,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_61,True,,10,10,1.0,,maxwell,maxwell,,1,idle,,3,idle,
d_ex_powerplant_01_62,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_62,True,,10,30,1.0,,ludmilla,ludmilla,,1,idle,,3,idle,
d_ex_powerplant_01_63,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_63,True,,30,30,1.0,,ludmilla,ludmilla,,1,idle,,3,idle,
d_ex_powerplant_01_64,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_64,True,,30,30,1.0,,ludmilla,ludmilla,,1,idle,,3,idle,
d_ex_powerplant_01_65,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_65,True,,30,30,1.0,,ludmilla,ludmilla,,1,idle,,3,idle,
d_ex_powerplant_01_66,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_66,True,,2,2,1.0,,maxwell,maxwell,,1,idle,,3,idle,
