id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,set_filter_01,set_camera_shake
d_ex_command_06_25,d_ex_command_06,Self,Locale_SuddenStory:d_ex_command_06_25,False,,12,12,1.0,,,,,,1,surprise,,13,think,,,
d_ex_command_06_26,d_ex_command_06,Choice,Locale_SuddenStory:d_ex_command_06_26,False,,12,12,1.0,,,,,,1,surprise,,13,think,d_ex_command_06_28,,
d_ex_command_06_27,d_ex_command_06,Choice,Locale_SuddenStory:d_ex_command_06_27,False,,12,12,1.0,,,,,,1,surprise,,13,think,d_ex_command_06_32,,
d_ex_command_06_28,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_28,True,,12,12,1.0,,,blanc,blanc,,1,surprise,,13,think,,,
d_ex_command_06_29,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_29,True,,12,12,1.0,,,blanc,blanc,,1,surprise,,13,idle,,,
d_ex_command_06_30,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_30,True,,12,12,1.0,,,noir,noir,,1,idle,,13,idle,,,
d_ex_command_06_31,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_31,True,,12,12,1.0,,,noir,noir,,1,idle,,13,idle,d_ex_command_06_36,,
d_ex_command_06_32,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_32,True,,12,12,1.0,,,noir,noir,,1,surprise,,13,think,,,
d_ex_command_06_33,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_33,True,,12,12,1.0,,,noir,noir,,1,surprise,,13,think,,,
d_ex_command_06_34,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_34,True,,12,12,1.0,,,blanc,blanc,,1,surprise,,13,idle,,,
d_ex_command_06_35,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_35,True,,12,12,1.0,,,blanc,blanc,,1,surprise,,13,idle,d_ex_command_06_36,,
d_ex_command_06_36,d_ex_command_06,Self,Locale_SuddenStory:d_ex_command_06_36,False,,12,12,1.0,,,,,,1,idle,,13,idle,,,
d_ex_command_06_37,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_37,True,,12,12,1.0,,,blanc,blanc,,1,idle,,13,delight,,,
d_ex_command_06_38,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_38,True,,12,12,1.0,,,noir,noir,,1,surprise,,13,delight,,,
d_ex_command_06_39,d_ex_command_06,Self,Locale_SuddenStory:d_ex_command_06_39,False,,12,12,1.0,,,,,,1,surprise,,13,delight,,,
d_ex_command_06_40,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_40,False,,L_10,L_10,1.0,,,noir,noir,,1,surprise,,13,delight,,,
d_ex_command_06_41,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_41,True,,L_130,L_130,1.0,,,blanc,blanc,,1,surprise,,13,shy,,,
d_ex_command_06_42,d_ex_command_06,Self,Locale_SuddenStory:d_ex_command_06_42,False,,L_130,L_130,1.0,,,,,,1,surprise,,13,shy,,,
d_ex_command_06_43,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_43,True,,L_130,L_130,1.0,,,blanc,blanc,,1,surprise,,13,delight,,,
d_ex_command_06_44,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_44,True,,L_130,L_130,1.0,,,blanc,blanc,,1,surprise,,13,delight,,,
d_ex_command_06_45,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_45,True,,L_130,L_10,1.0,,,noir,noir,,1,idle,,13,idle,,,
d_ex_command_06_46,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_46,True,,L_10,L_10,1.0,,,noir,noir,,1,idle,,13,idle,,,
d_ex_command_06_47,d_ex_command_06,Self,Locale_SuddenStory:d_ex_command_06_47,False,,L_10,L_10,1.0,,,,,,1,idle,,13,idle,,,
d_ex_command_06_48,d_ex_command_06,Monologue,Locale_SuddenStory:d_ex_command_06_48,False,,L_10,12,1.0,,,,,,1,idle,,13,idle,,,
d_ex_command_06_49,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_49,True,,12,12,1.0,,,blanc,blanc,,1,delight,,13,idle,,,
d_ex_command_06_50,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_50,True,,12,12,1.0,,,noir,noir,,1,delight,,13,idle,,,
d_ex_command_06_51,d_ex_command_06,Self,Locale_SuddenStory:d_ex_command_06_51,False,,12,12,1.0,,,,,,1,delight,,13,idle,,,
d_ex_command_06_52,d_ex_command_06,Self,Locale_SuddenStory:d_ex_command_06_52,False,,12,12,1.0,,,,,,1,delight,,13,idle,,,
d_ex_command_06_53,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_53,True,,12,12,1.0,,,blanc,blanc,,1,delight,,13,delight,,,
d_ex_command_06_54,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_54,True,,12,12,1.0,,,blanc,blanc,,1,delight,,13,delight,,,
d_ex_command_06_55,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_55,True,,12,12,1.0,,,noir,noir,,1,idle,,13,delight,,,
d_ex_command_06_56,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_56,True,,12,12,1.0,,,blanc,blanc,,1,idle,,13,shy,,,
d_ex_command_06_57,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_57,True,,12,12,1.0,,,noir,noir,,1,idle,,13,shy,,,
d_ex_command_06_58,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_58,True,,12,12,1.0,,,noir,noir,,1,idle,,13,shy,,,
d_ex_command_06_59,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_59,True,,12,L_130,1.0,,,blanc,blanc,,1,idle,,13,no,,,
d_ex_command_06_60,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_60,True,,L_130,L_130,1.0,,,blanc,blanc,,1,idle,,13,no,,,
d_ex_command_06_61,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_61,True,,L_130,L_130,1.0,,,blanc,blanc,,1,idle,,13,idle,,,
d_ex_command_06_62,d_ex_command_06,Monologue,Locale_SuddenStory:d_ex_command_06_62,False,,black,black,1.0,,none,,,,1,idle,,13,idle,,,
d_ex_command_06_63,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_63,True,,L_130,L_1300,1.0,,bgm_story_fairytalesend_if,blanc,blanc,,1,idle,,13,idle,,Vignetting,
d_ex_command_06_64,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_64,True,,L_1300,L_1300,1.0,,,blanc,blanc,,1,idle,,13,shy,,Vignetting,
d_ex_command_06_65,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_65,True,,L_1300,L_100,1.0,,,noir,noir,,1,delight,,13,shy,,Vignetting,
d_ex_command_06_66,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_66,True,,L_100,S_10,1.7,,,blanc,blanc,,1,delight,,13,shy,,Vignetting,
d_ex_command_06_67,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_67,True,,S_10,S_10,1.0,,,noir,noir,,1,surprise,,13,shy,,Vignetting,
d_ex_command_06_68,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_68,True,,S_10,S_10,1.0,,,noir,noir,,1,surprise,,13,shy,,Vignetting,
d_ex_command_06_69,d_ex_command_06,Self,Locale_SuddenStory:d_ex_command_06_69,False,,S_10,S_10,1.0,,,,,,1,surprise,,13,shy,,Vignetting,
d_ex_command_06_70,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_70,True,,S_10,S_130,1.0,,,blanc,blanc,,1,surprise,,13,shy,,Vignetting,
d_ex_command_06_71,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_71,True,,S_130,S_130,1.0,,,blanc,blanc,,1,surprise,,13,shy,,Vignetting,
d_ex_command_06_72,d_ex_command_06,Self,Locale_SuddenStory:d_ex_command_06_72,False,,S_130,S_130,1.0,,,,,,1,surprise,,13,shy,,Vignetting,
d_ex_command_06_73,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_73,True,,S_130,L_130,1.0,,,blanc,blanc,,1,surprise,,13,shy,,Vignetting,
d_ex_command_06_74,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_74,True,,L_130,L_130,1.0,,,blanc,blanc,,1,surprise,,13,shy,,Vignetting,
d_ex_command_06_75,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_75,True,,L_130,L_1300,2.0,,,blanc,blanc,,1,surprise,,13,shy,,Vignetting,
d_ex_command_06_76,d_ex_command_06,Self,Locale_SuddenStory:d_ex_command_06_76,False,,L_1300,L_1300,1.0,,,,,,1,idle,,13,shy,,Vignetting,Low_2
d_ex_command_06_77,d_ex_command_06,Self,Locale_SuddenStory:d_ex_command_06_77,False,,L_1300,L_1300,1.0,,,,,,1,idle,,13,shy,,Vignetting,
d_ex_command_06_78,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_78,False,,L_1300,13,1.0,,,blanc,blanc,,1,idle,,13,delight,,Vignetting,
d_ex_command_06_79,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_79,True,,13,13,1.0,,,blanc,blanc,,1,idle,,13,delight,,Vignetting,
d_ex_command_06_80,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_80,True,,13,13,1.0,,,blanc,blanc,,1,idle,,13,delight,,Vignetting,
d_ex_command_06_81,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_81,True,,13,1,1.0,,,noir,noir,,1,idle,,13,delight,,Vignetting,
d_ex_command_06_82,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_82,True,,1,1,1.0,,,noir,noir,,1,idle,,13,delight,,Vignetting,
d_ex_command_06_83,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_83,True,,1,1,1.0,,,noir,noir,,1,idle,,13,delight,,Vignetting,
d_ex_command_06_84,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_84,True,,1,12,1.0,,,blanc,blanc,,1,delight,,13,shy,,Vignetting,
d_ex_command_06_85,d_ex_command_06,Speech,Locale_SuddenStory:d_ex_command_06_85,True,,12,12,1.0,,,noir,noir,,1,delight,,13,shy,,Vignetting,
