id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_shopping_04_47,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_47,True,,S_30,S_10,1.0,,,Low_2,,1,shy,,,3,surprise
d_ex_shopping_04_48,d_ex_shopping_04,Monologue,maiden,,Locale_SuddenStory:d_ex_shopping_04_48,True,,S_10,S_100,0.5,,,,,1,shy,,,3,surprise
d_ex_shopping_04_49,d_ex_shopping_04,Speech,maiden,maiden,Locale_SuddenStory:d_ex_shopping_04_49,True,,S_100,S_100,1.0,,,,,1,shy,,,3,surprise
d_ex_shopping_04_50,d_ex_shopping_04,Monologue,maiden,,Locale_SuddenStory:d_ex_shopping_04_50,True,,S_100,2,1.0,,,,,15,shy,maiden,,3,surprise
d_ex_shopping_04_51,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_51,True,,2,3,2.0,,,,,,,,,3,surprise
d_ex_shopping_04_52,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_52,True,,3,S_30,1.0,,,,,,,,,3,surprise
d_ex_shopping_04_53,d_ex_shopping_04,Self,volume,,Locale_SuddenStory:d_ex_shopping_04_53,True,,S_30,S_30,1.0,,,,,,,,,3,surprise
d_ex_shopping_04_54,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_54,True,,S_30,S_30,1.0,,,,,,,,,3,surprise
d_ex_shopping_04_55,d_ex_shopping_04,Speech,volume,volume,Locale_SuddenStory:d_ex_shopping_04_55,True,,S_30,S_30,1.0,,,,,,,,,3,angry
d_ex_shopping_04_56,d_ex_shopping_04,Self,volume,,Locale_SuddenStory:d_ex_shopping_04_56,False,,S_30,S_30,1.0,,,,,,,,,3,angry
