id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/hide_char_id,play_sound,set_camera_shake,set_filter_01
d_main_29_09_s_15,d_main_29_09_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_09_s_15,True,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,idle,,OP_leftup,worry,,OP_rightup,idle,,4,1,1.0,,,,,,,,,
d_main_29_09_s_16,d_main_29_09_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_09_s_16,True,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,idle,,OP_leftup,worry,,OP_rightup,idle,,1,1,1.0,,,,,,,,,
d_main_29_09_s_17,d_main_29_09_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_09_s_17,True,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,idle,,OP_leftup,worry,,OP_rightup,idle,,1,1,1.0,,,,,,,,,
d_main_29_09_s_18,d_main_29_09_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_09_s_18,True,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,idle,,OP_leftup,worry,,OP_rightup,idle,,1,1,1.0,,,,,,,,,
d_main_29_09_s_19,d_main_29_09_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_09_s_19,True,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,idle,,OP_leftup,worry,,OP_rightup,idle,,1,1,1.0,,,,,,,,,
d_main_29_09_s_20,d_main_29_09_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_s_20,True,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,idle,,OP_leftup,worry,,OP_rightup,idle,,1,14,1.0,,,,,,,,,
d_main_29_09_s_21,d_main_29_09_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_09_s_21,True,,7,idle,,5,void,,3,idle,,1,think,,13,idle,,15,surprise,,OP_leftup,worry,,OP_rightup,idle,,14,14,1.0,,,,,,,,,
d_main_29_09_s_22,d_main_29_09_s,Self,drilley,,Locale_MainScenario:d_main_29_09_s_22,False,,7,idle,,5,void,,3,idle,,1,think,,13,idle,,15,surprise,,OP_leftup,worry,,OP_rightup,idle,,14,14,1.0,,,,,shifty,trony_op_r,,,
d_main_29_09_s_23,d_main_29_09_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_09_s_23,True,,7,idle,,5,void,,3,idle,,1,think,,13,idle,,15,surprise,,,,,,,,70,70,1.0,,,,,,,,,
d_main_29_09_s_24,d_main_29_09_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_09_s_24,True,,7,idle,,5,void,,3,idle,,1,think,,13,idle,,15,surprise,,,,,,,,70,70,1.0,,,,,,,,,
d_main_29_09_s_25,d_main_29_09_s,Speech,neon,neon,Locale_MainScenario:d_main_29_09_s_25,True,,7,idle,,5,void,,3,surprise,,1,think,,13,idle,,15,surprise,,,,,,,,S_30,S_30,1.0,,,,,,,,,
d_main_29_09_s_26,d_main_29_09_s,Speech,neon,neon,Locale_MainScenario:d_main_29_09_s_26,True,,7,idle,,5,void,,3,surprise,,1,think,,13,idle,,15,surprise,,,,,,,,S_30,S_30,1.0,,,,,,,,,
d_main_29_09_s_27,d_main_29_09_s,Speech,neon,neon,Locale_MainScenario:d_main_29_09_s_27,True,,7,idle,,5,void,,3,surprise,,1,think,,13,idle,,15,surprise,,,,,,,,S_30,S_30,1.0,,,,,,,,,
d_main_29_09_s_28,d_main_29_09_s,Narration,neon,,Locale_MainScenario:d_main_29_09_s_28,False,,7,idle,,5,void,,3,surprise,,1,think,,13,idle,,15,surprise,,,,,,,,black,black,1.0,bgm_emergency,,,,,,sfx_scn_rapturecrystal,Low_2,
d_main_29_09_s_29,d_main_29_09_s,Monologue,neon,,Locale_MainScenario:d_main_29_09_s_29,False,,7,idle,,5,void,,3,surprise,,1,think,,13,idle,,15,surprise,,,,,,,,black,black,1.0,,,,,,,,,
d_main_29_09_s_30,d_main_29_09_s,Speech,anis,anis,Locale_MainScenario:d_main_29_09_s_30,True,,7,idle,,5,angry,,3,surprise,,1,think,,13,idle,,15,surprise,,,,,,,,S_30,4,1.0,,,,,,,,,
d_main_29_09_s_31,d_main_29_09_s,Speech,neon,neon,Locale_MainScenario:d_main_29_09_s_31,True,,7,idle,,5,angry,,3,worry,,1,think,,13,idle,,15,surprise,,,,,,,,4,4,1.0,,,,,,,,,
d_main_29_09_s_32,d_main_29_09_s,Monologue,neon,,Locale_MainScenario:d_main_29_09_s_32,False,,7,idle,,5,angry,,3,worry,,1,think,,13,idle,,15,surprise,,,,,,,,4,XXS_40,1.0,,,,,,,,,
d_main_29_09_s_33,d_main_29_09_s,Self,neon,,Locale_MainScenario:d_main_29_09_s_33,False,,7,idle,,5,angry,,3,worry,,1,think,,13,idle,,15,surprise,,,,,,,,XXS_40,XXS_40,1.0,,,,,,,,,
d_main_29_09_s_34,d_main_29_09_s,Self,neon,,Locale_MainScenario:d_main_29_09_s_34,False,,7,idle,,5,angry,,3,worry,,1,think,,13,idle,,15,surprise,,,,,,,,XXS_40,4,0.6,,,,,,,,,
d_main_29_09_s_35,d_main_29_09_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_09_s_35,True,,7,idle,,5,angry,,3,idle,,1,pain,,13,idle,,15,surprise,,,,,,,,4,S_10,1.0,,,,,,,,,
d_main_29_09_s_36,d_main_29_09_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_09_s_36,True,,7,idle,,5,angry,,3,idle,,1,pain,,13,idle,,15,surprise,,,,,,,,S_10,S_10,1.0,,,,,,,,,
d_main_29_09_s_37,d_main_29_09_s,Narration,elegg,,Locale_MainScenario:d_main_29_09_s_37,False,,7,idle,,5,angry,,3,idle,,1,pain,,13,idle,,15,surprise,,,,,,,,S_10,1,1.0,,,,,,,sfx_scn_raptureaim,Low_2,
d_main_29_09_s_38,d_main_29_09_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_09_s_38,True,,7,idle,,5,angry,,3,idle,,1,pain,,13,idle,,15,surprise,shifty,OP_leftup,angry,,,,,1,1,1.0,,,,,,,,,
d_main_29_09_s_39,d_main_29_09_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_09_s_39,True,,7,idle,,5,angry,,3,idle,,1,pain,,13,idle,,15,angry,,OP_leftup,angry,,,,,15,XS_150,0.6,,,,,shifty,,,,
d_main_29_09_s_40,d_main_29_09_s,Narration,drilley,,Locale_MainScenario:d_main_29_09_s_40,False,,7,idle,,5,angry,,3,idle,,1,pain,,13,idle,,15,angry,,,,,,,,XS_150,XS_150,1.0,,,,,,,sfx_scn_drillfire,Low_2,Red
d_main_29_09_s_41,d_main_29_09_s,Monologue,drilley,,Locale_MainScenario:d_main_29_09_s_41,False,,7,idle,,5,angry,,3,idle,,1,pain,,13,idle,,15,angry,,,,,,,,XS_150,XS_150,1.0,,,,,,,,,Red
d_main_29_09_s_42,d_main_29_09_s,Monologue,drilley,,Locale_MainScenario:d_main_29_09_s_42,False,,7,idle,,5,angry,,3,idle,,1,pain,,13,idle,,15,angry,,,,,,,,XS_150,XS_1500,0.6,,,,drilley,,,,,Red
d_main_29_09_s_43,d_main_29_09_s,Narration,drilley,,Locale_MainScenario:d_main_29_09_s_43,False,,7,idle,,5,angry,,3,idle,,1,pain,,13,idle,,,,,,,,,,,black,black,1.0,,,,,,,sfx_scn_drillrotation,,
d_main_29_09_s_44,d_main_29_09_s,Monologue,drilley,,Locale_MainScenario:d_main_29_09_s_44,False,,7,idle,,5,angry,,3,idle,,1,pain,,13,idle,,,,,,,,,,,black,black,1.0,,,,,,,,,
d_main_29_09_s_45,d_main_29_09_s,Monologue,drilley,,Locale_MainScenario:d_main_29_09_s_45,False,,7,idle,,5,angry,,3,idle,,1,pain,,13,idle,,,,,,,,,,,black,black,1.0,,,,,,,,,
d_main_29_09_s_46,d_main_29_09_s,Monologue,drilley,,Locale_MainScenario:d_main_29_09_s_46,False,,7,idle,,5,angry,,3,idle,,1,pain,,13,idle,,,,,,,,,,,black,black,1.0,,,,,,,sfx_scn_drillbooster,Low_2,
d_main_29_09_s_47,d_main_29_09_s,Monologue,drilley,,Locale_MainScenario:d_main_29_09_s_47,False,,7,idle,,5,angry,,3,idle,,1,pain,,13,idle,drilley,15,angry,,,,,,,,XS_1500,15,0.8,,,,,,,sfx_scn_hitwall,,
d_main_29_09_s_48,d_main_29_09_s,Monologue,drilley,,Locale_MainScenario:d_main_29_09_s_48,False,,7,idle,,5,angry,,3,idle,,1,pain,,13,idle,,15,angry,,,,,,,,15,15,1.0,,,,,,,,,
d_main_29_09_s_49,d_main_29_09_s,Speech,anis,anis,Locale_MainScenario:d_main_29_09_s_49,True,,7,idle,,5,angry,,3,no,,1,pain,,13,idle,,15,angry,,,,,,,,5,5,1.0,,,,,,,,,
d_main_29_09_s_50,d_main_29_09_s,Speech,anis,anis,Locale_MainScenario:d_main_29_09_s_50,True,,7,idle,,5,angry,,3,no,,1,pain,,13,idle,,15,angry,,,,,,,,5,50,0.7,,,,,,,,,
d_main_29_09_s_51,d_main_29_09_s,Speech,neon,neon,Locale_MainScenario:d_main_29_09_s_51,True,,7,idle,,5,angry,,3,no,,1,pain,,13,idle,,15,angry,,,,,,,,3,3,1.0,,,,,,,,,
d_main_29_09_s_52,d_main_29_09_s,Speech,neon,neon,Locale_MainScenario:d_main_29_09_s_52,True,,7,idle,,5,angry,,3,no,,1,pain,,13,idle,,15,angry,,,,,,,,3,S_30,0.7,,,,,,,,,
d_main_29_09_s_53,d_main_29_09_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_09_s_53,True,,7,idle,,5,angry,,3,no,,1,pain,,13,idle,,15,angry,,,,,,,,XS_150,XS_150,1.0,,,,,,,,,
d_main_29_09_s_54,d_main_29_09_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_09_s_54,True,,7,angry,,5,angry,,3,no,,1,pain,,13,idle,,15,angry,,,,,,,,70,70,1.0,,,,,,,,,
