id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound
d_ex_cafe_01_37,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_37,False,,S_30,S_300,0.5,,milk,milk,,1,idle,,3,surprise,,13,idle,
d_ex_cafe_01_38,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_38,False,,S_10,S_100,3.0,,sugar,sugar,,1,idle,,3,surprise,,13,idle,
d_ex_cafe_01_39,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_39,True,,S_30,S_30,1.0,,milk,milk,,1,idle,,3,angry,,13,idle,
d_ex_cafe_01_40,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_40,True,,S_30,S_300,1.0,,milk,milk,,1,idle,,3,angry,,13,idle,
d_ex_cafe_01_41,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_41,True,,S_300,S_300,1.0,,milk,milk,,1,idle,,3,angry,,13,idle,
d_ex_cafe_01_42,d_ex_cafe_01,Narration,Locale_SuddenStory:d_ex_cafe_01_42,True,,1,S_10,1.0,none,milk,,,1,idle,,3,idle,,13,idle,sfx_scn_aim
d_ex_cafe_01_43,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_43,True,,S_10,S_10,1.0,,sugar,sugar,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_44,d_ex_cafe_01,Narration,Locale_SuddenStory:d_ex_cafe_01_44,True,,S_10,S_100,0.5,bgm_enemyclose,sugar,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_45,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_45,True,,S_30,S_30,1.0,,milk,milk,,1,idle,,3,angry,,13,idle,
d_ex_cafe_01_46,d_ex_cafe_01,Narration,Locale_SuddenStory:d_ex_cafe_01_46,True,,S_30,S_300,1.0,,milk,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_47,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_47,False,,130,130,1.0,,frima,frima,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_48,d_ex_cafe_01,Narration,Locale_SuddenStory:d_ex_cafe_01_48,True,,130,1300,1.0,,frima,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_49,d_ex_cafe_01,Self,Locale_SuddenStory:d_ex_cafe_01_49,True,,2,2,1.0,,frima,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_50,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_50,True,,2,2,1.0,,milk,milk,,1,idle,,3,angry,,13,idle,
d_ex_cafe_01_51,d_ex_cafe_01,Self,Locale_SuddenStory:d_ex_cafe_01_51,True,,2,2,1.0,none,milk,,,1,idle,,3,angry,,13,idle,
d_ex_cafe_01_52,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_52,False,,1300,1300,1.0,bgm_story_stormbreakers,frima,frima,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_53,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_53,False,,S_100,S_100,1.0,,sugar,sugar,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_54,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_54,False,,S_300,S_300,1.0,,milk,milk,,1,idle,,3,surprise,,13,idle,
d_ex_cafe_01_55,d_ex_cafe_01,Self,Locale_SuddenStory:d_ex_cafe_01_55,True,,S_300,S_300,1.0,,milk,,,1,idle,,3,surprise,,13,idle,
d_ex_cafe_01_56,d_ex_cafe_01,Narration,Locale_SuddenStory:d_ex_cafe_01_56,True,,black,black,1.0,none,milk,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_57,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_57,True,,2,2,1.0,bgm_story_whosdumber,sugar,sugar,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_58,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_58,True,,2,2,1.0,,milk,milk,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_59,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_59,True,,2,12,1.0,,frima,frima,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_60,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_60,True,,12,2,1.0,,milk,milk,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_61,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_61,True,,2,2,1.0,,sugar,sugar,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_62,d_ex_cafe_01,Self,Locale_SuddenStory:d_ex_cafe_01_62,True,,2,2,1.0,,sugar,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_63,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_63,False,,2,2,1.0,,milk,milk,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_64,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_64,True,,2,2,1.0,,sugar,sugar,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_65,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_65,True,,2,2,1.0,,milk,milk,,1,idle,,3,delight,,13,idle,
d_ex_cafe_01_66,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_66,True,,2,12,1.0,,frima,frima,,1,idle,,3,delight,,13,idle,
d_ex_cafe_01_67,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_67,True,,12,12,1.0,,sugar,sugar,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_68,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_68,True,,130,130,1.0,,frima,frima,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_69,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_69,True,,S_30,S_30,1.0,,milk,milk,,1,idle,,3,good,,13,idle,
d_ex_cafe_01_70,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_70,True,,S_30,S_30,1.0,,milk,milk,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_71,d_ex_cafe_01,Narration,Locale_SuddenStory:d_ex_cafe_01_71,True,,black,black,1.0,,milk,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_72,d_ex_cafe_01,Self,Locale_SuddenStory:d_ex_cafe_01_72,False,,S_30,S_300,1.0,,milk,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_73,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_73,True,,S_300,S_300,1.0,,milk,milk,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_74,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_74,True,,S_300,S_300,1.0,,milk,milk,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_75,d_ex_cafe_01,Self,Locale_SuddenStory:d_ex_cafe_01_75,True,,S_300,S_300,1.0,,milk,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_76,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_76,True,,S_300,S_300,1.0,,milk,milk,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_77,d_ex_cafe_01,Self,Locale_SuddenStory:d_ex_cafe_01_77,False,,S_300,S_300,1.0,,milk,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_78,d_ex_cafe_01,Narration,Locale_SuddenStory:d_ex_cafe_01_78,True,,S_300,S_30,1.0,,milk,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_79,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_79,True,,S_30,S_30,1.0,,milk,milk,,1,idle,,3,good,,13,idle,
d_ex_cafe_01_80,d_ex_cafe_01,Narration,Locale_SuddenStory:d_ex_cafe_01_80,True,,black,black,1.0,,milk,,,1,idle,,3,good,,13,idle,
d_ex_cafe_01_81,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_81,True,,2,2,1.0,,milk,milk,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_82,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_82,True,,2,2,1.0,,sugar,sugar,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_83,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_83,True,,2,2,1.0,,sugar,sugar,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_84,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_84,False,,2,S_30,1.0,,milk,milk,,1,idle,,3,surprise,,13,idle,
d_ex_cafe_01_85,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_85,True,,S_30,S_300,1.0,,milk,milk,,1,idle,,3,angry,,13,idle,
d_ex_cafe_01_86,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_86,True,,1300,1300,1.0,,sugar,sugar,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_87,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_87,True,,3,3,1.0,,milk,milk,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_88,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_88,True,,3,3,1.0,,milk,milk,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_89,d_ex_cafe_01,Narration,Locale_SuddenStory:d_ex_cafe_01_89,True,,black,black,1.0,,milk,,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_90,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_90,True,,S_30,S_30,1.0,,milk,milk,,1,idle,,3,angry,,13,idle,
d_ex_cafe_01_91,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_91,True,,130,1300,0.5,,frima,frima,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_92,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_92,False,,S_30,S_30,1.0,none,milk,milk,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_93,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_93,False,,S_10,S_10,1.0,,sugar,sugar,,1,idle,,3,idle,,13,idle,
d_ex_cafe_01_94,d_ex_cafe_01,Speech,Locale_SuddenStory:d_ex_cafe_01_94,True,,S_30,S_300,3.0,bgm_story_herecomestrouble,milk,milk,,1,idle,,3,angry,,13,idle,
d_ex_cafe_01_95,d_ex_cafe_01,Monologue,Locale_SuddenStory:d_ex_cafe_01_95,True,,S_300,1,1.0,,milk,,,1,idle,,3,angry,,13,idle,
d_ex_cafe_01_96,d_ex_cafe_01,Monologue,Locale_SuddenStory:d_ex_cafe_01_96,True,,black,black,1.0,,milk,,,1,idle,,3,idle,,13,idle,
