id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,fade,characters/3/hide_char_id
d_main_21_03_e_11,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_11,True,,31,31,1.0,,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_12,d_main_21_03_e,Speech,anis,anis,Locale_MainScenario:d_main_21_03_e_12,True,,31,7,1.0,,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_13,d_main_21_03_e,Self,Self,Self,Locale_MainScenario:d_main_21_03_e_13,False,,7,7,1.0,,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_14,d_main_21_03_e,Speech,anis,anis,Locale_MainScenario:d_main_21_03_e_14,True,,7,70,2.0,,,7,worry,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_15,d_main_21_03_e,Speech,rapi,rapi,Locale_MainScenario:d_main_21_03_e_15,False,,70,30,1.0,,,7,worry,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_16,d_main_21_03_e,Narration,Narration,Narration,Locale_MainScenario:d_main_21_03_e_16,False,,30,L_10,1.0,,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,sfx_scn_toolpass,,,,,,,
d_main_21_03_e_17,d_main_21_03_e,Monologue,Monologue,Monologue,Locale_MainScenario:d_main_21_03_e_17,False,,L_10,L_10,1.0,,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_18,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_18,True,,L_10,L_100,1.0,,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_19,d_main_21_03_e,Narration,Narration,Narration,Locale_MainScenario:d_main_21_03_e_19,False,,1,1,1.0,none,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,anis,neon,rapi,harran,noah,black,
d_main_21_03_e_20,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_20,True,,1,1,1.0,bgm_intotheswarm,,,,,,,,,,,1,idle,,,,,,,,,,,,,,
d_main_21_03_e_21,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_21,True,,1,1,1.0,,,,,,,,,,,,1,idle,,,,,,,,,,,,,,
d_main_21_03_e_22,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_22,True,,1,1,1.0,,,,,,,,,,,,1,idle,,,,,,,,,,,,,,
d_main_21_03_e_23,d_main_21_03_e,Self,Self,Self,Locale_MainScenario:d_main_21_03_e_23,False,,1,1,1.0,,,,,,,,,,,,1,idle,,,,,,,,,,,,,,
d_main_21_03_e_24,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_24,True,,1,1,1.0,,,,,,,,,,,,1,idle,,,,,,,,,,,,,,
d_main_21_03_e_25,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_25,True,,1,1,1.0,,,,,,,,,,,,1,idle,,,,,,,,,,,,,,
d_main_21_03_e_26,d_main_21_03_e,Self,Self,Self,Locale_MainScenario:d_main_21_03_e_26,False,,1,1,1.0,,,,,,,,,,,,1,idle,,,,,,,,,,,,,,
d_main_21_03_e_27,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_27,True,,1,1,1.0,,,,,,,,,,,,1,idle,,,,,,,,,,,,,,
d_main_21_03_e_28,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_28,True,,1,1,1.0,,,,,,,,,,,,1,idle,,,,,,,,,,,,,,
d_main_21_03_e_29,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_29,True,,1,L_10,1.0,,,,,,,,,,,,1,idle,,,,,,,,,,,,,,
d_main_21_03_e_30,d_main_21_03_e,Narration,Narration,Narration,Locale_MainScenario:d_main_21_03_e_30,False,,L_10,L_10,1.0,,,,,,,,,,,,1,idle,,,,,,,sfx_scn_metalcrack,,,,,,,
d_main_21_03_e_31,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_31,True,,L_10,L_10,1.0,,,,,,,,,,,,1,think,,,,,,,,,,,,,,
d_main_21_03_e_32,d_main_21_03_e,Self,Self,Self,Locale_MainScenario:d_main_21_03_e_32,False,,L_10,L_10,1.0,,,,,,,,,,,,1,think,,,,,,,,,,,,,,
d_main_21_03_e_33,d_main_21_03_e,Narration,Narration,Narration,Locale_MainScenario:d_main_21_03_e_33,False,,1,1,1.0,none,,,,,,,,,,,1,idle,,,,,,,,,,,,,black,
d_main_21_03_e_34,d_main_21_03_e,Narration,Narration,Narration,Locale_MainScenario:d_main_21_03_e_34,False,,1,1,1.0,bgm_intotheswarm_a,,,,,,,,,,,1,idle,,,,,,,sfx_scn_metalpartsassemble,,,,,,,
d_main_21_03_e_35,d_main_21_03_e,Narration,Narration,Narration,Locale_MainScenario:d_main_21_03_e_35,False,,1,1,1.0,,,,,,,,,,,,1,idle,,,,,,,sfx_scn_metalpartsassemble2,,,,,,,
d_main_21_03_e_36,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_36,True,,1,1,1.0,,,,,,,,,,,,1,idle,,,,,,,,,,,,,,
d_main_21_03_e_37,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_37,True,,1,1,1.0,,,,,,,,,,,,1,idle,,,,,,,,,,,,,,
d_main_21_03_e_38,d_main_21_03_e,Self,Self,Self,Locale_MainScenario:d_main_21_03_e_38,False,,1,1,1.0,,,,,,,,,,,,1,idle,,,,,,,,,,,,,,
d_main_21_03_e_39,d_main_21_03_e,Self,Self,Self,Locale_MainScenario:d_main_21_03_e_39,False,,1,1,1.0,,,,,,,,,,,,1,idle,,,,,,,,,,,,,,
d_main_21_03_e_40,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_40,True,,1,L_10,1.0,,,,,,,,,,,,1,idle,,,,,,,,,,,,,,
d_main_21_03_e_41,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_41,True,,L_10,L_100,1.0,,,,,,,,,,,,1,delight,,,,,,,,,,,,,,
d_main_21_03_e_42,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_42,True,,L_100,L_10,1.0,,,,,,,,,,,,1,idle,,,,,,,,,,,,,,
d_main_21_03_e_43,d_main_21_03_e,Narration,Narration,Narration,Locale_MainScenario:d_main_21_03_e_43,False,,1,1,1.0,,,,,,,,,,,,1,idle,,,,,,,,,,,,,black,
d_main_21_03_e_44,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_44,True,,1,L_10,1.0,,,,,,,,,,,,1,idle,,,,,,,,,,,,,,
d_main_21_03_e_45,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_45,True,,L_10,L_100,1.0,,,,,,,,,,,,1,delight,,,,,,,,,,,,,,
d_main_21_03_e_46,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_46,True,,L_100,L_10,1.0,,,,,,,,,,,,1,idle,,,,,,,,,,,,,,
d_main_21_03_e_47,d_main_21_03_e,Speech,anis,anis,Locale_MainScenario:d_main_21_03_e_47,True,Desert_05,7,70,1.0,,anis,7,sad,neon,5,worry,rapi,3,idle,,1,idle,harran,13,idle,noah,15,idle,,,,,,,black,johan
d_main_21_03_e_48,d_main_21_03_e,Speech,anis,anis,Locale_MainScenario:d_main_21_03_e_48,True,,70,70,1.0,,,7,sad,,5,worry,,3,idle,,,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_49,d_main_21_03_e,Speech,neon,neon,Locale_MainScenario:d_main_21_03_e_49,False,,70,75,1.0,,,7,sad,,5,worry,,3,idle,,,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_50,d_main_21_03_e,Speech,anis,anis,Locale_MainScenario:d_main_21_03_e_50,True,,75,75,1.0,,,7,void,,5,worry,,3,idle,,,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_51,d_main_21_03_e,Speech,neon,neon,Locale_MainScenario:d_main_21_03_e_51,False,,75,75,1.0,,,7,void,,5,worry,,3,idle,,,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_52,d_main_21_03_e,Speech,anis,anis,Locale_MainScenario:d_main_21_03_e_52,True,,75,75,1.0,,,7,angry,,5,worry,,3,idle,,,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_53,d_main_21_03_e,Speech,neon,neon,Locale_MainScenario:d_main_21_03_e_53,False,,75,75,1.0,,,7,angry,,5,no,,3,idle,,,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_54,d_main_21_03_e,Speech,anis,anis,Locale_MainScenario:d_main_21_03_e_54,True,,75,75,1.0,,,7,no,,5,no,,3,idle,,,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_55,d_main_21_03_e,Speech,anis,anis,Locale_MainScenario:d_main_21_03_e_55,True,,75,3,1.0,,,7,void,,5,no,,3,idle,,,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_56,d_main_21_03_e,Speech,rapi,rapi,Locale_MainScenario:d_main_21_03_e_56,True,,3,3,1.0,,,7,void,,5,no,,3,idle,,,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_57,d_main_21_03_e,Speech,anis,anis,Locale_MainScenario:d_main_21_03_e_57,True,,7,7,1.0,,,7,sad,,5,no,,3,idle,,,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_58,d_main_21_03_e,Speech,harran,harran,Locale_MainScenario:d_main_21_03_e_58,True,,13,13,1.0,,,7,sad,,5,no,,3,idle,,,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_59,d_main_21_03_e,Speech,anis,anis,Locale_MainScenario:d_main_21_03_e_59,True,,7,7,1.0,,,7,void,,5,no,,3,idle,,,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_60,d_main_21_03_e,Speech,harran,harran,Locale_MainScenario:d_main_21_03_e_60,True,,13,13,1.0,,,7,void,,5,no,,3,idle,,,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_61,d_main_21_03_e,Speech,anis,anis,Locale_MainScenario:d_main_21_03_e_61,True,,70,70,1.0,,,7,no,,5,no,,3,idle,,,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_62,d_main_21_03_e,Speech,harran,harran,Locale_MainScenario:d_main_21_03_e_62,True,,130,130,1.0,,,7,no,,5,no,,3,idle,,,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_63,d_main_21_03_e,Speech,harran,harran,Locale_MainScenario:d_main_21_03_e_63,True,,130,130,1.0,,,7,no,,5,no,,3,idle,,,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_64,d_main_21_03_e,Speech,harran,harran,Locale_MainScenario:d_main_21_03_e_64,True,,130,1300,2.0,,,7,no,,5,no,,3,idle,,,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_65,d_main_21_03_e,Narration,Narration,Narration,Locale_MainScenario:d_main_21_03_e_65,False,Launcher,1,1,1.0,,,7,void,,5,no,,3,idle,johan,1,,,13,idle,,15,idle,,,,,,,black,
d_main_21_03_e_66,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_66,True,,1,1,1.0,,,7,void,,5,no,,3,idle,,1,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_67,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_67,True,,1,1,1.0,,,7,void,,5,no,,3,idle,,1,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_68,d_main_21_03_e,Self,Self,Self,Locale_MainScenario:d_main_21_03_e_68,False,,1,1,1.0,,,7,void,,5,no,,3,idle,,1,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_69,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_69,True,,1,L_10,1.0,,,7,void,,5,no,,3,idle,,1,,,13,idle,,15,idle,,,,,,,,
d_main_21_03_e_70,d_main_21_03_e,Speech,johan,johan,Locale_MainScenario:d_main_21_03_e_70,True,,L_10,L_10,1.0,,,7,void,,5,no,,3,idle,,1,,,13,idle,,15,idle,,,,,,,,
