id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_subquest_1432_e_19,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_19,True,,S_130,12,1.0,,grave,,1,idle,,13,idle
d_subquest_1432_e_20,d_subquest_1432_e,Self,grave,Locale_SubScenario:d_subquest_1432_e_20,False,,12,12,1.0,,,,1,idle,,13,idle
d_subquest_1432_e_21,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_21,True,,12,12,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_22,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_22,True,,12,L_10,1.0,,grave,,1,idle,,13,idle
d_subquest_1432_e_23,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_23,True,,L_10,L_10,1.0,,grave,,1,idle,,13,idle
d_subquest_1432_e_24,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_24,True,,L_10,L_10,1.0,,grave,,1,idle,,13,idle
d_subquest_1432_e_25,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_25,True,,L_10,S_130,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_26,d_subquest_1432_e,Narration,cinderella,Locale_SubScenario:d_subquest_1432_e_26,False,,S_130,S_1300,1.0,,,,1,idle,,13,idle
d_subquest_1432_e_27,d_subquest_1432_e,Monologue,cinderella,Locale_SubScenario:d_subquest_1432_e_27,False,,S_1300,S_1300,1.0,,,,1,idle,,13,idle
d_subquest_1432_e_28,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_28,True,,S_1300,S_1300,1.0,,cinderella,,1,idle,,13,surprise
d_subquest_1432_e_29,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_29,True,,S_1300,S_1300,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_30,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_30,True,,S_1300,S_1300,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_31,d_subquest_1432_e,Monologue,cinderella,Locale_SubScenario:d_subquest_1432_e_31,False,,black,black,1.0,,,,1,idle,,13,delight
d_subquest_1432_e_32,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_32,True,,L_10,L_10,1.0,,grave,,1,idle,,13,delight
d_subquest_1432_e_33,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_33,True,,S_1300,S_130,1.0,,cinderella,,1,idle,,13,delight
d_subquest_1432_e_34,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_34,True,,S_130,S_130,1.0,,cinderella,,1,idle,,13,delight
d_subquest_1432_e_35,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_35,True,,S_130,L_10,1.0,,grave,,1,idle,,13,delight
d_subquest_1432_e_36,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_36,True,,L_10,L_10,1.0,,cinderella,,1,idle,,13,delight
d_subquest_1432_e_37,d_subquest_1432_e,Self,cinderella,Locale_SubScenario:d_subquest_1432_e_37,False,,L_10,L_10,1.0,,,,1,idle,,13,delight
d_subquest_1432_e_38,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_38,True,,L_10,L_10,1.0,,grave,,1,idle,,13,delight
d_subquest_1432_e_39,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_39,True,,L_10,L_10,1.0,,grave,,1,idle,,13,delight
d_subquest_1432_e_40,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_40,True,,L_10,L_100,1.0,,grave,,1,idle,,13,delight
d_subquest_1432_e_41,d_subquest_1432_e,Self,grave,Locale_SubScenario:d_subquest_1432_e_41,False,,L_100,L_100,1.0,,,,1,idle,,13,delight
d_subquest_1432_e_42,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_42,True,,black,black,1.0,,grave,,1,idle,,13,delight
d_subquest_1432_e_43,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_43,True,,L_100,12,1.0,,cinderella,,1,idle,,13,surprise
d_subquest_1432_e_44,d_subquest_1432_e,Monologue,cinderella,Locale_SubScenario:d_subquest_1432_e_44,False,,12,12,1.0,,,,1,idle,,13,surprise
d_subquest_1432_e_45,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_45,True,,12,12,1.0,,cinderella,,1,idle,,13,surprise
d_subquest_1432_e_46,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_46,True,,12,12,1.0,,grave,,1,idle,,13,surprise
d_subquest_1432_e_47,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_47,True,,12,12,1.0,,grave,,1,idle,,13,surprise
d_subquest_1432_e_48,d_subquest_1432_e,Narration,grave,Locale_SubScenario:d_subquest_1432_e_48,False,,12,S_130,1.0,,,,1,idle,,13,idle
d_subquest_1432_e_49,d_subquest_1432_e,Monologue,grave,Locale_SubScenario:d_subquest_1432_e_49,False,,S_130,S_130,1.0,,,,1,idle,,13,idle
d_subquest_1432_e_50,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_50,True,,S_130,S_130,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_51,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_51,True,,S_130,L_10,1.0,,grave,,1,idle,,13,idle
d_subquest_1432_e_52,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_52,True,,L_10,L_10,1.0,,grave,,1,idle,,13,idle
d_subquest_1432_e_53,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_53,True,,L_10,L_10,1.0,,grave,,1,idle,,13,idle
d_subquest_1432_e_54,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_54,True,,L_10,L_10,1.0,,grave,,1,idle,,13,idle
d_subquest_1432_e_55,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_55,True,,L_10,12,1.0,,cinderella,,1,idle,,13,surprise
d_subquest_1432_e_56,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_56,True,,12,12,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_57,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_57,True,,12,12,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_58,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_58,True,,12,12,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_59,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_59,True,,12,12,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_60,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_60,True,,12,12,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_61,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_61,True,,12,L_10,1.0,,grave,,1,idle,,13,idle
d_subquest_1432_e_62,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_62,True,,L_10,S_130,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_63,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_63,True,,S_130,S_130,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_64,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_64,True,,L_10,L_10,1.0,,grave,,1,idle,,13,idle
d_subquest_1432_e_65,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_65,True,,S_130,S_130,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_66,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_66,True,,L_10,L_10,1.0,,grave,,1,idle,,13,idle
d_subquest_1432_e_67,d_subquest_1432_e,Self,grave,Locale_SubScenario:d_subquest_1432_e_67,False,,L_10,L_10,1.0,,,,1,idle,,13,idle
d_subquest_1432_e_68,d_subquest_1432_e,Self,grave,Locale_SubScenario:d_subquest_1432_e_68,False,,L_10,S_130,1.0,,,,1,idle,,13,idle
d_subquest_1432_e_69,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_69,True,,S_130,S_130,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_70,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_70,True,,S_130,12,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_71,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_71,True,,12,12,1.0,,grave,,1,idle,,13,idle
d_subquest_1432_e_72,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_72,True,,12,12,1.0,,grave,,1,idle,,13,idle
d_subquest_1432_e_73,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_73,True,,12,12,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_74,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_74,True,,12,12,1.0,,cinderella,,1,idle,,13,idle
d_subquest_1432_e_75,d_subquest_1432_e,Speech,grave,Locale_SubScenario:d_subquest_1432_e_75,True,,12,L_10,1.0,,grave,,1,idle,,13,idle
d_subquest_1432_e_76,d_subquest_1432_e,Speech,cinderella,Locale_SubScenario:d_subquest_1432_e_76,True,,L_10,S_130,1.0,,cinderella,,1,idle,,13,delight
