id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
d_subquest_1321_s_19,d_subquest_1321_s,Self,,,Locale_SubScenario:d_subquest_1321_s_19,False,,1,worry,,3,worry,,13,idle,,2,2,1.0,,,,,
d_subquest_1321_s_20,d_subquest_1321_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1321_s_20,True,,1,worry,,3,worry,,13,idle,,130,130,1.0,,,,,
d_subquest_1321_s_21,d_subquest_1321_s,Monologue,,,Locale_SubScenario:d_subquest_1321_s_21,False,,1,void,,3,idle,,13,idle,,black,black,1.0,,,anis,neon,rapi
d_subquest_1321_s_22,d_subquest_1321_s,Speech,,unknown,Locale_SubScenario:d_subquest_1321_s_22,False,,,void,,,idle,,,idle,,6,6,1.0,,,,,
d_subquest_1321_s_23,d_subquest_1321_s,Self,,,Locale_SubScenario:d_subquest_1321_s_23,False,,,void,,,idle,,,idle,,6,6,1.0,,,,,
d_subquest_1321_s_24,d_subquest_1321_s,Speech,,unknown,Locale_SubScenario:d_subquest_1321_s_24,False,,,void,,,idle,,,idle,,6,6,1.0,,,,,
d_subquest_1321_s_25,d_subquest_1321_s,Self,,,Locale_SubScenario:d_subquest_1321_s_25,False,,,void,,,idle,,,idle,,6,6,1.0,,,,,
d_subquest_1321_s_26,d_subquest_1321_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1321_s_26,True,anis,1,void,neon,3,idle,rapi,13,idle,,6,2,1.0,,,,,
d_subquest_1321_s_27,d_subquest_1321_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1321_s_27,True,,1,delight,,3,idle,,13,idle,,2,2,1.0,,,,,
d_subquest_1321_s_28,d_subquest_1321_s,Self,,,Locale_SubScenario:d_subquest_1321_s_28,False,,1,delight,,3,idle,,13,idle,,2,2,1.0,,,,,
d_subquest_1321_s_29,d_subquest_1321_s,Speech,,unknown,Locale_SubScenario:d_subquest_1321_s_29,False,,1,delight,,3,idle,,13,idle,,2,6,1.0,,,,,
d_subquest_1321_s_30,d_subquest_1321_s,Self,,,Locale_SubScenario:d_subquest_1321_s_30,False,,1,delight,,3,idle,,13,idle,,6,6,1.0,,,,,
d_subquest_1321_s_31,d_subquest_1321_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1321_s_31,True,,1,no,,3,idle,,13,idle,,6,6,1.0,,,,,
d_subquest_1321_s_32,d_subquest_1321_s,Monologue,,,Locale_SubScenario:d_subquest_1321_s_32,False,,4,no,,6,idle,,2,idle,,6,6,1.0,,,,,
d_subquest_1321_s_33,d_subquest_1321_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1321_s_33,False,,4,no,,6,idle,,2,idle,,20,20,1.0,,,,,
d_subquest_1321_s_34,d_subquest_1321_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1321_s_34,True,,4,no,,6,idle,,2,idle,,40,40,1.0,,,,,
d_subquest_1321_s_35,d_subquest_1321_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1321_s_35,True,,4,no,,6,idle,,2,idle,,S_60,S_60,1.0,,,,,
d_subquest_1321_s_36,d_subquest_1321_s,Speech,,unknown,Locale_SubScenario:d_subquest_1321_s_36,False,,4,no,,6,idle,,2,idle,,S_60,5,1.0,,,,,
d_subquest_1321_s_37,d_subquest_1321_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1321_s_37,True,,4,angry,,6,idle,,2,idle,,5,5,1.0,,,,,
d_subquest_1321_s_38,d_subquest_1321_s,Narration,,,Locale_SubScenario:d_subquest_1321_s_38,False,,4,angry,,6,idle,,2,idle,,5,5,1.0,,,,,
d_subquest_1321_s_39,d_subquest_1321_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1321_s_39,True,,4,sad,,6,idle,,2,idle,,5,40,1.0,,,,,
d_subquest_1321_s_40,d_subquest_1321_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1321_s_40,True,,4,worry,,6,idle,,2,idle,,40,40,1.0,,,,,
d_subquest_1321_s_41,d_subquest_1321_s,Self,,,Locale_SubScenario:d_subquest_1321_s_41,False,,4,worry,,6,idle,,2,idle,,40,40,1.0,,,,,
d_subquest_1321_s_42,d_subquest_1321_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1321_s_42,True,,4,worry,,6,idle,,2,idle,,40,20,1.0,,,,,
