id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,jump_target,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_police_05_18,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_18,True,,XS_10,XS_10,1.0,,,poli,poli,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_19,d_ex_police_05,Choice,Locale_SuddenStory:d_ex_police_05_19,False,,XS_10,XS_10,1.0,,,,,d_ex_police_05_24,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_20,d_ex_police_05,Choice,Locale_SuddenStory:d_ex_police_05_20,False,,XS_10,XS_10,1.0,,,,,d_ex_police_05_21,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_21,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_21,True,,XS_10,XS_10,1.0,,,poli,poli,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_22,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_22,True,,XS_10,XS_10,1.0,,,poli,poli,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_23,d_ex_police_05,Self,Locale_SuddenStory:d_ex_police_05_23,False,,XS_10,XS_10,1.0,,,,,d_ex_police_05_24,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_24,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_24,True,,S_50,S_50,1.0,,,soda,soda,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_25,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_25,True,,S_50,S_50,1.0,,,soda,soda,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_26,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_26,True,,XS_10,XS_10,1.0,,,poli,poli,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_27,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_27,True,,S_50,S_50,1.0,,,soda,soda,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_28,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_28,True,,S_50,53,1.0,,,miranda,miranda,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_29,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_29,True,,53,31,1.0,,,poli,poli,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_30,d_ex_police_05,Narration,Locale_SuddenStory:d_ex_police_05_30,False,,31,31,1.0,sfx_scn_windowsopen,none,,,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_31,d_ex_police_05,Narration,Locale_SuddenStory:d_ex_police_05_31,False,,31,31,1.0,,,,,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_32,d_ex_police_05,Monologue,Locale_SuddenStory:d_ex_police_05_32,False,,31,31,1.0,,bgm_story_herecomestrouble,,,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_33,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_33,True,,31,31,1.0,,,poli,poli,,,,,1,angry,,3,idle,,5,idle
d_ex_police_05_34,d_ex_police_05,Narration,Locale_SuddenStory:d_ex_police_05_34,False,,31,31,1.0,sfx_scn_windowsopen,,,,,,,,1,angry,,3,idle,,5,idle
d_ex_police_05_35,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_35,True,,31,31,1.0,,,miranda,miranda,,,,,1,angry,,3,think,,5,idle
d_ex_police_05_36,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_36,True,,31,5,1.0,,,soda,soda,,,,,1,angry,,3,think,,5,sad
d_ex_police_05_37,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_37,True,,5,S_50,1.0,,,soda,soda,,,,,1,angry,,3,think,,5,sad
d_ex_police_05_38,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_38,True,,S_50,XS_10,2.0,,,poli,poli,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_39,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_39,True,,XS_10,XS_10,1.0,,,poli,poli,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_40,d_ex_police_05,Self,Locale_SuddenStory:d_ex_police_05_40,False,,XS_10,XS_10,1.0,,,,,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_41,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_41,True,,S_50,S_50,1.0,,,soda,soda,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_42,d_ex_police_05,Narration,Locale_SuddenStory:d_ex_police_05_42,False,,S_50,S_500,1.0,sfx_scn_bookdrop,,,,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_43,d_ex_police_05,Narration,Locale_SuddenStory:d_ex_police_05_43,False,,S_500,S_500,1.0,sfx_scn_waterslide,,,,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_44,d_ex_police_05,Self,Locale_SuddenStory:d_ex_police_05_44,False,,S_500,S_50,1.0,,,,,,,,,1,surprise,,3,think,,5,sad
d_ex_police_05_45,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_45,True,,S_50,S_50,1.0,,,soda,soda,,,,,1,surprise,,3,think,,5,shy
d_ex_police_05_46,d_ex_police_05,Narration,Locale_SuddenStory:d_ex_police_05_46,False,,S_50,S_50,1.0,sfx_scn_heavytrip,,,,,Low_2,,,1,surprise,,3,think,,5,sad
d_ex_police_05_47,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_47,True,,S_50,53,1.0,,,miranda,miranda,,,,,1,surprise,,3,think,,5,sad
d_ex_police_05_48,d_ex_police_05,Narration,Locale_SuddenStory:d_ex_police_05_48,False,,53,53,1.0,sfx_scn_comichit,,,,,Low_2,,,1,surprise,,3,think,,5,sad
d_ex_police_05_49,d_ex_police_05,Monologue,Locale_SuddenStory:d_ex_police_05_49,False,,53,53,1.0,,,,,,,,,1,surprise,,3,think,,5,sad
d_ex_police_05_50,d_ex_police_05,Monologue,Locale_SuddenStory:d_ex_police_05_50,False,,53,53,1.0,,,,,,,,,1,surprise,,3,think,,5,sad
d_ex_police_05_51,d_ex_police_05,Self,Locale_SuddenStory:d_ex_police_05_51,False,,53,53,1.0,,,,,,,,,1,surprise,,3,think,,5,sad
d_ex_police_05_52,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_52,True,,53,1,1.0,,,poli,poli,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_53,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_53,True,,1,1,1.0,,,poli,poli,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_54,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_54,True,,1,XS_10,1.0,,,poli,poli,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_55,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_55,True,,XS_10,XS_10,1.0,,,soda,soda,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_56,d_ex_police_05,Self,Locale_SuddenStory:d_ex_police_05_56,False,,XS_10,XS_10,1.0,,,,,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_57,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_57,True,,53,53,1.0,,,miranda,miranda,,,black,,1,idle,,3,idle,,5,idle
d_ex_police_05_58,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_58,True,,53,53,1.0,,,soda,soda,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_59,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_59,True,,53,53,1.0,,,soda,soda,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_60,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_60,True,,53,53,1.0,,,soda,soda,,,,,1,idle,,3,idle,,5,idle
d_ex_police_05_61,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_61,True,,53,53,1.0,,,soda,soda,,,,,1,idle,,3,idle,,5,think
d_ex_police_05_62,d_ex_police_05,Narration,Locale_SuddenStory:d_ex_police_05_62,False,,53,53,1.0,,,,,,,,,1,idle,,3,idle,,5,shy
d_ex_police_05_63,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_63,True,,53,53,1.0,,,soda,soda,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_64,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_64,True,,53,53,1.0,,,miranda,miranda,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_65,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_65,True,,53,1,1.0,,,poli,poli,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_66,d_ex_police_05,Self,Locale_SuddenStory:d_ex_police_05_66,False,,1,1,1.0,,,,,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_67,d_ex_police_05,Monologue,Locale_SuddenStory:d_ex_police_05_67,False,,1,1,1.0,,,,,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_68,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_68,True,,1,XS_10,1.0,,,poli,poli,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_69,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_69,True,,XS_10,XS_10,1.0,,,soda,soda,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_70,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_70,True,,53,53,1.0,,,miranda,miranda,,,black,,1,sad,,3,idle,,5,idle
d_ex_police_05_71,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_71,True,,53,53,1.0,,,soda,soda,,,,,1,sad,,3,idle,,5,idle
d_ex_police_05_72,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_72,True,,53,53,1.0,,,miranda,miranda,,,,,1,sad,,3,idle,,5,idle
d_ex_police_05_73,d_ex_police_05,Narration,Locale_SuddenStory:d_ex_police_05_73,False,,53,53,1.0,sfx_scn_glassbreak,,,,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_74,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_74,True,,53,53,1.0,,,miranda,miranda,,,,,1,angry,,3,think,,5,sad
d_ex_police_05_75,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_75,True,,53,53,1.0,,,soda,soda,,,,,1,angry,,3,think,,5,sad
d_ex_police_05_76,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_76,True,,53,1,1.0,,,poli,poli,,,,,1,angry,,3,think,,5,sad
d_ex_police_05_77,d_ex_police_05,Self,Locale_SuddenStory:d_ex_police_05_77,False,,1,1,1.0,,,,,,,,,1,angry,,3,think,,5,sad
d_ex_police_05_78,d_ex_police_05,Monologue,Locale_SuddenStory:d_ex_police_05_78,False,,1,1,1.0,,,,,,,,,1,angry,,3,think,,5,sad
d_ex_police_05_79,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_79,True,,1,31,1.0,,,poli,poli,,,,,1,angry,,3,think,,5,sad
d_ex_police_05_80,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_80,True,,31,31,1.0,,,miranda,miranda,,,,,1,angry,,3,think,,5,sad
d_ex_police_05_81,d_ex_police_05,Choice,Locale_SuddenStory:d_ex_police_05_81,False,,31,31,1.0,,,,,d_ex_police_05_83,,,,1,angry,,3,think,,5,sad
d_ex_police_05_82,d_ex_police_05,Choice,Locale_SuddenStory:d_ex_police_05_82,False,,31,31,1.0,,,,,d_ex_police_05_83,,,,1,angry,,3,think,,5,sad
d_ex_police_05_83,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_83,True,,31,XS_10,1.0,,,poli,poli,,,,,1,sad,,3,think,,5,sad
d_ex_police_05_84,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_84,True,,XS_10,XS_10,1.0,,,poli,poli,,,,,1,idle,,3,idle,,5,sad
d_ex_police_05_85,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_85,True,,XS_10,XS_10,1.0,,,poli,poli,,,,,1,idle,,3,idle,,5,sad
d_ex_police_05_86,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_86,True,,XS_10,XS_10,1.0,,,poli,poli,,,,,1,idle,,3,idle,,5,sad
d_ex_police_05_87,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_87,True,,XS_10,53,1.0,,,soda,soda,,,,,1,idle,,3,idle,,5,serious
d_ex_police_05_88,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_88,True,,53,53,1.0,,,miranda,miranda,,,,,1,idle,,3,idle,,5,serious
d_ex_police_05_89,d_ex_police_05,Monologue,Locale_SuddenStory:d_ex_police_05_89,False,JailCorridor,53,75,2.0,,none,,,,,,,1,idle,,5,idle,,7,idle
d_ex_police_05_90,d_ex_police_05,Narration,Locale_SuddenStory:d_ex_police_05_90,False,,75,75,1.0,sfx_scn_bang,,,,,,,,1,idle,,5,idle,,7,idle
d_ex_police_05_91,d_ex_police_05,Narration,Locale_SuddenStory:d_ex_police_05_91,False,,75,75,1.0,sfx_scn_doorclose,,,,,,,,1,idle,,5,idle,,7,idle
d_ex_police_05_92,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_92,True,,75,75,1.0,,,soda,soda,,,,,1,idle,,5,idle,,7,idle
d_ex_police_05_93,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_93,True,,75,75,1.0,,,miranda,miranda,,,,,1,idle,,5,idle,,7,idle
d_ex_police_05_94,d_ex_police_05,Self,Locale_SuddenStory:d_ex_police_05_94,False,,75,75,1.0,,,,,,,,,1,idle,,5,idle,,7,idle
d_ex_police_05_95,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_95,True,Police,75,XS_10,2.0,,bgm_story_herecomestrouble,poli,poli,,,,,1,angry,,5,idle,,7,idle
d_ex_police_05_96,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_96,True,,XS_10,XS_10,1.0,,,poli,poli,,,,,1,angry,,5,idle,,7,idle
d_ex_police_05_97,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_97,True,,XS_10,XS_10,1.0,,,poli,poli,,,,,1,angry,,5,idle,,7,idle
d_ex_police_05_98,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_98,True,,XS_10,XS_100,1.0,,,poli,poli,,,,,1,angry,,5,idle,,7,idle
d_ex_police_05_99,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_99,True,,black,black,1.0,,,soda,soda,,,,,1,angry,,5,think,,7,sad
d_ex_police_05_100,d_ex_police_05,Speech,Locale_SuddenStory:d_ex_police_05_100,True,,black,black,1.0,,,miranda,miranda,,,,,1,angry,,5,think,,7,sad
