id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/hide_char_id
d_main_39_02_20,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_20,True,,1,no,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_21,d_main_39_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_02_21,True,,1,no,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_22,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_22,True,,1,no,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_23,d_main_39_02,Narration,raptilion,,Locale_MainScenario:d_main_39_02_23,False,,1,no,,13,idle,,3,idle,black,black,1.0,,
d_main_39_02_24,d_main_39_02,Narration,raptilion,,Locale_MainScenario:d_main_39_02_24,False,,1,no,,13,idle,,3,idle,black,black,1.0,,
d_main_39_02_25,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_25,True,,1,no,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_26,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_26,True,,1,no,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_27,d_main_39_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_02_27,True,,1,angry,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_28,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_28,True,,1,angry,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_29,d_main_39_02,Speech,ziz,ziz,Locale_MainScenario:d_main_39_02_29,True,,1,angry,,13,idle,,3,idle,S_130,S_130,1.0,,
d_main_39_02_30,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_30,False,,1,angry,,13,idle,,3,idle,rap_30,rap_30,1.0,,
d_main_39_02_31,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_31,True,,1,angry,,13,idle,,3,idle,rap_30,rap_30,1.0,,
d_main_39_02_32,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_32,True,,1,angry,,13,idle,,3,idle,rap_30,rap_30,1.0,,
d_main_39_02_33,d_main_39_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_02_33,True,,1,think_01,,13,idle,,3,idle,rap_30,raptogether_01,1.0,,
d_main_39_02_34,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_34,True,,1,think_01,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_35,d_main_39_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_02_35,True,,1,angry,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_36,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_36,True,,1,angry,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_37,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_37,True,,1,angry,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_38,d_main_39_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_02_38,True,,1,no,,13,idle,,3,idle,raptogether_01,raptogether_01,1.0,,
d_main_39_02_39,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_39,True,,1,no,,13,idle,,3,idle,raptogether_01,rap_30,1.0,,
d_main_39_02_40,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_40,True,,1,no,,13,idle,,3,idle,rap_30,rap_30,1.0,,
d_main_39_02_41,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_41,True,,1,no,,13,idle,,3,idle,rap_30,rap_30,1.0,,
d_main_39_02_42,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_42,True,,1,no,,13,idle,,3,idle,rap_30,rap_30,1.0,,
d_main_39_02_43,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_43,True,,1,no,,13,idle,,3,idle,rap_30,rap_30,1.0,,
d_main_39_02_44,d_main_39_02,Speech,raptilion,leviathan,Locale_MainScenario:d_main_39_02_44,False,,1,no,,13,idle,,3,idle,rap_30,rap_30,1.0,,
d_main_39_02_45,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_45,True,,1,no,,13,idle,,3,idle,rap_30,rap_300,1.0,,
d_main_39_02_46,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_46,True,,1,no,,13,idle,,3,idle,rap_300,rap_300,1.0,,
d_main_39_02_47,d_main_39_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_02_47,False,,1,think_02,,13,think,,3,idle,S_100,S_100,1.0,,
d_main_39_02_48,d_main_39_02,Speech,ziz,ziz,Locale_MainScenario:d_main_39_02_48,False,,1,think_02,,13,think,,3,idle,S_100,S_1300,1.0,,
d_main_39_02_49,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_49,True,,1,think_02,,13,think,,3,idle,rap_300,rap_300,1.0,,
d_main_39_02_50,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_50,True,,1,think_02,,13,think,,3,idle,rap_300,rap_300,1.0,,
d_main_39_02_51,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_51,True,,1,think_02,,13,think,,3,idle,rap_300,rap_300,1.0,,
d_main_39_02_52,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_52,True,,1,think_02,,13,think,,3,idle,rap_300,rap_300,1.0,,
d_main_39_02_53,d_main_39_02,Speech,raptilion,raptilion,Locale_MainScenario:d_main_39_02_53,True,,1,think_02,,13,think,,3,idle,rap_300,rap_300,1.0,,
d_main_39_02_54,d_main_39_02,Narration,leviathan,,Locale_MainScenario:d_main_39_02_54,False,,1,think_02,,13,think,,3,idle,black,black,1.0,,
d_main_39_02_55,d_main_39_02,Narration,leviathan,,Locale_MainScenario:d_main_39_02_55,False,,1,think_02,,13,think,,3,idle,black,black,1.0,,raptilion
d_main_39_02_56,d_main_39_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_02_56,False,,1,think_02,,13,think,,,,113,113,1.0,,
d_main_39_02_57,d_main_39_02,Speech,ziz,ziz,Locale_MainScenario:d_main_39_02_57,False,,1,think_02,,13,think,,,,113,113,1.0,,
d_main_39_02_58,d_main_39_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_02_58,True,,1,no,,13,think,,,,113,113,1.0,,
d_main_39_02_59,d_main_39_02,Speech,ziz,ziz,Locale_MainScenario:d_main_39_02_59,True,,1,no,,13,sad,,,,113,113,1.0,,
d_main_39_02_60,d_main_39_02,Speech,ziz,ziz,Locale_MainScenario:d_main_39_02_60,True,,1,no,,13,sad,,,,113,113,1.0,,
d_main_39_02_61,d_main_39_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_02_61,True,,1,no,,13,sad,,,,113,113,1.0,,
d_main_39_02_62,d_main_39_02,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_02_62,True,,1,no,,13,sad,,,,113,113,1.0,,
