id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,effects/0/stop_effect_id
d_main_23_09_s_12,d_main_23_09_s,Self,Locale_MainScenario:d_main_23_09_s_12,False,,S_80,S_80,1.0,,,,,,,Vignetting,,,,,,,,,,
d_main_23_09_s_13,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_13,True,ArkRuinIndoor,S_80,12,1.0,,viper,viper,,,,,crow,1,good,viper,13,idle,jackal,3,idle,fx_Eventscene_camera_recording
d_main_23_09_s_14,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_14,True,,12,12,1.0,,crow,crow,,,,,,1,good,,13,idle,,3,idle,
d_main_23_09_s_15,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_15,True,,12,2,1.0,,jackal,jackal,,,,,,1,good,,13,idle,,3,crazy,
d_main_23_09_s_16,d_main_23_09_s,Self,Locale_MainScenario:d_main_23_09_s_16,False,,2,2,1.0,,,,,,,,,1,good,,13,idle,,3,crazy,
d_main_23_09_s_17,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_17,True,,2,10,1.0,,crow,crow,,,,,,1,smile,,13,idle,,3,crazy,
d_main_23_09_s_18,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_18,True,,10,10,1.0,,crow,crow,,,,,,1,smile,,13,idle,,3,crazy,
d_main_23_09_s_19,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_19,True,,10,10,1.0,,crow,crow,,,,,,1,smile,,13,idle,,3,crazy,
d_main_23_09_s_20,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_20,True,,10,10,1.0,,crow,crow,,,,,,1,smile,,13,idle,,3,crazy,
d_main_23_09_s_21,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_21,True,,10,10,1.0,,crow,crow,,,,,,1,smile,,13,idle,,3,crazy,
d_main_23_09_s_22,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_22,True,,10,10,1.0,,crow,crow,,,,,,1,smile,,13,idle,,3,crazy,
d_main_23_09_s_23,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_23,True,,10,10,1.0,,crow,crow,,,,,,1,smile,,13,idle,,3,crazy,
d_main_23_09_s_24,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_24,True,,10,10,1.0,,crow,crow,,,,,,1,smile,,13,idle,,3,crazy,
d_main_23_09_s_25,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_25,True,,10,10,1.0,,crow,crow,,,,,,1,smile,,13,idle,,3,crazy,
d_main_23_09_s_26,d_main_23_09_s,Self,Locale_MainScenario:d_main_23_09_s_26,False,,10,10,1.0,,,,,,,,,1,smile,,13,idle,,3,crazy,
d_main_23_09_s_27,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_27,True,,10,1,1.0,,crow,crow,,,,,,1,smile,,13,idle,,3,crazy,
d_main_23_09_s_28,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_28,True,,1,1,1.0,,crow,crow,,,,,,1,smile,,13,idle,,3,crazy,
d_main_23_09_s_29,d_main_23_09_s,Speech,Locale_MainScenario:d_main_23_09_s_29,True,,1,1,1.0,,crow,crow,,,,,,1,smile,,13,idle,,3,crazy,
d_main_23_09_s_30,d_main_23_09_s,Narration,Locale_MainScenario:d_main_23_09_s_30,False,BurningCity,1,8,1.0,,,,,,,,,1,smile,,13,idle,,3,crazy,
d_main_23_09_s_31,d_main_23_09_s,Monologue,Locale_MainScenario:d_main_23_09_s_31,False,,8,8,1.0,,,,,,,,,1,smile,,13,idle,,3,crazy,
d_main_23_09_s_32,d_main_23_09_s,Monologue,Locale_MainScenario:d_main_23_09_s_32,False,,8,8,1.0,,,,,,,,,1,smile,,13,idle,,3,crazy,
d_main_23_09_s_33,d_main_23_09_s,Monologue,Locale_MainScenario:d_main_23_09_s_33,False,,8,8,1.0,,,,,,,,,1,smile,,13,idle,,3,crazy,
d_main_23_09_s_34,d_main_23_09_s,Monologue,Locale_MainScenario:d_main_23_09_s_34,False,,black,black,1.0,,,,,,,,,1,smile,,13,idle,,3,crazy,
d_main_23_09_s_35,d_main_23_09_s,Monologue,Locale_MainScenario:d_main_23_09_s_35,False,,black,black,1.0,,,,,,,,,1,smile,,13,idle,,3,crazy,
