id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_ex_modernbar_08_37,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_37,True,,S_200,S_20,1.0,,,soda_b,,,12,angry,soda_b,,2,idle,
d_ex_modernbar_08_38,d_ex_modernbar_08,Monologue,Locale_SuddenStory:d_ex_modernbar_08_38,False,,S_20,S_20,1.0,,,,,,12,angry,soda_b,,2,idle,
d_ex_modernbar_08_39,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_39,True,,S_20,XS_120,1.0,,,rei,,,12,delight,rei,,2,idle,
d_ex_modernbar_08_40,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_40,True,,XS_120,XS_120,1.0,,,rei,,,12,delight,rei,,2,idle,
d_ex_modernbar_08_41,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_41,True,,XS_120,XS_1200,1.0,,,rei,,,12,delight,rei,,2,idle,
d_ex_modernbar_08_42,d_ex_modernbar_08,Self,Locale_SuddenStory:d_ex_modernbar_08_42,False,,XS_1200,XS_1200,1.0,,,,,,12,delight,rei,,2,idle,
d_ex_modernbar_08_43,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_43,False,,XS_1200,XS_1200,1.0,,,soda_b,,,12,delight,rei,,2,delight,
d_ex_modernbar_08_44,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_44,True,,XS_1200,XS_120,0.5,,,rei,,,12,angry,rei,,2,delight,
d_ex_modernbar_08_45,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_45,True,,XS_120,XS_120,1.0,,,rei,,,12,angry,rei,,2,delight,
d_ex_modernbar_08_46,d_ex_modernbar_08,Self,Locale_SuddenStory:d_ex_modernbar_08_46,False,,XS_120,XS_120,1.0,,,,,,12,angry,rei,,2,delight,
d_ex_modernbar_08_47,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_47,True,,XS_120,XS_120,1.0,,none,rei,,,12,delight,rei,,2,delight,
d_ex_modernbar_08_48,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_48,True,,XS_120,XS_1200,1.0,sfx_scn_strawend,,rei,,,12,delight,rei,,2,delight,
d_ex_modernbar_08_49,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_49,False,,XS_1200,XS_1200,1.0,,,soda_b,,,12,delight,rei,,2,delight,
d_ex_modernbar_08_50,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_50,True,,XS_1200,XS_1200,1.0,,,rei,,,12,no,rei,,2,delight,
d_ex_modernbar_08_51,d_ex_modernbar_08,Self,Locale_SuddenStory:d_ex_modernbar_08_51,False,,XS_1200,XS_1200,1.0,,,,,,12,no,rei,,2,delight,
d_ex_modernbar_08_52,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_52,True,,XS_1200,XS_1200,1.0,,,rei,,,12,no,rei,,2,delight,
d_ex_modernbar_08_53,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_53,True,,XS_1200,XS_1200,1.0,,,rei,,,12,cry,rei,,2,delight,
d_ex_modernbar_08_54,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_54,True,,S_200,S_200,1.0,,,soda_b,,,12,cry,soda_b,,2,surprise,
d_ex_modernbar_08_55,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_55,True,,XS_1200,XS_1200,1.0,,bgm_story_herecomestrouble,rei,,,12,cry,rei,,2,surprise,
d_ex_modernbar_08_56,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_56,True,,S_200,S_200,1.0,,,soda_b,,,12,cry,soda_b,,2,surprise,
d_ex_modernbar_08_57,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_57,True,,XS_1200,XS_1200,1.0,,,rei,,,12,cry,rei,,2,surprise,
d_ex_modernbar_08_58,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_58,True,,XS_1200,XS_1200,1.0,,,rei,,,12,cry,rei,,2,surprise,
d_ex_modernbar_08_59,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_59,True,,XS_1200,1,1.0,,,soda_b,,,12,cry,soda_b,,2,surprise,
d_ex_modernbar_08_60,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_60,True,,1,1,1.0,,,rei,,,12,cry,rei,,2,surprise,
d_ex_modernbar_08_61,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_61,True,,1,1,1.0,,,soda_b,,,12,cry,soda_b,,2,surprise,
d_ex_modernbar_08_62,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_62,True,,1,XS_120,1.0,,,rei,,,12,cry,rei,,2,surprise,
d_ex_modernbar_08_63,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_63,True,,XS_120,S_20,1.0,,,soda_b,,,12,cry,soda_b,,2,worry,
d_ex_modernbar_08_64,d_ex_modernbar_08,Narration,Locale_SuddenStory:d_ex_modernbar_08_64,False,,S_20,S_20,1.0,sfx_scn_waterslip,,,,,12,cry,soda_b,,2,worry,soda_b
d_ex_modernbar_08_65,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_65,True,,S_20,S_20,1.0,,,soda_b,,,12,cry,soda_b,,,worry,
d_ex_modernbar_08_66,d_ex_modernbar_08,Monologue,Locale_SuddenStory:d_ex_modernbar_08_66,False,,black,black,1.0,,,,,,12,cry,soda_b,soda_b,2,worry,
d_ex_modernbar_08_67,d_ex_modernbar_08,Narration,Locale_SuddenStory:d_ex_modernbar_08_67,False,,12,XS_1200,0.5,sfx_scn_bottlebreak,,,Low_2,,12,cry,rei,,2,worry,
d_ex_modernbar_08_68,d_ex_modernbar_08,Monologue,Locale_SuddenStory:d_ex_modernbar_08_68,False,,XS_1200,XS_1200,1.0,,,,,,12,cry,rei,,2,worry,
d_ex_modernbar_08_69,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_69,True,,XS_1200,XS_1200,1.0,,,rei,Low_2,,12,cry,rei,,2,worry,
d_ex_modernbar_08_70,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_70,True,,XS_1200,XS_1200,1.0,,,rei,Low_2,,12,cry,rei,,2,worry,
d_ex_modernbar_08_71,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_71,True,,XS_1200,S_20,1.0,,,soda_b,,,12,cry,soda_b,,2,worry,
d_ex_modernbar_08_72,d_ex_modernbar_08,Self,Locale_SuddenStory:d_ex_modernbar_08_72,False,,S_20,S_20,1.0,,,,,,12,cry,rei,,2,worry,
d_ex_modernbar_08_73,d_ex_modernbar_08,Monologue,Locale_SuddenStory:d_ex_modernbar_08_73,False,,S_20,S_20,1.0,,,,,,12,cry,rei,,2,worry,
d_ex_modernbar_08_74,d_ex_modernbar_08,Self,Locale_SuddenStory:d_ex_modernbar_08_74,False,,S_20,S_20,1.0,,,,,,12,cry,soda_b,,2,worry,
d_ex_modernbar_08_75,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_75,True,,S_20,S_200,1.0,,,soda_b,,,12,cry,soda_b,,2,worry,
d_ex_modernbar_08_76,d_ex_modernbar_08,Narration,Locale_SuddenStory:d_ex_modernbar_08_76,False,,S_200,S_700,2.0,sfx_scn_dustcloth,,,,,12,cry,soda_b,,2,worry,
d_ex_modernbar_08_77,d_ex_modernbar_08,Monologue,Locale_SuddenStory:d_ex_modernbar_08_77,False,,S_700,S_700,1.0,,,,,,12,cry,soda_b,,2,worry,
d_ex_modernbar_08_78,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_78,True,,S_700,S_700,1.0,,,rei,,,12,delight,rei,,2,worry,
d_ex_modernbar_08_79,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_79,True,,S_700,S_700,1.0,,,rei,,,12,delight,rei,,2,worry,
d_ex_modernbar_08_80,d_ex_modernbar_08,Self,Locale_SuddenStory:d_ex_modernbar_08_80,False,,S_700,S_700,1.0,,,,,,12,delight,rei,,2,worry,
d_ex_modernbar_08_81,d_ex_modernbar_08,Monologue,Locale_SuddenStory:d_ex_modernbar_08_81,False,,S_700,XS_120,1.0,,,,,,12,delight,rei,,2,worry,
d_ex_modernbar_08_82,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_82,True,,XS_120,XS_120,1.0,,,rei,,,12,delight,rei,,2,worry,
d_ex_modernbar_08_83,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_83,True,,XS_120,S_20,1.0,,,soda_b,,,12,delight,soda_b,,2,worry,
d_ex_modernbar_08_84,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_84,True,,S_20,S_20,1.0,,,soda_b,,,12,delight,soda_b,,2,worry,
d_ex_modernbar_08_85,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_85,True,,S_20,XS_120,1.0,,,rei,,,12,angry,rei,,2,worry,
d_ex_modernbar_08_86,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_86,True,,XS_120,XS_120,1.0,,,rei,,,12,angry,rei,,2,worry,
d_ex_modernbar_08_87,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_87,True,,XS_120,1,1.0,,,soda_b,,,12,angry,soda_b,,2,surprise,
d_ex_modernbar_08_88,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_88,True,,1,1,1.0,,,rei,,,12,angry,rei,,2,surprise,
d_ex_modernbar_08_89,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_89,True,,1,1,1.0,,,rei,,,12,delight,rei,,2,surprise,
d_ex_modernbar_08_90,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_90,True,,1,1,1.0,,,rei,,,12,delight,rei,,2,surprise,
d_ex_modernbar_08_91,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_91,True,,1,S_20,1.0,,,soda_b,,,12,delight,soda_b,,2,cry,
d_ex_modernbar_08_92,d_ex_modernbar_08,Narration,Locale_SuddenStory:d_ex_modernbar_08_92,False,,S_20,S_200,1.0,sfx_scn_handheldcute,,,,,12,idle,soda_b,,2,cry,
d_ex_modernbar_08_93,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_93,True,,S_200,S_200,1.0,,,rei,,,12,idle,rei,,2,cry,
d_ex_modernbar_08_94,d_ex_modernbar_08,Monologue,Locale_SuddenStory:d_ex_modernbar_08_94,False,,S_200,XS_1200,1.0,,,,,,12,delight,rei,,2,cry,
d_ex_modernbar_08_95,d_ex_modernbar_08,Monologue,Locale_SuddenStory:d_ex_modernbar_08_95,False,,XS_1200,XS_1200,1.0,,,,,,12,delight,rei,,2,cry,
d_ex_modernbar_08_96,d_ex_modernbar_08,Speech,Locale_SuddenStory:d_ex_modernbar_08_96,True,,XS_1200,XS_1200,1.0,,,rei,,,12,delight,rei,,2,cry,
d_ex_modernbar_08_97,d_ex_modernbar_08,Monologue,Locale_SuddenStory:d_ex_modernbar_08_97,False,,XS_1200,XS_1200,1.0,,,,,,12,delight,rei,,2,cry,
