id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound
d_subquest_1181_s_32,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_32,True,,3,worry,,1,idle,,13,idle,,3,3,1.0,,,
d_subquest_1181_s_33,d_subquest_1181_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1181_s_33,True,,3,delight,,1,idle,,13,idle,,3,30,2.0,,,
d_subquest_1181_s_34,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_34,True,,3,delight,,1,idle,,13,idle,,30,30,1.0,,,
d_subquest_1181_s_35,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_35,True,,3,delight,,1,idle,,13,idle,,30,30,1.0,,,
d_subquest_1181_s_36,d_subquest_1181_s,Narration,,Narration,Locale_SubScenario:d_subquest_1181_s_36,False,,3,idle,,1,idle,,13,idle,,30,70,0.5,,Low_2,sfx_scn_snowwhiterifle
d_subquest_1181_s_37,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_37,True,,3,idle,,1,idle,,13,idle,,70,70,1.0,,,
d_subquest_1181_s_38,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_38,True,,3,idle,,1,idle,,13,idle,,70,7,1.0,,,
d_subquest_1181_s_39,d_subquest_1181_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1181_s_39,True,,3,idle,,1,idle,,13,angry,,7,13,0.5,,,
d_subquest_1181_s_40,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_40,True,,3,idle,,1,idle,,13,angry,,13,130,0.5,,,
d_subquest_1181_s_41,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_41,True,,3,idle,,1,idle,,13,angry,,130,130,1.0,,,
d_subquest_1181_s_42,d_subquest_1181_s,Self,,Self,Locale_SubScenario:d_subquest_1181_s_42,False,,3,idle,,1,idle,,13,angry,,130,130,1.0,,,
d_subquest_1181_s_43,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_43,True,,3,idle,,1,idle,,13,angry,,7,7,1.0,,,
d_subquest_1181_s_44,d_subquest_1181_s,Speech,teddy,teddy,Locale_SubScenario:d_subquest_1181_s_44,True,,3,idle,,1,idle,,13,angry,,7,7,1.0,,,
d_subquest_1181_s_45,d_subquest_1181_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1181_s_45,True,,3,worry,,1,idle,,13,angry,,7,3,2.0,,,
d_subquest_1181_s_46,d_subquest_1181_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1181_s_46,True,,3,idle,,1,idle,,13,angry,,3,3,1.0,,,
d_subquest_1181_s_47,d_subquest_1181_s,Self,,Self,Locale_SubScenario:d_subquest_1181_s_47,False,,3,idle,,1,idle,,13,angry,,3,3,1.0,,,
