id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,set_camera_shake
d_ex_maidcafe_03_78,d_ex_maidcafe_03,Self,Locale_SuddenStory:d_ex_maidcafe_03_78,False,,1,sad,,113,113,1.0,,,,,,13,delight,,
d_ex_maidcafe_03_79,d_ex_maidcafe_03,Narration,Locale_SuddenStory:d_ex_maidcafe_03_79,False,,1,sad,,black,black,1.0,,,,,,13,delight,,
d_ex_maidcafe_03_80,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_80,True,,1,sad,,130,130,1.0,,,folkwang,folkwang,,13,delight,,
d_ex_maidcafe_03_81,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_81,True,,1,sad,,130,130,1.0,,,folkwang,folkwang,,13,delight,,
d_ex_maidcafe_03_82,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_82,True,,1,idle,,130,113,1.0,,,soda,soda,,13,delight,,
d_ex_maidcafe_03_83,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_83,True,,1,idle,,113,113,1.0,,,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_84,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_84,True,,1,idle,,113,113,1.0,,,soda,soda,,13,idle,,
d_ex_maidcafe_03_85,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_85,True,,1,idle,,113,113,1.0,,,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_86,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_86,True,,5,think,,113,113,1.0,,,soda,soda,,13,idle,,
d_ex_maidcafe_03_87,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_87,True,,5,think,,113,113,1.0,,,folkwang,folkwang,,13,idle,,
d_ex_maidcafe_03_88,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_88,True,,1,think,,113,113,1.0,,none,soda,soda,,13,idle,,
d_ex_maidcafe_03_89,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_89,True,,1,sad,,113,113,1.0,,,soda,soda,,13,surprise,,
d_ex_maidcafe_03_90,d_ex_maidcafe_03,Narration,Locale_SuddenStory:d_ex_maidcafe_03_90,False,,1,sad,,113,113,1.0,sfx_scn_heavytrip,,,,,13,surprise,,Low_2
d_ex_maidcafe_03_91,d_ex_maidcafe_03,Narration,Locale_SuddenStory:d_ex_maidcafe_03_91,False,,1,sad,,113,113,1.0,sfx_scn_waterslide,,,,,13,surprise,,
d_ex_maidcafe_03_92,d_ex_maidcafe_03,Monologue,Locale_SuddenStory:d_ex_maidcafe_03_92,False,,1,sad,,113,130,1.0,,,,,,13,surprise,,
d_ex_maidcafe_03_93,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_93,True,,1,sad,,130,130,1.0,,,folkwang,folkwang,,13,surprise,,
d_ex_maidcafe_03_94,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_94,True,,1,sad,,130,130,1.0,,,folkwang,folkwang,,13,surprise,,
d_ex_maidcafe_03_95,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_95,True,,1,sad,,130,113,1.0,,,soda,soda,,13,surprise,,
d_ex_maidcafe_03_96,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_96,True,,1,sad,,113,113,1.0,,bgm_story_herecomestrouble,folkwang,folkwang,,13,delight,,
d_ex_maidcafe_03_97,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_97,True,,1,shy,,113,113,1.0,,,soda,soda,,13,delight,,
d_ex_maidcafe_03_98,d_ex_maidcafe_03,Self,Locale_SuddenStory:d_ex_maidcafe_03_98,False,,1,shy,,113,113,1.0,,,,,,13,delight,,
d_ex_maidcafe_03_99,d_ex_maidcafe_03,Monologue,Locale_SuddenStory:d_ex_maidcafe_03_99,False,,1,shy,,113,113,1.0,,,,,,13,delight,,
d_ex_maidcafe_03_100,d_ex_maidcafe_03,Narration,Locale_SuddenStory:d_ex_maidcafe_03_100,False,,1,sad,,113,113,1.0,sfx_scn_comichit,,,,,13,delight,,Low_2
d_ex_maidcafe_03_101,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_101,True,,1,sad,,130,130,1.0,,,folkwang,folkwang,,13,delight,,
d_ex_maidcafe_03_102,d_ex_maidcafe_03,Narration,Locale_SuddenStory:d_ex_maidcafe_03_102,False,,1,sad,,130,130,1.0,sfx_scn_heavytrip,,,,,13,delight,,Low_2
d_ex_maidcafe_03_103,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_103,True,,1,sad,,130,1300,1.0,,,folkwang,folkwang,,13,delight,,
d_ex_maidcafe_03_104,d_ex_maidcafe_03,Narration,Locale_SuddenStory:d_ex_maidcafe_03_104,False,,1,sad,,1300,1300,1.0,sfx_scn_heavytrip,,,,,13,delight,,Low_2
d_ex_maidcafe_03_105,d_ex_maidcafe_03,Speech,Locale_SuddenStory:d_ex_maidcafe_03_105,True,,1,sad,,S_100,S_100,1.0,,,soda,soda,,13,delight,,
d_ex_maidcafe_03_106,d_ex_maidcafe_03,Monologue,Locale_SuddenStory:d_ex_maidcafe_03_106,False,,1,sad,,black,black,1.0,,,,,,13,delight,,
d_ex_maidcafe_03_107,d_ex_maidcafe_03,Monologue,Locale_SuddenStory:d_ex_maidcafe_03_107,False,,1,sad,,black,black,1.0,,,,,,13,delight,,
