id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_10_03_e_11,d_main_10_03_e,Speech,anis,anis,Locale_MainScenario:d_main_10_03_e_11,True,,15,15,1.0,,,16,idle,,,14,idle,,,,,,,,
d_main_10_03_e_12,d_main_10_03_e,Narration,,Narration,Locale_MainScenario:d_main_10_03_e_12,False,,black,black,1.0,,,16,idle,,,14,idle,,emma,2,idle,emma,,,
d_main_10_03_e_13,d_main_10_03_e,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_e_13,False,,15,15,1.0,,,16,idle,,,14,idle,,,,,,,,
d_main_10_03_e_14,d_main_10_03_e,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_e_14,True,,15,15,1.0,,,16,idle,,,14,idle,,,,,,,,
d_main_10_03_e_15,d_main_10_03_e,Speech,anis,anis,Locale_MainScenario:d_main_10_03_e_15,True,,15,15,1.0,,,16,idle,,,14,delight,,,,,,,,
d_main_10_03_e_16,d_main_10_03_e,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_e_16,False,,15,15,1.0,,,16,shy,,,14,delight,,,,,,,,
d_main_10_03_e_17,d_main_10_03_e,Speech,anis,anis,Locale_MainScenario:d_main_10_03_e_17,True,,15,15,1.0,,,16,shy,,,14,delight,,emma,2,special,,,,
d_main_10_03_e_18,d_main_10_03_e,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_03_e_18,True,,12,12,1.0,,,16,shy,,,14,delight,,,2,special,,eunhwa,12,idle
d_main_10_03_e_19,d_main_10_03_e,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_03_e_19,True,,12,12,1.0,,,16,shy,,,14,delight,,,2,special,,,12,idle
d_main_10_03_e_20,d_main_10_03_e,Speech,anis,anis,Locale_MainScenario:d_main_10_03_e_20,True,,12,15,1.0,,,16,shy,,,14,delight,,,2,special,,,12,idle
d_main_10_03_e_21,d_main_10_03_e,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_e_21,True,,15,15,1.0,,,16,idle,,,14,delight,,,2,special,,,12,idle
d_main_10_03_e_22,d_main_10_03_e,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_03_e_22,True,,12,12,1.0,,,16,idle,,,14,idle,,,2,special,,,12,idle
d_main_10_03_e_23,d_main_10_03_e,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_e_23,True,,16,XS_160,1.0,,,16,angry,,,14,idle,,,2,special,,,12,idle
d_main_10_03_e_24,d_main_10_03_e,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_e_24,True,,XS_160,XS_1600,0.6,,,16,angry,,,14,idle,,,2,special,,,12,idle
d_main_10_03_e_25,d_main_10_03_e,Speech,emma,emma,Locale_MainScenario:d_main_10_03_e_25,False,,20,20,1.0,,,16,angry,,,14,idle,,,2,special,,,12,idle
d_main_10_03_e_26,d_main_10_03_e,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_03_e_26,False,,120,120,1.0,,,16,angry,,,14,idle,,,2,idle,,,12,idle
d_main_10_03_e_27,d_main_10_03_e,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_03_e_27,True,,120,12,1.0,,,16,angry,,,14,idle,,,2,idle,,,12,angry
d_main_10_03_e_28,d_main_10_03_e,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_e_28,True,,XS_1600,XS_160,1.4,,,16,idle,,,14,idle,,,2,idle,,,12,angry
d_main_10_03_e_29,d_main_10_03_e,Narration,,Narration,Locale_MainScenario:d_main_10_03_e_29,False,,1,1,1.0,,,16,idle,,,14,idle,,,2,idle,,,6,angry
d_main_10_03_e_30,d_main_10_03_e,Speech,emma,emma,Locale_MainScenario:d_main_10_03_e_30,True,,1,2,1.0,,,16,idle,,,14,idle,,,2,delight,,,8,idle
d_main_10_03_e_31,d_main_10_03_e,Narration,,Narration,Locale_MainScenario:d_main_10_03_e_31,False,,2,2,1.0,,,16,idle,,,14,worry,,,6,delight,,,8,idle
d_main_10_03_e_32,d_main_10_03_e,Speech,vesti,vesti,Locale_MainScenario:d_main_10_03_e_32,True,,15,15,1.0,,,16,shy,,,14,worry,,,6,idle,,,8,idle
d_main_10_03_e_33,d_main_10_03_e,Speech,anis,anis,Locale_MainScenario:d_main_10_03_e_33,True,,15,15,1.0,,,16,shy,,,14,worry,,,6,idle,,,8,idle
d_main_10_03_e_34,d_main_10_03_e,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_03_e_34,True,,7,7,1.0,,,16,shy,vesti,,14,worry,anis,,6,idle,,,8,idle
d_main_10_03_e_35,d_main_10_03_e,Speech,emma,emma,Locale_MainScenario:d_main_10_03_e_35,True,,7,7,1.0,,,,,,,,,,,6,idle,,,8,idle
d_main_10_03_e_36,d_main_10_03_e,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_03_e_36,True,,7,7,1.0,,,,,,,,,,,6,idle,,,8,idle
d_main_10_03_e_37,d_main_10_03_e,Speech,emma,emma,Locale_MainScenario:d_main_10_03_e_37,True,,7,7,1.0,,,,,,,,,,,6,worry,,,8,idle
d_main_10_03_e_38,d_main_10_03_e,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_03_e_38,True,,7,7,1.0,,,,,,,,,,,6,worry,,,8,shy
d_main_10_03_e_39,d_main_10_03_e,Speech,emma,emma,Locale_MainScenario:d_main_10_03_e_39,True,,7,7,1.0,,,,,,,,,,,6,worry,,,8,shy
d_main_10_03_e_40,d_main_10_03_e,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_03_e_40,False,,7,80,1.0,,,,,,,,,,,6,worry,,,8,shy
d_main_10_03_e_41,d_main_10_03_e,Speech,emma,emma,Locale_MainScenario:d_main_10_03_e_41,False,,60,60,1.0,,,,,,,,,,,6,worry,,,8,shy
d_main_10_03_e_42,d_main_10_03_e,Speech,emma,emma,Locale_MainScenario:d_main_10_03_e_42,True,,60,60,1.0,,,,,,,,,,,6,surprise,,,8,shy
d_main_10_03_e_43,d_main_10_03_e,Speech,emma,emma,Locale_MainScenario:d_main_10_03_e_43,True,,60,60,1.0,,,,,,,,,,,6,delight,,,8,shy
d_main_10_03_e_44,d_main_10_03_e,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_03_e_44,True,,60,7,1.0,,,,,,,,,,,6,delight,,,8,shy
d_main_10_03_e_45,d_main_10_03_e,Speech,emma,emma,Locale_MainScenario:d_main_10_03_e_45,True,,7,7,1.0,,,,,,,,,,,6,delight,,,8,shy
d_main_10_03_e_46,d_main_10_03_e,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_03_e_46,True,,7,8,1.0,,,,,,,,,,,6,delight,,,9,shy
d_main_10_03_e_47,d_main_10_03_e,Speech,emma,emma,Locale_MainScenario:d_main_10_03_e_47,False,,8,8,1.0,,,,,,,,,,,7,special,,,9,shy
d_main_10_03_e_48,d_main_10_03_e,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_03_e_48,True,,8,8,1.0,,,,,,,,,,,7,special,,,9,shy
