id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_ex_powerplant_06_13,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_13,True,,2,2,1.0,,,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_14,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_14,True,,2,3,1.0,,,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_15,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_15,True,,3,3,1.0,,,,,3,surprise,,1,idle,,,,,,,,,
d_ex_powerplant_06_16,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_16,True,,3,S_30,1.0,,,,,3,shy,,1,idle,,,,,,,,,
d_ex_powerplant_06_17,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_17,True,,S_30,S_30,1.0,,,,,3,surprise,,1,idle,,,,,,,,,
d_ex_powerplant_06_18,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_18,True,,S_30,S_30,1.0,,,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_19,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_19,True,,1,1,1.0,,,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_20,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_20,True,,1,1,1.0,,,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_21,d_ex_powerplant_06,Choice,,,Locale_SuddenStory:d_ex_powerplant_06_21,False,,1,1,1.0,,d_ex_powerplant_06_23,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_22,d_ex_powerplant_06,Choice,,,Locale_SuddenStory:d_ex_powerplant_06_22,False,,1,1,1.0,,d_ex_powerplant_06_23,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_23,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_23,True,,1,10,1.0,,,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_24,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_24,True,,10,10,1.0,,,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_25,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_25,True,,10,10,1.0,,,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_26,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_26,True,,10,10,1.0,,,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_27,d_ex_powerplant_06,Self,,Self,Locale_SuddenStory:d_ex_powerplant_06_27,False,,10,10,1.0,,,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_28,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_28,True,,10,10,1.0,,,,,3,idle,,1,idle,,,,,,,,,
d_ex_powerplant_06_29,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_29,True,,10,10,1.0,,,,,3,idle,,1,angry,,,,,,,,,
d_ex_powerplant_06_30,d_ex_powerplant_06,Speech,laplace,laplace,Locale_SuddenStory:d_ex_powerplant_06_30,True,,14,14,1.0,,,Low_2,,3,idle,,1,angry,,laplace,13,idle,,drake,15,idle,
d_ex_powerplant_06_31,d_ex_powerplant_06,Speech,drake,drake,Locale_SuddenStory:d_ex_powerplant_06_31,True,,14,14,1.0,,,Low_2,,3,idle,,1,angry,,,13,idle,,,15,delight,
d_ex_powerplant_06_32,d_ex_powerplant_06,Speech,drake,drake,Locale_SuddenStory:d_ex_powerplant_06_32,True,,14,14,1.0,,,Low_2,,3,idle,,1,angry,,,13,idle,,,15,delight,
d_ex_powerplant_06_33,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_33,True,,14,1,1.0,,,,,3,idle,,1,angry,,,13,idle,,,15,delight,
d_ex_powerplant_06_34,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_34,True,,1,1,1.0,,,,,3,idle,,1,sad,,,13,idle,,,15,delight,
d_ex_powerplant_06_35,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_35,True,,1,1,1.0,,,,,3,idle,,1,idle,,,13,idle,,,15,idle,
d_ex_powerplant_06_36,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_36,True,,1,14,1.0,,,Low_2,,3,idle,,1,angry,,,13,idle,,,15,idle,
d_ex_powerplant_06_37,d_ex_powerplant_06,Speech,laplace,laplace,Locale_SuddenStory:d_ex_powerplant_06_37,True,,14,14,1.0,,,Low_2,,3,idle,,1,angry,,,13,no,,,15,no,
d_ex_powerplant_06_38,d_ex_powerplant_06,Speech,laplace,laplace,Locale_SuddenStory:d_ex_powerplant_06_38,True,,14,14,1.0,,,,,3,idle,,1,angry,,,13,no,,,15,no,
d_ex_powerplant_06_39,d_ex_powerplant_06,Speech,drake,drake,Locale_SuddenStory:d_ex_powerplant_06_39,True,,14,14,1.0,,,,,3,idle,,1,angry,,,13,no,,,15,no,
d_ex_powerplant_06_40,d_ex_powerplant_06,Speech,drake,drake,Locale_SuddenStory:d_ex_powerplant_06_40,True,,14,14,1.0,,,,,3,idle,,1,angry,,,13,no,,,15,no,
d_ex_powerplant_06_41,d_ex_powerplant_06,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_06_41,True,,1,10,0.5,,,,,3,idle,,1,angry,,,13,no,,,15,no,
d_ex_powerplant_06_42,d_ex_powerplant_06,Monologue,,Monologue,Locale_SuddenStory:d_ex_powerplant_06_42,False,,10,10,1.0,,,,,3,idle,,1,angry,maxwell,,13,no,laplace,,15,no,drake
d_ex_powerplant_06_43,d_ex_powerplant_06,Self,,Self,Locale_SuddenStory:d_ex_powerplant_06_43,False,,10,3,1.0,,,,,3,idle,,,,,,,,,,,,
d_ex_powerplant_06_44,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_44,True,,3,3,1.0,,,,,3,surprise,,,,,,,,,,,,
d_ex_powerplant_06_45,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_45,True,,3,3,1.0,,,,,3,idle,,,,,,,,,,,,
d_ex_powerplant_06_46,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_46,True,,3,3,1.0,,,,,3,delight,,,,,,,,,,,,
d_ex_powerplant_06_47,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_47,True,,3,3,1.0,,,,,3,delight,,,,,,,,,,,,
d_ex_powerplant_06_48,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_48,True,,3,3,1.0,,,,,3,delight,,,,,,,,,,,,
d_ex_powerplant_06_49,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_49,True,,3,3,1.0,,,,,3,idle,,,,,,,,,,,,
d_ex_powerplant_06_50,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_50,True,,3,3,1.0,,,,,3,idle,,,,,,,,,,,,
d_ex_powerplant_06_51,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_51,True,,3,3,1.0,,,,,3,shy,,,,,,,,,,,,
d_ex_powerplant_06_52,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_52,True,,3,S_30,1.0,,,,,3,shy,,,,,,,,,,,,
d_ex_powerplant_06_53,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_53,True,,S_30,S_30,1.0,,,,,3,shy,,,,,,,,,,,,
d_ex_powerplant_06_54,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_54,True,,S_30,S_30,1.0,,,,,3,idle,,,,,,,,,,,,
d_ex_powerplant_06_55,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_55,True,,S_30,S_30,1.0,,,Low_2,,3,special,,,,,,,,,,,,
d_ex_powerplant_06_56,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_56,True,,S_30,S_30,1.0,,,,,3,shy,,,,,,,,,,,,
d_ex_powerplant_06_57,d_ex_powerplant_06,Self,,Self,Locale_SuddenStory:d_ex_powerplant_06_57,False,,S_30,S_30,1.0,,,,,3,shy,,,,,,,,,,,,
d_ex_powerplant_06_58,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_58,True,,S_30,3,1.0,,,,,3,worry,,,,,,,,,,,,
d_ex_powerplant_06_59,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_59,True,,3,3,1.0,,,,,3,worry,,,,,,,,,,,,
d_ex_powerplant_06_60,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_60,True,,3,3,1.0,,,,,3,shy,,,,,,,,,,,,
d_ex_powerplant_06_61,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_61,True,,3,3,1.0,,,,,3,special,,,,,,,,,,,,
d_ex_powerplant_06_62,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_62,True,,3,3,1.0,,,,,3,special,,,,,,,,,,,,
d_ex_powerplant_06_63,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_63,True,,3,3,1.0,,,,,3,special,,,,,,,,,,,,
d_ex_powerplant_06_64,d_ex_powerplant_06,Self,,Self,Locale_SuddenStory:d_ex_powerplant_06_64,False,,3,3,1.0,,,,,3,special,,,,,,,,,,,,
d_ex_powerplant_06_65,d_ex_powerplant_06,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_06_65,True,,3,3,1.0,,,,,3,delight,,,,,,,,,,,,
d_ex_powerplant_06_66,d_ex_powerplant_06,Monologue,,Monologue,Locale_SuddenStory:d_ex_powerplant_06_66,False,,black,black,1.0,,,,,3,delight,,,,,,,,,,,,
d_ex_powerplant_06_67,d_ex_powerplant_06,Monologue,,Monologue,Locale_SuddenStory:d_ex_powerplant_06_67,False,,black,black,1.0,,,,,3,delight,,,,,,,,,,,,
