id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/3/hide_char_id,fade
d_main_21_06_11,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_11,True,,7,7,1.0,,anis,anis,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_12,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_12,True,,7,70,1.0,,anis,anis,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_13,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_13,True,,15,15,1.0,,isabel,isabel,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_14,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_14,True,,70,700,1.0,,anis,anis,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_15,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_15,False,,13,13,2.0,,harran,harran,,7,idle,,5,idle,,3,idle,,,,,13,rage,,15,angry,,17,pain,,
d_main_21_06_16,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_16,False,,13,15,2.0,,isabel,isabel,,7,idle,,5,idle,,3,idle,,,,,13,rage,,15,angry,,17,pain,,
d_main_21_06_17,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_17,False,,15,17,2.0,,noah,noah,,7,idle,,5,idle,,3,idle,,,,,13,rage,,15,angry,,17,pain,,
d_main_21_06_18,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_18,True,,17,75,1.0,,anis,anis,,7,angry,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_19,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_19,True,,75,75,1.0,,neon,neon,,7,angry,,5,no,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_20,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_20,True,,75,S_50,3.0,,neon,neon,,7,angry,,5,no,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_21,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_21,True,,15,S_150,2.0,,isabel,isabel,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,pain,,17,idle,,
d_main_21_06_22,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_22,True,,S_150,S_150,1.0,,isabel,isabel,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,pain,,17,idle,,
d_main_21_06_23,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_23,True,,70,70,1.0,,anis,anis,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,pain,,17,idle,,
d_main_21_06_24,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_24,True,,S_150,S_150,1.0,,isabel,isabel,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,pain,,17,idle,,
d_main_21_06_25,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_25,True,,70,70,1.0,,anis,anis,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,pain,,17,idle,,
d_main_21_06_26,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_26,True,,S_150,S_150,1.0,,isabel,isabel,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,pain,,17,idle,,
d_main_21_06_27,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_27,True,,70,70,1.0,,anis,anis,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,pain,,17,idle,,
d_main_21_06_28,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_28,True,,S_150,S_150,1.0,,isabel,isabel,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,pain,,17,idle,,
d_main_21_06_29,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_29,True,,S_150,130,1.0,,harran,harran,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,pain,,17,idle,,
d_main_21_06_30,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_30,True,,130,130,1.0,,harran,harran,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,pain,,17,idle,,
d_main_21_06_31,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_31,True,,130,130,1.0,,harran,harran,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,pain,,17,idle,,
d_main_21_06_32,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_32,True,,130,1300,2.0,,harran,harran,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,pain,,17,idle,,
d_main_21_06_33,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_33,True,,1300,1300,1.0,,harran,harran,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,pain,,17,idle,,
d_main_21_06_34,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_34,True,,7,70,2.0,,anis,anis,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,pain,,17,idle,,
d_main_21_06_35,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_35,True,,70,700,1.0,,anis,anis,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,pain,,17,idle,,
d_main_21_06_36,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_36,True,,S_150,S_1500,1.0,,isabel,isabel,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,angry,,17,idle,,
d_main_21_06_37,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_37,True,,70,70,1.0,,anis,anis,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,angry,,17,idle,,
d_main_21_06_38,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_38,True,,70,70,1.0,,anis,anis,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,angry,,17,idle,,
d_main_21_06_39,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_39,True,,70,130,1.0,,harran,harran,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,angry,,17,idle,,
d_main_21_06_40,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_40,True,,130,130,1.0,,harran,harran,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,angry,,17,idle,,
d_main_21_06_41,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_41,True,,130,130,1.0,,harran,harran,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,angry,,17,idle,,
d_main_21_06_42,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_42,True,,130,1300,1.0,,harran,harran,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,angry,,17,idle,,
d_main_21_06_43,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_43,True,,7,70,2.0,,anis,anis,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,angry,,17,idle,,
d_main_21_06_44,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_44,True,,70,700,1.0,,anis,anis,,7,worry,,5,idle,,3,idle,,,,,13,idle,,15,angry,,17,idle,,
d_main_21_06_45,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_45,True,,S_150,S_1500,1.0,,isabel,isabel,,7,worry,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_46,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_46,True,,S_50,S_50,1.0,,neon,neon,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_47,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_47,True,,S_150,S_150,1.0,,isabel,isabel,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_48,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_48,True,,S_50,S_500,1.0,,neon,neon,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_49,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_49,False,,13,13,1.0,,harran,harran,,7,void,,5,idle,,3,idle,,,,,13,rage,,15,angry,,17,pain,,
d_main_21_06_50,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_50,False,,13,15,1.0,,isabel,isabel,,7,void,,5,idle,,3,idle,,,,,13,rage,,15,angry,,17,pain,,
d_main_21_06_51,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_51,False,,15,17,1.0,,noah,noah,,7,void,,5,idle,,3,idle,,,,,13,rage,,15,angry,,17,pain,,
d_main_21_06_52,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_52,True,,17,75,1.0,,neon,neon,,7,void,,5,no,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_53,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_53,True,,75,70,1.0,,anis,anis,,7,idle,,5,no,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_54,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_54,True,,70,700,2.0,,anis,anis,,7,idle,,5,no,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_55,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_55,True,,S_150,S_150,1.0,,isabel,isabel,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_56,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_56,True,,S_150,S_1500,1.0,,isabel,isabel,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_57,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_57,True,,30,30,1.0,,rapi,rapi,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_58,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_58,True,,S_150,S_150,1.0,,isabel,isabel,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_59,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_59,True,,S_150,S_150,1.0,,isabel,isabel,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_60,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_60,True,,30,30,1.0,,rapi,rapi,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_61,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_61,False,,S_150,S_1500,2.0,,isabel,isabel,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_62,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_62,True,,S_1500,S_1500,1.0,,neon,neon,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_63,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_63,True,,S_1500,S_150,1.0,,isabel,isabel,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_64,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_64,True,,S_150,S_150,1.0,,isabel,isabel,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_65,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_65,True,,30,30,1.0,,rapi,rapi,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
d_main_21_06_66,d_main_21_06,Speech,Locale_MainScenario:d_main_21_06_66,True,,30,30,1.0,,rapi,rapi,,7,void,,5,idle,,3,idle,,,,,13,idle,,15,idle,,17,idle,,
