id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_16_11_39,d_main_16_11,Self,crow,Self,Locale_MainScenario:d_main_16_11_39,False,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,12,smile,
d_main_16_11_40,d_main_16_11,Self,crow,Self,Locale_MainScenario:d_main_16_11_40,False,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,12,smile,
d_main_16_11_41,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_41,True,,12,120,2.0,,,,,,,,,,,,,,,,,,,,,12,surprise,
d_main_16_11_42,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_42,True,,120,120,1.0,,,,,,,,,,,,,,,,,,,,,12,surprise,
d_main_16_11_43,d_main_16_11,Self,crow,Self,Locale_MainScenario:d_main_16_11_43,False,,120,120,1.0,,,,,,,,,,,,,,,,,,,,,12,surprise,
d_main_16_11_44,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_44,True,,120,120,1.0,,,,,,,,,,,,,,,,,,,,,12,smile,
d_main_16_11_45,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_45,True,,120,1200,1.5,,,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_46,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_46,True,,1200,1200,1.0,,,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_47,d_main_16_11,Self,crow,Self,Locale_MainScenario:d_main_16_11_47,False,,1200,1200,1.0,,,,,,,,,,,,,,,,,,,,,12,idle,
d_main_16_11_48,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_48,True,,1200,120,1.5,,,,,,,,,,,,,,,,,,,,,12,angry,
d_main_16_11_49,d_main_16_11,Speech,crow,crow,Locale_MainScenario:d_main_16_11_49,False,,120,120,1.0,,,,,,,,,,,,,,,,,,,,,12,"expression_0,angry",
