id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/3/hide_char_id
d_subquest_1411_21,d_subquest_1411,Narration,,,Locale_SubScenario:d_subquest_1411_21,False,,1,idle,,3,idle,,13,no,,,,,black,black,1.0,,,
d_subquest_1411_22,d_subquest_1411,Speech,neon,neon,Locale_SubScenario:d_subquest_1411_22,False,,1,idle,,3,idle,,13,no,,,,,S_130,S_130,1.0,,,
d_subquest_1411_23,d_subquest_1411,Speech,neon,neon,Locale_SubScenario:d_subquest_1411_23,True,,1,idle,,3,idle,,13,no,,,,,S_130,S_1300,1.0,,,
d_subquest_1411_24,d_subquest_1411,Speech,anis,anis,Locale_SubScenario:d_subquest_1411_24,True,,1,idle,,3,sad,,13,no,,,,,30,30,1.0,,,
d_subquest_1411_25,d_subquest_1411,Speech,neon,neon,Locale_SubScenario:d_subquest_1411_25,True,,1,idle,,3,sad,,13,no,,,,,S_130,S_130,1.0,,,
d_subquest_1411_26,d_subquest_1411,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1411_26,False,,1,worry,,3,sad,,13,no,,,,,2,2,1.0,,,
d_subquest_1411_27,d_subquest_1411,Speech,anis,anis,Locale_SubScenario:d_subquest_1411_27,True,,1,worry,,3,sad,,13,no,,,,,2,2,1.0,,,
d_subquest_1411_28,d_subquest_1411,Speech,neon,neon,Locale_SubScenario:d_subquest_1411_28,False,,1,worry,,3,sad,,13,worry,,,,,S_130,S_130,1.0,,,
d_subquest_1411_29,d_subquest_1411,Speech,anis,anis,Locale_SubScenario:d_subquest_1411_29,True,,1,worry,,3,worry,,13,worry,,,,,30,30,1.0,,,
d_subquest_1411_30,d_subquest_1411,Speech,neon,neon,Locale_SubScenario:d_subquest_1411_30,True,,1,worry,,3,worry,,13,worry,,,,,S_130,S_130,1.0,,,
d_subquest_1411_31,d_subquest_1411,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1411_31,True,,1,worry,,3,worry,,13,worry,shifty,OP_leftup,sad,,S_130,12,1.0,,,
d_subquest_1411_32,d_subquest_1411,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1411_32,True,,1,worry,,3,worry,,13,worry,,OP_leftup,sad,,12,12,1.0,,,
d_subquest_1411_33,d_subquest_1411,Narration,,,Locale_SubScenario:d_subquest_1411_33,False,,1,worry,,3,worry,,13,worry,,OP_leftup,sad,,black,black,1.0,,,shifty
d_subquest_1411_34,d_subquest_1411,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1411_34,True,,1,idle,,3,worry,,13,idle,,,,,10,10,1.0,,,
d_subquest_1411_35,d_subquest_1411,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1411_35,True,,1,idle,,3,worry,,13,idle,,,,,10,10,1.0,,,
d_subquest_1411_36,d_subquest_1411,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1411_36,True,,1,idle,,3,worry,,13,idle,,,,,10,10,1.0,,,
d_subquest_1411_37,d_subquest_1411,Narration,,,Locale_SubScenario:d_subquest_1411_37,False,,1,idle,,3,worry,,13,idle,,,,,black,black,1.0,,,
d_subquest_1411_38,d_subquest_1411,Speech,neon,neon,Locale_SubScenario:d_subquest_1411_38,False,,1,idle,,3,worry,,13,worry,,,,,S_130,S_130,1.0,,,
d_subquest_1411_39,d_subquest_1411,Speech,anis,anis,Locale_SubScenario:d_subquest_1411_39,False,,1,idle,,3,worry,,13,worry,,,,,30,30,1.0,,,
d_subquest_1411_40,d_subquest_1411,Self,,,Locale_SubScenario:d_subquest_1411_40,False,,1,idle,,3,worry,,13,worry,,,,,30,2,1.0,,,
d_subquest_1411_41,d_subquest_1411,Monologue,,,Locale_SubScenario:d_subquest_1411_41,False,,1,idle,,3,worry,,13,worry,,,,,black,black,1.0,,,
d_subquest_1411_42,d_subquest_1411,Monologue,,,Locale_SubScenario:d_subquest_1411_42,False,,1,idle,,3,worry,,13,worry,,,,,black,black,1.0,,,
d_subquest_1411_43,d_subquest_1411,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1411_43,True,,1,idle,,3,worry,,13,idle,,,,,2,2,1.0,,,
d_subquest_1411_44,d_subquest_1411,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1411_44,True,,1,idle,,3,worry,,13,idle,,,,,2,2,1.0,,,
d_subquest_1411_45,d_subquest_1411,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1411_45,True,,1,idle,,3,worry,,13,idle,shifty,OP_leftup,worry,,2,2,1.0,,,
d_subquest_1411_46,d_subquest_1411,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1411_46,True,,1,idle,,3,worry,,13,idle,,OP_leftup,worry,,2,2,1.0,,,
d_subquest_1411_47,d_subquest_1411,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1411_47,True,,1,idle,,3,worry,,13,idle,,OP_leftup,worry,,2,2,1.0,,,
d_subquest_1411_48,d_subquest_1411,Self,,,Locale_SubScenario:d_subquest_1411_48,False,,1,idle,,3,worry,,13,idle,,OP_leftup,worry,,2,2,1.0,,,
d_subquest_1411_49,d_subquest_1411,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1411_49,True,,1,idle,,3,worry,,13,idle,,OP_leftup,worry,,2,2,1.0,,,
d_subquest_1411_50,d_subquest_1411,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1411_50,True,,1,idle,,3,worry,,13,idle,,OP_leftup,worry,,2,2,1.0,,,
d_subquest_1411_51,d_subquest_1411,Speech,anis,anis,Locale_SubScenario:d_subquest_1411_51,True,,1,idle,,3,pain,,13,idle,,OP_leftup,worry,,2,2,1.0,,,
d_subquest_1411_52,d_subquest_1411,Speech,anis,anis,Locale_SubScenario:d_subquest_1411_52,True,,1,idle,,3,pain,,13,idle,,OP_leftup,worry,,2,2,1.0,,,
d_subquest_1411_53,d_subquest_1411,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1411_53,True,,1,idle,,3,pain,,13,idle,,OP_leftup,worry,,2,2,1.0,,,
d_subquest_1411_54,d_subquest_1411,Speech,neon,neon,Locale_SubScenario:d_subquest_1411_54,True,,1,idle,,3,pain,,13,worry,,OP_leftup,worry,,S_130,S_130,1.0,,,
d_subquest_1411_55,d_subquest_1411,Self,,,Locale_SubScenario:d_subquest_1411_55,False,,1,idle,,3,pain,,13,worry,,OP_leftup,worry,,S_130,S_130,1.0,,,
d_subquest_1411_56,d_subquest_1411,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1411_56,True,,1,idle,,3,pain,,13,idle,,OP_leftup,worry,,S_130,12,1.0,,,
d_subquest_1411_57,d_subquest_1411,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1411_57,True,,1,idle,,3,pain,,13,idle,,OP_leftup,worry,,12,12,1.0,,,
d_subquest_1411_58,d_subquest_1411,Self,,,Locale_SubScenario:d_subquest_1411_58,False,,1,idle,,3,pain,,13,idle,,OP_leftup,worry,,12,12,1.0,,,
d_subquest_1411_59,d_subquest_1411,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1411_59,True,,1,idle,,3,pain,,13,idle,,OP_leftup,worry,,12,12,1.0,,,
d_subquest_1411_60,d_subquest_1411,Speech,anis,anis,Locale_SubScenario:d_subquest_1411_60,True,,1,idle,,3,sad,,13,idle,,OP_leftup,worry,,30,30,1.0,,,
d_subquest_1411_61,d_subquest_1411,Speech,neon,neon,Locale_SubScenario:d_subquest_1411_61,True,,1,idle,,3,sad,,13,worry,,OP_leftup,worry,,S_130,S_130,1.0,,,
