id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_court_01_14,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_14,True,,2,2,1.0,,folkwang,folkwang,,,,1,idle,,3,delight,
d_ex_court_01_15,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_15,True,,2,2,1.0,,yulha,yulha,,,,1,idle,,3,idle,
d_ex_court_01_16,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_16,True,,2,30,1.0,,folkwang,folkwang,,,,1,idle,,3,surprise,
d_ex_court_01_17,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_17,True,,30,30,1.0,,folkwang,folkwang,,,,1,idle,,3,idle,
d_ex_court_01_18,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_18,True,,30,30,1.0,,folkwang,folkwang,,,,1,idle,,3,pain,
d_ex_court_01_19,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_19,True,,30,3,1.0,,folkwang,folkwang,,,,1,idle,,3,delight,
d_ex_court_01_20,d_ex_court_01,Monologue,Locale_SuddenStory:d_ex_court_01_20,True,,3,1,2.0,,folkwang,,,,,1,idle,,3,delight,folkwang
d_ex_court_01_21,d_ex_court_01,Self,Locale_SuddenStory:d_ex_court_01_21,False,,1,1,1.0,,folkwang,,,,,1,idle,,,,
d_ex_court_01_22,d_ex_court_01,Narration,Locale_SuddenStory:d_ex_court_01_22,True,,1,L_10,2.0,,folkwang,,,,,1,idle,,,,
d_ex_court_01_23,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_23,True,,L_10,30,0.5,,folkwang,folkwang,sfx_scn_autodooropen,,,1,idle,folkwang,3,surprise,
d_ex_court_01_24,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_24,True,,30,30,1.0,,folkwang,folkwang,,,,1,idle,,3,surprise,
d_ex_court_01_25,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_25,True,,30,30,1.0,,folkwang,folkwang,,,,1,idle,,3,surprise,
d_ex_court_01_26,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_26,True,,30,2,1.0,,yulha,yulha,,,,1,sad,,3,surprise,
d_ex_court_01_27,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_27,True,,2,2,1.0,,folkwang,folkwang,,,,1,sad,,3,surprise,
d_ex_court_01_28,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_28,True,,2,2,1.0,,folkwang,folkwang,,,,1,idle,,3,pain,
d_ex_court_01_29,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_29,True,,2,2,1.0,,folkwang,folkwang,,,,1,idle,,3,pain,
d_ex_court_01_30,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_30,True,,2,2,1.0,,yulha,yulha,,,,1,angry,,3,idle,
d_ex_court_01_31,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_31,True,,2,2,1.0,,folkwang,folkwang,,,,1,idle,,3,surprise,
d_ex_court_01_32,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_32,True,,2,2,1.0,,folkwang,folkwang,,,,1,idle,,3,pain,
d_ex_court_01_33,d_ex_court_01,Self,Locale_SuddenStory:d_ex_court_01_33,True,,2,2,1.0,,folkwang,,,,,1,angry,,3,pain,
d_ex_court_01_34,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_34,True,,2,30,2.0,,folkwang,folkwang,,,,1,angry,,3,pain,
d_ex_court_01_35,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_35,False,,30,L_10,1.0,,yulha,yulha,,,,1,idle,,3,pain,
d_ex_court_01_36,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_36,True,,L_10,30,1.0,,folkwang,folkwang,,,,1,idle,,3,pain,
d_ex_court_01_37,d_ex_court_01,Narration,Locale_SuddenStory:d_ex_court_01_37,True,,black,black,1.0,,folkwang,,,,,1,idle,,3,pain,
d_ex_court_01_38,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_38,True,,L_10,L_100,0.5,,yulha,yulha,,,,1,angry,,3,idle,
d_ex_court_01_39,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_39,True,,L_100,L_100,1.0,,yulha,yulha,,,,1,angry,,3,idle,
d_ex_court_01_40,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_40,True,,30,30,1.0,,folkwang,folkwang,,,,1,angry,,3,idle,
d_ex_court_01_41,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_41,True,,L_100,L_100,1.0,,yulha,yulha,,,,1,angry,,3,idle,
d_ex_court_01_42,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_42,True,,30,30,1.0,,folkwang,folkwang,,,,1,angry,,3,surprise,
d_ex_court_01_43,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_43,True,,30,30,1.0,,folkwang,folkwang,,,,1,angry,,3,delight,
d_ex_court_01_44,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_44,True,,30,30,1.0,,yulha,yulha,,,,1,angry,,3,delight,
d_ex_court_01_45,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_45,True,,30,300,0.5,,folkwang,folkwang,,,,1,idle,,3,surprise,
d_ex_court_01_46,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_46,True,,300,300,1.0,,folkwang,folkwang,,,,1,idle,,3,idle,
d_ex_court_01_47,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_47,True,,300,300,1.0,,folkwang,folkwang,,,,1,idle,,3,idle,
d_ex_court_01_48,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_48,True,,300,300,1.0,,folkwang,folkwang,,,,1,idle,,3,idle,
d_ex_court_01_49,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_49,True,,300,300,1.0,,folkwang,folkwang,,,,1,idle,,3,idle,
d_ex_court_01_50,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_50,True,,300,30,1.0,,folkwang,folkwang,,,,1,idle,,3,pain,
d_ex_court_01_51,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_51,True,,L_10,L_10,1.0,,yulha,yulha,,,,1,idle,,3,pain,
d_ex_court_01_52,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_52,True,,L_10,30,1.0,,folkwang,folkwang,,,,1,idle,,3,idle,
d_ex_court_01_53,d_ex_court_01,Self,Locale_SuddenStory:d_ex_court_01_53,True,,30,30,1.0,,folkwang,,,,,1,idle,,3,pain,
d_ex_court_01_54,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_54,True,,30,30,1.0,,folkwang,folkwang,,,,1,idle,,3,idle,
d_ex_court_01_55,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_55,True,,30,30,1.0,,folkwang,folkwang,,,,1,idle,,3,pain,
d_ex_court_01_56,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_56,True,,30,30,1.0,,folkwang,folkwang,,,,1,idle,,3,idle,
d_ex_court_01_57,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_57,True,,30,300,0.5,,folkwang,folkwang,,,,1,idle,,3,pain,
d_ex_court_01_58,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_58,True,,300,300,1.0,,folkwang,folkwang,,,,1,idle,,3,pain,
d_ex_court_01_59,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_59,True,,L_10,L_10,1.0,,yulha,yulha,,,,1,sad,,3,idle,
d_ex_court_01_60,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_60,True,,L_10,2,1.0,,yulha,yulha,,,,1,idle,,3,idle,
d_ex_court_01_61,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_61,True,,2,2,1.0,,folkwang,folkwang,,,,1,idle,,3,idle,
d_ex_court_01_62,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_62,True,,2,2,1.0,,yulha,yulha,,,,1,idle,,3,idle,
d_ex_court_01_63,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_63,True,,2,2,1.0,,folkwang,folkwang,,,,1,idle,,3,surprise,
d_ex_court_01_64,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_64,True,,2,2,1.0,,folkwang,folkwang,,,,1,idle,,3,idle,
d_ex_court_01_65,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_65,True,,2,2,1.0,,yulha,yulha,,,,1,idle,,3,idle,
d_ex_court_01_66,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_66,True,,2,2,1.0,,yulha,yulha,,,,1,idle,,3,idle,
d_ex_court_01_67,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_67,True,,2,2,1.0,,yulha,yulha,,,,1,idle,,3,surprise,
d_ex_court_01_68,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_68,True,,2,2,1.0,,yulha,yulha,,,,1,idle,,3,surprise,
d_ex_court_01_69,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_69,True,,2,3,2.0,,folkwang,folkwang,,,,1,idle,,3,idle,
d_ex_court_01_70,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_70,True,,3,30,0.5,,yulha,yulha,,,,1,idle,,3,surprise,
d_ex_court_01_71,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_71,True,,30,30,1.0,,folkwang,folkwang,,,,1,idle,,3,pain,
d_ex_court_01_72,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_72,True,,30,300,0.5,,yulha,yulha,,,,1,idle,,3,surprise,
d_ex_court_01_73,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_73,True,,300,300,1.0,,yulha,yulha,,,,1,idle,,3,surprise,
d_ex_court_01_74,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_74,True,,300,30,2.0,,folkwang,folkwang,,,,1,idle,,3,pain,
d_ex_court_01_75,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_75,True,,L_10,L_10,1.0,,yulha,yulha,,,,1,idle,,3,pain,
d_ex_court_01_76,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_76,True,,L_10,L_10,1.0,,yulha,yulha,,,,1,idle,,3,pain,
d_ex_court_01_77,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_77,True,,30,30,2.0,,folkwang,folkwang,,,,1,idle,,3,delight,
d_ex_court_01_78,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_78,True,,30,2,0.5,,yulha,yulha,,,,1,angry,,3,surprise,
d_ex_court_01_79,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_79,True,,2,2,1.0,,yulha,yulha,,,,1,angry,,3,surprise,
d_ex_court_01_80,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_80,True,,2,2,1.0,,folkwang,folkwang,,,,1,angry,,3,delight,
d_ex_court_01_81,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_81,True,,2,2,1.0,,folkwang,folkwang,,,,1,angry,,3,idle,
d_ex_court_01_82,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_82,True,,2,2,1.0,,folkwang,folkwang,,,,1,angry,,3,delight,
d_ex_court_01_83,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_83,True,,2,2,1.0,,yulha,yulha,,,,1,angry,,3,surprise,
d_ex_court_01_84,d_ex_court_01,Choice,Locale_SuddenStory:d_ex_court_01_84,True,,2,2,1.0,,yulha,,,d_ex_court_01_86,,1,angry,,3,surprise,
d_ex_court_01_85,d_ex_court_01,Choice,Locale_SuddenStory:d_ex_court_01_85,True,,2,2,1.0,,yulha,,,d_ex_court_01_86,,1,angry,,3,surprise,
d_ex_court_01_86,d_ex_court_01,Speech,Locale_SuddenStory:d_ex_court_01_86,True,,2,L_10,0.5,,yulha,yulha,,,,1,angry,,3,surprise,
d_ex_court_01_87,d_ex_court_01,Monologue,Locale_SuddenStory:d_ex_court_01_87,True,,black,black,1.0,,yulha,,,,,1,angry,,3,surprise,
