id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,set_filter_01
d_main_17_01_s_27,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_27,True,,1,1,1.0,,,1,idle,rapunzel,rapunzel,
d_main_17_01_s_28,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_28,True,,1,1,1.0,,,1,idle,rapunzel,rapunzel,
d_main_17_01_s_29,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_29,True,,1,10,1.0,,,1,pain,rapunzel,rapunzel,
d_main_17_01_s_30,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_30,True,,10,10,1.0,,,1,pain,rapunzel,rapunzel,
d_main_17_01_s_31,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_31,True,,10,10,1.0,,,1,pain,rapunzel,rapunzel,
d_main_17_01_s_32,d_main_17_01_s,Self,Locale_MainScenario:d_main_17_01_s_32,False,,10,10,1.0,,,1,pain,rapunzel,,
d_main_17_01_s_33,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_33,True,,10,10,1.0,,,1,shy,rapunzel,rapunzel,
d_main_17_01_s_34,d_main_17_01_s,Monologue,Locale_MainScenario:d_main_17_01_s_34,False,,10,100,1.0,,,1,shy,rapunzel,,
d_main_17_01_s_35,d_main_17_01_s,Speech,Locale_MainScenario:d_main_17_01_s_35,True,,100,100,1.0,,,1,idle,rapunzel,rapunzel,
d_main_17_01_s_36,d_main_17_01_s,Self,Locale_MainScenario:d_main_17_01_s_36,False,,100,100,1.0,,,1,idle,rapunzel,,
