id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_03_06_14,d_main_03_06,Narration,neon,Narration,Locale_MainScenario:d_main_03_06_14,True,none,black,black,1.0,,sfx_scn_explosions,,1,idle,rapi,,3,angry,anis,,13,idle,neon,,17,idle,mihara,,19,idle,yuni
d_main_03_06_15,d_main_03_06,Speech,anis,anis,Locale_MainScenario:d_main_03_06_15,True,CityForest_01,3,3,1.0,,,rapi,1,idle,,anis,3,void,,neon,13,idle,,mihara,17,idle,,yuni,19,idle,
d_main_03_06_16,d_main_03_06,Speech,anis,anis,Locale_MainScenario:d_main_03_06_16,True,,3,30,1.0,,,,1,idle,,,3,idle,,,13,idle,,,17,idle,,,19,idle,
d_main_03_06_17,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_17,True,,30,10,1.0,bgm_mystery,,,1,idle,,,3,idle,,,13,idle,,,17,idle,,,19,idle,
d_main_03_06_18,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_18,True,,10,10,1.0,,,,1,idle,,,3,idle,,,13,idle,,,17,idle,,,19,idle,
d_main_03_06_19,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_19,True,,10,100,1.0,,,,1,idle,,,3,idle,,,13,idle,,,17,idle,,,19,idle,
d_main_03_06_20,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_20,True,,17,17,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_06_21,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_21,True,,17,170,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_06_22,d_main_03_06,Speech,yuni,yuni,Locale_MainScenario:d_main_03_06_22,True,,170,S_190,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_06_23,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_23,True,,S_190,1719,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_06_24,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_24,True,,1719,1719,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_06_25,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_25,True,,1719,1719,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_06_26,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_26,True,,1,1,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_06_27,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_27,False,,1,1,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_06_28,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_28,True,,1,10,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_06_29,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_29,False,,10,10,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_06_30,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_30,True,,10,100,3.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_06_31,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_31,True,,170,1700,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_06_32,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_32,True,,100,100,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_06_33,d_main_03_06,Speech,yuni,yuni,Locale_MainScenario:d_main_03_06_33,True,,S_190,S_1900,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,surprise,
d_main_03_06_34,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_34,True,,S_1900,1719,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,surprise,
d_main_03_06_35,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_35,False,,1719,1719,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_36,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_36,True,,1719,1719,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_37,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_37,True,,1719,170,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_38,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_38,True,,10,10,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_39,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_39,True,,10,100,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_40,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_40,True,,100,100,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_41,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_41,True,,170,1700,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_42,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_42,False,,1700,1700,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_43,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_43,True,,1700,1700,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_44,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_44,True,,1700,1700,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_45,d_main_03_06,Speech,anis,anis,Locale_MainScenario:d_main_03_06_45,True,,1700,1700,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_46,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_46,True,,1700,1719,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_47,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_47,True,,1719,1719,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_48,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_48,True,,1719,1719,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_49,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_49,True,,10,10,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_50,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_50,True,,10,100,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_51,d_main_03_06,Speech,neon,neon,Locale_MainScenario:d_main_03_06_51,True,,100,13,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_52,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_52,True,,13,10,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_53,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_53,True,,10,1719,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_54,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_54,True,,1719,1719,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_55,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_55,True,,1719,170,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
d_main_03_06_56,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_56,False,,170,10,3.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,think,
