id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_15_03_15,d_main_15_03,Speech,dolla,dolla,Locale_MainScenario:d_main_15_03_15,False,,14,14,1.0,,,,,,5,idle,,,3,idle,,,1,idle,,,13,"expression_0,good",,,15,delight,,,17,delight,
d_main_15_03_16,d_main_15_03,Speech,dolla,dolla,Locale_MainScenario:d_main_15_03_16,True,,14,S_130,1.0,,,,,,5,idle,,,3,idle,,,1,idle,,,13,good,,,15,delight,,,17,delight,
d_main_15_03_17,d_main_15_03,Self,dolla,Self,Locale_MainScenario:d_main_15_03_17,False,,S_130,S_130,1.0,,,,,,5,idle,,,3,idle,,,1,idle,,,13,good,,,15,idle,,,17,idle,
d_main_15_03_18,d_main_15_03,Speech,rapi,rapi,Locale_MainScenario:d_main_15_03_18,False,,5,5,1.0,,,,,,5,"expression_0,idle",,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,
d_main_15_03_19,d_main_15_03,Speech,neon,neon,Locale_MainScenario:d_main_15_03_19,True,,1,1,1.0,,,,,,5,idle,,,3,idle,,,1,surprise,,,13,idle,,,15,idle,,,17,idle,
d_main_15_03_20,d_main_15_03,Speech,anis,anis,Locale_MainScenario:d_main_15_03_20,True,,1,3,1.0,,,,,,5,idle,,,3,angry,,,1,surprise,,,13,idle,,,15,idle,,,17,idle,
d_main_15_03_21,d_main_15_03,Speech,anis,anis,Locale_MainScenario:d_main_15_03_21,True,,3,3,1.0,,,,,,5,idle,,,3,angry,,,1,surprise,,,13,idle,,,15,idle,,,17,idle,
d_main_15_03_22,d_main_15_03,Speech,neon,neon,Locale_MainScenario:d_main_15_03_22,True,,3,2,1.0,,,,,,5,idle,,,3,angry,,,1,worry,,,13,idle,,,15,idle,,,17,idle,
d_main_15_03_23,d_main_15_03,Speech,neon,neon,Locale_MainScenario:d_main_15_03_23,True,,2,2,1.0,,,,,,5,idle,,,3,angry,,,1,worry,,,13,idle,,,15,idle,,,17,idle,
d_main_15_03_24,d_main_15_03,Speech,neon,neon,Locale_MainScenario:d_main_15_03_24,True,,2,S_10,0.5,none,,,,,5,idle,,,3,angry,,,1,angry,,,13,idle,,,15,idle,,,17,idle,
d_main_15_03_25,d_main_15_03,Speech,neon,neon,Locale_MainScenario:d_main_15_03_25,True,OutpostOut,1,1,1.0,bgm_story_marrybad,Grey,black,,,5,idle,rapi,,3,idle,anis,,1,idle,neon,,13,idle,dolla,,15,idle,rupee,,17,idle,yan
d_main_15_03_26,d_main_15_03,Speech,neon,neon,Locale_MainScenario:d_main_15_03_26,True,ShowerRoom,1,1,1.0,,Grey,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,
d_main_15_03_27,d_main_15_03,Speech,neon,neon,Locale_MainScenario:d_main_15_03_27,True,NikkeRoom,1,1,1.0,,Grey,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,
d_main_15_03_28,d_main_15_03,Speech,neon,neon,Locale_MainScenario:d_main_15_03_28,True,CityForest_01,1,S_10,0.5,,,,,rapi,5,idle,,anis,3,pain,,neon,1,angry,,dolla,13,idle,,rupee,15,idle,,yan,17,idle,
d_main_15_03_29,d_main_15_03,Speech,anis,anis,Locale_MainScenario:d_main_15_03_29,True,,S_10,30,0.5,none,,,,,5,idle,,,3,angry,,,1,angry,,,13,idle,,,15,idle,,,17,idle,
d_main_15_03_30,d_main_15_03,Speech,anis,anis,Locale_MainScenario:d_main_15_03_30,True,,30,300,0.5,bgm_story_herecomestrouble,,,,,5,idle,,,3,angry,,,1,angry,,,13,idle,,,15,idle,,,17,idle,
d_main_15_03_31,d_main_15_03,Speech,yan,yan,Locale_MainScenario:d_main_15_03_31,True,,S_170,S_170,2.0,,,,,,5,idle,,,3,angry,,,1,idle,,,13,idle,,,15,idle,,,17,surprise,
d_main_15_03_32,d_main_15_03,Speech,yan,yan,Locale_MainScenario:d_main_15_03_32,True,,S_170,S_170,1.0,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,surprise,
d_main_15_03_33,d_main_15_03,Choice,yan,,Locale_MainScenario:d_main_15_03_33,False,,S_170,S_170,1.0,,,,d_main_15_03_35,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,surprise,
d_main_15_03_34,d_main_15_03,Choice,yan,,Locale_MainScenario:d_main_15_03_34,False,,S_170,S_170,1.0,,,,d_main_15_03_35,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,surprise,
d_main_15_03_35,d_main_15_03,Speech,dolla,dolla,Locale_MainScenario:d_main_15_03_35,True,,S_170,S_130,1.0,,,,,,5,idle,,,3,idle,,,1,idle,,,13,good,,,15,idle,,,17,surprise,
d_main_15_03_36,d_main_15_03,Speech,dolla,dolla,Locale_MainScenario:d_main_15_03_36,True,,S_130,S_130,1.0,,,,,,5,idle,,,3,idle,,,1,idle,,,13,good,,,15,idle,,,17,surprise,
d_main_15_03_37,d_main_15_03,Speech,dolla,dolla,Locale_MainScenario:d_main_15_03_37,True,,S_130,S_130,1.0,,,,,,5,idle,,,3,idle,,,1,idle,,,13,good,,,15,idle,,,17,surprise,
