id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,fade,conversation_id
d_ex_library_04_19,d_ex_library_04,Self,Locale_SuddenStory:d_ex_library_04_19,False,,9,13,1.0,,,,,,,,,,,,,,,
d_ex_library_04_20,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_20,True,,13,13,1.0,bgm_story_orangepop,,julia,julia,,julia,13,idle,,,,,,,
d_ex_library_04_21,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_21,True,,13,S_130,1.0,,,julia,julia,,,13,idle,,,,,,,
d_ex_library_04_22,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_22,True,,S_130,S_130,1.0,,,julia,julia,,,13,think,,,,,,,
d_ex_library_04_23,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_23,True,,S_130,S_130,1.0,,,julia,julia,,,13,think,,,,,,,
d_ex_library_04_24,d_ex_library_04,Self,Locale_SuddenStory:d_ex_library_04_24,False,,S_130,S_130,1.0,,,julia,Self,,,13,think,,,,,,,
d_ex_library_04_25,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_25,False,,S_130,S_130,1.0,,,julia,julia,,,13,think,,,,,,,
d_ex_library_04_26,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_26,True,,S_130,S_130,1.0,,,julia,julia,,,13,idle,,,,,,,
d_ex_library_04_27,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_27,True,,S_130,S_1300,2.0,,,julia,julia,,,13,idle,,,,,,,
d_ex_library_04_28,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_28,True,,S_1300,S_1300,1.0,,,julia,julia,,,13,idle,,,,,,,
d_ex_library_04_29,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_29,True,,S_1300,S_1300,1.0,,,julia,julia,,,13,idle,,,,,,,
d_ex_library_04_30,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_30,True,,S_1300,13,2.0,,,julia,julia,,,13,idle,,,,,,,
d_ex_library_04_31,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_31,True,,13,15,1.0,,,aria,aria,,,13,idle,aria,15,idle,,,,
d_ex_library_04_32,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_32,True,,15,15,1.0,,,aria,aria,,,13,idle,,15,idle,,,,
d_ex_library_04_33,d_ex_library_04,Self,Locale_SuddenStory:d_ex_library_04_33,False,,15,15,1.0,,,aria,,,,13,idle,,15,idle,,,,
d_ex_library_04_34,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_34,True,,15,15,1.0,,,aria,aria,,,13,idle,,15,idle,,,,
d_ex_library_04_35,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_35,True,,15,15,1.0,,,aria,aria,,,13,idle,,15,idle,,,,
d_ex_library_04_36,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_36,True,,15,15,1.0,,,aria,aria,,,13,idle,,15,idle,,,,
d_ex_library_04_37,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_37,True,,15,1315,1.0,,,aria,aria,,,13,idle,,15,idle,,,,
d_ex_library_04_38,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_38,True,,1315,1315,1.0,,,aria,aria,,,13,idle,,15,idle,,,,
d_ex_library_04_39,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_39,False,,1315,1315,1.0,,,julia,julia,,,13,idle,,15,idle,,,,
d_ex_library_04_40,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_40,True,,1315,1315,1.0,,,julia,julia,,,13,think,,15,idle,,,,
d_ex_library_04_41,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_41,True,,1315,1315,1.0,,,aria,aria,,,13,think,,15,idle,,,,
d_ex_library_04_42,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_42,True,,1315,1315,1.0,,,julia,julia,,,13,think,,15,idle,,,,
d_ex_library_04_43,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_43,True,,150,150,1.0,,,aria,aria,,,13,think,,15,idle,,,,
d_ex_library_04_44,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_44,True,,S_130,S_130,1.0,,,aria,aria,,,13,surprise,,15,idle,,,,
d_ex_library_04_45,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_45,True,,150,150,1.0,,,aria,aria,,,13,surprise,,15,idle,,,,
d_ex_library_04_46,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_46,True,,150,150,1.0,,,aria,aria,,,13,surprise,,15,idle,,,,
d_ex_library_04_47,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_47,True,,150,150,1.0,,,aria,aria,,,13,idle,,15,idle,,,,
d_ex_library_04_48,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_48,True,,150,150,1.0,,,aria,aria,,,13,idle,,15,idle,,,,
d_ex_library_04_49,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_49,True,,150,1500,2.0,,,aria,aria,,,13,idle,,15,think,,,,
d_ex_library_04_50,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_50,True,,1500,1500,1.0,,,aria,aria,,,13,idle,,15,think,,,,
d_ex_library_04_51,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_51,True,,1500,1500,1.0,,,aria,aria,,,13,idle,,15,think,,,,
d_ex_library_04_52,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_52,False,,S_130,S_1300,1.0,none,,julia,julia,,,13,surprise,,15,idle,,,,
d_ex_library_04_53,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_53,True,,S_1300,S_1300,1.0,,,julia,julia,,,13,surprise,,15,idle,,,,
d_ex_library_04_54,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_54,True,,S_1300,S_1300,1.0,,,julia,julia,,,13,surprise,,15,idle,,,,
d_ex_library_04_55,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_55,True,,150,150,1.0,,,aria,aria,,,13,surprise,,15,idle,,,,
d_ex_library_04_56,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_56,True,,150,150,1.0,,,aria,aria,,,13,idle,,15,idle,,,,
d_ex_library_04_57,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_57,True,,150,150,1.0,bgm_story_destinedtofight,,aria,aria,,,13,idle,,15,idle,,,,
d_ex_library_04_58,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_58,True,,150,150,1.0,,,aria,aria,,,13,idle,,15,think,,,,
d_ex_library_04_59,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_59,False,,150,1315,2.0,,,julia,julia,,,13,think,,15,think,,,,
d_ex_library_04_60,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_60,True,,1315,1315,1.0,,,julia,julia,,,13,delight,,15,idle,,,,
d_ex_library_04_61,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_61,True,,1315,1315,1.0,,,julia,julia,,,13,delight,,15,idle,,,,
d_ex_library_04_62,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_62,True,,1315,1315,1.0,,,julia,julia,,,13,delight,,15,idle,,,,
d_ex_library_04_63,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_63,True,,1315,1315,1.0,,,julia,julia,,,13,surprise,,15,idle,,,,
d_ex_library_04_64,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_64,True,,1315,1315,1.0,,,julia,julia,,,13,think,,15,idle,,,,
d_ex_library_04_65,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_65,True,,1315,1315,1.0,,,aria,aria,,,13,think,,15,delight,,,,
d_ex_library_04_66,d_ex_library_04,Self,Locale_SuddenStory:d_ex_library_04_66,False,,1315,1315,1.0,,,aria,,,,13,think,,15,think,,,,
d_ex_library_04_67,d_ex_library_04,Monologue,Locale_SuddenStory:d_ex_library_04_67,False,,1315,9,1.0,,,aria,,,,13,think,,15,think,,,,
d_ex_library_04_68,d_ex_library_04,Narration,Locale_SuddenStory:d_ex_library_04_68,False,,9,9,1.0,,sfx_scn_paperopen,aria,,,,13,think,,15,think,,,,
d_ex_library_04_69,d_ex_library_04,Narration,Locale_SuddenStory:d_ex_library_04_69,False,,9,9,1.0,,sfx_scn_violin,aria,,,,13,think,,15,think,,,,
d_ex_library_04_70,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_70,True,,9,9,1.0,,,aria,aria,,,13,think,,15,think,,,,
d_ex_library_04_71,d_ex_library_04,Narration,Locale_SuddenStory:d_ex_library_04_71,False,,9,9,1.0,,sfx_scn_violin,aria,,,,13,think,,15,think,,,,
d_ex_library_04_72,d_ex_library_04,Speech,Locale_SuddenStory:d_ex_library_04_72,True,,9,9,1.0,,,aria,aria,,,13,think,,15,think,,,,
d_ex_library_04_73,d_ex_library_04,Narration,Locale_SuddenStory:d_ex_library_04_73,False,,9,9,1.0,none,sfx_scn_bird,aria,,,,13,think,,15,think,julia,aria,black,
d_ex_library_04_74,d_ex_library_04,Monologue,Locale_SuddenStory:d_ex_library_04_74,False,,9,9,1.0,,,aria,,,,,,,,,,,,
d_ex_library_04_75,d_ex_library_04,Narration,Locale_SuddenStory:d_ex_library_04_75,False,,9,9,1.0,,sfx_scn_phonevibration,aria,,,,,,,,,,,,m_ex_library_04
