id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,fade
d_ex_hospital_02_26,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_26,True,,1,idle,,XS_10,XS_100,2.0,,,3,shy,,,,,
d_ex_hospital_02_27,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_27,True,,1,idle,,XS_100,XS_100,1.0,,,3,shy,,,,,
d_ex_hospital_02_28,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_28,True,,1,idle,,XS_100,XS_100,1.0,,,3,shy,,d_ex_hospital_02_31,,,
d_ex_hospital_02_29,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_29,True,,1,idle,,XS_10,XS_100,1.0,,,3,shy,,,,,
d_ex_hospital_02_30,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_30,True,,1,idle,,XS_100,XS_100,1.0,,,3,shy,,,,,
d_ex_hospital_02_31,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_31,True,,1,idle,,XS_100,XS_100,1.0,,,3,shy,,,,,
d_ex_hospital_02_32,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_32,True,,1,idle,,XS_100,XS_100,1.0,,,3,shy,,,,,
d_ex_hospital_02_33,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_33,True,,1,idle,,XS_100,XS_10,0.5,,,3,shy,,,,,
d_ex_hospital_02_34,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_34,True,,1,idle,,XS_10,2,2.0,,,3,shy,,,,,
d_ex_hospital_02_35,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_35,True,,1,idle,,2,2,1.0,,,3,shy,,,,,
d_ex_hospital_02_36,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_36,False,,1,idle,,2,2,1.0,,,3,shy,,,,,
d_ex_hospital_02_37,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_37,True,,1,idle,,2,XS_30,0.5,,,3,angry,,,,,
d_ex_hospital_02_38,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_38,True,,1,idle,,XS_30,XS_10,2.0,,,3,angry,,,,,
d_ex_hospital_02_39,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_39,True,,1,idle,,XS_10,XS_10,1.0,,,3,angry,,,,,
d_ex_hospital_02_40,d_ex_hospital_02,Narration,,,Locale_SuddenStory:d_ex_hospital_02_40,False,,1,idle,,black,black,1.0,none,,3,angry,,,mary,pepper,black
d_ex_hospital_02_41,d_ex_hospital_02,Narration,,,Locale_SuddenStory:d_ex_hospital_02_41,False,mary,1,idle,,15,2,2.0,,pepper,3,idle,,,,,
d_ex_hospital_02_42,d_ex_hospital_02,Self,,,Locale_SuddenStory:d_ex_hospital_02_42,False,,1,idle,,2,2,1.0,,,3,idle,,,,,
d_ex_hospital_02_43,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_43,True,,1,idle,,2,XS_30,1.0,bgm_story_leisuretime,,3,idle,,,,,
d_ex_hospital_02_44,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_44,True,,1,idle,,XS_30,XS_30,1.0,,,3,idle,,,,,
d_ex_hospital_02_45,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_45,True,,1,idle,,XS_30,XS_30,1.0,,,3,idle,,,,,
d_ex_hospital_02_46,d_ex_hospital_02,Self,pepper,,Locale_SuddenStory:d_ex_hospital_02_46,False,,1,idle,,XS_30,XS_30,1.0,,,3,idle,,,,,
d_ex_hospital_02_47,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_47,True,,1,idle,,XS_30,XS_30,1.0,,,3,surprise,,,,,
d_ex_hospital_02_48,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_48,True,,1,idle,,XS_30,XS_30,1.0,,,3,delight,,,,,
d_ex_hospital_02_49,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_49,True,,1,idle,,XS_30,XS_300,2.0,,,3,special,,,,,
d_ex_hospital_02_50,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_50,True,,1,idle,,XS_300,XS_300,1.0,,,3,special,,,,,
d_ex_hospital_02_51,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_51,True,,1,idle,,XS_300,XS_100,2.0,,,3,special,,,,,
d_ex_hospital_02_52,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_52,True,,1,idle,,XS_100,2,1.0,,,3,idle,,,,,
d_ex_hospital_02_53,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_53,True,,1,idle,,2,2,1.0,,,3,delight,,,,,
d_ex_hospital_02_54,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_54,True,,1,idle,,2,2,1.0,,,3,idle,,,,,
d_ex_hospital_02_55,d_ex_hospital_02,Self,mary,,Locale_SuddenStory:d_ex_hospital_02_55,False,,1,idle,,2,2,1.0,,,3,idle,,,,,
d_ex_hospital_02_56,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_56,True,,1,idle,,2,2,1.0,,,3,surprise,,,,,
d_ex_hospital_02_57,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_57,True,,1,idle,,2,2,1.0,,,3,surprise,,,,,
d_ex_hospital_02_58,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_58,True,,1,idle,,2,XS_30,0.5,,,3,surprise,,,,,
d_ex_hospital_02_59,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_59,True,,1,idle,,XS_10,XS_10,1.0,,,3,surprise,,,,,
d_ex_hospital_02_60,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_60,True,,1,idle,,XS_10,XS_10,1.0,,,3,surprise,,,,,
d_ex_hospital_02_61,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_61,True,,1,idle,,XS_30,XS_300,1.0,,,3,shy,,,,,
d_ex_hospital_02_62,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_62,False,,1,idle,,XS_300,XS_300,1.0,,,3,shy,,,,,
d_ex_hospital_02_63,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_63,True,,1,idle,,XS_300,XS_30,0.5,,,3,angry,,,,,
d_ex_hospital_02_64,d_ex_hospital_02,Self,pepper,,Locale_SuddenStory:d_ex_hospital_02_64,False,,1,idle,,XS_30,XS_30,1.0,,,3,angry,,,,,
d_ex_hospital_02_65,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_65,True,,1,idle,,XS_30,XS_30,1.0,,,3,special,,,,,
d_ex_hospital_02_66,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_66,True,,1,idle,,XS_30,XS_30,1.0,,,3,special,,,,,
d_ex_hospital_02_67,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_67,True,,1,idle,,XS_30,XS_30,1.0,,,3,delight,,,,,
d_ex_hospital_02_68,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_68,True,,1,idle,,XS_30,XS_10,2.0,,,3,idle,,,,,
d_ex_hospital_02_69,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_69,True,,1,idle,,XS_10,XS_10,1.0,,,3,idle,,,,,
d_ex_hospital_02_70,d_ex_hospital_02,Self,mary,,Locale_SuddenStory:d_ex_hospital_02_70,False,,1,idle,,XS_10,XS_10,1.0,,,3,idle,,,,,
d_ex_hospital_02_71,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_71,True,,1,idle,,XS_10,XS_10,2.0,,,3,idle,,,,,
d_ex_hospital_02_72,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_72,True,,1,idle,,XS_10,XS_10,1.0,,,3,idle,,,,,
d_ex_hospital_02_73,d_ex_hospital_02,Monologue,,,Locale_SuddenStory:d_ex_hospital_02_73,False,,1,idle,,XS_10,1,2.0,none,,3,idle,sfx_scn_autodooropen,,,,
d_ex_hospital_02_74,d_ex_hospital_02,Monologue,,,Locale_SuddenStory:d_ex_hospital_02_74,False,,1,idle,Hospital,1,13,2.0,,,3,idle,sfx_scn_emptywind,,mary,pepper,
d_ex_hospital_02_75,d_ex_hospital_02,Monologue,,,Locale_SuddenStory:d_ex_hospital_02_75,False,,,,,13,1,2.0,,,,,,,,,
d_ex_hospital_02_76,d_ex_hospital_02,Self,,,Locale_SuddenStory:d_ex_hospital_02_76,False,,,,,1,1,1.0,,,,,,,,,
d_ex_hospital_02_77,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_77,True,mary,1,idle,,1,XS_10,2.0,bgm_story_thepilgrim,pepper,3,idle,,,,,
d_ex_hospital_02_78,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_78,True,,1,idle,,XS_10,XS_30,1.0,,,3,idle,,,,,
d_ex_hospital_02_79,d_ex_hospital_02,Narration,pepper,,Locale_SuddenStory:d_ex_hospital_02_79,False,,1,idle,,XS_30,2,2.0,,,3,idle,,,,,
d_ex_hospital_02_80,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_80,True,,1,idle,,2,2,1.0,,,3,idle,,,,,
d_ex_hospital_02_81,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_81,True,,1,idle,,2,2,1.0,,,3,idle,,,,,
d_ex_hospital_02_82,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_82,True,,1,idle,,2,2,1.0,,,3,idle,,,,,
d_ex_hospital_02_83,d_ex_hospital_02,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_02_83,True,,1,idle,,2,2,1.0,,,3,idle,,,,,
d_ex_hospital_02_84,d_ex_hospital_02,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_02_84,True,,1,idle,,2,2,1.0,,,3,idle,,,,,
d_ex_hospital_02_85,d_ex_hospital_02,Self,,,Locale_SuddenStory:d_ex_hospital_02_85,False,,1,idle,,2,1,2.0,,,3,idle,,,mary,pepper,
d_ex_hospital_02_86,d_ex_hospital_02,Monologue,,,Locale_SuddenStory:d_ex_hospital_02_86,False,,,,,1,100,3.0,,,,,,,,,
