id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/4/hide_char_id,play_sound,set_camera_shake
d_main_11_06_s_23,d_main_11_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_11_06_s_23,True,,5,idle,,1,idle,,3,idle,,13,idle,,OP_leftup,idle,,4,4,1.0,,,,
d_main_11_06_s_24,d_main_11_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_11_06_s_24,False,,5,idle,,1,idle,,3,idle,,13,idle,,OP_leftup,think,,4,4,1.0,,,,
d_main_11_06_s_25,d_main_11_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_11_06_s_25,True,,5,idle,,1,idle,,3,idle,,13,idle,,OP_leftup,surprise,,4,4,1.0,,,,
d_main_11_06_s_26,d_main_11_06_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_06_s_26,True,,5,idle,,1,idle,,3,angry,,13,idle,,OP_leftup,surprise,,4,4,1.0,none,,,
d_main_11_06_s_27,d_main_11_06_s,Narration,,Narration,Locale_MainScenario:d_main_11_06_s_27,False,,5,idle,,1,idle,,3,angry,,13,idle,,OP_leftup,surprise,,4,4,1.0,,,sfx_scn_pierce,Low_2
d_main_11_06_s_28,d_main_11_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_11_06_s_28,False,,5,angry,,1,idle,,3,angry,,13,idle,,OP_leftup,surprise,,4,50,0.8,,,,
d_main_11_06_s_29,d_main_11_06_s,Narration,,Narration,Locale_MainScenario:d_main_11_06_s_29,False,,5,angry,,1,angry,,3,angry,,13,idle,,OP_leftup,surprise,,black,black,1.0,bgm_disaster,shifty,,
d_main_11_06_s_30,d_main_11_06_s,Speech,laplace,laplace,Locale_MainScenario:d_main_11_06_s_30,True,,5,angry,,1,angry,,3,angry,,13,idle,,,,,black,black,1.0,,,,
d_main_11_06_s_31,d_main_11_06_s,Narration,,Narration,Locale_MainScenario:d_main_11_06_s_31,False,,5,angry,,1,angry,,3,angry,,13,idle,,,,,black,black,1.0,,,sfx_scn_rapturebeam,
d_main_11_06_s_32,d_main_11_06_s,Narration,,Narration,Locale_MainScenario:d_main_11_06_s_32,False,,5,angry,,1,angry,,3,angry,,13,idle,,,,,black,black,1.0,,,,
d_main_11_06_s_33,d_main_11_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_11_06_s_33,True,,5,idle,,1,angry,,3,angry,,13,idle,,,,,50,50,1.0,,,,
d_main_11_06_s_34,d_main_11_06_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_06_s_34,True,,5,idle,,1,angry,,3,angry,,13,idle,,,,,30,30,1.0,,,,
d_main_11_06_s_35,d_main_11_06_s,Speech,drake,drake,Locale_MainScenario:d_main_11_06_s_35,True,,5,idle,,1,angry,,3,angry,,13,idle,,,,,130,130,1.0,,,,
d_main_11_06_s_36,d_main_11_06_s,Speech,laplace,laplace,Locale_MainScenario:d_main_11_06_s_36,True,,5,idle,,1,angry,,3,angry,,13,idle,,,,,S_10,S_10,1.0,,,,
d_main_11_06_s_37,d_main_11_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_11_06_s_37,True,,5,idle,,1,angry,,3,angry,,13,idle,shifty,OP_leftup,surprise,,50,50,1.0,,,,
d_main_11_06_s_38,d_main_11_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_11_06_s_38,True,,5,idle,,1,angry,,3,angry,,13,idle,,OP_leftup,surprise,,50,50,1.0,,,,
d_main_11_06_s_39,d_main_11_06_s,Speech,laplace,laplace,Locale_MainScenario:d_main_11_06_s_39,True,,5,idle,,1,angry,,3,angry,,13,idle,,OP_leftup,surprise,,50,50,1.0,,,,
d_main_11_06_s_40,d_main_11_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_11_06_s_40,True,,5,idle,,1,angry,,3,angry,,13,idle,,OP_leftup,surprise,,50,50,1.0,,,,
d_main_11_06_s_41,d_main_11_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_11_06_s_41,True,,5,idle,,1,angry,,3,angry,,13,idle,,OP_leftup,surprise,,50,50,1.0,,,,
d_main_11_06_s_42,d_main_11_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_11_06_s_42,True,,5,idle,,1,angry,,3,angry,,13,idle,,OP_leftup,think,,50,50,1.0,,,,
d_main_11_06_s_43,d_main_11_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_11_06_s_43,True,,5,idle,,1,angry,,3,angry,,13,idle,,OP_leftup,think,,50,50,1.0,,,,
d_main_11_06_s_44,d_main_11_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_11_06_s_44,True,,5,idle,,1,angry,,3,angry,,13,idle,,OP_leftup,no,,50,50,1.0,,,,
d_main_11_06_s_45,d_main_11_06_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_06_s_45,True,,5,idle,,1,angry,,3,angry,,13,idle,,OP_leftup,no,,50,4,1.0,,,,
d_main_11_06_s_46,d_main_11_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_11_06_s_46,True,,5,think,,1,angry,,3,angry,,13,idle,,OP_leftup,no,,4,4,1.0,,,,
d_main_11_06_s_47,d_main_11_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_11_06_s_47,True,,5,think,,1,angry,,3,angry,,13,idle,,OP_leftup,idle,,4,4,1.0,,,,
d_main_11_06_s_48,d_main_11_06_s,Narration,,Narration,Locale_MainScenario:d_main_11_06_s_48,False,,5,idle,,1,angry,,3,angry,,13,idle,,OP_leftup,idle,,4,4,1.0,,,sfx_scn_groundbreak,Low_2
d_main_11_06_s_49,d_main_11_06_s,Narration,,Narration,Locale_MainScenario:d_main_11_06_s_49,False,,5,idle,,1,angry,,3,angry,,13,idle,,OP_leftup,idle,,4,4,1.0,,,,
d_main_11_06_s_50,d_main_11_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_11_06_s_50,True,,5,idle,,1,angry,,3,angry,,13,idle,,OP_leftup,idle,,4,4,1.0,,,,
d_main_11_06_s_51,d_main_11_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_11_06_s_51,True,,5,idle,,1,angry,,3,angry,,13,idle,,OP_leftup,idle,,4,4,1.0,,,,
d_main_11_06_s_52,d_main_11_06_s,Speech,laplace,laplace,Locale_MainScenario:d_main_11_06_s_52,True,,5,idle,,1,angry,,3,angry,,13,idle,,OP_leftup,idle,,4,2,1.0,,,,
d_main_11_06_s_53,d_main_11_06_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_06_s_53,True,,5,idle,,1,angry,,3,idle,,13,idle,,OP_leftup,idle,,2,2,1.0,,,,
d_main_11_06_s_54,d_main_11_06_s,Speech,laplace,laplace,Locale_MainScenario:d_main_11_06_s_54,True,,5,idle,,1,angry,,3,idle,,13,idle,,OP_leftup,idle,,2,2,1.0,,,,
d_main_11_06_s_55,d_main_11_06_s,Speech,drake,drake,Locale_MainScenario:d_main_11_06_s_55,False,,5,idle,,1,angry,,3,idle,,13,"expression_0,idle_alt",,OP_leftup,idle,,2,130,0.8,,shifty,,
d_main_11_06_s_56,d_main_11_06_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_06_s_56,True,,5,idle,,1,angry,,3,idle,,13,idle_alt,,,,,3,30,0.8,,,,
d_main_11_06_s_57,d_main_11_06_s,Speech,laplace,laplace,Locale_MainScenario:d_main_11_06_s_57,True,,5,idle,,1,idle,,3,idle,,13,idle_alt,,,,,1,S_10,0.8,,,,
d_main_11_06_s_58,d_main_11_06_s,Speech,laplace,laplace,Locale_MainScenario:d_main_11_06_s_58,True,,5,idle,,1,idle,,3,idle,,13,idle_alt,,,,,S_10,S_10,1.0,,,,
d_main_11_06_s_59,d_main_11_06_s,Speech,laplace,laplace,Locale_MainScenario:d_main_11_06_s_59,True,,5,idle,,1,idle,,3,idle,,13,idle_alt,,,,,S_10,S_10,1.0,,,,
d_main_11_06_s_60,d_main_11_06_s,Speech,laplace,laplace,Locale_MainScenario:d_main_11_06_s_60,False,,5,idle,,1,"expression_0,idle_alt",,3,idle,,13,idle_alt,,,,,S_10,S_100,0.6,,,,
