id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,characters/0/hide_char_id,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_police_08_53,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_53,True,,XS_50,XS_50,1.0,,,7,idle,poli,,,,5,idle,,3,idle
d_ex_police_08_54,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_54,True,,S_70,S_70,1.0,,,7,idle,kilo,,,,5,idle,,3,idle
d_ex_police_08_55,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_55,True,,XS_50,XS_50,1.0,,,7,idle,poli,,,,5,idle,,3,idle
d_ex_police_08_56,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_56,True,,XS_50,XS_50,1.0,,,7,idle,poli,,,,5,idle,,3,idle
d_ex_police_08_57,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_57,True,,XS_50,XS_50,1.0,,,7,idle,poli,,,,5,idle,,3,idle
d_ex_police_08_58,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_58,True,,XS_50,XS_50,1.0,,,7,idle,poli,,,,5,idle,,3,idle
d_ex_police_08_59,d_ex_police_08,Self,poli,Locale_SuddenStory:d_ex_police_08_59,False,,XS_50,XS_50,1.0,,,7,idle,,,,,5,idle,,3,idle
d_ex_police_08_60,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_60,True,,S_70,S_70,1.0,,,7,idle,kilo,,,,5,idle,,3,idle
d_ex_police_08_61,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_61,True,,S_70,S_70,1.0,,,7,smile,kilo,,,,5,idle,,3,idle
d_ex_police_08_62,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_62,True,,S_70,S_70,1.0,,,7,smile,kilo,,,,5,idle,,3,idle
d_ex_police_08_63,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_63,True,,S_70,S_70,1.0,,,7,smile,kilo,,,,5,idle,,3,idle
d_ex_police_08_64,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_64,True,,S_70,6,1.0,,,7,idle,poli,,,,5,idle,,3,idle
d_ex_police_08_65,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_65,True,,6,6,1.0,,,7,idle,poli,,,,5,idle,,3,idle
d_ex_police_08_66,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_66,True,,6,6,1.0,,,7,idle,kilo,,,,5,idle,,3,idle
d_ex_police_08_67,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_67,True,,6,6,1.0,,,7,idle,poli,,,,5,idle,,3,idle
d_ex_police_08_68,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_68,True,,6,6,1.0,,,7,idle,kilo,,,,5,idle,,3,idle
d_ex_police_08_69,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_69,True,,6,6,1.0,,,7,idle,poli,,,,5,idle,,3,idle
d_ex_police_08_70,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_70,True,,6,6,1.0,,,7,idle,poli,,,,5,idle,,3,idle
d_ex_police_08_71,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_71,True,,6,6,1.0,,,7,delight,kilo,,,,5,idle,,3,idle
d_ex_police_08_72,d_ex_police_08,Speech,miranda,Locale_SuddenStory:d_ex_police_08_72,True,,6,4,1.0,,,7,delight,miranda,,,,5,idle,,3,idle
d_ex_police_08_73,d_ex_police_08,Speech,miranda,Locale_SuddenStory:d_ex_police_08_73,True,,4,4,1.0,,,7,delight,miranda,,,,5,idle,,3,idle
d_ex_police_08_74,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_74,True,,4,4,1.0,,,7,idle,poli,,,,5,idle,,3,idle
d_ex_police_08_75,d_ex_police_08,Speech,miranda,Locale_SuddenStory:d_ex_police_08_75,True,,4,S_30,1.0,,,7,idle,miranda,,,,5,idle,,3,delight
d_ex_police_08_76,d_ex_police_08,Speech,miranda,Locale_SuddenStory:d_ex_police_08_76,True,,S_30,S_30,1.0,,,7,idle,miranda,,,,5,idle,,3,delight
d_ex_police_08_77,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_77,True,,S_70,S_70,1.0,,,7,idle,kilo,,,,5,idle,,3,delight
d_ex_police_08_78,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_78,True,,S_70,S_70,1.0,,,7,idle,kilo,,,,5,idle,,3,delight
d_ex_police_08_79,d_ex_police_08,Speech,miranda,Locale_SuddenStory:d_ex_police_08_79,True,,S_30,S_30,1.0,,,7,idle,miranda,,,,5,idle,,3,delight
d_ex_police_08_80,d_ex_police_08,Speech,miranda,Locale_SuddenStory:d_ex_police_08_80,True,,S_30,S_30,1.0,,,7,idle,miranda,,,,5,idle,,3,delight
d_ex_police_08_81,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_81,True,,S_70,S_70,1.0,,,7,idle,kilo,,,,5,idle,,3,delight
d_ex_police_08_82,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_82,True,,S_70,S_70,1.0,,,7,idle,kilo,,,,5,idle,,3,idle
d_ex_police_08_83,d_ex_police_08,Speech,kilo,Locale_SuddenStory:d_ex_police_08_83,True,,S_70,6,1.0,,,7,idle,kilo,,,,5,idle,,3,idle
d_ex_police_08_84,d_ex_police_08,Speech,poli,Locale_SuddenStory:d_ex_police_08_84,True,,6,6,1.0,,,7,idle,poli,,,,5,idle,,3,idle
d_ex_police_08_85,d_ex_police_08,Monologue,poli,Locale_SuddenStory:d_ex_police_08_85,False,,black,black,1.0,,,7,idle,,,,,5,idle,,3,idle
d_ex_police_08_86,d_ex_police_08,Monologue,poli,Locale_SuddenStory:d_ex_police_08_86,False,,black,black,1.0,,,7,idle,,,,,5,idle,,3,idle
