id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_flowerpark_01_15,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_15,True,,1,1,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_16,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_16,True,,1,1,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_17,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_17,True,,1,1,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_18,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_18,True,,1,1,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_19,d_ex_flowerpark_01,Self,trina,,Locale_SuddenStory:d_ex_flowerpark_01_19,False,,1,1,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_20,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_20,True,,1,1,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_21,d_ex_flowerpark_01,Self,flora,,Locale_SuddenStory:d_ex_flowerpark_01_21,False,,1,1,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_22,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_22,True,,1,20,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_23,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_23,True,,20,20,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_24,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_24,True,,20,20,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_25,d_ex_flowerpark_01,Self,flora,,Locale_SuddenStory:d_ex_flowerpark_01_25,False,,20,20,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_26,d_ex_flowerpark_01,Self,flora,,Locale_SuddenStory:d_ex_flowerpark_01_26,False,,20,20,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_27,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_27,True,,20,20,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_28,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_28,True,,20,20,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_29,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_29,True,,20,L_120,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_30,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_30,True,,black,black,1.0,,black,,,3,delight,,,13,idle,
d_ex_flowerpark_01_31,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_31,True,,30,30,1.0,,,,,3,delight,,,13,idle,
d_ex_flowerpark_01_32,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_32,True,,30,300,1.3,,,,,3,idle,,,13,idle,
d_ex_flowerpark_01_33,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_33,True,,300,300,1.0,,,,,3,surprise,,,13,idle,
d_ex_flowerpark_01_34,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_34,True,,300,30,1.3,,,,,3,idle,,,13,idle,
d_ex_flowerpark_01_35,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_35,True,,L_130,L_130,1.0,,,,,3,idle,,,13,idle,
d_ex_flowerpark_01_36,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_36,True,,L_130,L_130,1.0,,,,,3,idle,,,13,idle,
d_ex_flowerpark_01_37,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_37,True,,L_130,L_130,1.0,,,,,3,idle,,,13,idle,
d_ex_flowerpark_01_38,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_38,True,,L_130,13,1.3,,,,,3,idle,,,13,delight,
d_ex_flowerpark_01_39,d_ex_flowerpark_01,Narration,trina,,Locale_SuddenStory:d_ex_flowerpark_01_39,False,,13,17,2.0,,,,,3,idle,,,13,delight,
d_ex_flowerpark_01_40,d_ex_flowerpark_01,Monologue,trina,,Locale_SuddenStory:d_ex_flowerpark_01_40,False,,17,17,1.0,,,,,3,idle,,,13,delight,
d_ex_flowerpark_01_41,d_ex_flowerpark_01,Self,trina,,Locale_SuddenStory:d_ex_flowerpark_01_41,False,,17,17,1.0,,,,,3,idle,,,13,delight,
d_ex_flowerpark_01_42,d_ex_flowerpark_01,Monologue,trina,,Locale_SuddenStory:d_ex_flowerpark_01_42,False,,17,17,1.0,,,,,3,idle,,,13,delight,
d_ex_flowerpark_01_43,d_ex_flowerpark_01,Monologue,trina,,Locale_SuddenStory:d_ex_flowerpark_01_43,False,,17,17,1.0,,,,,3,idle,,,13,delight,
d_ex_flowerpark_01_44,d_ex_flowerpark_01,Narration,trina,,Locale_SuddenStory:d_ex_flowerpark_01_44,False,,17,170,1.0,none,,sfx_scn_bushshake,,3,idle,,,13,delight,
d_ex_flowerpark_01_45,d_ex_flowerpark_01,Self,trina,,Locale_SuddenStory:d_ex_flowerpark_01_45,False,,170,170,1.0,,,,,3,idle,,,13,delight,
d_ex_flowerpark_01_46,d_ex_flowerpark_01,Monologue,trina,,Locale_SuddenStory:d_ex_flowerpark_01_46,False,,170,170,1.0,,,,,3,idle,,,13,delight,
d_ex_flowerpark_01_47,d_ex_flowerpark_01,Self,trina,,Locale_SuddenStory:d_ex_flowerpark_01_47,False,,170,170,1.0,,,,,2,idle,flora,,13,delight,trina
d_ex_flowerpark_01_48,d_ex_flowerpark_01,Self,trina,,Locale_SuddenStory:d_ex_flowerpark_01_48,False,,170,170,1.0,,,,,,,,,,,
d_ex_flowerpark_01_49,d_ex_flowerpark_01,Self,trina,,Locale_SuddenStory:d_ex_flowerpark_01_49,False,,170,170,1.0,,,,,,,,,,,
d_ex_flowerpark_01_50,d_ex_flowerpark_01,Monologue,trina,,Locale_SuddenStory:d_ex_flowerpark_01_50,False,,170,170,1.0,,,,,,,,,,,
d_ex_flowerpark_01_51,d_ex_flowerpark_01,Self,trina,,Locale_SuddenStory:d_ex_flowerpark_01_51,False,,170,17,1.0,,,,,,,,,,,
d_ex_flowerpark_01_52,d_ex_flowerpark_01,Self,trina,,Locale_SuddenStory:d_ex_flowerpark_01_52,False,,17,17,1.0,,,,,,,,,,,
d_ex_flowerpark_01_53,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_53,True,,17,17,1.0,bgm_story_tepidappleade,,,flora,2,shy,,trina,12,delight,
d_ex_flowerpark_01_54,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_54,True,,17,17,1.0,,,,,2,shy,,,12,delight,
d_ex_flowerpark_01_55,d_ex_flowerpark_01,Self,flora,,Locale_SuddenStory:d_ex_flowerpark_01_55,False,,17,1,2.0,,,,,2,shy,,,12,delight,
d_ex_flowerpark_01_56,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_56,True,,1,1,1.0,,,,,2,shy,,,12,delight,
d_ex_flowerpark_01_57,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_57,True,,1,1,1.0,,,,,2,shy,,,12,delight,
d_ex_flowerpark_01_58,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_58,True,,1,1,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_59,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_59,True,,1,1,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_60,d_ex_flowerpark_01,Self,trina,,Locale_SuddenStory:d_ex_flowerpark_01_60,False,,1,1,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_61,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_61,True,,1,1,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_62,d_ex_flowerpark_01,Self,trina,,Locale_SuddenStory:d_ex_flowerpark_01_62,False,,1,1,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_63,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_63,True,,1,1,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_64,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_64,True,,1,1,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_65,d_ex_flowerpark_01,Self,flora,,Locale_SuddenStory:d_ex_flowerpark_01_65,False,,1,1,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_66,d_ex_flowerpark_01,Self,flora,,Locale_SuddenStory:d_ex_flowerpark_01_66,False,,1,1,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_67,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_67,True,,1,1,1.0,none,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_68,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_68,True,,1,1,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_69,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_69,True,,1,1,1.0,bgm_story_cosmos,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_70,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_70,True,,1,1,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_71,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_71,True,,1,1,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_72,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_72,True,,1,1,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_73,d_ex_flowerpark_01,Self,trina,,Locale_SuddenStory:d_ex_flowerpark_01_73,False,,1,1,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_74,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_74,True,,1,1,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_75,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_75,True,,1,1,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_76,d_ex_flowerpark_01,Self,trina,,Locale_SuddenStory:d_ex_flowerpark_01_76,False,,1,1,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_77,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_77,True,,1,20,1.3,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_78,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_78,True,,20,20,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_79,d_ex_flowerpark_01,Speech,flora,flora,Locale_SuddenStory:d_ex_flowerpark_01_79,True,,20,20,1.0,,,,,2,delight,,,12,delight,
d_ex_flowerpark_01_80,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_80,True,,20,L_120,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_81,d_ex_flowerpark_01,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_01_81,True,,L_120,L_120,1.0,,,,,2,delight,,,12,idle,
d_ex_flowerpark_01_82,d_ex_flowerpark_01,Self,trina,,Locale_SuddenStory:d_ex_flowerpark_01_82,False,,L_120,L_120,1.0,,,,,2,delight,,,12,idle,
