id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,characters/0/hide_char_id
d_main_25_08_s_26,d_main_25_08_s,Self,Locale_MainScenario:d_main_25_08_s_26,False,,3,idle,,1,void,,13,idle,,30,30,1.0,,dorothy,,,,
d_main_25_08_s_27,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_27,True,,3,idle,,1,void,,13,idle,,30,30,1.0,,dorothy,dorothy,,,
d_main_25_08_s_28,d_main_25_08_s,Narration,Locale_MainScenario:d_main_25_08_s_28,False,,3,worry,,1,void,,13,surprise,,30,2,1.0,none,dorothy,,sfx_scn_redfire,Low_2,
d_main_25_08_s_29,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_29,True,,3,worry,,1,angry,,13,surprise,,2,2,1.0,,anis,anis,,,
d_main_25_08_s_30,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_30,True,,3,worry,,1,angry,,13,surprise,,2,12,1.0,,neon,neon,,,
d_main_25_08_s_31,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_31,True,,3,worry,,1,angry,,13,surprise,,30,30,1.0,,dorothy,dorothy,,,
d_main_25_08_s_32,d_main_25_08_s,Narration,Locale_MainScenario:d_main_25_08_s_32,False,,3,worry,,1,angry,,13,surprise,,30,30,1.0,,dorothy,,sfx_scn_redfire,Low_2,
d_main_25_08_s_33,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_33,False,,3,angry,,1,angry,,13,surprise,,30,300,1.0,,dorothy,dorothy,,,
d_main_25_08_s_34,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_34,True,,3,angry,,1,angry,,13,surprise,,300,300,1.0,,dorothy,dorothy,,,
d_main_25_08_s_35,d_main_25_08_s,Narration,Locale_MainScenario:d_main_25_08_s_35,False,,3,angry,,1,angry,,13,surprise,,300,3,1.0,,dorothy,,,,dorothy
d_main_25_08_s_36,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_36,True,,,,,1,angry,,13,surprise,,3,12,1.0,,anis,anis,,,
d_main_25_08_s_37,d_main_25_08_s,Speech,Locale_MainScenario:d_main_25_08_s_37,True,,,,,1,angry,,13,idle,,12,12,1.0,,neon,neon,,,
