id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id
d_ex_hotel_04_50,d_ex_hotel_04,Monologue,Locale_SuddenStory:d_ex_hotel_04_50,False,,4,4,1.0,,anis,,,1,idle,,,3,void,,,
d_ex_hotel_04_51,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_51,True,,4,31,1.0,,helm,helm,,1,surprise,,,3,void,,,
d_ex_hotel_04_52,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_52,True,,31,31,1.0,,anis,anis,,1,surprise,,,3,void,,,
d_ex_hotel_04_53,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_53,True,,31,31,1.0,,helm,helm,,1,idle,,,3,void,,,
d_ex_hotel_04_54,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_54,True,,31,31,1.0,,anis,anis,,1,idle,,,3,void,,,
d_ex_hotel_04_55,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_55,True,,31,31,1.0,,anis,anis,,1,idle,,,3,worry,,,
d_ex_hotel_04_56,d_ex_hotel_04,Narration,Locale_SuddenStory:d_ex_hotel_04_56,False,,31,31,1.0,,anis,,,1,idle,sfx_scn_autodooropen,,3,worry,,,
d_ex_hotel_04_57,d_ex_hotel_04,Monologue,Locale_SuddenStory:d_ex_hotel_04_57,False,,31,31,1.0,,anis,,,1,idle,,,3,void,,,
d_ex_hotel_04_58,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_58,True,,31,31,1.0,,anis,anis,,1,idle,,,3,void,,,
d_ex_hotel_04_59,d_ex_hotel_04,Narration,Locale_SuddenStory:d_ex_hotel_04_59,False,,31,4,1.0,,anis,,,1,idle,sfx_scn_shower,,3,void,,,
d_ex_hotel_04_60,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_60,False,,4,4,1.0,,anis,anis,,1,no,,,3,void,,,
d_ex_hotel_04_61,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_61,False,,4,4,1.0,,helm,helm,,1,no,,,3,void,,,
d_ex_hotel_04_62,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_62,True,,4,300,0.5,,anis,anis,,1,no,,,3,angry,,,
d_ex_hotel_04_63,d_ex_hotel_04,Narration,Locale_SuddenStory:d_ex_hotel_04_63,False,,300,300,1.0,,anis,,,1,no,sfx_scn_autodooropen,,3,angry,,,
d_ex_hotel_04_64,d_ex_hotel_04,Monologue,Locale_SuddenStory:d_ex_hotel_04_64,False,,300,3,1.0,,anis,,,1,no,,,3,angry,,,
d_ex_hotel_04_65,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_65,False,,3,3,1.0,,anis,anis,,1,no,,,3,void,,,
d_ex_hotel_04_66,d_ex_hotel_04,Narration,Locale_SuddenStory:d_ex_hotel_04_66,True,,3,3,1.0,,anis,,,1,no,sfx_scn_autodooropen,,3,void,,,
d_ex_hotel_04_67,d_ex_hotel_04,Monologue,Locale_SuddenStory:d_ex_hotel_04_67,True,,3,3,1.0,,anis,,,1,no,,,3,void,,,
d_ex_hotel_04_68,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_68,True,,3,31,1.0,,helm,helm,,1,no,,,3,void,,,
d_ex_hotel_04_69,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_69,False,,31,31,1.0,,anis,anis,,1,no,,,3,pain,,,
d_ex_hotel_04_70,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_70,True,,31,31,1.0,,anis,anis,,1,no,,,3,pain,,,
d_ex_hotel_04_71,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_71,True,,31,31,1.0,,helm,helm,,1,no,,,3,pain,,,
d_ex_hotel_04_72,d_ex_hotel_04,Narration,Locale_SuddenStory:d_ex_hotel_04_72,False,,31,31,1.0,,helm,,,1,no,sfx_scn_splash,,3,pain,,,
d_ex_hotel_04_73,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_73,False,,31,30,0.5,,anis,anis,,1,no,,,3,pain,,,
d_ex_hotel_04_74,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_74,True,,30,30,1.0,,anis,anis,,1,no,,,3,pain,,,
d_ex_hotel_04_75,d_ex_hotel_04,Self,Locale_SuddenStory:d_ex_hotel_04_75,False,,30,30,1.0,,anis,,,1,no,,,3,pain,,,
d_ex_hotel_04_76,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_76,True,,30,30,1.0,,anis,anis,,1,no,,,3,pain,,,
d_ex_hotel_04_77,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_77,True,,30,30,1.0,,anis,anis,,1,no,,,3,pain,,,
d_ex_hotel_04_78,d_ex_hotel_04,Narration,Locale_SuddenStory:d_ex_hotel_04_78,False,,30,30,1.0,,anis,,,1,no,sfx_scn_splash,,3,pain,,,
d_ex_hotel_04_79,d_ex_hotel_04,Narration,Locale_SuddenStory:d_ex_hotel_04_79,False,,30,30,1.0,,anis,,,1,no,sfx_scn_splash,,3,pain,,,
d_ex_hotel_04_80,d_ex_hotel_04,Narration,Locale_SuddenStory:d_ex_hotel_04_80,False,,30,30,1.0,,anis,,,1,no,sfx_scn_splash,,3,pain,,,
d_ex_hotel_04_81,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_81,True,,30,300,0.2,,anis,anis,,1,no,,,3,angry,Low_2,,
d_ex_hotel_04_82,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_82,True,,10,10,1.0,,helm,helm,,1,idle,,,3,angry,,,
d_ex_hotel_04_83,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_83,True,,300,300,1.0,,anis,anis,,1,idle,,,3,angry,,,
d_ex_hotel_04_84,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_84,True,,31,31,1.0,,helm,helm,,1,idle,,,3,angry,,,
d_ex_hotel_04_85,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_85,True,,31,31,1.0,,helm,helm,,1,idle,,,3,angry,,,
d_ex_hotel_04_86,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_86,True,,31,31,1.0,,anis,anis,,1,idle,,,3,angry,,,
d_ex_hotel_04_87,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_87,True,,31,31,1.0,,helm,helm,,1,idle,,,3,angry,,,
d_ex_hotel_04_88,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_88,True,,31,31,1.0,,anis,anis,,1,idle,,,3,angry,,,
d_ex_hotel_04_89,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_89,True,,31,10,1.0,,helm,helm,,1,idle,,,3,angry,,,
d_ex_hotel_04_90,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_90,True,,10,100,1.0,,helm,helm,,1,idle,,,3,worry,,,
d_ex_hotel_04_91,d_ex_hotel_04,Narration,Locale_SuddenStory:d_ex_hotel_04_91,False,,100,100,1.0,,helm,,,1,idle,sfx_scn_autodooropen,,3,worry,,,
d_ex_hotel_04_92,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_92,False,,100,100,1.0,,helm,helm,,1,idle,,,3,worry,,,
d_ex_hotel_04_93,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_93,True,,100,100,1.0,,anis,anis,,1,idle,,,3,worry,,,
d_ex_hotel_04_94,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_94,False,,100,100,1.0,,helm,helm,,1,idle,,,3,worry,,,
d_ex_hotel_04_95,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_95,True,,100,100,1.0,,anis,anis,,1,idle,,,3,worry,,,
d_ex_hotel_04_96,d_ex_hotel_04,Narration,Locale_SuddenStory:d_ex_hotel_04_96,False,,100,100,1.0,,anis,,,1,idle,sfx_scn_autodooropen,,3,worry,,,
d_ex_hotel_04_97,d_ex_hotel_04,Monologue,Locale_SuddenStory:d_ex_hotel_04_97,False,,100,31,1.0,,anis,,,1,idle,,,3,worry,,,
d_ex_hotel_04_98,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_98,True,,31,31,1.0,,helm,helm,,1,no,,,3,worry,,,
d_ex_hotel_04_99,d_ex_hotel_04,Narration,Locale_SuddenStory:d_ex_hotel_04_99,False,,31,31,1.0,,helm,,,1,no,sfx_scn_splash,,3,worry,,,
d_ex_hotel_04_100,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_100,True,,31,31,1.0,,anis,anis,,1,no,,,3,worry,,,
d_ex_hotel_04_101,d_ex_hotel_04,Narration,Locale_SuddenStory:d_ex_hotel_04_101,False,,31,31,1.0,,anis,,,1,no,sfx_scn_splash,,3,worry,,,
d_ex_hotel_04_102,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_102,True,,31,31,1.0,,helm,helm,,1,no,,,3,worry,,,
d_ex_hotel_04_103,d_ex_hotel_04,Narration,Locale_SuddenStory:d_ex_hotel_04_103,False,,31,31,1.0,,helm,,,1,no,sfx_scn_splash,,3,worry,,,
d_ex_hotel_04_104,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_104,False,,31,31,1.0,,anis,anis,,1,no,,,3,void,,,
d_ex_hotel_04_105,d_ex_hotel_04,Self,Locale_SuddenStory:d_ex_hotel_04_105,False,,31,31,1.0,,anis,,,1,no,,,3,void,,,
d_ex_hotel_04_106,d_ex_hotel_04,Speech,Locale_SuddenStory:d_ex_hotel_04_106,True,,31,31,1.0,,helm,helm,,1,no,,,3,void,,,
d_ex_hotel_04_107,d_ex_hotel_04,Monologue,Locale_SuddenStory:d_ex_hotel_04_107,False,none,31,31,1.0,,,,,1,no,,,3,void,,helm,anis
d_ex_hotel_04_108,d_ex_hotel_04,Monologue,Locale_SuddenStory:d_ex_hotel_04_108,False,,31,31,1.0,,,,,,,,,,,,,
