id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_main_34_02_79,d_main_34_02,Speech,eunhwa_t,Locale_MainScenario:d_main_34_02_79,False,,2,14,1.5,,rapi,,,4,void,,2,idle,,12,idle,,14,idle,
d_main_34_02_80,d_main_34_02,Speech,eunhwa_t,Locale_MainScenario:d_main_34_02_80,True,,14,140,1.0,,eunhwa_t,,,4,void,,2,idle,,12,idle,,14,idle,
d_main_34_02_81,d_main_34_02,Monologue,eunhwa_t,Locale_MainScenario:d_main_34_02_81,False,,black,black,1.0,,,sfx_scn_walkaway,,4,void,,2,idle,,12,idle,,14,idle,eunhwa_t
d_main_34_02_82,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_82,True,,40,40,1.0,,anis,,,4,angry,,2,idle,,12,idle,,,,
d_main_34_02_83,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_83,False,,40,20,1.0,,rapi,,,4,angry,,2,idle,,12,idle,,,,
d_main_34_02_84,d_main_34_02,Self,rapi,Locale_MainScenario:d_main_34_02_84,False,,20,20,1.0,,,,,4,angry,,2,idle,,12,idle,,,,
d_main_34_02_85,d_main_34_02,Self,rapi,Locale_MainScenario:d_main_34_02_85,False,,20,20,1.0,,,,,4,angry,,2,idle,,12,idle,,,,
d_main_34_02_86,d_main_34_02,Speech,anis,Locale_MainScenario:d_main_34_02_86,True,,20,40,1.0,,anis,,,4,void,,2,idle,,12,idle,,,,
d_main_34_02_87,d_main_34_02,Speech,neon,Locale_MainScenario:d_main_34_02_87,True,,S_120,S_120,1.0,,neon,,,4,void,,2,idle,,12,idle,,,,
d_main_34_02_88,d_main_34_02,Speech,rapi,Locale_MainScenario:d_main_34_02_88,True,,S_120,20,1.0,,rapi,,,4,void,,2,think,,12,idle,,,,
