id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_gym_03_26,d_ex_gym_03,Self,,,Locale_SuddenStory:d_ex_gym_03_26,False,,XS_130,XS_130,1.0,,,,,1,good,,,13,delight
d_ex_gym_03_27,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_27,True,,XS_10,XS_10,1.0,,,,,1,idle,,,13,delight
d_ex_gym_03_28,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_28,True,,XS_10,XS_10,1.0,,,,,1,idle,,,13,delight
d_ex_gym_03_29,d_ex_gym_03,Self,,,Locale_SuddenStory:d_ex_gym_03_29,False,,XS_10,XS_10,1.0,,,,,1,idle,,,13,delight
d_ex_gym_03_30,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_30,True,,XS_10,XS_10,1.0,,,,,1,idle,,,13,delight
d_ex_gym_03_31,d_ex_gym_03,Monologue,,,Locale_SuddenStory:d_ex_gym_03_31,False,,XS_10,XS_10,1.0,,,,,1,idle,,,13,delight
d_ex_gym_03_32,d_ex_gym_03,Self,N102,,Locale_SuddenStory:d_ex_gym_03_32,False,,XS_10,XS_130,0.5,,,,,1,idle,,,13,delight
d_ex_gym_03_33,d_ex_gym_03,Speech,n102,n102,Locale_SuddenStory:d_ex_gym_03_33,True,,XS_130,XS_130,1.0,,,,,1,idle,,,13,delight
d_ex_gym_03_34,d_ex_gym_03,Narration,,,Locale_SuddenStory:d_ex_gym_03_34,False,,XS_130,XS_10,1.0,,,,,1,idle,,,13,delight
d_ex_gym_03_35,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_35,True,,XS_10,XS_10,1.0,,,,,1,idle,,,13,delight
d_ex_gym_03_36,d_ex_gym_03,Narration,,,Locale_SuddenStory:d_ex_gym_03_36,False,,XS_10,113,1.0,,,,,1,idle,,,13,delight
d_ex_gym_03_37,d_ex_gym_03,Monologue,,,Locale_SuddenStory:d_ex_gym_03_37,False,,113,113,1.0,,,,,1,idle,,,13,delight
d_ex_gym_03_38,d_ex_gym_03,Narration,,,Locale_SuddenStory:d_ex_gym_03_38,False,,black,black,1.0,,,,,1,idle,,,13,delight
d_ex_gym_03_39,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_39,True,,XS_10,XS_10,1.0,,,,,1,angry,,,13,delight
d_ex_gym_03_40,d_ex_gym_03,Self,,,Locale_SuddenStory:d_ex_gym_03_40,False,,XS_10,XS_10,1.0,,,,,1,angry,,,13,delight
d_ex_gym_03_41,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_41,True,,XS_10,XS_100,0.5,,Low_2,,,1,angry,,,13,delight
d_ex_gym_03_42,d_ex_gym_03,Monologue,,,Locale_SuddenStory:d_ex_gym_03_42,False,,XS_100,XS_1500,1.0,,,,,1,angry,,,13,delight
d_ex_gym_03_43,d_ex_gym_03,Narration,,,Locale_SuddenStory:d_ex_gym_03_43,False,,black,black,1.0,,,,,1,angry,,,13,delight
d_ex_gym_03_44,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_44,True,,113,113,1.0,,,,,1,pain,,,13,delight
d_ex_gym_03_45,d_ex_gym_03,Speech,n102,n102,Locale_SuddenStory:d_ex_gym_03_45,True,,113,113,1.0,,,,,1,pain,,,13,delight
d_ex_gym_03_46,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_46,True,,113,113,1.0,,,,,1,pain,,,13,delight
d_ex_gym_03_47,d_ex_gym_03,Narration,,,Locale_SuddenStory:d_ex_gym_03_47,False,,black,black,1.0,,,,,1,pain,,,13,delight
d_ex_gym_03_48,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_48,True,,XS_10,XS_10,0.5,,,,,1,angry,,,13,delight
d_ex_gym_03_49,d_ex_gym_03,Speech,N102,n102,Locale_SuddenStory:d_ex_gym_03_49,True,,XS_130,XS_130,1.0,,,,,1,angry,,,13,delight
d_ex_gym_03_50,d_ex_gym_03,Monologue,,,Locale_SuddenStory:d_ex_gym_03_50,False,,XS_130,113,1.0,,,,,1,angry,,,13,delight
d_ex_gym_03_51,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_51,True,,113,113,1.0,,,,,1,surprise,,,13,delight
d_ex_gym_03_52,d_ex_gym_03,Speech,N102,n102,Locale_SuddenStory:d_ex_gym_03_52,True,,113,113,1.0,,,,,1,surprise,,,13,delight
d_ex_gym_03_53,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_53,True,,113,113,1.0,,,,,1,surprise,,,13,delight
d_ex_gym_03_54,d_ex_gym_03,Speech,n102,n102,Locale_SuddenStory:d_ex_gym_03_54,True,,113,113,1.0,,,,,1,surprise,,,13,delight
d_ex_gym_03_55,d_ex_gym_03,Speech,n102,n102,Locale_SuddenStory:d_ex_gym_03_55,True,,113,113,1.0,,,,,1,surprise,,,13,delight
d_ex_gym_03_56,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_56,True,,113,XS_10,0.5,,,,,1,angry,,,13,delight
d_ex_gym_03_57,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_57,True,,XS_10,XS_10,1.0,,,,,1,angry,,,13,delight
d_ex_gym_03_58,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_58,True,,XS_10,XS_100,0.5,,Low_2,,,1,angry,,,13,delight
d_ex_gym_03_59,d_ex_gym_03,Narration,,,Locale_SuddenStory:d_ex_gym_03_59,False,,XS_100,1,1.0,,,,,1,angry,,,13,delight
d_ex_gym_03_60,d_ex_gym_03,Monologue,,,Locale_SuddenStory:d_ex_gym_03_60,False,,1,1,0.5,,,,,1,angry,,,13,delight
d_ex_gym_03_61,d_ex_gym_03,Narration,,,Locale_SuddenStory:d_ex_gym_03_61,False,,black,black,1.0,,,,,1,angry,,,13,delight
d_ex_gym_03_62,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_62,False,,XS_100,XS_100,1.0,,,,,1,angry,,,13,delight
d_ex_gym_03_63,d_ex_gym_03,Speech,n102,n102,Locale_SuddenStory:d_ex_gym_03_63,True,,XS_1300,XS_1300,1.0,,,,,1,angry,,,13,delight
d_ex_gym_03_64,d_ex_gym_03,Speech,n102,n102,Locale_SuddenStory:d_ex_gym_03_64,True,,XS_1300,XS_1300,1.0,,Low_2,,,1,angry,,,13,delight
d_ex_gym_03_65,d_ex_gym_03,Narration,,,Locale_SuddenStory:d_ex_gym_03_65,False,,XS_1300,113,1.0,none,,,,1,angry,,,13,delight
d_ex_gym_03_66,d_ex_gym_03,Self,,,Locale_SuddenStory:d_ex_gym_03_66,False,,113,113,1.0,,,,,1,angry,,,13,delight
d_ex_gym_03_67,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_67,False,,113,113,1.0,,,,,1,angry,,,13,delight
d_ex_gym_03_68,d_ex_gym_03,Self,,,Locale_SuddenStory:d_ex_gym_03_68,False,,113,113,1.0,bgm_story_herecomestrouble,,,,1,pain,,,13,delight
d_ex_gym_03_69,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_69,True,,113,XS_10,0.5,,,,,1,pain,,,13,delight
d_ex_gym_03_70,d_ex_gym_03,Choice,,,Locale_SuddenStory:d_ex_gym_03_70,False,,XS_10,XS_10,1.0,,,d_ex_gym_03_72,,1,pain,,,13,delight
d_ex_gym_03_71,d_ex_gym_03,Choice,,,Locale_SuddenStory:d_ex_gym_03_71,False,,XS_10,XS_10,1.0,,,d_ex_gym_03_73,,1,pain,,,13,delight
d_ex_gym_03_72,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_72,True,,XS_10,XS_10,1.0,,,d_ex_gym_03_75,,1,angry,,,13,delight
d_ex_gym_03_73,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_73,True,,XS_10,XS_10,1.0,,,,,1,angry,,,13,delight
d_ex_gym_03_74,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_74,True,,XS_10,XS_10,1.0,,,d_ex_gym_03_75,,1,angry,,,13,delight
d_ex_gym_03_75,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_75,True,,XS_10,XS_10,1.0,,,,,1,angry,,,13,delight
d_ex_gym_03_76,d_ex_gym_03,Speech,n102,n102,Locale_SuddenStory:d_ex_gym_03_76,True,,XS_10,113,0.5,,,,,1,angry,,,13,delight
d_ex_gym_03_77,d_ex_gym_03,Monologue,,,Locale_SuddenStory:d_ex_gym_03_77,False,,113,113,1.0,,,,,1,angry,,,13,delight
d_ex_gym_03_78,d_ex_gym_03,Monologue,,,Locale_SuddenStory:d_ex_gym_03_78,False,,113,113,1.0,,,,,1,angry,,,13,delight
