id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,jump_target,set_camera_shake,conversation_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,fade
d_ex_wingofvictory_02_22,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_22,True,,S_10,1,2.0,,guillotine,guillotine,,1,angry,,,,,,,,,,
d_ex_wingofvictory_02_23,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_23,True,,1,1,1.0,,guillotine,guillotine,,1,angry,,,,,,,,,,
d_ex_wingofvictory_02_24,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_24,True,,1,1,1.0,,guillotine,guillotine,,1,angry,,,,,,,,,,
d_ex_wingofvictory_02_25,d_ex_wingofvictory_02,Choice,Locale_SuddenStory:d_ex_wingofvictory_02_25,False,,1,1,1.0,,guillotine,,,1,angry,,d_ex_wingofvictory_02_27,,,,,,,,
d_ex_wingofvictory_02_26,d_ex_wingofvictory_02,Choice,Locale_SuddenStory:d_ex_wingofvictory_02_26,False,,1,1,1.0,,guillotine,,,1,angry,,d_ex_wingofvictory_02_28,,,,,,,,
d_ex_wingofvictory_02_27,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_27,False,,1,1,1.0,,guillotine,guillotine,,1,angry,,d_ex_wingofvictory_02_29,,,,,,,,
d_ex_wingofvictory_02_28,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_28,True,,1,1,1.0,,guillotine,guillotine,,1,angry,,,,,,,,,,
d_ex_wingofvictory_02_29,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_29,True,,1,1,1.0,,guillotine,guillotine,,1,angry,,,,,,,,,,
d_ex_wingofvictory_02_30,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_30,True,,1,S_10,0.5,,guillotine,guillotine,,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_31,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_31,True,,S_10,S_10,1.0,,guillotine,guillotine,,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_32,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_32,True,,S_10,S_10,1.0,,guillotine,guillotine,,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_33,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_33,True,,S_10,S_10,1.0,,guillotine,guillotine,,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_34,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_34,True,,S_10,S_10,1.0,,guillotine,guillotine,,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_35,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_35,True,,S_10,S_10,1.0,,guillotine,guillotine,,1,no,,,,,,,,,,
d_ex_wingofvictory_02_36,d_ex_wingofvictory_02,Self,Locale_SuddenStory:d_ex_wingofvictory_02_36,False,,S_10,S_10,1.0,,guillotine,Self,,1,no,,,,,,,,,,
d_ex_wingofvictory_02_37,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_37,True,,S_10,S_10,1.0,,guillotine,guillotine,,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_38,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_38,True,,S_10,S_10,1.0,,guillotine,guillotine,,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_39,d_ex_wingofvictory_02,Choice,Locale_SuddenStory:d_ex_wingofvictory_02_39,False,,S_10,S_10,1.0,,guillotine,,,1,idle,,d_ex_wingofvictory_02_41,,,,,,,,
d_ex_wingofvictory_02_40,d_ex_wingofvictory_02,Choice,Locale_SuddenStory:d_ex_wingofvictory_02_40,False,,S_10,S_10,1.0,,guillotine,,,1,idle,,d_ex_wingofvictory_02_41,,,,,,,,
d_ex_wingofvictory_02_41,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_41,True,,S_10,1,2.0,,guillotine,guillotine,,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_42,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_42,True,,1,1,1.0,,guillotine,guillotine,,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_43,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_43,True,,1,1,1.0,,guillotine,guillotine,,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_44,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_44,True,,1,1,1.0,,guillotine,guillotine,,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_45,d_ex_wingofvictory_02,Choice,Locale_SuddenStory:d_ex_wingofvictory_02_45,False,,1,1,1.0,,,,,1,idle,,d_ex_wingofvictory_02_47,,,,,,,,
d_ex_wingofvictory_02_46,d_ex_wingofvictory_02,Choice,Locale_SuddenStory:d_ex_wingofvictory_02_46,False,,1,1,1.0,,,,,1,idle,,d_ex_wingofvictory_02_48,,,,,,,,
d_ex_wingofvictory_02_47,d_ex_wingofvictory_02,Monologue,Locale_SuddenStory:d_ex_wingofvictory_02_47,False,,1,1,1.0,,,,,1,idle,,d_ex_wingofvictory_02_49,,m_ex_wingofvictory_02_01,,,,,,
d_ex_wingofvictory_02_48,d_ex_wingofvictory_02,Monologue,Locale_SuddenStory:d_ex_wingofvictory_02_48,False,,1,1,1.0,,,,,1,idle,,,,m_ex_wingofvictory_02_02,,,,,,
d_ex_wingofvictory_02_49,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_49,True,,1,1,1.0,,guillotine,guillotine,,1,no,,,,,,,,,,
d_ex_wingofvictory_02_50,d_ex_wingofvictory_02,Self,Locale_SuddenStory:d_ex_wingofvictory_02_50,False,,1,1,1.0,,,Self,,1,no,,,,,,,,,,
d_ex_wingofvictory_02_51,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_51,True,,1,1,1.0,,guillotine,guillotine,,1,angry,,,,,,,,,,
d_ex_wingofvictory_02_52,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_52,True,,1,1,1.0,,guillotine,guillotine,,1,angry,,,,,,,,,,
d_ex_wingofvictory_02_53,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_53,True,,1,1,1.0,,guillotine,guillotine,,1,angry,,,,,,,,,,
d_ex_wingofvictory_02_54,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_54,True,,1,2,1.0,none,unknown,unknown,,1,angry,,,,,isabel,3,idle,,,
d_ex_wingofvictory_02_55,d_ex_wingofvictory_02,Self,Locale_SuddenStory:d_ex_wingofvictory_02_55,False,,2,2,1.0,,,Self,,1,idle,,,,,,3,idle,,,
d_ex_wingofvictory_02_56,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_56,True,,2,S_30,2.0,bgm_story_kneeldownfools,isabel,isabel,,1,idle,,,,,,3,good,,,
d_ex_wingofvictory_02_57,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_57,True,,S_30,S_30,1.0,,isabel,isabel,,1,idle,,,,,,3,good,,,
d_ex_wingofvictory_02_58,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_58,True,,S_30,S_30,1.0,,isabel,isabel,,1,idle,,,,,,3,good,,,
d_ex_wingofvictory_02_59,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_59,True,,S_30,S_10,1.0,,guillotine,guillotine,,1,idle,,,,,,3,good,,,
d_ex_wingofvictory_02_60,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_60,True,,S_10,S_10,1.0,,guillotine,guillotine,,1,delight,,,,,,3,idle,,,
d_ex_wingofvictory_02_61,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_61,True,,S_10,S_10,1.0,,guillotine,guillotine,,1,delight,,,,,,3,idle,,,
d_ex_wingofvictory_02_62,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_62,True,,S_10,2,0.5,,guillotine,guillotine,,1,idle,,,,,,3,idle,,,
d_ex_wingofvictory_02_63,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_63,True,,2,2,1.0,,isabel,isabel,,1,idle,,,,,,3,surprise,,,
d_ex_wingofvictory_02_64,d_ex_wingofvictory_02,Self,Locale_SuddenStory:d_ex_wingofvictory_02_64,False,,2,2,1.0,,,Self,,1,idle,,,,,,3,surprise,,,
d_ex_wingofvictory_02_65,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_65,False,,2,S_30,1.0,,isabel,isabel,,1,idle,,,,,,3,surprise,,,
d_ex_wingofvictory_02_66,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_66,True,,S_30,S_30,1.0,,isabel,isabel,,1,idle,,,,,,3,shy,,,
d_ex_wingofvictory_02_67,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_67,True,,S_30,S_30,1.0,,isabel,isabel,,1,idle,,,,,,3,shy,,,
d_ex_wingofvictory_02_68,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_68,True,,S_30,S_30,1.0,,isabel,isabel,,1,idle,,,,,,3,idle,,,
d_ex_wingofvictory_02_69,d_ex_wingofvictory_02,Narration,Locale_SuddenStory:d_ex_wingofvictory_02_69,False,,1,1,1.0,none,,Narration,,1,idle,,,,,,3,idle,guillotine,isabel,black
d_ex_wingofvictory_02_70,d_ex_wingofvictory_02,Monologue,Locale_SuddenStory:d_ex_wingofvictory_02_70,False,,1,1,1.0,,,,,,,,,,,,,,,,
d_ex_wingofvictory_02_71,d_ex_wingofvictory_02,Monologue,Locale_SuddenStory:d_ex_wingofvictory_02_71,False,,1,1,1.0,,,,,,,,,,,,,,,,
d_ex_wingofvictory_02_72,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_72,True,,1,1,1.0,bgm_story_darklord,guillotine,guillotine,guillotine,12,idle,,,,,isabel,2,idle,,,
d_ex_wingofvictory_02_73,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_73,True,,1,1,1.0,,guillotine,guillotine,,12,idle,,,,,,2,idle,,,
d_ex_wingofvictory_02_74,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_74,True,,1,1,1.0,,guillotine,guillotine,,12,idle,,,,,,2,idle,,,
d_ex_wingofvictory_02_75,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_75,True,,1,1,1.0,,guillotine,guillotine,,12,idle,,,,,,2,idle,,,
d_ex_wingofvictory_02_76,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_76,True,,1,1,1.0,,guillotine,guillotine,,12,delight,,,,,,2,idle,,,
d_ex_wingofvictory_02_77,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_77,True,,1,1,1.0,,isabel,isabel,,12,delight,,,,,,2,idle,,,
d_ex_wingofvictory_02_78,d_ex_wingofvictory_02,Self,Locale_SuddenStory:d_ex_wingofvictory_02_78,False,,1,1,1.0,,,Self,,12,idle,,,,,,2,idle,,,
d_ex_wingofvictory_02_79,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_79,True,,1,1,1.0,,isabel,isabel,,12,idle,,,,,,2,good,,,
d_ex_wingofvictory_02_80,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_80,True,,1,1,1.0,,isabel,isabel,,12,idle,,,,,,2,good,,,
d_ex_wingofvictory_02_81,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_81,True,,1,1,1.0,,guillotine,guillotine,,12,delight,,,,,,2,idle,,,
d_ex_wingofvictory_02_82,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_82,True,,1,1,1.0,,guillotine,guillotine,,12,delight,,,,,,2,idle,,,
d_ex_wingofvictory_02_83,d_ex_wingofvictory_02,Monologue,Locale_SuddenStory:d_ex_wingofvictory_02_83,False,,1,1,1.0,,,,,12,idle,,,,,,2,idle,,,
d_ex_wingofvictory_02_84,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_84,True,,1,S_120,0.5,,guillotine,guillotine,,12,angry,,,,,,2,idle,,,
d_ex_wingofvictory_02_85,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_85,True,,S_120,S_120,1.0,,guillotine,guillotine,,12,angry,,,,,,2,idle,,,
d_ex_wingofvictory_02_86,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_86,True,,S_120,XS_1200,0.5,,guillotine,guillotine,,12,angry,,,,,,2,idle,,,
d_ex_wingofvictory_02_87,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_87,True,,XS_1200,XS_1200,1.0,,guillotine,guillotine,,12,angry,,,,,,2,idle,,,
d_ex_wingofvictory_02_88,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_88,True,,XS_1200,1,0.5,,guillotine,guillotine,,12,angry,,,,,,2,idle,,,
d_ex_wingofvictory_02_89,d_ex_wingofvictory_02,Narration,Locale_SuddenStory:d_ex_wingofvictory_02_89,False,White,1,1,0.5,,,Narration,,12,angry,sfx_scn_aedshock,,,,,2,idle,guillotine,isabel,
d_ex_wingofvictory_02_90,d_ex_wingofvictory_02,Monologue,Locale_SuddenStory:d_ex_wingofvictory_02_90,False,Park,black,black,1.0,,,,,,,,,,,,,idle,,,
d_ex_wingofvictory_02_91,d_ex_wingofvictory_02,Monologue,Locale_SuddenStory:d_ex_wingofvictory_02_91,False,,black,black,1.0,,,,,,,,,,,isabel,19,idle,,,
d_ex_wingofvictory_02_92,d_ex_wingofvictory_02,Monologue,Locale_SuddenStory:d_ex_wingofvictory_02_92,False,,black,black,1.0,,,,,,,,,,,,19,idle,,,
d_ex_wingofvictory_02_93,d_ex_wingofvictory_02,Monologue,Locale_SuddenStory:d_ex_wingofvictory_02_93,False,,190,19,2.0,,,,guillotine,1,idle,,,,,,19,"expression_0,idle",guillotine,,
d_ex_wingofvictory_02_94,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_94,True,,1,1,1.0,,guillotine,guillotine,guillotine,1,shy,,,,,,19,idle,,isabel,
d_ex_wingofvictory_02_95,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_95,True,,1,XS_100,1.0,,guillotine,guillotine,,1,shy,,,,,,,,,,
d_ex_wingofvictory_02_96,d_ex_wingofvictory_02,Narration,Locale_SuddenStory:d_ex_wingofvictory_02_96,False,,black,black,1.0,none,,Narration,,1,shy,sfx_scn_down,,,,isabel,1,idle,guillotine,isabel,
d_ex_wingofvictory_02_97,d_ex_wingofvictory_02,Monologue,Locale_SuddenStory:d_ex_wingofvictory_02_97,False,,1,1,1.0,ambient_scn_wind,,,,,,,,,,,,,,,
d_ex_wingofvictory_02_98,d_ex_wingofvictory_02,Self,Locale_SuddenStory:d_ex_wingofvictory_02_98,False,,1,1,1.0,,,Self,,,,,,,,,,,,,
d_ex_wingofvictory_02_99,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_99,True,,1,1,1.0,,isabel,isabel,,,,,,,,isabel,1,surprise,,,
d_ex_wingofvictory_02_100,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_100,True,,1,1,1.0,,isabel,isabel,,,,,,,,,1,surprise,,,
d_ex_wingofvictory_02_101,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_101,True,,1,S_10,2.0,,isabel,isabel,,,,,,,,,1,surprise,,,
d_ex_wingofvictory_02_102,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_102,True,,S_10,S_10,1.0,,isabel,isabel,,,,,,,,,1,surprise,,,
d_ex_wingofvictory_02_103,d_ex_wingofvictory_02,Self,Locale_SuddenStory:d_ex_wingofvictory_02_103,False,,S_10,S_10,1.0,,,Self,,,,,,,,,1,surprise,,,
d_ex_wingofvictory_02_104,d_ex_wingofvictory_02,Self,Locale_SuddenStory:d_ex_wingofvictory_02_104,False,,S_10,S_10,1.0,,,Self,,,,,,,,,1,surprise,,,
