id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,characters/4/hide_char_id
d_subquest_1194_e_11,d_subquest_1194_e,Narration,,Narration,Locale_SubScenario:d_subquest_1194_e_11,False,,4,idle,,8,idle,,6,idle,,12,no,,2,idle,,14,idle,,6018,6018,1.0,,Low_2,sfx_scn_hit,
d_subquest_1194_e_12,d_subquest_1194_e,Monologue,,Monologue,Locale_SubScenario:d_subquest_1194_e_12,False,,4,idle,,8,idle,,6,idle,,12,no,,2,idle,,14,idle,,6018,6018,1.0,,,sfx_scn_noise,voltjr
d_subquest_1194_e_13,d_subquest_1194_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_e_13,True,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,6018,XS_120,2.0,,,,
d_subquest_1194_e_14,d_subquest_1194_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_e_14,True,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,XS_120,12,1.0,,,,
d_subquest_1194_e_15,d_subquest_1194_e,Monologue,,Monologue,Locale_SubScenario:d_subquest_1194_e_15,False,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,12,12,1.0,,,,
d_subquest_1194_e_16,d_subquest_1194_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_e_16,True,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,12,12,1.0,,,,
d_subquest_1194_e_17,d_subquest_1194_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1194_e_17,True,,4,idle,,8,idle,,6,worry,,12,idle,,,,,14,idle,,6,6,1.0,,,,
d_subquest_1194_e_18,d_subquest_1194_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_e_18,True,,4,idle,,8,idle,,6,worry,,12,idle,,,,,14,idle,,12,12,1.0,,,,
d_subquest_1194_e_19,d_subquest_1194_e,Self,,Self,Locale_SubScenario:d_subquest_1194_e_19,False,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,12,12,1.0,,,,
d_subquest_1194_e_20,d_subquest_1194_e,Narration,,Narration,Locale_SubScenario:d_subquest_1194_e_20,False,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,black,black,1.0,,,sfx_scn_shutter,
d_subquest_1194_e_21,d_subquest_1194_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_e_21,True,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,12,12,1.0,,,,
d_subquest_1194_e_22,d_subquest_1194_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_e_22,True,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,12,12,1.0,,,,
d_subquest_1194_e_23,d_subquest_1194_e,Self,,Self,Locale_SubScenario:d_subquest_1194_e_23,False,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,12,12,1.0,,,,
d_subquest_1194_e_24,d_subquest_1194_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_e_24,True,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,12,XS_120,1.0,,,,
d_subquest_1194_e_25,d_subquest_1194_e,Self,,Self,Locale_SubScenario:d_subquest_1194_e_25,False,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,XS_120,XS_120,1.0,,,,
d_subquest_1194_e_26,d_subquest_1194_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_e_26,True,,4,idle,,8,idle,,6,idle,,12,delight,,,,,14,idle,,XS_120,XS_120,1.0,,,,
d_subquest_1194_e_27,d_subquest_1194_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_e_27,False,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,XS_120,12,2.0,,,,
d_subquest_1194_e_28,d_subquest_1194_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_e_28,True,,4,idle,,8,idle,,6,idle,,12,no,,,,,14,idle,,12,12,1.0,,,,
d_subquest_1194_e_29,d_subquest_1194_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_e_29,True,,4,idle,,8,idle,,6,idle,,12,sorrow,,,,,14,idle,,12,12,1.0,,,,
d_subquest_1194_e_30,d_subquest_1194_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_e_30,True,,4,idle,,8,idle,,6,idle,,12,sorrow,,,,,14,idle,,12,12,1.0,,,,
d_subquest_1194_e_31,d_subquest_1194_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1194_e_31,True,,4,idle,,8,idle,,6,worry,,12,sorrow,,,,,14,idle,,6,6,1.0,,,,
d_subquest_1194_e_32,d_subquest_1194_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_e_32,True,,4,idle,,8,idle,,6,worry,,12,no,,,,,14,idle,,12,12,1.0,,,,
d_subquest_1194_e_33,d_subquest_1194_e,Narration,,Narration,Locale_SubScenario:d_subquest_1194_e_33,False,,4,idle,,8,idle,,6,idle,,12,no,,,,,14,idle,,black,black,1.0,none,,sfx_scn_doghowl,
d_subquest_1194_e_34,d_subquest_1194_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_e_34,False,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,12,12,1.0,,,,
d_subquest_1194_e_35,d_subquest_1194_e,Self,,Self,Locale_SubScenario:d_subquest_1194_e_35,False,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,12,12,1.0,,,,
d_subquest_1194_e_36,d_subquest_1194_e,Speech,volt,volt,Locale_SubScenario:d_subquest_1194_e_36,False,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,12,6019,0.3,,,,
d_subquest_1194_e_37,d_subquest_1194_e,Speech,volt,volt,Locale_SubScenario:d_subquest_1194_e_37,True,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,6019,6019,1.0,,Low_2,sfx_scn_dogbark,
d_subquest_1194_e_38,d_subquest_1194_e,Narration,,Narration,Locale_SubScenario:d_subquest_1194_e_38,False,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,black,black,2.0,,,sfx_scn_doghowl,
d_subquest_1194_e_39,d_subquest_1194_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_e_39,True,,4,idle,,8,idle,,6,idle,,12,surprise,,,,,14,idle,,12,XS_120,0.3,,,,
d_subquest_1194_e_40,d_subquest_1194_e,Monologue,,Monologue,Locale_SubScenario:d_subquest_1194_e_40,False,,4,idle,,8,idle,,6,idle,,12,surprise,,,,,14,idle,,XS_120,170,2.0,bgm_story_impression,,,
d_subquest_1194_e_41,d_subquest_1194_e,Monologue,,Monologue,Locale_SubScenario:d_subquest_1194_e_41,False,,4,idle,,8,idle,,6,idle,,12,surprise,,,,,14,idle,,170,170,1.0,,,,
d_subquest_1194_e_42,d_subquest_1194_e,Monologue,,Monologue,Locale_SubScenario:d_subquest_1194_e_42,False,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,170,170,1.0,,,,
d_subquest_1194_e_43,d_subquest_1194_e,Monologue,,Monologue,Locale_SubScenario:d_subquest_1194_e_43,False,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,170,170,1.0,,,,
d_subquest_1194_e_44,d_subquest_1194_e,Monologue,,Monologue,Locale_SubScenario:d_subquest_1194_e_44,False,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,170,180,2.0,,,,
d_subquest_1194_e_45,d_subquest_1194_e,Monologue,,Monologue,Locale_SubScenario:d_subquest_1194_e_45,False,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,180,180,1.0,,,,
d_subquest_1194_e_46,d_subquest_1194_e,Narration,,Narration,Locale_SubScenario:d_subquest_1194_e_46,False,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,180,180,1.0,,,sfx_scn_doghowl,
d_subquest_1194_e_47,d_subquest_1194_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1194_e_47,True,,4,idle,,8,idle,,6,idle,,12,idle,,,,,14,idle,,7,7,0.3,,,,
d_subquest_1194_e_48,d_subquest_1194_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1194_e_48,True,,4,idle,,8,surprise,,6,idle,,12,idle,,,,,14,idle,,7,7,1.0,,,,
d_subquest_1194_e_49,d_subquest_1194_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1194_e_49,True,,4,delight,,8,surprise,,6,idle,,12,idle,,,,,14,idle,,7,5,1.5,,,,
d_subquest_1194_e_50,d_subquest_1194_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_e_50,False,,4,delight,,8,idle,,6,idle,,12,idle,,,,,14,idle,,XS_120,XS_120,1.0,,,,
d_subquest_1194_e_51,d_subquest_1194_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_e_51,True,,4,idle,,8,idle,,6,idle,,12,delight,,,,,14,idle,,XS_120,13,0.7,,,,
d_subquest_1194_e_52,d_subquest_1194_e,Speech,centi,centi,Locale_SubScenario:d_subquest_1194_e_52,True,,4,idle,,8,idle,,6,idle,,12,delight,,,,,14,idle,,13,13,1.0,,,,
