id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim
d_main_05_02_20,d_main_05_02,Speech,rapi,rapi,Locale_MainScenario:d_main_05_02_20,True,,3,idle,,1,idle,,13,idle,,13,130,1.0,,,,,
d_main_05_02_21,d_main_05_02,Speech,neon,neon,Locale_MainScenario:d_main_05_02_21,True,,3,surprise,,1,idle,,13,idle,,S_30,S_30,1.0,,,,,
d_main_05_02_22,d_main_05_02,Speech,neon,neon,Locale_MainScenario:d_main_05_02_22,True,,3,no,,1,idle,,13,idle,,S_30,S_30,1.0,,,,,
d_main_05_02_23,d_main_05_02,Speech,rapi,rapi,Locale_MainScenario:d_main_05_02_23,False,,3,no,,1,idle,,13,idle,,S_30,130,1.0,,,,,
d_main_05_02_24,d_main_05_02,Speech,rapi,rapi,Locale_MainScenario:d_main_05_02_24,True,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,,,
d_main_05_02_25,d_main_05_02,Self,Self,Self,Locale_MainScenario:d_main_05_02_25,True,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,,,
d_main_05_02_26,d_main_05_02,Speech,shifty,shifty,Locale_MainScenario:d_main_05_02_26,True,,3,idle,,1,idle,,13,idle,,130,13,1.0,,,shifty,OP_leftup,idle
d_main_05_02_27,d_main_05_02,Speech,shifty,shifty,Locale_MainScenario:d_main_05_02_27,True,,3,idle,,1,idle,,13,idle,,13,13,1.0,,,,OP_leftup,idle
d_main_05_02_28,d_main_05_02,Speech,rapi,rapi,Locale_MainScenario:d_main_05_02_28,True,,3,idle,,1,idle,,13,idle,,13,13,1.0,,,,OP_leftup,idle
d_main_05_02_29,d_main_05_02,Speech,shifty,shifty,Locale_MainScenario:d_main_05_02_29,True,,3,idle,,1,idle,,13,idle,,13,13,1.0,,,,OP_leftup,idle
d_main_05_02_30,d_main_05_02,Speech,shifty,shifty,Locale_MainScenario:d_main_05_02_30,True,,3,idle,,1,idle,,13,idle,,13,13,1.0,,,,OP_leftup,idle
d_main_05_02_31,d_main_05_02,Speech,anis,anis,Locale_MainScenario:d_main_05_02_31,True,,3,idle,,1,void,,13,idle,,13,13,1.0,,,,OP_leftup,idle
d_main_05_02_32,d_main_05_02,Speech,shifty,shifty,Locale_MainScenario:d_main_05_02_32,True,,3,idle,,1,void,,13,idle,,13,13,1.0,,,,OP_leftup,idle
d_main_05_02_33,d_main_05_02,Speech,shifty,shifty,Locale_MainScenario:d_main_05_02_33,True,,3,idle,,1,void,,13,idle,,13,13,1.0,,,,OP_leftup,idle
d_main_05_02_34,d_main_05_02,Speech,rapi,rapi,Locale_MainScenario:d_main_05_02_34,False,,3,idle,,1,void,,13,idle,,13,130,1.0,,,,OP_leftup,idle
d_main_05_02_35,d_main_05_02,Speech,anis,anis,Locale_MainScenario:d_main_05_02_35,False,,3,idle,,1,void,,13,idle,,10,100,1.0,,,,OP_leftup,idle
d_main_05_02_36,d_main_05_02,Speech,neon,neon,Locale_MainScenario:d_main_05_02_36,False,,3,idle,,1,void,,13,idle,,S_30,S_300,1.0,,,,OP_leftup,idle
d_main_05_02_37,d_main_05_02,Speech,shifty,shifty,Locale_MainScenario:d_main_05_02_37,True,,3,idle,,1,void,,13,idle,,13,13,1.0,,,,OP_leftup,surprise
d_main_05_02_38,d_main_05_02,Speech,shifty,shifty,Locale_MainScenario:d_main_05_02_38,True,,3,idle,,1,void,,13,idle,,13,13,1.0,,,,OP_leftup,surprise
d_main_05_02_39,d_main_05_02,Speech,rapi,rapi,Locale_MainScenario:d_main_05_02_39,True,,3,idle,,1,void,,13,idle,,13,13,1.0,,,,OP_leftup,surprise
d_main_05_02_40,d_main_05_02,Speech,rapi,rapi,Locale_MainScenario:d_main_05_02_40,True,,3,idle,,1,void,,13,idle,,13,130,3.0,,,,OP_leftup,surprise
d_main_05_02_41,d_main_05_02,Speech,rapi,rapi,Locale_MainScenario:d_main_05_02_41,True,,3,idle,,1,void,,13,idle,,130,1300,3.0,,,,OP_leftup,surprise
