id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_main_30_01_s_11,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_11,True,,50,50,1.0,,,anis,anis,,3,idle,,5,void,,7,idle,,1,worry,,13,idle,,15,idle,,OP_rightup,idle,
d_main_30_01_s_12,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_12,True,,50,50,1.0,,,anis,anis,,3,idle,,5,void,,7,idle,,1,worry,,13,idle,,15,idle,,OP_rightup,idle,
d_main_30_01_s_13,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_13,True,,S_10,S_10,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,idle,,13,idle,,15,idle,,OP_rightup,idle,
d_main_30_01_s_14,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_14,True,,S_10,S_10,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,idle,,13,idle,,15,idle,,OP_rightup,idle,
d_main_30_01_s_15,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_15,True,,S_10,S_10,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,idle,,13,idle,,15,idle,,OP_rightup,idle,
d_main_30_01_s_16,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_16,True,,S_10,S_10,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,idle,,13,idle,,15,idle,,OP_rightup,idle,
d_main_30_01_s_17,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_17,True,,S_10,S_10,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,idle,,13,idle,,15,idle,,OP_rightup,idle,
d_main_30_01_s_18,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_18,True,,S_10,S_10,1.0,,,trony_op_r,trony_op_r,,3,idle,,5,void,,7,idle,,1,idle,,13,idle,,15,idle,,OP_rightup,idle,
d_main_30_01_s_19,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_19,True,,S_10,S_10,1.0,,,trony_op_r,trony_op_r,,3,idle,,5,void,,7,idle,,1,idle,,13,idle,,15,idle,,OP_rightup,idle,
d_main_30_01_s_20,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_20,True,,S_10,S_10,1.0,,,trony_op_r,trony_op_r,,3,idle,,5,void,,7,idle,,1,idle,,13,idle,,15,idle,,OP_rightup,idle,
d_main_30_01_s_21,d_main_30_01_s,Self,Locale_MainScenario:d_main_30_01_s_21,False,,S_10,S_10,1.0,,,trony_op_r,,,3,idle,,5,void,,7,idle,,1,think,,13,idle,,15,idle,,OP_rightup,idle,
d_main_30_01_s_22,d_main_30_01_s,Self,Locale_MainScenario:d_main_30_01_s_22,False,,S_10,S_10,1.0,,,trony_op_r,,,3,idle,,5,void,,7,idle,,1,think,,13,idle,,15,idle,,OP_rightup,idle,
d_main_30_01_s_23,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_23,True,,S_10,S_10,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,think,,13,idle,,15,idle,,OP_rightup,idle,
d_main_30_01_s_24,d_main_30_01_s,Self,Locale_MainScenario:d_main_30_01_s_24,False,,S_10,S_10,1.0,,,elegg,,,3,idle,,5,void,,7,idle,,1,think,,13,idle,,15,idle,,OP_rightup,idle,
d_main_30_01_s_25,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_25,True,CrystalCity,S_10,S_100,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,pain,,13,idle,,15,idle,,OP_rightup,idle,trony_op_r
d_main_30_01_s_26,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_26,True,,S_100,S_100,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,pain,,13,idle,,15,idle,,,,
d_main_30_01_s_27,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_27,True,,S_100,S_100,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,pain,,13,idle,,15,idle,,,,
d_main_30_01_s_28,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_28,True,,S_100,S_100,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,pain,,13,idle,,15,idle,,,,
d_main_30_01_s_29,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_29,True,,S_100,S_100,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,pain,,13,idle,,15,idle,,,,
d_main_30_01_s_30,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_30,True,,S_100,S_100,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,pain,,13,idle,,15,idle,,,,
d_main_30_01_s_31,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_31,True,,S_100,S_100,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,special,,13,idle,,15,idle,,,,
d_main_30_01_s_32,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_32,True,,S_100,S_100,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,special,,13,idle,,15,idle,,,,
d_main_30_01_s_33,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_33,True,,S_100,S_100,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,special,,13,idle,,15,idle,,,,
d_main_30_01_s_34,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_34,True,,S_100,S_100,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,special,,13,idle,,15,idle,,,,
d_main_30_01_s_35,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_35,True,,S_100,S_100,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,special,,13,idle,,15,idle,,,,
d_main_30_01_s_36,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_36,True,,S_100,S_100,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,special,,13,idle,,15,idle,,,,
d_main_30_01_s_37,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_37,True,,S_100,S_10,1.0,,,trony_op_r,trony_op_r,,3,idle,,5,void,,7,idle,,1,special,,13,idle,,15,idle,trony_op_r,OP_rightup,angry,
d_main_30_01_s_38,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_38,True,,S_10,S_10,1.0,,,elegg,elegg,,3,idle,,5,void,,7,idle,,1,special,,13,idle,,15,idle,,OP_rightup,angry,
d_main_30_01_s_39,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_39,True,,S_10,S_10,1.0,,,trony_op_r,trony_op_r,,3,idle,,5,void,,7,idle,,1,special,,13,idle,,15,idle,,OP_rightup,surprise2,
d_main_30_01_s_40,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_40,True,,S_10,S_10,1.0,,,trony_op_r,trony_op_r,,3,idle,,5,void,,7,idle,,1,special,,13,idle,,15,idle,,OP_rightup,surprise2,
d_main_30_01_s_41,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_41,True,,S_10,12,1.0,,,drilley,drilley,,3,idle,,5,void,,7,idle,,1,special,,13,idle,,15,idle,,OP_rightup,surprise2,trony_op_r
d_main_30_01_s_42,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_42,True,,12,12,1.0,,,drilley,drilley,,3,idle,,5,void,,7,idle,,1,idle,,13,idle,,15,idle,,,,
d_main_30_01_s_43,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_43,True,,S_70,S_70,1.0,,,neon,neon,,3,idle,,5,void,,7,idle,,1,idle,,13,idle,,15,idle,,,,
d_main_30_01_s_44,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_44,True,,S_70,S_70,1.0,,,neon,neon,,3,idle,,5,void,,7,idle,,1,idle,,13,idle,,15,idle,,,,
d_main_30_01_s_45,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_45,True,,S_70,S_70,1.0,,,neon,neon,,3,idle,,5,void,,7,surprise,,1,idle,,13,idle,,15,idle,,,,
d_main_30_01_s_46,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_46,True,,S_150,S_150,1.0,,,fragile,fragile,,3,idle,,5,void,,7,surprise,,1,idle,,13,idle,,15,idle,,,,
d_main_30_01_s_47,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_47,True,,S_150,S_150,1.0,,,fragile,fragile,,3,idle,,5,void,,7,idle,,1,idle,,13,idle,,15,idle,,,,
d_main_30_01_s_48,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_48,True,,S_150,S_150,1.0,,,fragile,fragile,,3,idle,,5,void,,7,idle,,1,idle,,13,idle,,15,idle,,,,
d_main_30_01_s_49,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_49,True,,S_150,S_150,1.0,,,fragile,fragile,,3,idle,,5,void,,7,idle,,1,idle,,13,idle,,15,idle,,,,
d_main_30_01_s_50,d_main_30_01_s,Self,Locale_MainScenario:d_main_30_01_s_50,False,,S_150,S_150,1.0,,,fragile,,,3,idle,,5,void,,7,idle,,1,idle,,13,idle,,15,idle,,,,
d_main_30_01_s_51,d_main_30_01_s,Self,Locale_MainScenario:d_main_30_01_s_51,False,,S_150,S_150,1.0,,,fragile,,,3,idle,,5,void,,7,idle,,1,idle,,13,idle,,15,idle,,,,
d_main_30_01_s_52,d_main_30_01_s,Speech,Locale_MainScenario:d_main_30_01_s_52,True,,30,30,1.0,,,rapi,rapi,,3,idle,,5,void,,7,idle,,1,idle,,13,idle,,15,idle,,,,
