id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_police_04_29,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_29,True,,120,120,1.0,,,,,12,sad,,2,idle,
d_ex_police_04_30,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_30,True,,120,120,1.0,,,,,12,sad,,2,idle,
d_ex_police_04_31,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_31,True,,120,120,1.0,,,,,12,sad,,2,idle,
d_ex_police_04_32,d_ex_police_04,Speech,viper,viper,Locale_SuddenStory:d_ex_police_04_32,True,,120,1,1.0,,,,,12,sad,,2,good,
d_ex_police_04_33,d_ex_police_04,Speech,viper,viper,Locale_SuddenStory:d_ex_police_04_33,True,,1,1,1.0,,,,,12,sad,,2,good,
d_ex_police_04_34,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_34,True,,1,1,1.0,,,,,12,delight,,2,good,
d_ex_police_04_35,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_35,True,,1,1,1.0,,,,,12,delight,,2,good,
d_ex_police_04_36,d_ex_police_04,Speech,viper,viper,Locale_SuddenStory:d_ex_police_04_36,True,,1,20,1.0,,,,,12,delight,,2,shy,
d_ex_police_04_37,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_37,False,,20,120,2.0,,,,,12,surprise,,2,shy,
d_ex_police_04_38,d_ex_police_04,Speech,viper,viper,Locale_SuddenStory:d_ex_police_04_38,True,,120,20,0.5,,,,,12,surprise,,2,shy,
d_ex_police_04_39,d_ex_police_04,Speech,viper,viper,Locale_SuddenStory:d_ex_police_04_39,True,,20,20,1.0,,,,,12,sad,,2,delight,
d_ex_police_04_40,d_ex_police_04,Speech,viper,viper,Locale_SuddenStory:d_ex_police_04_40,True,,20,20,1.0,,,,,12,sad,,2,delight,
d_ex_police_04_41,d_ex_police_04,Choice,viper,,Locale_SuddenStory:d_ex_police_04_41,False,,20,20,1.0,,,d_ex_police_04_43,,12,sad,,2,delight,
d_ex_police_04_42,d_ex_police_04,Choice,viper,,Locale_SuddenStory:d_ex_police_04_42,False,,20,20,1.0,,,d_ex_police_04_46,,12,sad,,2,delight,
d_ex_police_04_43,d_ex_police_04,Speech,viper,viper,Locale_SuddenStory:d_ex_police_04_43,True,,20,20,1.0,,,,,12,sad,,2,delight,
d_ex_police_04_44,d_ex_police_04,Speech,viper,viper,Locale_SuddenStory:d_ex_police_04_44,True,,20,20,1.0,,,,,12,sad,,2,idle,
d_ex_police_04_45,d_ex_police_04,Speech,viper,viper,Locale_SuddenStory:d_ex_police_04_45,True,,20,20,1.0,,,d_ex_police_04_48,,12,sad,,2,idle,
d_ex_police_04_46,d_ex_police_04,Speech,viper,viper,Locale_SuddenStory:d_ex_police_04_46,True,,20,20,1.0,,,,,12,sad,,2,idle,
d_ex_police_04_47,d_ex_police_04,Speech,viper,viper,Locale_SuddenStory:d_ex_police_04_47,True,,20,20,1.0,,,,,12,sad,,2,idle,
d_ex_police_04_48,d_ex_police_04,Speech,viper,viper,Locale_SuddenStory:d_ex_police_04_48,True,,20,20,1.0,,,,,12,sad,,2,delight,
d_ex_police_04_49,d_ex_police_04,Monologue,,Monologue,Locale_SuddenStory:d_ex_police_04_49,False,,20,20,1.0,none,,,,12,sad,,4,delight,viper
d_ex_police_04_50,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_50,True,,20,12,1.0,,,,,12,sad,,,,
d_ex_police_04_51,d_ex_police_04,Self,rupee_w,Self,Locale_SuddenStory:d_ex_police_04_51,False,,12,12,1.0,,,,,12,sad,,,,
d_ex_police_04_52,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_52,True,,12,12,1.0,bgm_story_inwonderland,,,,12,surprise,,,,
d_ex_police_04_53,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_53,True,,12,12,1.0,,,,,12,idle,,,,
d_ex_police_04_54,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_54,True,,12,12,1.0,,,,,12,idle,,,,
d_ex_police_04_55,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_55,True,,12,120,1.0,,,,,12,idle_02,,,,
d_ex_police_04_56,d_ex_police_04,Monologue,rupee_w,Monologue,Locale_SuddenStory:d_ex_police_04_56,False,,black,black,1.0,,,,,12,idle_02,,,,
d_ex_police_04_57,d_ex_police_04,Self,rupee_w,Self,Locale_SuddenStory:d_ex_police_04_57,False,,120,120,1.0,,,,,12,idle_02,,,,
d_ex_police_04_58,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_58,True,,120,120,1.0,,,,,12,special,,,,
d_ex_police_04_59,d_ex_police_04,Speech,rupee_w,rupee_w,Locale_SuddenStory:d_ex_police_04_59,True,,120,120,1.0,,,,,12,special,,,,
