id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound
d_ex_tower_06_24,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_24,True,,1,idle,,12,12,1.0,,exia,,,13,idle,
d_ex_tower_06_25,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_25,True,,1,idle,,12,12,1.0,,exia,,,13,idle,
d_ex_tower_06_26,d_ex_tower_06,Self,Self,Locale_SuddenStory:d_ex_tower_06_26,False,,1,idle,,12,12,1.0,,,,,13,idle,
d_ex_tower_06_27,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_27,True,,1,idle,,12,12,1.0,,tia,,,13,idle,
d_ex_tower_06_28,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_28,True,,1,idle,,12,12,1.0,,tia,,,13,idle,
d_ex_tower_06_29,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_29,True,,1,idle,,12,12,1.0,,tia,,,13,idle,
d_ex_tower_06_30,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_30,True,,1,idle,,12,12,1.0,,tia,,,13,idle,
d_ex_tower_06_31,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_31,True,,1,idle,,12,12,1.0,,tia,,,13,idle,
d_ex_tower_06_32,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_32,True,,1,idle,,12,12,1.0,,exia,,,13,idle,
d_ex_tower_06_33,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_33,True,,1,idle,,12,12,1.0,,tia,,,13,idle,
d_ex_tower_06_34,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_34,True,,1,idle,,12,12,1.0,,tia,,,13,idle,
d_ex_tower_06_35,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_35,True,,1,idle,,12,12,1.0,,tia,,,13,idle,
d_ex_tower_06_36,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_36,True,,1,idle,,12,12,1.0,,exia,,,13,idle,
d_ex_tower_06_37,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_37,True,,1,idle,,12,12,1.0,,exia,,,13,idle,
d_ex_tower_06_38,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_38,True,,1,idle,,12,12,1.0,,exia,,,13,idle,
d_ex_tower_06_39,d_ex_tower_06,Monologue,Monologue,Locale_SuddenStory:d_ex_tower_06_39,False,,1,idle,,12,12,1.0,,,,,13,idle,
d_ex_tower_06_40,d_ex_tower_06,Self,Self,Locale_SuddenStory:d_ex_tower_06_40,False,,1,idle,,12,12,1.0,,,,,13,idle,
d_ex_tower_06_41,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_41,True,,1,idle,,12,12,1.0,,exia,,,13,idle,
d_ex_tower_06_42,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_42,True,,1,idle,,12,12,1.0,,exia,,,13,idle,
d_ex_tower_06_43,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_43,True,,1,idle,,12,12,1.0,,exia,,,13,idle,
d_ex_tower_06_44,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_44,True,,1,idle,,12,12,1.0,,tia,,,13,idle,
d_ex_tower_06_45,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_45,True,,1,idle,,12,12,1.0,,tia,,,13,idle,
d_ex_tower_06_46,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_46,False,,1,idle,,12,12,1.0,,exia,,,13,idle,
d_ex_tower_06_47,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_47,True,,1,idle,,12,12,1.0,,exia,,,13,delight,
d_ex_tower_06_48,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_48,True,,1,idle,,12,12,1.0,,exia,,,13,delight,
d_ex_tower_06_49,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_49,True,,1,idle,,12,12,1.0,,exia,,,13,delight,
d_ex_tower_06_50,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_50,True,,1,idle,,12,12,1.0,,exia,,,13,delight,
d_ex_tower_06_51,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_51,True,,1,idle,,12,12,1.0,,exia,,,13,delight,
d_ex_tower_06_52,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_52,True,,1,idle,,12,S_130,1.0,,exia,,,13,delight,
d_ex_tower_06_53,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_53,True,,1,delight,,S_130,10,1.0,,tia,,,13,delight,
d_ex_tower_06_54,d_ex_tower_06,Narration,Narration,Locale_SuddenStory:d_ex_tower_06_54,False,,1,idle,,black,black,1.0,none,,,,13,idle,
d_ex_tower_06_55,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_55,True,,1,idle,,12,12,1.0,bgm_story_languor,tia,,,13,idle,
d_ex_tower_06_56,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_56,True,,1,idle,,12,12,1.0,,exia,,,13,idle,
d_ex_tower_06_57,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_57,True,,1,idle,,12,12,1.0,,exia,,,13,idle,
d_ex_tower_06_58,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_58,True,,1,idle,,12,12,1.0,,exia,,,13,surprise,
d_ex_tower_06_59,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_59,True,,1,idle,,12,12,1.0,,exia,,,13,surprise,
d_ex_tower_06_60,d_ex_tower_06,Self,Self,Locale_SuddenStory:d_ex_tower_06_60,False,,1,idle,,12,12,1.0,,,,,13,surprise,
d_ex_tower_06_61,d_ex_tower_06,Narration,Narration,Locale_SuddenStory:d_ex_tower_06_61,False,,1,idle,,black,black,1.0,,,,,13,idle,
d_ex_tower_06_62,d_ex_tower_06,Narration,Narration,Locale_SuddenStory:d_ex_tower_06_62,False,,1,idle,,12,12,1.0,,,,,13,idle,sfx_scn_fanfare
d_ex_tower_06_63,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_63,True,,1,idle,,12,12,1.0,,tia,,,13,idle,
d_ex_tower_06_64,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_64,True,,1,delight,,12,12,1.0,,tia,,,13,idle,
d_ex_tower_06_65,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_65,True,,1,delight,,12,12,1.0,,exia,,,13,delight,
d_ex_tower_06_66,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_66,True,,1,delight,,12,12,1.0,,exia,,,13,delight,
d_ex_tower_06_67,d_ex_tower_06,Self,Self,Locale_SuddenStory:d_ex_tower_06_67,False,,1,delight,,12,12,1.0,,,,,13,delight,
d_ex_tower_06_68,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_68,True,,1,delight,,12,12,1.0,,tia,,,13,surprise,
d_ex_tower_06_69,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_69,True,,1,delight,,12,12,1.0,,exia,,,13,surprise,
d_ex_tower_06_70,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_70,True,,1,delight,,12,12,1.0,,exia,,,13,surprise,
d_ex_tower_06_71,d_ex_tower_06,Narration,Narration,Locale_SuddenStory:d_ex_tower_06_71,False,,1,idle,,black,black,1.0,,,,,13,idle,
d_ex_tower_06_72,d_ex_tower_06,Narration,Narration,Locale_SuddenStory:d_ex_tower_06_72,False,,1,idle,,10,10,1.0,,,,,13,idle,sfx_scn_fanfare
d_ex_tower_06_73,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_73,True,,1,idle,,10,10,1.0,,tia,,,13,idle,
d_ex_tower_06_74,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_74,True,,1,idle,,10,10,1.0,,tia,,,13,idle,
d_ex_tower_06_75,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_75,True,,1,idle,,10,10,1.0,,tia,,,13,idle,
d_ex_tower_06_76,d_ex_tower_06,Self,Self,Locale_SuddenStory:d_ex_tower_06_76,False,,1,idle,,10,10,1.0,,,,,13,idle,
d_ex_tower_06_77,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_77,True,,1,idle,,10,12,1.0,,exia,,,13,idle,
d_ex_tower_06_78,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_78,True,,1,idle,,12,12,1.0,,exia,,,13,idle,
d_ex_tower_06_79,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_79,True,,1,idle,,12,12,1.0,none,tia,,,13,idle,
d_ex_tower_06_80,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_80,True,,1,idle,,12,12,1.0,,exia,,,13,idle,
d_ex_tower_06_81,d_ex_tower_06,Narration,Narration,Locale_SuddenStory:d_ex_tower_06_81,False,,1,idle,none,black,black,1.0,bgm_story_sunshinesorrow,,,,13,idle,
d_ex_tower_06_82,d_ex_tower_06,Narration,Narration,Locale_SuddenStory:d_ex_tower_06_82,False,,1,idle,,black,black,1.0,,,,,13,idle,
d_ex_tower_06_83,d_ex_tower_06,Narration,Narration,Locale_SuddenStory:d_ex_tower_06_83,False,,1,idle,,black,black,1.0,,,,,13,idle,
d_ex_tower_06_84,d_ex_tower_06,Narration,Narration,Locale_SuddenStory:d_ex_tower_06_84,False,,1,idle,,black,black,1.0,,,,,13,idle,
d_ex_tower_06_85,d_ex_tower_06,Narration,Narration,Locale_SuddenStory:d_ex_tower_06_85,False,,1,idle,,black,black,1.0,,,,,13,idle,
d_ex_tower_06_86,d_ex_tower_06,Narration,Narration,Locale_SuddenStory:d_ex_tower_06_86,False,,1,idle,,black,black,1.0,,,,,13,idle,
d_ex_tower_06_87,d_ex_tower_06,Monologue,Monologue,Locale_SuddenStory:d_ex_tower_06_87,False,,1,idle,,black,black,1.0,,,,,13,idle,
d_ex_tower_06_88,d_ex_tower_06,Monologue,Monologue,Locale_SuddenStory:d_ex_tower_06_88,False,,1,idle,Police,black,black,1.0,,,,,13,idle,
d_ex_tower_06_89,d_ex_tower_06,Self,Self,Locale_SuddenStory:d_ex_tower_06_89,False,,1,idle,,1,1,1.0,none,,,,13,idle,
d_ex_tower_06_90,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_90,True,,1,delight,,1,10,1.5,bgm_story_whosdumber,tia,,,13,idle,
d_ex_tower_06_91,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_91,True,,1,delight,,10,10,1.0,,tia,,,13,good,
d_ex_tower_06_92,d_ex_tower_06,Self,Self,Locale_SuddenStory:d_ex_tower_06_92,False,,1,delight,,10,10,1.0,,,,,13,good,
d_ex_tower_06_93,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_93,True,,1,delight,,10,S_130,1.0,,exia,,,13,good,
d_ex_tower_06_94,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_94,True,,1,delight,,S_130,S_130,1.0,,exia,,,13,good,
d_ex_tower_06_95,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_95,True,,1,delight,,S_130,S_130,1.0,,exia,,,13,good,
d_ex_tower_06_96,d_ex_tower_06,Self,Self,Locale_SuddenStory:d_ex_tower_06_96,False,,1,delight,,S_130,S_130,1.0,,,,,13,good,
d_ex_tower_06_97,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_97,True,,1,delight,,S_130,1,1.0,,tia,,,13,good,
d_ex_tower_06_98,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_98,True,,1,delight,,1,10,0.5,,tia,,,13,good,
d_ex_tower_06_99,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_99,True,,1,delight,,10,100,0.5,,tia,,,13,good,
d_ex_tower_06_100,d_ex_tower_06,Self,Self,Locale_SuddenStory:d_ex_tower_06_100,False,,1,delight,,100,100,1.0,,,,,13,good,
d_ex_tower_06_101,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_101,True,,1,delight,,100,100,1.0,,exia,,,13,idle,
d_ex_tower_06_102,d_ex_tower_06,Self,Self,Locale_SuddenStory:d_ex_tower_06_102,False,,1,delight,,100,100,1.0,,,,,13,idle,
d_ex_tower_06_103,d_ex_tower_06,Narration,Narration,Locale_SuddenStory:d_ex_tower_06_103,False,,1,delight,,100,100,1.0,,,,,13,idle,sfx_scn_fanfare
d_ex_tower_06_104,d_ex_tower_06,Speech,tia,Locale_SuddenStory:d_ex_tower_06_104,True,,1,delight,,100,100,1.0,,tia,,,13,idle,
d_ex_tower_06_105,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_105,True,,1,delight,,100,12,1.0,,exia,,,13,idle,
d_ex_tower_06_106,d_ex_tower_06,Speech,exia,Locale_SuddenStory:d_ex_tower_06_106,True,,1,delight,,12,12,1.0,,exia,,,13,idle,
d_ex_tower_06_107,d_ex_tower_06,Self,Self,Locale_SuddenStory:d_ex_tower_06_107,False,,1,delight,,12,12,1.0,,,,,13,idle,
d_ex_tower_06_108,d_ex_tower_06,Monologue,Monologue,Locale_SuddenStory:d_ex_tower_06_108,False,,1,delight,,black,black,1.0,,,,,13,idle,
