id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_03_04_12,d_main_03_04,Speech,mihara,mihara,Locale_MainScenario:d_main_03_04_12,True,,1719,170,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_04_13,d_main_03_04,Speech,neon,neon,Locale_MainScenario:d_main_03_04_13,True,,S_130,S_1300,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_04_14,d_main_03_04,Speech,mihara,mihara,Locale_MainScenario:d_main_03_04_14,True,,170,170,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_04_15,d_main_03_04,Speech,mihara,mihara,Locale_MainScenario:d_main_03_04_15,True,,170,170,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_04_16,d_main_03_04,Speech,yuni,yuni,Locale_MainScenario:d_main_03_04_16,True,,S_190,S_1900,0.5,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_04_17,d_main_03_04,Speech,mihara,mihara,Locale_MainScenario:d_main_03_04_17,True,,170,1700,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_04_18,d_main_03_04,Speech,yuni,yuni,Locale_MainScenario:d_main_03_04_18,True,,S_1900,S_1900,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_04_19,d_main_03_04,Speech,mihara,mihara,Locale_MainScenario:d_main_03_04_19,True,EventScene_Chap_04_05,9,1,3.0,,,,1,idle,rapi,,3,void,anis,,13,idle,neon,,17,idle,mihara,,19,idle,yuni
d_main_03_04_20,d_main_03_04,Speech,mihara,mihara,Locale_MainScenario:d_main_03_04_20,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_03_04_21,d_main_03_04,Narration,mihara,Narration,Locale_MainScenario:d_main_03_04_21,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_03_04_22,d_main_03_04,Speech,mihara,mihara,Locale_MainScenario:d_main_03_04_22,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_03_04_23,d_main_03_04,Speech,yuni,yuni,Locale_MainScenario:d_main_03_04_23,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_03_04_24,d_main_03_04,Speech,anis,anis,Locale_MainScenario:d_main_03_04_24,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_03_04_25,d_main_03_04,Speech,neon,neon,Locale_MainScenario:d_main_03_04_25,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_03_04_26,d_main_03_04,Speech,yuni,yuni,Locale_MainScenario:d_main_03_04_26,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_03_04_27,d_main_03_04,Speech,mihara,mihara,Locale_MainScenario:d_main_03_04_27,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_03_04_28,d_main_03_04,Speech,anis,anis,Locale_MainScenario:d_main_03_04_28,True,CityForest_03,30,30,1.0,,,rapi,1,idle,,anis,3,void,,neon,13,idle,,mihara,17,shy,,yuni,19,shy,
d_main_03_04_29,d_main_03_04,Speech,neon,neon,Locale_MainScenario:d_main_03_04_29,True,,S_130,S_130,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,shy,,,19,shy,
d_main_03_04_30,d_main_03_04,Choice,neon,,Locale_MainScenario:d_main_03_04_30,True,,S_130,S_130,1.0,,d_main_03_04_32,,1,idle,,,3,void,,,13,idle,,,17,shy,,,19,shy,
d_main_03_04_31,d_main_03_04,Choice,neon,,Locale_MainScenario:d_main_03_04_31,True,,S_130,S_130,1.0,,d_main_03_04_32,,1,idle,,,3,void,,,13,idle,,,17,shy,,,19,shy,
d_main_03_04_32,d_main_03_04,Speech,rapi,rapi,Locale_MainScenario:d_main_03_04_32,True,,10,10,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,shy,,,19,shy,
d_main_03_04_33,d_main_03_04,Speech,neon,neon,Locale_MainScenario:d_main_03_04_33,True,,10,S_130,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,shy,,,19,shy,
d_main_03_04_34,d_main_03_04,Speech,rapi,rapi,Locale_MainScenario:d_main_03_04_34,True,,S_130,100,1.0,,,,1,think,,,3,void,,,13,idle,,,17,shy,,,19,shy,
d_main_03_04_35,d_main_03_04,Speech,yuni,yuni,Locale_MainScenario:d_main_03_04_35,True,,S_190,S_190,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,shy,,,19,shy,
d_main_03_04_36,d_main_03_04,Speech,mihara,mihara,Locale_MainScenario:d_main_03_04_36,True,,170,170,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,shy,,,19,shy,
d_main_03_04_37,d_main_03_04,Speech,mihara,mihara,Locale_MainScenario:d_main_03_04_37,True,,170,170,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
d_main_03_04_38,d_main_03_04,Speech,yuni,yuni,Locale_MainScenario:d_main_03_04_38,True,,170,S_190,1.0,,,,1,idle,,,3,void,,,13,idle,,,17,idle,,,19,idle,
