id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_40_08_26,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_26,True,,S_100,S_100,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_27,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_27,True,,S_100,S_100,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_28,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_28,True,,S_100,S_100,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_29,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_29,True,,S_100,S_100,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_30,d_main_40_08,Self,Locale_MainScenario:d_main_40_08_30,False,,S_100,S_100,1.0,,liberalio,,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_31,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_31,True,,S_100,S_100,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_32,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_32,True,,S_100,S_100,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_33,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_33,True,,S_100,S_100,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_34,d_main_40_08,Self,Locale_MainScenario:d_main_40_08_34,False,,S_100,S_100,1.0,,liberalio,,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_35,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_35,True,,S_100,S_10,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_36,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_36,True,,S_10,S_10,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_37,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_37,True,,S_10,S_10,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_38,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_38,True,,S_10,S_10,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_39,d_main_40_08,Self,Locale_MainScenario:d_main_40_08_39,False,,S_10,S_10,1.0,,liberalio,,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_40,d_main_40_08,Self,Locale_MainScenario:d_main_40_08_40,False,,S_10,S_10,1.0,,liberalio,,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_41,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_41,True,,S_10,S_100,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_42,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_42,True,,S_100,S_100,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_43,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_43,True,,S_100,S_100,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_44,d_main_40_08,Monologue,Locale_MainScenario:d_main_40_08_44,False,,S_100,S_100,1.0,,liberalio,,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_45,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_45,True,,S_100,S_100,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_46,d_main_40_08,Self,Locale_MainScenario:d_main_40_08_46,False,,S_100,S_100,1.0,,liberalio,,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_47,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_47,True,,S_100,S_100,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_48,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_48,True,,S_100,S_100,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_49,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_49,False,,S_100,S_100,1.0,,liberalio,rapi_red,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_50,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_50,True,,S_100,S_10,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_51,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_51,True,,S_10,S_10,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_52,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_52,True,,S_10,S_10,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_53,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_53,True,,S_10,S_10,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_54,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_54,True,,S_10,S_10,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_55,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_55,True,,S_10,S_10,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_56,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_56,False,,S_10,S_10,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_57,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_57,True,,S_10,S_10,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
d_main_40_08_58,d_main_40_08,Speech,Locale_MainScenario:d_main_40_08_58,True,,S_10,S_100,1.0,,liberalio,liberalio,,1,idle,,13,idle,,15,rage,,17,idle,,19,idle
