id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,set_camera_shake
d_ex_cafe_04_29,d_ex_cafe_04,Self,Self,Locale_SuddenStory:d_ex_cafe_04_29,False,,S_10,S_10,1.0,,milk,,1,surprise,,,5,idle,,3,idle,,
d_ex_cafe_04_30,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_30,True,,S_10,S_10,1.0,,milk,,1,angry,,,5,idle,,3,idle,d_ex_cafe_04_32,
d_ex_cafe_04_31,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_31,True,,1,S_10,1.0,,milk,,1,angry,,,5,idle,,3,idle,,
d_ex_cafe_04_32,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_32,True,,S_10,S_10,1.0,,milk,,1,idle,,,5,idle,,3,idle,,
d_ex_cafe_04_33,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_33,True,,S_10,S_10,1.0,,milk,,1,idle,,,5,idle,,3,idle,,
d_ex_cafe_04_34,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_34,True,,S_10,1,1.0,,milk,,1,good,,,5,idle,,3,idle,,
d_ex_cafe_04_35,d_ex_cafe_04,Speech,anne,Locale_SuddenStory:d_ex_cafe_04_35,True,,4,4,1.0,,anne,,1,idle,,,5,idle,,3,idle,,
d_ex_cafe_04_36,d_ex_cafe_04,Speech,jackal,Locale_SuddenStory:d_ex_cafe_04_36,True,,4,4,1.0,,jackal,,1,idle,,,5,idle,,3,crazy,,
d_ex_cafe_04_37,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_37,True,,4,2,1.0,,milk,,1,good,,,5,idle,,3,crazy,,
d_ex_cafe_04_38,d_ex_cafe_04,Speech,anne,Locale_SuddenStory:d_ex_cafe_04_38,True,,S_50,S_50,1.0,,anne,,1,good,,,5,delight,,3,idle,,
d_ex_cafe_04_39,d_ex_cafe_04,Speech,anne,Locale_SuddenStory:d_ex_cafe_04_39,True,,S_50,S_50,1.0,,anne,,1,idle,,,5,think,,3,idle,,
d_ex_cafe_04_40,d_ex_cafe_04,Speech,jackal,Locale_SuddenStory:d_ex_cafe_04_40,True,,S_50,S_30,0.5,,jackal,,1,idle,,,5,think,,3,shy_02,,
d_ex_cafe_04_41,d_ex_cafe_04,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_04_41,False,,4,4,1.0,,,,1,idle,,,5,shy,,3,shy_01,,
d_ex_cafe_04_42,d_ex_cafe_04,Speech,anne,Locale_SuddenStory:d_ex_cafe_04_42,True,,4,S_50,0.3,,anne,,1,idle,,,5,shy,,3,shy_01,,
d_ex_cafe_04_43,d_ex_cafe_04,Speech,jackal,Locale_SuddenStory:d_ex_cafe_04_43,True,,S_50,S_30,0.5,,jackal,,1,idle,,,5,shy,,3,angry,,
d_ex_cafe_04_44,d_ex_cafe_04,Speech,jackal,Locale_SuddenStory:d_ex_cafe_04_44,True,,S_30,S_30,1.0,,jackal,,1,idle,,,5,idle,,3,angry,,
d_ex_cafe_04_45,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_45,True,,S_30,2,1.0,,milk,,1,good,,,5,idle,,3,no,,
d_ex_cafe_04_46,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_46,True,,2,1,2.0,,milk,,1,good,,,5,idle,,3,no,,
d_ex_cafe_04_47,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_47,True,,1,S_10,2.0,,milk,,1,good,,,5,idle,,3,idle,,
d_ex_cafe_04_48,d_ex_cafe_04,Speech,anne,Locale_SuddenStory:d_ex_cafe_04_48,True,,4,4,1.0,,anne,,1,good,,,5,idle,,3,idle,,
d_ex_cafe_04_49,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_49,True,,4,4,1.0,,milk,,1,good,,,5,idle,,3,idle,,
d_ex_cafe_04_50,d_ex_cafe_04,Speech,anne,Locale_SuddenStory:d_ex_cafe_04_50,True,,4,S_50,2.0,,anne,,1,idle,,,5,idle,,3,idle,,
d_ex_cafe_04_51,d_ex_cafe_04,Speech,jackal,Locale_SuddenStory:d_ex_cafe_04_51,True,,S_50,S_30,1.0,,jackal,,1,idle,,,5,idle,,3,idle,,
d_ex_cafe_04_52,d_ex_cafe_04,Speech,anne,Locale_SuddenStory:d_ex_cafe_04_52,True,,S_30,S_50,0.3,,anne,,1,idle,,,5,shy,,3,idle,,
d_ex_cafe_04_53,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_53,True,,S_50,S_50,1.0,,milk,,1,delight,,,5,shy,,3,idle,,
d_ex_cafe_04_54,d_ex_cafe_04,Speech,jackal,Locale_SuddenStory:d_ex_cafe_04_54,True,,S_50,S_30,1.0,,jackal,,1,idle,,,5,shy,,3,angry,,
d_ex_cafe_04_55,d_ex_cafe_04,Speech,jackal,Locale_SuddenStory:d_ex_cafe_04_55,True,,S_30,S_30,1.0,,jackal,,1,idle,,,5,idle,,3,angry,,
d_ex_cafe_04_56,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_56,True,,S_30,2,0.3,,milk,,1,angry,,,5,idle,,3,angry,,Low_2
d_ex_cafe_04_57,d_ex_cafe_04,Self,Self,Locale_SuddenStory:d_ex_cafe_04_57,False,,2,2,1.0,,milk,,1,angry,,,5,idle,,3,angry,,
d_ex_cafe_04_58,d_ex_cafe_04,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_04_58,False,,black,black,1.0,,milk,,1,angry,sfx_scn_aim,,5,idle,,3,no,,
d_ex_cafe_04_59,d_ex_cafe_04,Self,Self,Locale_SuddenStory:d_ex_cafe_04_59,False,,2,1,1.0,,milk,,1,angry,,,5,idle,,3,no,,
d_ex_cafe_04_60,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_60,True,,1,1,1.0,,milk,,1,shy,,,5,idle,,3,no,,
d_ex_cafe_04_61,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_61,True,,1,1,1.0,,milk,,1,shy,,,5,idle,,3,no,,
d_ex_cafe_04_62,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_62,True,,1,1,1.0,,milk,,1,shy,,,5,idle,,3,no,,
d_ex_cafe_04_63,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_63,True,,1,S_10,2.0,,milk,,1,idle,,,5,idle,,3,idle,,
d_ex_cafe_04_64,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_64,True,,S_10,S_10,1.0,,milk,,1,idle,,,5,idle,,3,idle,,
d_ex_cafe_04_65,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_65,True,,S_10,S_10,1.0,,milk,,1,idle,,,5,idle,,3,idle,,
d_ex_cafe_04_66,d_ex_cafe_04,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_04_66,False,,black,black,1.0,,milk,,1,idle,sfx_scn_bikeengine,,5,idle,,3,idle,,
d_ex_cafe_04_67,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_67,True,,S_10,S_10,1.0,,milk,,1,good,,,5,idle,,3,idle,,
d_ex_cafe_04_68,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_68,True,,S_10,S_10,1.0,,milk,,1,good,,,5,idle,,3,idle,,
d_ex_cafe_04_69,d_ex_cafe_04,Speech,anne,Locale_SuddenStory:d_ex_cafe_04_69,True,,S_50,S_50,1.0,,anne,,1,idle,,,5,think,,3,idle,,
d_ex_cafe_04_70,d_ex_cafe_04,Speech,anne,Locale_SuddenStory:d_ex_cafe_04_70,True,,S_50,S_50,1.0,,anne,,1,idle,,,5,think,,3,idle,,
d_ex_cafe_04_71,d_ex_cafe_04,Speech,jackal,Locale_SuddenStory:d_ex_cafe_04_71,True,,S_30,S_30,1.0,,jackal,,1,idle,,,5,idle,,3,shy_02,,
d_ex_cafe_04_72,d_ex_cafe_04,Speech,anne,Locale_SuddenStory:d_ex_cafe_04_72,True,,S_30,S_50,0.3,,anne,,1,idle,,,5,delight,,3,shy_02,,
d_ex_cafe_04_73,d_ex_cafe_04,Speech,jackal,Locale_SuddenStory:d_ex_cafe_04_73,True,,S_50,S_30,2.0,,jackal,,1,idle,,,5,delight,,3,angry,,
d_ex_cafe_04_74,d_ex_cafe_04,Speech,jackal,Locale_SuddenStory:d_ex_cafe_04_74,True,,S_30,S_30,1.0,,jackal,,1,idle,,,5,idle,,3,angry,,
d_ex_cafe_04_75,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_75,True,,S_30,2,0.3,,milk,,1,delight,,,5,idle,,3,angry,,
d_ex_cafe_04_76,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_76,True,,2,2,1.0,,milk,,1,delight,,,5,idle,,3,angry,,
d_ex_cafe_04_77,d_ex_cafe_04,Speech,jackal,Locale_SuddenStory:d_ex_cafe_04_77,True,,2,2,1.0,,jackal,,1,delight,,,5,idle,,3,angry,,
d_ex_cafe_04_78,d_ex_cafe_04,Self,Self,Locale_SuddenStory:d_ex_cafe_04_78,False,,2,2,1.0,,,,1,delight,,,5,idle,,3,angry,,
d_ex_cafe_04_79,d_ex_cafe_04,Speech,anne,Locale_SuddenStory:d_ex_cafe_04_79,True,,2,4,1.0,,anne,,1,idle,,,5,delight,,3,angry,,
d_ex_cafe_04_80,d_ex_cafe_04,Speech,anne,Locale_SuddenStory:d_ex_cafe_04_80,True,,4,4,1.0,,anne,,1,idle,,,5,delight,,3,angry,,
d_ex_cafe_04_81,d_ex_cafe_04,Self,Self,Locale_SuddenStory:d_ex_cafe_04_81,False,,4,4,1.0,,,,1,idle,,,5,delight,,3,angry,,
d_ex_cafe_04_82,d_ex_cafe_04,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_04_82,False,,4,15,2.0,none,,,1,idle,sfx_scn_bikeengine,,5,surprise,,3,angry,,
d_ex_cafe_04_83,d_ex_cafe_04,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_04_83,False,,15,15,1.0,,,,1,idle,,,5,surprise,,3,angry,,
d_ex_cafe_04_84,d_ex_cafe_04,Narration,Narration,Locale_SuddenStory:d_ex_cafe_04_84,False,,black,black,1.0,,,,1,idle,sfx_scn_smash,,5,surprise,,3,angry,,Low_2
d_ex_cafe_04_85,d_ex_cafe_04,Speech,anne,Locale_SuddenStory:d_ex_cafe_04_85,True,,5,S_50,0.3,,anne,,1,idle,,,5,surprise,,3,shy_01,,
d_ex_cafe_04_86,d_ex_cafe_04,Speech,milk,Locale_SuddenStory:d_ex_cafe_04_86,True,,10,10,1.0,bgm_story_fairytalesend_b,milk,,1,good,,,5,surprise,,3,shy_01,,
d_ex_cafe_04_87,d_ex_cafe_04,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_04_87,False,,black,black,1.0,,,,1,good,sfx_scn_smash,,5,surprise,,3,shy_01,,
d_ex_cafe_04_88,d_ex_cafe_04,Speech,anne,Locale_SuddenStory:d_ex_cafe_04_88,True,,10,S_50,0.5,,anne,,1,good,,,5,surprise,,3,shy_01,,
d_ex_cafe_04_89,d_ex_cafe_04,Speech,jackal,Locale_SuddenStory:d_ex_cafe_04_89,True,,S_50,S_30,0.3,,jackal,,1,good,,,5,surprise,,3,shy_01,,
d_ex_cafe_04_90,d_ex_cafe_04,Self,Self,Locale_SuddenStory:d_ex_cafe_04_90,False,,S_30,S_30,1.0,,,,1,good,,,5,surprise,,3,shy_01,,
d_ex_cafe_04_91,d_ex_cafe_04,Speech,jackal,Locale_SuddenStory:d_ex_cafe_04_91,True,,S_30,4,0.3,,jackal,,1,good,,,5,surprise,,3,crazy,,
d_ex_cafe_04_92,d_ex_cafe_04,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_04_92,False,,black,black,1.0,,,,1,good,,,5,surprise,,3,crazy,,
