id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,set_camera_shake
d_ex_workshop_04_14,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_14,False,,1,"expression_0,idle",,1,1,1.0,,,13,idle,,15,delight,,,,,,,
d_ex_workshop_04_15,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_15,True,,1,angry,,1,L_10,0.3,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_16,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_16,True,,1,surprise,,L_10,L_10,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_17,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_17,True,,1,surprise,,L_10,L_100,0.3,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_18,d_ex_workshop_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_workshop_04_18,True,,1,surprise,,L_100,XS_130,2.0,,,13,pain,,15,idle,,,,,,,
d_ex_workshop_04_19,d_ex_workshop_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_workshop_04_19,True,,1,surprise,,XS_130,XS_130,1.0,,,13,pain,,15,idle,,,,,,,
d_ex_workshop_04_20,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_20,True,,1,angry,,12,12,1.0,,,13,pain,,15,idle,,,,,,,
d_ex_workshop_04_21,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_21,True,,1,angry,,12,12,1.0,,,13,pain,,15,idle,,,,,,,
d_ex_workshop_04_22,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_22,True,,1,idle,,12,12,1.0,,,13,pain,,15,idle,,,,,,,
d_ex_workshop_04_23,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_23,True,,1,idle,,12,12,1.0,,,13,pain,,15,idle,,,,,,,
d_ex_workshop_04_24,d_ex_workshop_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_workshop_04_24,True,,1,idle,,12,12,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_25,d_ex_workshop_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_workshop_04_25,True,,1,idle,,12,12,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_26,d_ex_workshop_04,Narration,,Narration,Locale_SuddenStory:d_ex_workshop_04_26,False,,1,idle,,black,black,1.0,none,,13,idle,,15,idle,black,,,,,,
d_ex_workshop_04_27,d_ex_workshop_04,Speech,anne,anne,Locale_SuddenStory:d_ex_workshop_04_27,True,,1,idle,,15,XS_150,1.0,bgm_story_sunnycarnival,,13,idle,,15,delight,,,,,,,
d_ex_workshop_04_28,d_ex_workshop_04,Speech,anne,anne,Locale_SuddenStory:d_ex_workshop_04_28,True,,1,idle,,XS_150,XS_150,1.0,,,13,idle,,15,delight,,,,,,,
d_ex_workshop_04_29,d_ex_workshop_04,Choice,anne,,Locale_SuddenStory:d_ex_workshop_04_29,False,,1,idle,,XS_150,XS_150,1.0,,,13,idle,,15,delight,,d_ex_workshop_04_31,,,,,
d_ex_workshop_04_30,d_ex_workshop_04,Choice,anne,,Locale_SuddenStory:d_ex_workshop_04_30,False,,1,idle,,XS_150,XS_150,1.0,,,13,idle,,15,delight,,d_ex_workshop_04_31,,,,,
d_ex_workshop_04_31,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_31,True,,1,angry,,1,L_10,0.3,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_32,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_32,True,,1,angry,,L_10,L_10,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_33,d_ex_workshop_04,Self,centi,Self,Locale_SuddenStory:d_ex_workshop_04_33,False,,1,angry,,L_10,L_10,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_34,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_34,True,,1,delight,,L_10,L_10,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_35,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_35,True,,1,idle,,L_10,14,2.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_36,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_36,True,,1,idle,,14,14,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_37,d_ex_workshop_04,Self,centi,Self,Locale_SuddenStory:d_ex_workshop_04_37,False,,1,idle,,14,1,0.3,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_38,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_38,True,,1,angry,,1,1,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_39,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_39,False,,1,angry,,1,L_10,2.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_40,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_40,True,,1,delight,,L_10,L_10,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_41,d_ex_workshop_04,Self,centi,Self,Locale_SuddenStory:d_ex_workshop_04_41,False,,1,delight,,L_10,L_10,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_42,d_ex_workshop_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_workshop_04_42,True,,1,idle,,L_10,XS_130,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_43,d_ex_workshop_04,Self,epinel,Self,Locale_SuddenStory:d_ex_workshop_04_43,False,,1,idle,,XS_130,XS_130,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_44,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_44,True,,1,idle,,1,1,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_45,d_ex_workshop_04,Narration,centi,Narration,Locale_SuddenStory:d_ex_workshop_04_45,False,,1,idle,,black,black,1.0,,,13,idle,,15,idle,,,centi,epinel,anne,sfx_scn_drill,
d_ex_workshop_04_46,d_ex_workshop_04,Monologue,centi,Monologue,Locale_SuddenStory:d_ex_workshop_04_46,False,,1,idle,,black,black,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_47,d_ex_workshop_04,Monologue,centi,Monologue,Locale_SuddenStory:d_ex_workshop_04_47,False,,1,idle,,black,black,1.0,,,13,idle,,15,idle,,,,,,sfx_scn_cutter,
d_ex_workshop_04_48,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_48,True,centi,1,idle,,1,1,1.0,,epinel,13,idle,anne,15,idle,,,,,,,
d_ex_workshop_04_49,d_ex_workshop_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_workshop_04_49,True,,1,idle,,1,12,1.0,,,13,think,,15,idle,,,,,,,
d_ex_workshop_04_50,d_ex_workshop_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_workshop_04_50,True,,1,idle,,12,12,1.0,,,13,think,,15,idle,,,,,,,
d_ex_workshop_04_51,d_ex_workshop_04,Speech,anne,anne,Locale_SuddenStory:d_ex_workshop_04_51,True,,1,idle,,12,14,1.0,,,13,think,,15,idle,,,,,,,
d_ex_workshop_04_52,d_ex_workshop_04,Self,,Self,Locale_SuddenStory:d_ex_workshop_04_52,False,,1,idle,,14,14,1.0,,,13,think,,15,idle,,,,,,,
d_ex_workshop_04_53,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_53,True,,1,delight,,1,1,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_54,d_ex_workshop_04,Narration,,Narration,Locale_SuddenStory:d_ex_workshop_04_54,False,,1,idle,,black,black,1.0,,,13,idle,,15,idle,,,centi,epinel,anne,sfx_scn_hammer,
d_ex_workshop_04_55,d_ex_workshop_04,Monologue,,Monologue,Locale_SuddenStory:d_ex_workshop_04_55,False,,1,idle,,black,black,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_56,d_ex_workshop_04,Monologue,,Monologue,Locale_SuddenStory:d_ex_workshop_04_56,False,,1,idle,,black,black,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_57,d_ex_workshop_04,Speech,anne,anne,Locale_SuddenStory:d_ex_workshop_04_57,True,centi,1,idle,,15,XS_150,1.5,,epinel,13,idle,anne,15,delight,,,,,,,
d_ex_workshop_04_58,d_ex_workshop_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_workshop_04_58,False,,1,idle,,XS_150,XS_130,2.0,,,13,idle,,15,delight,,,,,,,
d_ex_workshop_04_59,d_ex_workshop_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_workshop_04_59,True,,1,idle,,XS_130,XS_130,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_60,d_ex_workshop_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_workshop_04_60,True,,1,idle,,XS_130,XS_130,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_61,d_ex_workshop_04,Choice,epinel,,Locale_SuddenStory:d_ex_workshop_04_61,False,,1,idle,,XS_130,XS_130,1.0,,,13,idle,,15,idle,,d_ex_workshop_04_63,,,,,
d_ex_workshop_04_62,d_ex_workshop_04,Choice,epinel,,Locale_SuddenStory:d_ex_workshop_04_62,False,,1,idle,,XS_130,XS_130,1.0,,,13,idle,,15,idle,,d_ex_workshop_04_63,,,,,
d_ex_workshop_04_63,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_63,True,,1,angry,,XS_130,L_10,0.7,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_64,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_64,True,,1,delight,,L_10,L_10,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_65,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_65,True,,1,delight,,L_10,L_10,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_66,d_ex_workshop_04,Choice,centi,,Locale_SuddenStory:d_ex_workshop_04_66,False,,1,delight,,L_10,L_10,1.0,,,13,idle,,15,idle,,d_ex_workshop_04_68,,,,,
d_ex_workshop_04_67,d_ex_workshop_04,Choice,centi,,Locale_SuddenStory:d_ex_workshop_04_67,False,,1,delight,,L_10,L_10,1.0,,,13,idle,,15,idle,,d_ex_workshop_04_68,,,,,
d_ex_workshop_04_68,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_68,True,,1,surprise,,L_10,1,2.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_69,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_69,True,,1,surprise,,1,1,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_70,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_70,True,,1,delight,,1,1,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_71,d_ex_workshop_04,Narration,,Narration,Locale_SuddenStory:d_ex_workshop_04_71,False,,1,delight,,black,black,1.0,,,13,idle,,15,idle,,,,,,sfx_scn_drill,
d_ex_workshop_04_72,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_72,True,,1,idle,,1,1,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_73,d_ex_workshop_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_workshop_04_73,True,,1,idle,,1,14,1.0,,,13,think,,15,idle,,,,,,,
d_ex_workshop_04_74,d_ex_workshop_04,Speech,anne,anne,Locale_SuddenStory:d_ex_workshop_04_74,True,,1,idle,,14,XS_150,2.0,,,13,think,,15,think,,,,,,,
d_ex_workshop_04_75,d_ex_workshop_04,Speech,anne,anne,Locale_SuddenStory:d_ex_workshop_04_75,True,,1,idle,,XS_150,XS_150,1.0,,,13,think,,15,idle,,,,,,,
d_ex_workshop_04_76,d_ex_workshop_04,Speech,anne,anne,Locale_SuddenStory:d_ex_workshop_04_76,True,,1,idle,,XS_150,XS_150,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_77,d_ex_workshop_04,Self,,Self,Locale_SuddenStory:d_ex_workshop_04_77,False,,1,idle,,XS_150,XS_150,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_78,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_78,False,,1,surprise,,L_10,L_10,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_79,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_79,True,,1,angry,,L_10,L_10,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_80,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_80,True,,1,angry,,L_10,L_10,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_81,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_81,True,,1,idle,,L_10,L_10,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_82,d_ex_workshop_04,Narration,,Narration,Locale_SuddenStory:d_ex_workshop_04_82,False,,1,idle,,black,black,1.0,,,13,idle,,15,idle,,,,,,sfx_scn_hammer,
d_ex_workshop_04_83,d_ex_workshop_04,Narration,,Narration,Locale_SuddenStory:d_ex_workshop_04_83,False,,1,idle,,black,black,1.0,,,13,idle,,15,idle,,,,,,sfx_scn_drill,
d_ex_workshop_04_84,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_84,True,,1,surprise,,1,1,1.0,none,,13,idle,,15,idle,black,,,,,,
d_ex_workshop_04_85,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_85,True,,1,surprise,,1,1,1.0,,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_86,d_ex_workshop_04,Monologue,,Monologue,Locale_SuddenStory:d_ex_workshop_04_86,False,,1,idle,,1,L_10,2.0,bgm_story_impression,,13,idle,,15,idle,,,,,,,
d_ex_workshop_04_87,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_87,False,,1,"expression_0,idle",,L_10,L_10,2.0,,,13,shy,,15,idle,,,,,,,
d_ex_workshop_04_88,d_ex_workshop_04,Choice,centi,,Locale_SuddenStory:d_ex_workshop_04_88,False,,1,idle,,L_10,L_10,1.0,,,13,shy,,15,idle,,d_ex_workshop_04_90,,,,,
d_ex_workshop_04_89,d_ex_workshop_04,Choice,centi,,Locale_SuddenStory:d_ex_workshop_04_89,False,,1,idle,,L_10,L_10,1.0,,,13,shy,,15,idle,,d_ex_workshop_04_90,,,,,
d_ex_workshop_04_90,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_90,True,,1,shy,,L_10,L_10,1.0,,,13,shy,,15,idle,,,,,,,
d_ex_workshop_04_91,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_91,True,,1,shy,,L_10,14,3.0,,,13,shy,,15,idle,,,,,,,
d_ex_workshop_04_92,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_92,False,,1,shy,,14,14,1.0,,,13,shy,,15,idle,,,,,,,
d_ex_workshop_04_93,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_93,True,,1,delight,,L_10,L_10,1.0,,,13,shy,,15,idle,,,,,,,
d_ex_workshop_04_94,d_ex_workshop_04,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_04_94,True,,1,delight,,L_10,L_10,1.0,,,13,shy,,15,idle,,,,,,,
d_ex_workshop_04_95,d_ex_workshop_04,Speech,anne,anne,Locale_SuddenStory:d_ex_workshop_04_95,True,,1,delight,,L_10,XS_150,1.0,,,13,shy,,15,idle,,,,,,,
d_ex_workshop_04_96,d_ex_workshop_04,Monologue,,Monologue,Locale_SuddenStory:d_ex_workshop_04_96,False,,1,delight,,XS_150,XS_150,1.0,,,13,shy,,15,idle,,,centi,epinel,anne,sfx_scn_autodooropen,
d_ex_workshop_04_97,d_ex_workshop_04,Monologue,,Monologue,Locale_SuddenStory:d_ex_workshop_04_97,False,,,,,1,1,1.0,none,,,,,,,black,,,,,,
d_ex_workshop_04_98,d_ex_workshop_04,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_04_98,True,liter,1,sorrow,,1,1,1.0,,,,,,,,,,,,,,
d_ex_workshop_04_99,d_ex_workshop_04,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_04_99,True,,1,sorrow,,1,1,1.0,,,,,,,,,,,,,,
d_ex_workshop_04_100,d_ex_workshop_04,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_04_100,True,,1,no,,1,1,1.0,,,,,,,,,,,,,,
d_ex_workshop_04_101,d_ex_workshop_04,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_04_101,True,,1,surprise,,1,XS_10,2.0,,,,,,,,,,,,,,
d_ex_workshop_04_102,d_ex_workshop_04,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_04_102,True,,1,surprise,,XS_10,XS_10,1.0,bgm_story_kneeldownfools,,,,,,,,,,,,,
d_ex_workshop_04_103,d_ex_workshop_04,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_04_103,True,,1,surprise,,XS_10,XS_10,1.0,,,,,,,,,,,,,,
d_ex_workshop_04_104,d_ex_workshop_04,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_04_104,False,,1,no,,XS_10,XS_10,1.0,,,,,,,,,,,,,,
d_ex_workshop_04_105,d_ex_workshop_04,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_04_105,False,,1,sorrow,,XS_10,XS_100,2.0,,,,,,,,,,,,,,
d_ex_workshop_04_106,d_ex_workshop_04,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_04_106,True,,1,angry,,XS_100,1,0.3,,,,,,,,,,,,,,Low_2
d_ex_workshop_04_107,d_ex_workshop_04,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_04_107,True,,1,angry,,1,1,1.0,,,,,,,,,,,,,,Low_2
