id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,fade,set_camera_shake,play_sound,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,set_filter_01
d_main_28_11_e_32,d_main_28_11_e,Monologue,,,Locale_MainScenario:d_main_28_11_e_32,False,,,,,,,,,,,main_28_11_s,main_28_11_s,1.0,,,,,,,,,,,,
d_main_28_11_e_33,d_main_28_11_e,Speech,hammering,hammering,Locale_MainScenario:d_main_28_11_e_33,True,,,,,,,,,,EventScene_Chap_28_04,main_28_11_s,XS_100,1.0,,,,,,,,,,,,
d_main_28_11_e_34,d_main_28_11_e,Speech,hammering,hammering,Locale_MainScenario:d_main_28_11_e_34,True,,,,,,,,,,,XS_100,XS_100,1.0,,,,,,,,,,,,
d_main_28_11_e_35,d_main_28_11_e,Speech,rapi,rapi,Locale_MainScenario:d_main_28_11_e_35,True,,,,,,,,,,,XS_100,XS_100,1.0,,,,,,,,,,,,
d_main_28_11_e_36,d_main_28_11_e,Speech,hammering,hammering,Locale_MainScenario:d_main_28_11_e_36,True,,,,,,,,,,,XS_100,XS_100,1.0,,,,,,,,,,,,
d_main_28_11_e_37,d_main_28_11_e,Speech,hammering,hammering,Locale_MainScenario:d_main_28_11_e_37,True,,,,,,,,,,EventScene_Chap_28_05,XS_100,100,1.0,,,,,,,,,,,,
d_main_28_11_e_38,d_main_28_11_e,Speech,anis,anis,Locale_MainScenario:d_main_28_11_e_38,True,,,,,,,,,,,100,1,1.0,,,,,,,,,,,,
d_main_28_11_e_39,d_main_28_11_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_11_e_39,True,,,,,,,,,,,1,XS_500,0.6,,,,,,Low_2_Loop,,,,,,
d_main_28_11_e_40,d_main_28_11_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_11_e_40,True,,,,,,,,,,,XS_500,XS_1500,1.0,,,,,,,,,,,,
d_main_28_11_e_41,d_main_28_11_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_11_e_41,True,,,,,,,,,,,XS_1500,1,0.6,,,,,,,,,,,,
d_main_28_11_e_42,d_main_28_11_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_11_e_42,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,
d_main_28_11_e_43,d_main_28_11_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_11_e_43,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,
d_main_28_11_e_44,d_main_28_11_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_11_e_44,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,
d_main_28_11_e_45,d_main_28_11_e,Speech,neon,neon,Locale_MainScenario:d_main_28_11_e_45,True,,,,,,,,,,,1,1,1.0,none,,,,,,,,,,,
d_main_28_11_e_46,d_main_28_11_e,Speech,shifty,shifty,Locale_MainScenario:d_main_28_11_e_46,True,,,,,,,,,,,1,1,1.0,bgm_emergency,,,,,,,shifty,OP_leftup,angry,,
d_main_28_11_e_47,d_main_28_11_e,Speech,hammering,hammering,Locale_MainScenario:d_main_28_11_e_47,True,,,,,,,,,,,1,main_28_11_s,1.0,,,,,,,,,OP_leftup,angry,shifty,
d_main_28_11_e_48,d_main_28_11_e,Speech,hammering,hammering,Locale_MainScenario:d_main_28_11_e_48,True,,,,,,,,,,,main_28_11_s,main_28_11_s,1.0,,,,,,Low_3_Loop,,,,,,
d_main_28_11_e_49,d_main_28_11_e,Narration,,,Locale_MainScenario:d_main_28_11_e_49,False,,,,,,,,,,,main_28_11_s,main_28_11_s,0.6,,,,,,,sfx_scn_earthquake,,,,,
d_main_28_11_e_50,d_main_28_11_e,Monologue,,,Locale_MainScenario:d_main_28_11_e_50,False,,,,,,,,,,,main_28_11_s,main_28_11_s,1.0,,,,,,,,,,,,Vignetting
d_main_28_11_e_51,d_main_28_11_e,Monologue,,,Locale_MainScenario:d_main_28_11_e_51,False,,,,,,,,,,,main_28_11_s,main_28_11_s,1.0,,,,,,,,,,,,Vignetting
d_main_28_11_e_52,d_main_28_11_e,Monologue,,,Locale_MainScenario:d_main_28_11_e_52,False,,,,,,,rapi,1,angry,,black,black,1.0,none,,,,,none,,,,,,Vignetting
d_main_28_11_e_53,d_main_28_11_e,Speech,rapi,rapi,Locale_MainScenario:d_main_28_11_e_53,False,,,,,,,,1,angry,,black,black,1.0,,,,,,,,,,,,
d_main_28_11_e_54,d_main_28_11_e,Monologue,,,Locale_MainScenario:d_main_28_11_e_54,False,,,,,,,,15,angry,,black,black,1.0,,,,,,,,,,,,
d_main_28_11_e_55,d_main_28_11_e,Monologue,,,Locale_MainScenario:d_main_28_11_e_55,False,,,,,,,,15,angry,EventScene_Chap_28_06,black,black,1.0,,,,rapi,,,,,,,,
d_main_28_11_e_56,d_main_28_11_e,Monologue,,,Locale_MainScenario:d_main_28_11_e_56,False,,,,,,,,,,,black,black,1.0,,,,,,,,,,,,
d_main_28_11_e_57,d_main_28_11_e,Speech,rapi,rapi,Locale_MainScenario:d_main_28_11_e_57,True,,,,,,,,,,,main_28_11_e_01,main_28_11_e_01,1.0,,,,,black,,,,,,,
d_main_28_11_e_58,d_main_28_11_e,Speech,rapi,rapi,Locale_MainScenario:d_main_28_11_e_58,True,,,,,,,,,,,main_28_11_e_01,main_28_11_e_01,1.0,,,,,,,,,,,,
d_main_28_11_e_59,d_main_28_11_e,Monologue,,,Locale_MainScenario:d_main_28_11_e_59,False,,,,,,,,,,,main_28_11_e_01,main_28_11_e_01,1.0,,,,,,,,,,,,
d_main_28_11_e_60,d_main_28_11_e,Speech,rapi,rapi,Locale_MainScenario:d_main_28_11_e_60,True,,,,,,,,,,,main_28_11_e_01,main_28_11_e_01,1.0,,,,,,,,,,,,
d_main_28_11_e_61,d_main_28_11_e,Monologue,,,Locale_MainScenario:d_main_28_11_e_61,False,,,,,,,,,,,main_28_11_e_01,main_28_11_e_02,1.3,,,,,,,,,,,,
d_main_28_11_e_62,d_main_28_11_e,Narration,,,Locale_MainScenario:d_main_28_11_e_62,False,,,,,,,,,,,main_28_11_e_02,main_28_11_e_02,1.0,,,,,,,sfx_scn_flarestarter,,,,,
d_main_28_11_e_63,d_main_28_11_e,Monologue,,,Locale_MainScenario:d_main_28_11_e_63,False,,,,,,,,,,EventScene_Chap_28_07,main_28_11_e_02,main_28_11_e_02,1.0,,,,,,,,,,,,
d_main_28_11_e_64,d_main_28_11_e,Monologue,,,Locale_MainScenario:d_main_28_11_e_64,False,,,,,,,,,,,main_28_11_e_02,1,1.0,,,,,,,,,,,,
d_main_28_11_e_65,d_main_28_11_e,Self,,,Locale_MainScenario:d_main_28_11_e_65,False,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,
d_main_28_11_e_66,d_main_28_11_e,Speech,rapi,rapi,Locale_MainScenario:d_main_28_11_e_66,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,
d_main_28_11_e_67,d_main_28_11_e,Speech,rapi,rapi,Locale_MainScenario:d_main_28_11_e_67,True,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,
