id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_main_26_1_e_12,d_main_26_01_e,Speech,ingrid_op_c,ingrid_op_c,Locale_MainScenario:d_main_26_1_e_12,False,,1,1,1.0,,,,,,OP_center,angry,,,,
d_main_26_1_e_13,d_main_26_01_e,Self,,,Locale_MainScenario:d_main_26_1_e_13,False,,1,1,1.0,,,,,,OP_center,angry,,,,
d_main_26_1_e_14,d_main_26_01_e,Narration,,,Locale_MainScenario:d_main_26_1_e_14,False,,1,1,1.0,,,,,,OP_center,angry,ingrid_op_c,,,
d_main_26_1_e_15,d_main_26_01_e,Monologue,,,Locale_MainScenario:d_main_26_1_e_15,False,,1,1,1.0,,,,,,,,,,,
d_main_26_1_e_16,d_main_26_01_e,Narration,,,Locale_MainScenario:d_main_26_1_e_16,False,,1,1,1.0,,m_main_26_1,,,,,,,,,
d_main_26_1_e_17,d_main_26_01_e,Monologue,,,Locale_MainScenario:d_main_26_1_e_17,False,,1,1,1.0,,,,,,,,,,,
d_main_26_1_e_18,d_main_26_01_e,Monologue,,,Locale_MainScenario:d_main_26_1_e_18,False,,black,black,1.0,,,,,,,,,,,
d_main_26_1_e_18_1,d_main_26_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_11_1,True,IceLand_04,10,10,1.0,,,Vignetting,black,rapunzel,1,idle,,rapi,17,idle
d_main_26_1_e_18_2,d_main_26_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_11_2,True,,10,10,1.0,,,Vignetting,,,1,idle,,,17,idle
d_main_26_1_e_18_3,d_main_26_01_e,Speech,rapi,rapi,Locale_MainScenario:d_main_17_11_3,True,,170,170,1.0,,,Vignetting,,,1,idle,,,17,idle
d_main_26_1_e_18_4,d_main_26_01_e,Speech,rapi,rapi,Locale_MainScenario:d_main_17_11_4,True,,170,170,1.0,,,Vignetting,,,1,idle,,,17,idle
d_main_26_1_e_18_5,d_main_26_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_11_5,True,,10,10,1.0,,,Vignetting,,,1,no,,,17,idle
d_main_26_1_e_18_6,d_main_26_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_11_6,True,,10,10,1.0,,,Vignetting,,,1,no,,,17,idle
d_main_26_1_e_18_7,d_main_26_01_e,Speech,rapi,rapi,Locale_MainScenario:d_main_17_11_7,True,,170,170,1.0,,,Vignetting,,,1,no,,,17,idle
d_main_26_1_e_18_8,d_main_26_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_11_8,False,,10,10,1.0,,,Vignetting,,,1,no,,,17,idle
d_main_26_1_e_18_9,d_main_26_01_e,Speech,rapi,rapi,Locale_MainScenario:d_main_17_11_9,True,,170,170,1.0,,,Vignetting,,,1,no,,,17,idle
d_main_26_1_e_18_10,d_main_26_01_e,Speech,rapi,rapi,Locale_MainScenario:d_main_17_11_10,True,,170,170,1.0,,,Vignetting,,,1,no,,,17,idle
d_main_26_1_e_18_11,d_main_26_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_11_11,True,,10,10,1.0,,,Vignetting,,,1,idle,,,17,idle
d_main_26_1_e_18_12,d_main_26_01_e,Speech,rapi,rapi,Locale_MainScenario:d_main_17_11_12,True,,170,170,1.0,,,Vignetting,,,1,idle,,,17,idle
d_main_26_1_e_19,d_main_26_01_e,Monologue,,,Locale_MainScenario:d_main_26_1_e_19,False,Desert_02,6,6,1.0,,,,black,,1,idle,rapunzel,rapi,17,idle
d_main_26_1_e_20,d_main_26_01_e,Monologue,,,Locale_MainScenario:d_main_26_1_e_20,False,,6,6,1.0,,,,,,,,,,,
d_main_26_1_e_21,d_main_26_01_e,Monologue,,,Locale_MainScenario:d_main_26_1_e_21,False,,6,6,1.0,,,,,,,,,,,
d_main_26_1_e_22,d_main_26_01_e,Monologue,,,Locale_MainScenario:d_main_26_1_e_22,False,,6,6,1.0,,,,,,,,,,,
d_main_26_1_e_23,d_main_26_01_e,Monologue,,,Locale_MainScenario:d_main_26_1_e_23,False,,6,6,1.0,,,,,,,,,,,
d_main_26_1_e_24,d_main_26_01_e,Monologue,,,Locale_MainScenario:d_main_26_1_e_24,False,,6,6,1.0,,,,,,,,,,,
d_main_26_1_e_25,d_main_26_01_e,Monologue,,,Locale_MainScenario:d_main_26_1_e_25,False,,6,600,1.0,,,,,,,,,,,
d_main_26_1_e_26,d_main_26_01_e,Monologue,,,Locale_MainScenario:d_main_26_1_e_26,False,,600,600,1.0,,,,,,,,,,,
d_main_26_1_e_27,d_main_26_01_e,Monologue,,,Locale_MainScenario:d_main_26_1_e_27,False,,600,600,1.0,,,,,,,,,,,
