id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_camera_duration,play_bgm,highlight,speaker,set_start_camera,set_end_camera,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_subquest_1421_16,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_16,True,,1.0,,anis,anis,130,130,,,,3,idle,,1,idle,,13,worry
d_subquest_1421_17,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_17,True,,1.0,,anis,anis,130,130,,,,3,idle,,1,idle,,13,worry
d_subquest_1421_18,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_18,True,,1.0,,rapi,rapi,30,30,,,,3,idle,,1,idle,,13,worry
d_subquest_1421_19,d_subquest_1421,Self,Locale_SubScenario:d_subquest_1421_19,False,,1.0,,rapi,,30,30,,,,3,idle,,1,idle,,13,worry
d_subquest_1421_20,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_20,True,,1.0,,rapi,rapi,30,30,,,,3,idle,,1,idle,,13,idle
d_subquest_1421_21,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_21,True,,1.0,,neon,neon,12,12,,,,3,idle,,1,idle,,13,idle
d_subquest_1421_22,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_22,True,,1.0,,neon,neon,12,12,,,,3,idle,,1,idle,,13,idle
d_subquest_1421_23,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_23,True,,1.0,,anis,anis,12,12,,,,3,idle,,1,idle,,13,idle
d_subquest_1421_24,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_24,True,,1.0,,neon,neon,12,12,sfx_scn_glassesknock,,,3,idle,,1,idle,,13,idle
d_subquest_1421_25,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_25,True,,1.0,,neon,neon,S_10,S_100,sfx_scn_flashbanglight,Low_2,,3,idle,,1,no,,13,idle
d_subquest_1421_26,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_26,True,,1.0,,anis,anis,130,1300,,,,3,idle,,1,no,,13,angry
d_subquest_1421_27,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_27,True,,1.0,,neon,neon,S_100,S_100,,,,3,idle,,1,no,,13,angry
d_subquest_1421_28,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_28,True,,1.0,,neon,neon,S_100,S_100,,,,3,idle,,1,idle,,13,idle
d_subquest_1421_29,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_29,True,,1.0,,neon,neon,S_100,S_100,,,,3,idle,,1,idle,,13,idle
d_subquest_1421_30,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_30,True,,1.0,,neon,neon,S_100,S_100,,,,3,idle,,1,idle,,13,idle
d_subquest_1421_31,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_31,True,,1.0,,neon,neon,S_100,12,,,,3,idle,,1,worry,,13,idle
d_subquest_1421_32,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_32,True,,1.0,,anis,anis,12,12,,,,3,idle,,1,worry,,13,idle
d_subquest_1421_33,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_33,True,,1.0,,rapi,rapi,12,2,,,,3,idle,,1,worry,,13,idle
d_subquest_1421_34,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_34,True,,1.0,,neon,neon,2,2,,,,3,idle,,1,worry,,13,idle
d_subquest_1421_35,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_35,True,,1.0,,neon,neon,2,2,,,,3,idle,,1,worry,,13,idle
d_subquest_1421_36,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_36,True,,1.0,,anis,anis,130,130,,,,3,idle,,1,worry,,13,pain
d_subquest_1421_37,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_37,True,,1.0,,neon,neon,2,2,,,,3,idle,,1,worry,,13,pain
d_subquest_1421_38,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_38,True,,1.0,,rapi,rapi,2,2,,,,3,idle,,1,worry,,13,pain
d_subquest_1421_39,d_subquest_1421,Speech,Locale_SubScenario:d_subquest_1421_39,True,,1.0,,rapi,rapi,2,2,,,,3,idle,,1,worry,,13,pain
d_subquest_1421_40,d_subquest_1421,Self,Locale_SubScenario:d_subquest_1421_40,False,,1.0,,rapi,,2,2,,,,3,idle,,1,worry,,13,pain
