id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id
d_main_32_09_s_12,d_main_32_09_s,Self,,,Locale_MainScenario:d_main_32_09_s_12,False,,1,idle,,13,worry,,15,idle,,3,idle,,31,31,1.0,,,,,,,,,
d_main_32_09_s_13,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_13,True,,1,idle,,13,worry,,15,idle,,3,idle,,31,31,1.0,,,,,,,,,
d_main_32_09_s_14,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_14,True,,1,idle,,13,worry,,15,idle,,3,idle,,31,31,1.0,,,,,,,,,
d_main_32_09_s_15,d_main_32_09_s,Speech,rapi,rapi,Locale_MainScenario:d_main_32_09_s_15,True,,1,idle,,13,worry,,15,idle,,3,idle,,31,31,1.0,,,,,,,,,
d_main_32_09_s_16,d_main_32_09_s,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_32_09_s_16,True,,1,idle,,13,worry,,15,idle,,3,idle,,31,31,1.0,,shifty_r,OP_rightup,angry,,,,,
d_main_32_09_s_17,d_main_32_09_s,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_32_09_s_17,True,,1,idle,,13,worry,,15,idle,,3,idle,,31,31,1.0,,,OP_rightup,angry,,,,,
d_main_32_09_s_18,d_main_32_09_s,Speech,anis,anis,Locale_MainScenario:d_main_32_09_s_18,True,,1,idle,,13,worry,,15,idle,,3,idle,EventScene_Chap_32_02,black,black,1.0,,,OP_rightup,angry,grave_no,anis,neon,rapi,shifty_r
d_main_32_09_s_19,d_main_32_09_s,Speech,neon,neon,Locale_MainScenario:d_main_32_09_s_19,True,,,,,,,,,,,,,,1,100,1.0,,,,,,,,,
d_main_32_09_s_20,d_main_32_09_s,Speech,shifty,shifty,Locale_MainScenario:d_main_32_09_s_20,True,,,,,,,,,,,,,,100,100,1.0,,,,,,,,,
d_main_32_09_s_21,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_21,True,,,,,,,,,,,,,,100,100,1.0,,,,,,,,,
d_main_32_09_s_22,d_main_32_09_s,Speech,neon,neon,Locale_MainScenario:d_main_32_09_s_22,True,,,,,,,,,,,,,,100,100,1.0,,,,,,,,,
d_main_32_09_s_23,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_23,True,,,,,,,,,,,,,,100,100,1.0,,,,,,,,,
d_main_32_09_s_24,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_24,True,,,,,,,,,,,,,,100,1,0.5,,,,,,,,,
d_main_32_09_s_25,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_25,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,
d_main_32_09_s_26,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_26,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,
d_main_32_09_s_27,d_main_32_09_s,Speech,shifty,shifty,Locale_MainScenario:d_main_32_09_s_27,True,grave_no,1,idle,anis,13,angry,,,,rapi,3,idle,FlowerRoad,black,black,1.0,,,,,,,,,
d_main_32_09_s_28,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_28,True,,1,idle,,13,angry,,,,,3,idle,,1,1,1.0,,,,,,,,,
d_main_32_09_s_29,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_29,True,,1,idle,,13,angry,,,,,3,idle,,1,1,1.0,,,,,,,,,
d_main_32_09_s_30,d_main_32_09_s,Speech,anis,anis,Locale_MainScenario:d_main_32_09_s_30,True,,1,idle,,13,angry,,,,,3,idle,,1,113,1.0,,,,,,,,,
d_main_32_09_s_31,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_31,True,,1,idle,,13,angry,,,,,3,idle,,113,113,1.0,,,,,,,,,
d_main_32_09_s_32,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_32,True,,1,idle,,13,angry,,,,,3,idle,,113,113,1.0,,,,,,,,,
d_main_32_09_s_33,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_33,True,,1,idle,,13,angry,,,,,3,idle,,113,113,1.0,,,,,,,,,
d_main_32_09_s_34,d_main_32_09_s,Speech,anis,anis,Locale_MainScenario:d_main_32_09_s_34,True,,1,idle,,13,angry,,,,,3,idle,,113,113,1.0,,,,,,,,,
d_main_32_09_s_35,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_35,True,,1,idle,,13,angry,,,,,3,idle,,113,113,1.0,,,,,,,,,
d_main_32_09_s_36,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_36,True,,1,idle,,13,angry,,,,,3,idle,,113,113,1.0,,,,,,,,,
d_main_32_09_s_37,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_37,True,,1,idle,,13,angry,,,,,3,idle,,113,113,1.0,,,,,,,,,
d_main_32_09_s_38,d_main_32_09_s,Speech,rapi,rapi,Locale_MainScenario:d_main_32_09_s_38,True,,1,idle,,13,angry,,,,,3,idle,,30,30,1.0,,,,,,,,,
d_main_32_09_s_39,d_main_32_09_s,Speech,grave_no,grave_no,Locale_MainScenario:d_main_32_09_s_39,True,,1,idle,,13,angry,,,,,3,idle,,L_10,L_10,1.0,,,,,,,,,
