id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,set_filter_02,jump_target
d_subquest_1312_32,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_32,True,,S_10,S_10,1.0,,,,isabel,isabel,,1,shy,,,
d_subquest_1312_33,d_subquest_1312,Self,Locale_SubScenario:d_subquest_1312_33,False,,S_10,S_10,1.0,,,,,,,1,shy,,,
d_subquest_1312_34,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_34,False,,S_10,S_10,1.0,,,,isabel,isabel,,1,shy,,,
d_subquest_1312_35,d_subquest_1312,Self,Locale_SubScenario:d_subquest_1312_35,False,,S_10,S_10,1.0,,,,,,,1,shy,,,
d_subquest_1312_36,d_subquest_1312,Self,Locale_SubScenario:d_subquest_1312_36,False,,S_10,S_10,1.0,,,,,,,1,shy,,,
d_subquest_1312_37,d_subquest_1312,Self,Locale_SubScenario:d_subquest_1312_37,False,,S_10,S_10,1.0,,,,,,,1,shy,,,
d_subquest_1312_38,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_38,False,,S_10,S_10,1.0,,,,isabel,isabel,,1,surprise,,,
d_subquest_1312_39,d_subquest_1312,Self,Locale_SubScenario:d_subquest_1312_39,False,,S_10,S_10,1.0,,,,,,,1,surprise,,,
d_subquest_1312_40,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_40,True,,S_10,S_10,1.0,,,,isabel,isabel,,1,shy,,,
d_subquest_1312_41,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_41,True,,S_10,S_10,1.0,,,,isabel,isabel,,1,shy,,,
d_subquest_1312_42,d_subquest_1312,Self,Locale_SubScenario:d_subquest_1312_42,False,,S_10,S_10,1.0,,,,,,,1,shy,,,
d_subquest_1312_43,d_subquest_1312,Monologue,Locale_SubScenario:d_subquest_1312_43,False,,S_10,S_10,1.0,,,,,,,1,shy,,,
d_subquest_1312_44,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_44,True,,S_10,S_100,1.0,,,,isabel,isabel,,1,surprise,,,
d_subquest_1312_45,d_subquest_1312,Self,Locale_SubScenario:d_subquest_1312_45,False,,S_100,S_100,1.0,,,,,,,1,surprise,,,
d_subquest_1312_46,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_46,True,,S_100,S_100,1.0,,,,isabel,isabel,,1,surprise,,,
d_subquest_1312_47,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_47,True,,S_100,S_100,1.0,,,,isabel,isabel,,1,surprise,,,
d_subquest_1312_48,d_subquest_1312,Self,Locale_SubScenario:d_subquest_1312_48,False,,S_100,S_100,1.0,,,,,,,1,surprise,,,
d_subquest_1312_49,d_subquest_1312,Self,Locale_SubScenario:d_subquest_1312_49,False,,S_100,S_100,1.0,,,,,,,1,surprise,,,
d_subquest_1312_50,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_50,False,,S_100,S_100,1.0,,,,isabel,isabel,,1,surprise,,,
d_subquest_1312_51,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_51,True,,S_100,S_100,1.0,,,,isabel,isabel,,1,surprise,,,
d_subquest_1312_52,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_52,True,,S_100,S_100,1.0,,,,isabel,isabel,,1,surprise,,,
d_subquest_1312_53,d_subquest_1312,Choice,Locale_SubScenario:d_subquest_1312_53,False,,S_100,S_100,1.0,,,,,,,1,surprise,,,d_subquest_1312_56
d_subquest_1312_54,d_subquest_1312,Choice,Locale_SubScenario:d_subquest_1312_54,False,,S_100,S_100,1.0,,,,,,,1,surprise,,,d_subquest_1312_55
d_subquest_1312_55,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_55,True,,S_100,S_100,1.0,,,,isabel,isabel,,1,surprise,,,d_subquest_1312_56
d_subquest_1312_56,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_56,True,,S_100,S_100,1.0,,,,isabel,isabel,,1,idle,,,
d_subquest_1312_57,d_subquest_1312,Self,Locale_SubScenario:d_subquest_1312_57,False,,S_100,S_100,1.0,,,,,,,1,idle,,,
d_subquest_1312_58,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_58,True,,S_100,S_10,1.0,,,,isabel,isabel,,1,shy,,,
d_subquest_1312_59,d_subquest_1312,Speech,Locale_SubScenario:d_subquest_1312_59,True,,S_10,S_10,1.0,,,,isabel,isabel,,1,shy,,,
