id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,jump_target,set_filter_01,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_ex_elevator_03_23,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_23,True,,1,1,1.0,,,,,,,2,pain,,,12,angry,,,,,,,,,
d_ex_elevator_03_24,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_24,True,,1,XS_120,1.0,,,,,,,2,pain,,,12,idle,,,,,,,,,
d_ex_elevator_03_25,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_25,True,,XS_120,XS_120,1.0,,,,,,,2,pain,,,12,idle,,,,,,,,,
d_ex_elevator_03_26,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_26,True,,XS_120,XS_120,1.0,,,,,,,2,pain,,,12,idle,,,,,,,,,
d_ex_elevator_03_27,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_27,True,,XS_120,S_20,1.0,,,,,,,2,pain,,,12,idle,,,,,,,,,
d_ex_elevator_03_28,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_28,False,,S_20,S_20,1.0,,,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_29,d_ex_elevator_03,Monologue,,,Locale_SuddenStory:d_ex_elevator_03_29,False,,S_20,1,1.0,,,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_30,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_30,True,,1,1,1.0,,bgm_story_kneeldownfools,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_31,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_31,True,,1,1,1.0,,,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_32,d_ex_elevator_03,Self,,Self,Locale_SuddenStory:d_ex_elevator_03_32,False,,1,1,1.0,,,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_33,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_33,True,,1,S_20,1.0,,,,,,,2,idle,,,12,idle,,,,,,,,,
d_ex_elevator_03_34,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_34,True,,S_20,S_20,1.0,,,,,,,2,idle,,,12,idle,,,,,,,,,
d_ex_elevator_03_35,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_35,True,,S_20,S_20,1.0,,,,,,,2,idle,,,12,idle,,,,,,,,,
d_ex_elevator_03_36,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_36,True,,S_20,1,2.0,,,,,,,2,delight,,,12,idle,,,,,,,,,
d_ex_elevator_03_37,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_37,True,,1,1,1.0,,,,,,,2,delight,,,12,idle,,,,,,,,,
d_ex_elevator_03_38,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_38,True,,1,1,1.0,,,,,,,2,delight,,,12,idle,,,,,,,,,
d_ex_elevator_03_39,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_39,True,,1,XS_120,1.0,,,,,,,2,delight,,,12,delight,,,,,,,,,
d_ex_elevator_03_40,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_40,True,,XS_120,XS_120,1.0,,,,,,,2,delight,,,12,delight,,,,,,,,,
d_ex_elevator_03_41,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_41,True,,XS_120,XS_120,1.0,,,,,,,2,delight,,,12,delight,,,,,,,,,
d_ex_elevator_03_42,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_42,True,,XS_120,XS_120,1.0,,,,,,,2,delight,,,12,delight,,,,,,,,,
d_ex_elevator_03_43,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_43,False,,XS_120,S_20,1.0,,,,,,,2,pain,,,12,idle,,,,,,,,,
d_ex_elevator_03_44,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_44,True,,S_20,S_20,1.0,,,,,,,2,idle,,,12,idle,,,,,,,,,
d_ex_elevator_03_45,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_45,True,,S_20,S_20,1.0,,,,,,,2,idle,,,12,idle,,,,,,,,,
d_ex_elevator_03_46,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_46,True,,S_20,S_20,1.0,,,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_47,d_ex_elevator_03,Choice,novel,,Locale_SuddenStory:d_ex_elevator_03_47,False,,S_20,S_20,1.0,,,d_ex_elevator_03_49,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_48,d_ex_elevator_03,Choice,novel,,Locale_SuddenStory:d_ex_elevator_03_48,False,,S_20,S_20,1.0,,,d_ex_elevator_03_51,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_49,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_49,True,,S_20,XS_120,1.0,,,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_50,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_50,True,,XS_120,XS_120,1.0,,,d_ex_elevator_03_53,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_51,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_51,True,,S_20,S_20,1.0,,,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_52,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_52,True,,S_20,S_20,1.0,,,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_53,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_53,True,,S_20,S_20,1.0,,,,,,,2,shy,,,12,idle,,,,,,,,,
d_ex_elevator_03_54,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_54,True,,S_20,1,1.0,,,,,,,2,shy,,,12,no,,,,,,,,,
d_ex_elevator_03_55,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_55,True,,1,1,1.0,,,,,,,2,shy,,,12,idle,,,,,,,,,
d_ex_elevator_03_56,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_56,True,,1,1,1.0,,,,,,,2,shy,,,12,idle,,,,,,,,,
d_ex_elevator_03_57,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_57,True,,1,XS_120,2.0,,,,,,,2,shy2,,,12,idle,,,,,,,,,
d_ex_elevator_03_58,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_58,True,,XS_120,XS_120,1.0,,,,,,,2,shy2,,,12,idle,,,,,,,,,
d_ex_elevator_03_59,d_ex_elevator_03,Choice,guillotine,,Locale_SuddenStory:d_ex_elevator_03_59,False,,XS_120,XS_120,1.0,,,d_ex_elevator_03_61,,,,2,shy2,,,12,idle,,,,,,,,,
d_ex_elevator_03_60,d_ex_elevator_03,Choice,guillotine,,Locale_SuddenStory:d_ex_elevator_03_60,False,,XS_120,XS_120,1.0,,,d_ex_elevator_03_65,,,,2,shy2,,,12,idle,,,,,,,,,
d_ex_elevator_03_61,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_61,True,,XS_120,S_20,1.0,,,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_62,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_62,True,,S_20,S_20,1.0,,,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_63,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_63,True,,S_20,S_20,1.0,,,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_64,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_64,True,,S_20,XS_120,0.5,,,d_ex_elevator_03_67,,,,2,think,,,12,delight,,,,,,,,,
d_ex_elevator_03_65,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_65,True,,XS_120,XS_120,1.0,,,,,,,2,idle,,,12,idle,,,,,,,,,
d_ex_elevator_03_66,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_66,True,,XS_120,XS_120,1.0,,,,,,,2,idle,,,12,delight,,,,,,,,,
d_ex_elevator_03_67,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_67,True,,XS_120,1,2.0,,,,,,,2,idle,,,12,idle,,,,,,,,,
d_ex_elevator_03_68,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_68,True,,1,1,1.0,,,,,,,2,idle,,,12,idle,,,,,,,,,
d_ex_elevator_03_69,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_69,True,,1,1,1.0,,,,,,,2,idle,,,12,idle,,,,,,,,,
d_ex_elevator_03_70,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_70,True,,1,S_20,0.5,,,,,,,2,idle,,,12,angry,,,,,,,,,
d_ex_elevator_03_71,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_71,True,,XS_120,XS_120,1.0,,,,,,,2,idle,,,12,angry,,,,,,,,,
d_ex_elevator_03_72,d_ex_elevator_03,Self,,Self,Locale_SuddenStory:d_ex_elevator_03_72,False,,1,1,1.0,,none,,,,,2,idle,,,12,no,,,,,,,,,
d_ex_elevator_03_73,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_73,False,,1,1,1.0,,,,,,,2,pain,,,12,no,,,,,,,,,
d_ex_elevator_03_74,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_74,False,,1,1,1.0,,,,,,,2,pain,,,12,no,,,,,,,,,
d_ex_elevator_03_75,d_ex_elevator_03,Choice,,,Locale_SuddenStory:d_ex_elevator_03_75,False,,1,1,1.0,,,d_ex_elevator_03_77,,,,2,pain,,,12,no,,,,,,,,,
d_ex_elevator_03_76,d_ex_elevator_03,Choice,,,Locale_SuddenStory:d_ex_elevator_03_76,False,,1,1,1.0,,,d_ex_elevator_03_79,,,,2,pain,,,12,no,,,,,,,,,
d_ex_elevator_03_77,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_77,True,,1,1,1.0,,bgm_distress,,,,,2,idle,,,12,idle,,,,,,,,,
d_ex_elevator_03_78,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_78,True,,1,1,1.0,,,d_ex_elevator_03_81,,,,2,idle,,,12,idle,,,,,,,,,
d_ex_elevator_03_79,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_79,True,,1,1,1.0,,bgm_distress,,,,,2,idle,,,12,delight,,,,,,,,,
d_ex_elevator_03_80,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_80,True,,1,1,1.0,,,,,,,2,idle,,,12,delight,,,,,,,,,
d_ex_elevator_03_81,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_81,True,,1,1,1.0,,,,,,,2,idle,,,12,angry,,,,,,,,,
d_ex_elevator_03_82,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_82,True,,1,1,1.0,,,,,,,2,idle,,,12,angry,,,,,,,,,
d_ex_elevator_03_83,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_83,True,,1,1,1.0,,,,,,,2,idle,,,12,angry,,,,,,,,,
d_ex_elevator_03_84,d_ex_elevator_03,Choice,guillotine,,Locale_SuddenStory:d_ex_elevator_03_84,False,,1,1,1.0,,,d_ex_elevator_03_86,,,,2,idle,,,12,angry,,,,,,,,,
d_ex_elevator_03_85,d_ex_elevator_03,Choice,guillotine,,Locale_SuddenStory:d_ex_elevator_03_85,False,,1,1,1.0,,,d_ex_elevator_03_87,,,,2,idle,,,12,angry,,,,,,,,,
d_ex_elevator_03_86,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_86,True,,1,1,1.0,,,d_ex_elevator_03_88,,,,2,pain,,,12,idle,,,,,,,,,
d_ex_elevator_03_87,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_87,True,,1,1,1.0,,,,,,,2,pain,,,12,idle,,,,,,,,,
d_ex_elevator_03_88,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_88,True,,1,1,1.0,,,,,,,2,idle,,,12,idle,,,,,,,,,
d_ex_elevator_03_89,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_89,False,,1,XS_120,2.0,,,,,,,2,idle,,,12,idle,,,,,,,,,
d_ex_elevator_03_90,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_90,True,,XS_120,XS_120,1.0,,,,,,,2,idle,,,12,no,,,,,,,,,
