id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,jump_target,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_ex_flowerpark_02_45,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_45,True,,10,10,1.0,,,,,,,3,delight,,,1,no,,13,surprise,
d_ex_flowerpark_02_46,d_ex_flowerpark_02,Choice,trina,,Locale_SuddenStory:d_ex_flowerpark_02_46,False,,10,L_30,1.3,,,d_ex_flowerpark_02_48,,,,3,delight,,,1,no,,13,surprise,
d_ex_flowerpark_02_47,d_ex_flowerpark_02,Choice,trina,,Locale_SuddenStory:d_ex_flowerpark_02_47,False,,10,L_30,1.3,,,d_ex_flowerpark_02_48,,,,3,delight,,,1,no,,13,surprise,
d_ex_flowerpark_02_48,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_48,True,,L_30,L_30,1.0,,,,,,,3,think2,,,1,no,,13,surprise,
d_ex_flowerpark_02_49,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_49,True,,L_30,L_30,1.0,,,,,,,3,think2,,,1,no,,13,surprise,
d_ex_flowerpark_02_50,d_ex_flowerpark_02,Monologue,trina,,Locale_SuddenStory:d_ex_flowerpark_02_50,False,,L_30,L_30,1.0,,,,black,,,3,think2,,,1,idle,,13,surprise,
d_ex_flowerpark_02_51,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_51,True,,L_30,L_30,1.0,bgm_story_tepidappleade,,,,,,3,think2,,,1,idle,,13,idle,
d_ex_flowerpark_02_52,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_52,True,,L_30,L_30,1.0,,,,,,,3,think2,,,1,idle,,13,idle,
d_ex_flowerpark_02_53,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_53,True,,L_30,L_30,1.0,,,,,,,3,think1,,,1,idle,,13,idle,
d_ex_flowerpark_02_54,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_54,True,,L_30,L_30,1.0,,,,,,,3,think1,,,1,idle,,13,idle,
d_ex_flowerpark_02_55,d_ex_flowerpark_02,Self,trina,,Locale_SuddenStory:d_ex_flowerpark_02_55,False,,L_30,L_30,1.0,,,,,,,3,think1,,,1,idle,,13,idle,
d_ex_flowerpark_02_56,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_56,False,,12,12,1.0,,,,,,,3,think1,,,1,idle,,13,idle,
d_ex_flowerpark_02_57,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_57,True,,12,12,1.0,,,,,,,3,think1,,,1,idle,,13,idle,
d_ex_flowerpark_02_58,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_58,True,,12,12,1.0,,,,,,,3,think1,,,1,idle,,13,idle,
d_ex_flowerpark_02_59,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_59,True,,12,12,1.0,,,,,,,3,think1,,,1,idle,,13,idle,
d_ex_flowerpark_02_60,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_60,True,,12,12,1.0,,,,,,,3,think1,,,1,idle,,13,idle,
d_ex_flowerpark_02_61,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_61,True,,12,12,1.0,,,,,,,3,think1,,,1,idle,,13,shy,
d_ex_flowerpark_02_62,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_62,True,,L_30,L_30,1.0,,,,,,,3,idle,,,1,idle,,13,shy,
d_ex_flowerpark_02_63,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_63,True,,L_30,L_30,1.0,,,,,,,3,idle,,,1,idle,,13,shy,
d_ex_flowerpark_02_64,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_64,True,,L_30,L_30,1.0,,,,,,,3,idle,,,1,idle,,13,shy,
d_ex_flowerpark_02_65,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_65,True,,12,12,1.0,,,,,,,3,idle,,,1,delight,,13,idle,
d_ex_flowerpark_02_66,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_66,True,,12,12,1.0,,,,,,,3,idle,,,1,delight,,13,good,
d_ex_flowerpark_02_67,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_67,True,,L_30,L_30,1.0,,,,,,,3,delight,,,1,delight,,13,good,
d_ex_flowerpark_02_68,d_ex_flowerpark_02,Self,trina,,Locale_SuddenStory:d_ex_flowerpark_02_68,False,,L_30,L_30,1.0,,,,,,,3,delight,,,1,delight,,13,good,
d_ex_flowerpark_02_69,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_69,True,,L_30,L_30,1.0,,,,,,,3,idle,,,1,delight,,13,good,
d_ex_flowerpark_02_70,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_70,True,,L_30,L_30,1.0,,,,,,,3,idle,,,1,delight,,13,good,
d_ex_flowerpark_02_71,d_ex_flowerpark_02,Self,trina,,Locale_SuddenStory:d_ex_flowerpark_02_71,False,,L_30,L_30,1.0,,,,,,,3,idle,,,1,delight,,13,good,
d_ex_flowerpark_02_72,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_72,True,,L_30,L_30,1.0,,,,,,,3,idle,,,1,delight,,13,good,
d_ex_flowerpark_02_73,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_73,True,,L_30,L_30,1.0,,,,,,,3,idle,,,1,delight,,13,good,
d_ex_flowerpark_02_74,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_74,True,,L_30,3,1.0,,,,,,,3,idle,,,1,delight,,13,good,
d_ex_flowerpark_02_75,d_ex_flowerpark_02,Narration,trina,,Locale_SuddenStory:d_ex_flowerpark_02_75,False,,3,3,1.0,,,,,sfx_scn_undress,,3,idle,trina,,1,delight,,13,good,
d_ex_flowerpark_02_76,d_ex_flowerpark_02,Self,trina,,Locale_SuddenStory:d_ex_flowerpark_02_76,False,,3,3,1.0,,,,,,,,,,,1,delight,,13,good,
d_ex_flowerpark_02_77,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_77,True,,3,12,2.0,,,,,,,,,,,1,delight,,13,good,
d_ex_flowerpark_02_78,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_78,True,,12,12,1.0,,,,,,,,,,,1,delight,,13,good,
d_ex_flowerpark_02_79,d_ex_flowerpark_02,Monologue,zwei,,Locale_SuddenStory:d_ex_flowerpark_02_79,False,,12,12,1.0,,,,,,,,,,,1,delight,,13,good,
d_ex_flowerpark_02_80,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_80,True,,12,130,1.3,,,,,,,,,,,1,delight,,13,good,
d_ex_flowerpark_02_81,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_81,True,,130,130,1.0,,,,,,,,,,,1,delight,,13,good,
d_ex_flowerpark_02_82,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_82,False,,130,130,1.0,,,,,,,,,,,1,delight,,13,idle,
d_ex_flowerpark_02_83,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_83,False,,130,1300,1.0,,,,,,,,,,,1,delight,,13,idle,
d_ex_flowerpark_02_84,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_84,False,,1300,1300,1.0,,,,,,,,,,,1,delight,,13,surprise,
d_ex_flowerpark_02_85,d_ex_flowerpark_02,Self,zwei,,Locale_SuddenStory:d_ex_flowerpark_02_85,False,,1300,1300,1.0,,,,,,,,,,,1,delight,,13,surprise,
d_ex_flowerpark_02_86,d_ex_flowerpark_02,Monologue,zwei,,Locale_SuddenStory:d_ex_flowerpark_02_86,False,,1300,1300,1.0,,,,,,,,,,,1,delight,,13,surprise,
d_ex_flowerpark_02_87,d_ex_flowerpark_02,Self,zwei,,Locale_SuddenStory:d_ex_flowerpark_02_87,False,,1300,1300,1.0,,,,,,,,,,,1,delight,,13,surprise,
d_ex_flowerpark_02_88,d_ex_flowerpark_02,Monologue,zwei,,Locale_SuddenStory:d_ex_flowerpark_02_88,False,,1300,1300,1.0,,,,,,,,,,,1,delight,,13,surprise,
d_ex_flowerpark_02_89,d_ex_flowerpark_02,Self,zwei,,Locale_SuddenStory:d_ex_flowerpark_02_89,False,,1300,1300,1.0,,,,,,,,,,,1,delight,,13,surprise,
d_ex_flowerpark_02_90,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_90,True,,1300,130,1.0,,,,,,,,,,,1,delight,,13,surprise,
d_ex_flowerpark_02_91,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_91,True,,130,130,1.0,,,,,,,,,,,1,delight,,13,surprise,
d_ex_flowerpark_02_92,d_ex_flowerpark_02,Speech,zwei,zwei,Locale_SuddenStory:d_ex_flowerpark_02_92,True,,130,130,1.0,,,,,,,,,,,1,delight,,13,surprise,
d_ex_flowerpark_02_93,d_ex_flowerpark_02,Monologue,zwei,,Locale_SuddenStory:d_ex_flowerpark_02_93,False,,130,130,1.0,,,,,,,,,,,1,delight,,13,surprise,zwei
d_ex_flowerpark_02_94,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_94,True,,130,10,1.3,,,,,,,,,,,1,idle,,,,
d_ex_flowerpark_02_95,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_95,True,,10,10,1.0,,,,,,,,,,,1,idle,,,,
d_ex_flowerpark_02_96,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_96,True,,10,10,1.0,,,,,,,,,,,1,idle,,,,
d_ex_flowerpark_02_97,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_97,True,,10,10,1.0,,,,,,,,,,,1,idle,,,,
d_ex_flowerpark_02_98,d_ex_flowerpark_02,Self,ein,,Locale_SuddenStory:d_ex_flowerpark_02_98,False,,10,100,1.0,,,,,,,,,,,1,idle,,,,
d_ex_flowerpark_02_99,d_ex_flowerpark_02,Narration,ein,,Locale_SuddenStory:d_ex_flowerpark_02_99,False,,black,black,1.0,,,,,sfx_scn_grab,,,,,,1,idle,,,,
d_ex_flowerpark_02_100,d_ex_flowerpark_02,Monologue,ein,,Locale_SuddenStory:d_ex_flowerpark_02_100,False,,black,black,1.0,,,,,,,,,,,1,idle,,,,
d_ex_flowerpark_02_101,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_101,True,,100,100,1.0,,,,,,,,,,,1,idle,,,,
d_ex_flowerpark_02_102,d_ex_flowerpark_02,Speech,ein,ein,Locale_SuddenStory:d_ex_flowerpark_02_102,True,,100,100,1.0,,,,,,,,,,,1,idle,,,,
d_ex_flowerpark_02_103,d_ex_flowerpark_02,Monologue,ein,,Locale_SuddenStory:d_ex_flowerpark_02_103,False,,100,100,1.0,,,,,,,,,,,1,idle,,,,
d_ex_flowerpark_02_104,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_104,True,,black,black,1.0,,,,,,,,,,,1,idle,,,,
d_ex_flowerpark_02_105,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_105,True,,black,black,1.0,,,,,,,,,,,1,idle,,,,
d_ex_flowerpark_02_106,d_ex_flowerpark_02,Speech,trina,trina,Locale_SuddenStory:d_ex_flowerpark_02_106,True,,black,black,1.0,,,,,,,,,,,1,idle,,,,
d_ex_flowerpark_02_107,d_ex_flowerpark_02,Monologue,trina,,Locale_SuddenStory:d_ex_flowerpark_02_107,False,,black,black,1.0,,,,,,,,,,,1,idle,,,,
