id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_filter_01,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,set_filter_02
d_main_24af_04_27,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_27,True,,andersen_24chap_03,andersen_24chap_03,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_28,d_main_24af_04,Self,Locale_MainScenario:d_main_24af_04_28,False,,andersen_24chap_03,andersen_24chap_03,1.0,,,andersen,,,,,,,,,,,,,,,
d_main_24af_04_29,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_29,True,,andersen_24chap_03,andersen_24chap_03,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_30,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_30,True,,andersen_24chap_03,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_31,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_31,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_32,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_32,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_33,d_main_24af_04,Self,Locale_MainScenario:d_main_24af_04_33,False,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,,,,,,,,,,,,,,,
d_main_24af_04_34,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_34,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_35,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_35,True,,black,black,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_36,d_main_24af_04,Self,Locale_MainScenario:d_main_24af_04_36,False,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,,,,,,,,,,,,,,,
d_main_24af_04_37,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_37,True,,andersen_24chap_02,andersen_24chap_03,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_38,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_38,True,,andersen_24chap_03,andersen_24chap_03,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_39,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_39,True,,andersen_24chap_03,andersen_24chap_03,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_40,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_40,True,,andersen_24chap_03,andersen_24chap_03,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_41,d_main_24af_04,Self,Locale_MainScenario:d_main_24af_04_41,False,,andersen_24chap_03,andersen_24chap_03,1.0,,,andersen,,,,,,,,,,,,,,,
d_main_24af_04_42,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_42,True,DestroyedStreet,black,black,1.0,,,andersen,andersen,indivilia,3,idle,nihilister_a,1,idle,talkative,13,idle,Grey,,,,
d_main_24af_04_43,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_43,True,,14,2,2.0,,,andersen,andersen,,3,idle,,1,idle,,13,idle,Grey,,,,
d_main_24af_04_44,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_44,True,,2,2,1.0,,,andersen,andersen,,3,idle,,1,idle,,13,idle,Grey,,,,
d_main_24af_04_45,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_45,True,,2,2,1.0,,,andersen,andersen,,3,idle,,1,idle,,13,idle,Grey,,,,
d_main_24af_04_46,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_46,True,BurningCity,black,black,1.0,,,andersen,andersen,,3,idle,,1,idle,,13,idle,Grey,indivilia,nihilister_a,talkative,Vignetting
d_main_24af_04_47,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_47,True,,5,1,2.0,,,andersen,andersen,,,,,,,,,,Grey,,,,Vignetting
d_main_24af_04_48,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_48,True,,1,1,1.0,,,andersen,andersen,,,,,,,,,,Grey,,,,Vignetting
d_main_24af_04_49,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_49,True,,1,1,1.0,,,andersen,andersen,,,,,,,,,,Grey,,,,Vignetting
d_main_24af_04_50,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_50,True,,1,1,1.0,,,andersen,andersen,,,,,,,,,,Grey,,,,Vignetting
d_main_24af_04_51,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_51,True,,1,1,1.0,,,andersen,andersen,,,,,,,,,,Grey,,,,Vignetting
d_main_24af_04_52,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_52,True,,1,1,1.0,,,andersen,andersen,,,,,,,,,,Grey,,,,Vignetting
d_main_24af_04_53,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_53,True,,1,1,1.0,,,andersen,andersen,,,,,,,,,,Grey,,,,Vignetting
d_main_24af_04_54,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_54,True,,1,1,1.0,,,andersen,andersen,,,,,,,,,,Grey,,,,Vignetting
d_main_24af_04_55,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_55,True,,1,1,1.0,,,andersen,andersen,,,,,,,,,,Grey,,,,Vignetting
d_main_24af_04_56,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_56,True,,1,1,1.0,,,andersen,andersen,,,,,,,,,,Grey,,,,Vignetting
d_main_24af_04_57,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_57,True,,1,1,1.0,,,andersen,andersen,,,,,,,,,,Grey,,,,Vignetting
d_main_24af_04_58,d_main_24af_04,Self,Locale_MainScenario:d_main_24af_04_58,False,,1,1,1.0,,,andersen,,,,,,,,,,,Grey,,,,Vignetting
d_main_24af_04_59,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_59,True,EventScene_Chap_24_After2_01,black,black,1.0,,,andersen,andersen,,,,,,,,,,Grey,,,,Vignetting
d_main_24af_04_60,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_60,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_61,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_61,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_62,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_62,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_63,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_63,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_64,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_64,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_65,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_65,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_66,d_main_24af_04,Self,Locale_MainScenario:d_main_24af_04_66,False,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,,,,,,,,,,,,,,,
d_main_24af_04_67,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_67,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_68,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_68,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_69,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_69,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_70,d_main_24af_04,Self,Locale_MainScenario:d_main_24af_04_70,False,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,,,,,,,,,,,,,,,
d_main_24af_04_71,d_main_24af_04,Self,Locale_MainScenario:d_main_24af_04_71,False,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,,,,,,,,,,,,,,,
d_main_24af_04_72,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_72,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_73,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_73,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_74,d_main_24af_04,Self,Locale_MainScenario:d_main_24af_04_74,False,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,,,,,,,,,,,,,,,
d_main_24af_04_75,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_75,True,,andersen_24chap_02,andersen_24chap_02,1.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_76,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_76,True,,andersen_24chap_02,andersen_24chap_03,2.0,,,andersen,andersen,,,,,,,,,,,,,,
d_main_24af_04_77,d_main_24af_04,Speech,Locale_MainScenario:d_main_24af_04_77,True,,black,black,1.0,,,andersen,andersen,,,,,,,,,,,,,,
