id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,set_camera_shake,highlight,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_20_08_s_20,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_20,True,,30,30,1.0,,,3,smile,,,nihilister,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_21,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_21,True,,30,30,1.0,,,3,idle,,,nihilister,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_22,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_22,True,,30,300,2.0,,,3,idle,,,nihilister,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_23,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_23,True,,300,300,1.0,,,3,idle,,,nihilister,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_24,d_main_20_08_s,Speech,rapi,Locale_MainScenario:d_main_20_08_s_24,True,,160,160,1.0,,,3,idle,,,rapi,,12,idle,,14,idle,,16,angry,,18,idle
d_main_20_08_s_25,d_main_20_08_s,Speech,rapi,Locale_MainScenario:d_main_20_08_s_25,True,,160,160,1.0,,,3,idle,,,rapi,,12,idle,,14,idle,,16,angry,,18,angry
d_main_20_08_s_26,d_main_20_08_s,Speech,anis,Locale_MainScenario:d_main_20_08_s_26,True,,160,180,1.0,,,3,idle,,,anis,,12,idle,,14,idle,,16,angry,,18,angry
d_main_20_08_s_27,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_27,False,,3,3,1.0,,,3,idle,,,nihilister,,12,idle,,14,idle,,16,idle,,18,angry
d_main_20_08_s_28,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_28,True,,3,30,2.0,,,3,idle,,,nihilister,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_29,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_29,True,,30,30,1.0,,,3,idle,,,nihilister,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_30,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_30,True,,30,30,1.0,,,3,idle,,,nihilister,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_31,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_31,True,,30,30,2.0,,,3,shy,,,nihilister,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_32,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_32,True,,30,30,1.0,none,,3,shy,,,nihilister,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_33,d_main_20_08_s,Speech,nihilister,Locale_MainScenario:d_main_20_08_s_33,True,,30,30,1.0,bgm_emergency,,3,shy,,,nihilister,,12,idle,,14,idle,,16,idle,,18,idle
d_main_20_08_s_34,d_main_20_08_s,Monologue,Monologue,Locale_MainScenario:d_main_20_08_s_34,False,,30,3,0.3,,,3,shy,sfx_scn_rapturehowl,Low_2,,,12,idle,,14,idle,,16,angry,,18,angry
d_main_20_08_s_35,d_main_20_08_s,Speech,rapi,Locale_MainScenario:d_main_20_08_s_35,True,,3,16,0.7,,,3,idle,,,rapi,,12,idle,,14,idle,,16,angry,,18,angry
d_main_20_08_s_36,d_main_20_08_s,Speech,papillon,Locale_MainScenario:d_main_20_08_s_36,True,,S_120,S_120,1.0,,,3,idle,,,papillon,,12,surprise,,14,idle,,16,angry,,18,angry
d_main_20_08_s_37,d_main_20_08_s,Speech,papillon,Locale_MainScenario:d_main_20_08_s_37,True,,S_120,S_120,1.0,,,3,idle,,,papillon,,12,angry,,14,idle,,16,angry,,18,angry
d_main_20_08_s_38,d_main_20_08_s,Speech,anis,Locale_MainScenario:d_main_20_08_s_38,True,,180,180,1.0,,,3,idle,,,anis,,12,angry,,14,idle,,16,angry,,18,angry
d_main_20_08_s_39,d_main_20_08_s,Speech,rapi,Locale_MainScenario:d_main_20_08_s_39,True,,180,160,0.3,,,3,idle,,,rapi,,12,angry,,14,idle,,16,angry,,18,angry
