id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id
d_main_35_06_22,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_22,True,,,,,1,1,1.0,,
d_main_35_06_23,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_23,True,,,,,1,1,1.0,,
d_main_35_06_24,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_24,False,,,,,1,d_main_35_06,1.0,,
d_main_35_06_25,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_25,True,,,,,d_main_35_06,d_main_35_06,1.0,,
d_main_35_06_26,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_26,True,,,,,d_main_35_06,d_main_35_06,1.0,,
d_main_35_06_27,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_27,True,,,,,d_main_35_06,d_main_35_06,1.0,,
d_main_35_06_28,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_28,True,,,,,d_main_35_06,d_main_35_06,1.0,,
d_main_35_06_29,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_29,True,,,,,d_main_35_06,d_main_35_06,1.0,,
d_main_35_06_30,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_30,True,,,,,d_main_35_06,d_main_35_06,1.0,,
d_main_35_06_31,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_31,True,,,,,d_main_35_06,d_main_35_06,1.0,,
d_main_35_06_32,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_32,True,,,,,d_main_35_06,d_main_35_06,1.0,,
d_main_35_06_33,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_33,True,,,,,d_main_35_06,d_main_35_06,1.0,,
d_main_35_06_34,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_34,False,,,,,d_main_35_06,1,1.0,,
d_main_35_06_35,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_35,True,,,,,1,1,1.0,,
d_main_35_06_36,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_36,True,,,,,1,1,1.0,,
d_main_35_06_37,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_37,True,,,,,1,1,1.0,,
d_main_35_06_38,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_38,True,,,,,1,1,1.0,,
d_main_35_06_39,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_39,True,,,,,1,1,1.0,,
d_main_35_06_40,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_40,True,,,,,1,1,1.0,,
d_main_35_06_41,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_41,True,,,,,1,1,1.0,,
d_main_35_06_42,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_42,True,,,,,1,1,1.0,,
d_main_35_06_43,d_main_35_06,Speech,leviathan,leviathan,Locale_MainScenario:d_main_35_06_43,True,,,,,1,1,1.0,,
d_main_35_06_44,d_main_35_06,Narration,leviathan,,Locale_MainScenario:d_main_35_06_44,False,,,,,black,black,1.0,,
