id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,fade,highlight,speaker,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_hospital_07_13,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_13,True,,2,2,1.0,,,,,pepper,pepper,,,,1,sad,,3,angry,
d_ex_hospital_07_14,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_14,True,,2,2,1.0,,,,,pepper,pepper,,,,1,sad,,3,angry,
d_ex_hospital_07_15,d_ex_hospital_07,Self,Locale_SuddenStory:d_ex_hospital_07_15,False,,2,2,1.0,,,,,pepper,,,,,1,sad,,3,idle,
d_ex_hospital_07_16,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_16,True,,2,10,1.0,,,,,bay,bay,,,,1,idle,,3,idle,
d_ex_hospital_07_17,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_17,True,,10,10,1.0,,,,,bay,bay,,,,1,idle,,3,idle,
d_ex_hospital_07_18,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_18,True,,10,2,1.0,,,,,pepper,pepper,,,,1,idle,,3,idle,
d_ex_hospital_07_19,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_19,True,,2,2,1.0,,,,,pepper,pepper,,,,1,idle,,3,idle,
d_ex_hospital_07_20,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_20,False,,2,2,1.0,,,,,bay,bay,,,,1,idle,,3,idle,
d_ex_hospital_07_21,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_21,True,,2,2,1.0,,,,,pepper,pepper,,,,1,idle,,3,angry,
d_ex_hospital_07_22,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_22,True,,2,2,1.0,,,,,pepper,pepper,,,,1,idle,,3,angry,
d_ex_hospital_07_23,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_23,False,,2,10,1.0,,,,,bay,bay,,,,1,idle,,3,angry,
d_ex_hospital_07_24,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_24,True,,10,10,1.0,,,,,bay,bay,,,,1,idle,,3,angry,
d_ex_hospital_07_25,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_25,False,,10,XS_30,1.0,,,,,pepper,pepper,,,,1,idle,,3,angry,
d_ex_hospital_07_26,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_26,True,,XS_30,XS_30,1.0,,,,,pepper,pepper,,,,1,idle,,3,surprise,
d_ex_hospital_07_27,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_27,True,,XS_30,XS_30,1.0,,,,,pepper,pepper,,,,1,idle,,3,surprise,
d_ex_hospital_07_28,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_28,True,,XS_30,XS_30,1.0,,,,,pepper,pepper,,,,1,idle,,3,surprise,
d_ex_hospital_07_29,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_29,True,,XS_30,XS_30,1.0,,,,,pepper,pepper,,,,1,idle,,3,surprise,
d_ex_hospital_07_30,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_30,True,,XS_30,2,1.0,,,,,bay,bay,,,,1,sad,,3,surprise,
d_ex_hospital_07_31,d_ex_hospital_07,Monologue,Locale_SuddenStory:d_ex_hospital_07_31,False,,2,2,1.0,,,,,bay,,,,,1,sad,,3,surprise,
d_ex_hospital_07_32,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_32,True,,2,2,1.0,,,,,bay,bay,,,,1,idle,,3,surprise,
d_ex_hospital_07_33,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_33,True,,2,XS_30,1.0,,,,,pepper,pepper,,,,1,idle,,3,surprise,
d_ex_hospital_07_34,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_34,True,,XS_30,XS_30,1.0,,,,,pepper,pepper,,,,1,idle,,3,good,
d_ex_hospital_07_35,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_35,False,,XS_30,2,1.0,,,,,bay,bay,,,,1,idle,,3,idle,
d_ex_hospital_07_36,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_36,True,,2,2,1.0,,,,,bay,bay,,,,1,surprise,,3,idle,
d_ex_hospital_07_37,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_37,True,,2,2,1.0,,,,,pepper,pepper,,,,1,surprise,,3,surprise,
d_ex_hospital_07_38,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_38,True,,2,2,1.0,,,,,bay,bay,,,,1,idle,,3,surprise,
d_ex_hospital_07_39,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_39,True,,2,2,1.0,,,,,pepper,pepper,,,,1,idle,,3,idle,
d_ex_hospital_07_40,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_40,True,,2,10,1.0,,,,,bay,bay,,,,1,idle,,3,idle,
d_ex_hospital_07_41,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_41,True,,10,10,1.0,,,,,bay,bay,,,,1,idle,,3,idle,
d_ex_hospital_07_42,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_42,True,,10,10,1.0,,,,,bay,bay,,,,1,idle,,3,idle,
d_ex_hospital_07_43,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_43,True,,10,10,1.0,,,,,bay,bay,,,,1,idle,,3,idle,
d_ex_hospital_07_44,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_44,True,,10,2,1.0,,,,,pepper,pepper,,,,1,idle,,3,idle,
d_ex_hospital_07_45,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_45,True,,2,2,1.0,,,,,bay,bay,,,,1,idle,,3,idle,
d_ex_hospital_07_46,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_46,True,,2,2,1.0,,,,,bay,bay,,,,1,idle,,3,idle,
d_ex_hospital_07_47,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_47,False,,2,2,1.0,,,,,pepper,pepper,,,,1,idle,,3,idle,
d_ex_hospital_07_48,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_48,True,,2,2,1.0,,,,,pepper,pepper,,,,1,idle,,3,idle,
d_ex_hospital_07_49,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_49,False,,2,2,1.0,,,,,bay,bay,,,,1,idle,,3,idle,
d_ex_hospital_07_50,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_50,True,,2,XS_30,1.0,,,,,pepper,pepper,,,,1,idle,,3,special,
d_ex_hospital_07_51,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_51,False,,XS_30,2,1.0,,,,,bay,bay,,,,1,surprise,,3,special,
d_ex_hospital_07_52,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_52,True,,2,2,1.0,,,,,pepper,pepper,,,,1,surprise,,3,idle,
d_ex_hospital_07_53,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_53,True,,2,2,1.0,,,,,pepper,pepper,,,,1,surprise,,3,idle,
d_ex_hospital_07_54,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_54,True,,2,2,1.0,,,,,pepper,pepper,,,,1,surprise,,3,idle,
d_ex_hospital_07_55,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_55,True,,2,2,1.0,,,,,pepper,pepper,,,,1,surprise,,3,idle,
d_ex_hospital_07_56,d_ex_hospital_07,Self,Locale_SuddenStory:d_ex_hospital_07_56,False,,2,2,1.0,,,,,pepper,,,,,1,surprise,,3,idle,
d_ex_hospital_07_57,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_57,False,,2,2,1.0,,,,,bay,bay,,,,1,idle,,3,idle,
d_ex_hospital_07_58,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_58,True,,2,2,1.0,,,,,pepper,pepper,,,,1,idle,,3,surprise,
d_ex_hospital_07_59,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_59,True,,2,2,1.0,,,,,pepper,pepper,,,,1,idle,,3,surprise,
d_ex_hospital_07_60,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_60,True,,2,2,1.0,,,,,pepper,pepper,,,,1,idle,,3,surprise,
d_ex_hospital_07_61,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_61,True,,2,2,1.0,,,,,pepper,pepper,,,,1,idle,,3,surprise,
d_ex_hospital_07_62,d_ex_hospital_07,Monologue,Locale_SuddenStory:d_ex_hospital_07_62,False,,2,XS_30,1.0,,,,,pepper,,,,,1,idle,,3,surprise,
d_ex_hospital_07_63,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_63,True,,XS_30,XS_30,1.0,,,,,pepper,pepper,,,,1,idle,,3,special,
d_ex_hospital_07_64,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_64,True,,XS_30,2,1.0,,,,,bay,bay,,,,1,surprise,,3,special,
d_ex_hospital_07_65,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_65,True,,2,2,1.0,,,,,pepper,pepper,,,,1,surprise,,3,special,
d_ex_hospital_07_66,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_66,True,,2,2,1.0,,,,,pepper,pepper,,,,1,idle,,3,idle,
d_ex_hospital_07_67,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_67,True,,2,2,1.0,,,,,pepper,pepper,,,,1,idle,,3,idle,
d_ex_hospital_07_68,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_68,True,,2,2,1.0,,,,,pepper,pepper,,,,1,idle,,3,idle,
d_ex_hospital_07_69,d_ex_hospital_07,Self,Locale_SuddenStory:d_ex_hospital_07_69,False,,2,2,1.0,,,,,pepper,,,,,1,idle,,3,idle,
d_ex_hospital_07_70,d_ex_hospital_07,Monologue,Locale_SuddenStory:d_ex_hospital_07_70,False,,2,1,1.0,,,,,pepper,,,,,1,idle,,3,idle,pepper
d_ex_hospital_07_71,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_71,True,,1,10,1.0,,,,,bay,bay,,,,1,idle,,,,
d_ex_hospital_07_72,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_72,True,,10,10,1.0,,,,,bay,bay,,,,1,idle,,,,
d_ex_hospital_07_73,d_ex_hospital_07,Self,Locale_SuddenStory:d_ex_hospital_07_73,False,,10,10,1.0,,,,,bay,,,,,1,idle,,,,
d_ex_hospital_07_74,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_74,True,,10,10,1.0,,,,,bay,bay,,,,1,idle,,,,
d_ex_hospital_07_75,d_ex_hospital_07,Self,Locale_SuddenStory:d_ex_hospital_07_75,False,,10,10,1.0,,,,,bay,,,,,1,idle,,,,
d_ex_hospital_07_76,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_76,True,,10,100,1.0,,,,,bay,bay,,,,1,surprise,,,,
d_ex_hospital_07_77,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_77,True,,100,100,1.0,,,,,bay,bay,,,,1,surprise,,,,
d_ex_hospital_07_78,d_ex_hospital_07,Choice,Locale_SuddenStory:d_ex_hospital_07_78,False,,100,100,1.0,,,,,bay,,,d_ex_hospital_07_80,,1,surprise,,,,
d_ex_hospital_07_79,d_ex_hospital_07,Choice,Locale_SuddenStory:d_ex_hospital_07_79,False,,100,100,1.0,,,,,bay,,,d_ex_hospital_07_80,,1,surprise,,,,
d_ex_hospital_07_80,d_ex_hospital_07,Speech,Locale_SuddenStory:d_ex_hospital_07_80,True,,100,100,1.0,,,,,bay,bay,,,,1,special,,,,
d_ex_hospital_07_81,d_ex_hospital_07,Monologue,Locale_SuddenStory:d_ex_hospital_07_81,False,,100,10,1.0,,,,,bay,,,,,1,special,,,,
